,pulsar-edit/pulsar,microsoft/vscode,neovim/neovim
2024-06-10,0,12,6
2024-06-11,1,9,15
2024-06-12,0,13,12
2024-06-13,3,26,10
2024-06-14,0,16,21
2024-06-15,1,0,12
2024-06-16,5,3,10
2024-06-17,1,27,7
2024-06-18,1,49,8
2024-06-19,1,33,9
2024-06-20,1,49,7
2024-06-21,1,40,8
2024-06-22,1,1,3
2024-06-23,0,2,1
2024-06-24,0,39,10
2024-06-25,1,26,3
2024-06-26,2,35,2
2024-06-27,1,15,4
2024-06-28,3,33,3
2024-06-29,1,5,4
2024-06-30,0,0,0
2024-07-01,0,21,1
2024-07-02,0,25,4
2024-07-03,0,24,3
2024-07-04,0,27,15
2024-07-05,0,23,3
2024-07-06,0,0,12
2024-07-07,7,5,8
2024-07-08,0,44,18
2024-07-09,0,34,4
2024-07-10,4,21,12
2024-07-11,0,37,10
2024-07-12,0,37,11
2024-07-13,0,2,14
2024-07-14,1,3,11
2024-07-15,0,27,5
2024-07-16,8,30,20
2024-07-17,5,26,30
2024-07-18,1,35,10
2024-07-19,0,50,10
2024-07-20,0,18,3
2024-07-21,1,19,7
2024-07-22,1,51,3
2024-07-23,0,16,1
2024-07-24,0,55,4
2024-07-25,2,27,8
2024-07-26,2,38,7
2024-07-27,5,5,10
2024-07-28,2,2,2
2024-07-29,0,41,9
2024-07-30,4,29,14
2024-07-31,3,37,19
2024-08-01,1,20,19
2024-08-02,1,44,15
2024-08-03,1,17,11
2024-08-04,0,11,3
2024-08-05,0,38,9
2024-08-06,1,35,17
2024-08-07,1,46,4
2024-08-08,1,29,7
2024-08-09,11,42,1
2024-08-10,6,2,3
2024-08-11,0,6,2
2024-08-12,0,25,3
2024-08-13,1,55,4
2024-08-14,0,47,4
2024-08-15,0,56,5
2024-08-16,10,43,9
2024-08-17,4,9,10
2024-08-18,2,1,1
2024-08-19,0,31,3
2024-08-20,0,33,11
2024-08-21,0,46,5
2024-08-22,0,54,6
2024-08-23,1,55,3
2024-08-24,2,4,5
2024-08-25,0,4,1
2024-08-26,0,48,6
2024-08-27,3,15,2
2024-08-28,0,51,5
2024-08-29,0,34,7
2024-08-30,0,38,4
2024-08-31,1,2,11
2024-09-01,0,13,9
2024-09-02,1,49,8
2024-09-03,0,37,6
2024-09-04,1,61,2
2024-09-05,0,46,10
2024-09-06,0,46,4
2024-09-07,1,5,4
2024-09-08,7,1,7
2024-09-09,1,42,4
2024-09-10,3,59,8
2024-09-11,0,41,15
2024-09-12,1,64,7
2024-09-13,1,59,8
2024-09-14,4,4,5
2024-09-15,4,8,3
2024-09-16,2,47,7
2024-09-17,2,40,3
2024-09-18,7,44,6
2024-09-19,2,35,5
2024-09-20,1,51,4
2024-09-21,0,16,16
2024-09-22,2,3,4
2024-09-23,1,71,11
2024-09-24,0,18,3
2024-09-25,0,68,8
2024-09-26,0,41,10
2024-09-27,0,95,8
2024-09-28,1,13,5
2024-09-29,3,13,13
2024-09-30,0,53,5
2024-10-01,1,51,10
2024-10-02,0,32,9
2024-10-03,0,47,9
2024-10-04,1,64,8
2024-10-05,0,3,8
2024-10-06,0,6,9
2024-10-07,1,35,11
2024-10-08,0,23,6
2024-10-09,0,14,8
2024-10-10,0,20,4
2024-10-11,0,38,12
2024-10-12,0,4,7
2024-10-13,0,7,6
2024-10-14,0,36,7
2024-10-15,2,36,9
2024-10-16,1,41,8
2024-10-17,3,19,23
2024-10-18,3,41,5
2024-10-19,1,4,7
2024-10-20,2,3,11
2024-10-21,2,53,3
2024-10-22,1,23,18
2024-10-23,0,48,11
2024-10-24,0,46,14
2024-10-25,0,26,2
2024-10-26,1,6,0
2024-10-27,1,6,0
2024-10-28,3,29,0
2024-10-29,0,39,0
2024-10-30,0,74,0
2024-10-31,0,35,0
2024-11-01,0,32,0
2024-11-02,0,1,0
2024-11-03,0,0,0
2024-11-04,1,3,0
2024-11-05,2,0,0
2024-11-06,0,0,0
2024-11-07,0,0,0
2024-11-08,0,0,0
2024-11-09,0,0,0
2024-11-10,0,0,0
2024-11-11,1,0,0
2024-11-12,0,0,0
