,node-red/node-red,ioBroker/ioBroker,home-assistant/core
2018-12-16,0,0,9
2018-12-17,2,0,35
2018-12-18,8,0,12
2018-12-19,3,0,25
2018-12-20,3,0,8
2018-12-21,3,2,7
2018-12-22,1,0,14
2018-12-23,0,0,9
2018-12-24,0,0,3
2018-12-25,0,0,9
2018-12-26,0,0,11
2018-12-27,0,0,11
2018-12-28,0,0,7
2018-12-29,0,0,7
2018-12-30,0,0,12
2018-12-31,0,1,2
2019-01-01,1,4,6
2019-01-02,1,1,4
2019-01-03,0,2,6
2019-01-04,0,0,12
2019-01-05,0,0,8
2019-01-06,0,0,9
2019-01-07,5,1,20
2019-01-08,3,0,18
2019-01-09,3,1,29
2019-01-10,4,0,12
2019-01-11,3,3,53
2019-01-12,0,0,18
2019-01-13,0,3,18
2019-01-14,0,0,16
2019-01-15,0,10,12
2019-01-16,5,13,24
2019-01-17,5,0,15
2019-01-18,2,0,5
2019-01-19,0,0,6
2019-01-20,2,26,9
2019-01-21,4,5,35
2019-01-22,3,9,17
2019-01-23,2,4,16
2019-01-24,0,3,21
2019-01-25,2,4,19
2019-01-26,3,0,28
2019-01-27,1,0,16
2019-01-28,5,0,8
2019-01-29,5,4,26
2019-01-30,5,4,15
2019-01-31,0,3,13
2019-02-01,3,0,24
2019-02-02,0,0,22
2019-02-03,0,3,20
2019-02-04,8,1,13
2019-02-05,7,0,20
2019-02-06,6,0,16
2019-02-07,14,0,18
2019-02-08,11,0,14
2019-02-09,4,0,9
2019-02-10,0,0,25
2019-02-11,2,0,15
2019-02-12,1,0,19
2019-02-13,2,0,15
2019-02-14,1,0,23
2019-02-15,4,4,28
2019-02-16,0,9,10
2019-02-17,1,0,28
2019-02-18,0,3,24
2019-02-19,2,0,23
2019-02-20,1,0,18
2019-02-21,1,4,16
2019-02-22,0,0,19
2019-02-23,0,3,23
2019-02-24,0,2,15
2019-02-25,3,2,10
2019-02-26,3,0,23
2019-02-27,2,3,23
2019-02-28,3,4,39
2019-03-01,1,5,22
2019-03-02,0,0,17
2019-03-03,4,8,12
2019-03-04,7,5,38
2019-03-05,18,1,21
2019-03-06,4,6,11
2019-03-07,10,0,27
2019-03-08,0,0,24
2019-03-09,0,0,17
2019-03-10,0,3,16
2019-03-11,0,0,21
2019-03-12,5,0,22
2019-03-13,4,0,32
2019-03-14,2,0,26
2019-03-15,6,2,33
2019-03-16,0,0,18
2019-03-17,0,0,14
2019-03-18,2,0,10
2019-03-19,0,0,30
2019-03-20,5,0,7
2019-03-21,0,0,33
2019-03-22,0,0,14
2019-03-23,0,0,8
2019-03-24,0,0,12
2019-03-25,0,0,27
2019-03-26,1,0,37
2019-03-27,4,0,14
2019-03-28,9,0,37
2019-03-29,1,0,35
2019-03-30,0,0,22
2019-03-31,0,0,11
2019-04-01,0,0,31
2019-04-02,5,0,29
2019-04-03,4,0,33
2019-04-04,2,1,22
2019-04-05,4,1,40
2019-04-06,0,0,6
2019-04-07,1,0,25
2019-04-08,0,0,30
2019-04-09,0,0,24
2019-04-10,0,2,32
2019-04-11,0,0,9
2019-04-12,0,0,13
2019-04-13,0,0,15
2019-04-14,0,0,10
2019-04-15,0,0,23
2019-04-16,2,0,18
2019-04-17,0,0,23
2019-04-18,0,1,32
2019-04-19,0,0,35
2019-04-20,0,0,25
2019-04-21,1,2,3
2019-04-22,0,0,9
2019-04-23,2,0,25
2019-04-24,1,0,29
2019-04-25,7,0,18
2019-04-26,5,0,28
2019-04-27,0,0,13
2019-04-28,0,0,11
2019-04-29,9,0,14
2019-04-30,6,0,17
2019-05-01,1,0,31
2019-05-02,5,2,39
2019-05-03,12,8,6
2019-05-04,3,0,7
2019-05-05,0,2,14
2019-05-06,0,0,13
2019-05-07,3,0,12
2019-05-08,5,0,15
2019-05-09,3,0,14
2019-05-10,0,4,19
2019-05-11,0,0,6
2019-05-12,0,0,2
2019-05-13,0,0,8
2019-05-14,0,8,25
2019-05-15,3,1,8
2019-05-16,6,0,16
2019-05-17,12,2,16
2019-05-18,1,0,10
2019-05-19,1,0,7
2019-05-20,1,0,3
2019-05-21,14,0,6
2019-05-22,1,0,4
2019-05-23,5,0,22
2019-05-24,8,0,6
2019-05-25,2,0,8
2019-05-26,0,0,11
2019-05-27,12,0,8
2019-05-28,8,2,2
2019-05-29,1,0,23
2019-05-30,2,0,23
2019-05-31,2,0,27
2019-06-01,2,0,26
2019-06-02,0,0,11
2019-06-03,0,0,24
2019-06-04,3,0,21
2019-06-05,0,0,21
2019-06-06,5,0,25
2019-06-07,8,0,21
2019-06-08,1,0,34
2019-06-09,1,0,15
2019-06-10,0,0,20
2019-06-11,8,0,13
2019-06-12,1,0,9
2019-06-13,2,0,13
2019-06-14,4,0,10
2019-06-15,0,0,5
2019-06-16,0,0,5
2019-06-17,2,0,13
2019-06-18,3,0,13
2019-06-19,2,4,24
2019-06-20,4,0,9
2019-06-21,17,1,23
2019-06-22,3,0,10
2019-06-23,2,0,9
2019-06-24,0,0,26
2019-06-25,0,0,17
2019-06-26,0,0,15
2019-06-27,0,0,15
2019-06-28,2,0,22
2019-06-29,2,2,21
2019-06-30,0,0,6
2019-07-01,3,0,13
2019-07-02,0,0,11
2019-07-03,0,3,7
2019-07-04,4,0,2
2019-07-05,2,0,4
2019-07-06,1,0,5
2019-07-07,1,0,9
2019-07-08,4,0,16
2019-07-09,3,0,16
2019-07-10,4,0,17
2019-07-11,1,0,25
2019-07-12,2,0,35
2019-07-13,0,0,8
2019-07-14,0,0,12
2019-07-15,2,0,30
2019-07-16,0,1,26
2019-07-17,2,0,27
2019-07-18,0,0,33
2019-07-19,0,0,20
2019-07-20,0,0,11
2019-07-21,1,1,35
2019-07-22,1,0,4
2019-07-23,0,7,29
2019-07-24,0,0,25
2019-07-25,0,0,12
2019-07-26,3,0,12
2019-07-27,0,0,7
2019-07-28,0,0,8
2019-07-29,3,0,16
2019-07-30,7,1,10
2019-07-31,2,0,36
2019-08-01,1,0,33
2019-08-02,3,0,10
2019-08-03,0,0,1
2019-08-04,0,0,13
2019-08-05,2,0,25
2019-08-06,18,0,15
2019-08-07,2,0,19
2019-08-08,0,0,4
2019-08-09,8,0,19
2019-08-10,0,0,16
2019-08-11,0,0,2
2019-08-12,14,0,20
2019-08-13,6,0,4
2019-08-14,11,0,7
2019-08-15,4,0,13
2019-08-16,1,0,27
2019-08-17,0,0,5
2019-08-18,0,0,13
2019-08-19,1,0,11
2019-08-20,0,0,19
2019-08-21,16,0,21
2019-08-22,4,0,25
2019-08-23,0,0,10
2019-08-24,0,0,1
2019-08-25,0,0,4
2019-08-26,1,0,21
2019-08-27,1,0,7
2019-08-28,1,0,13
2019-08-29,0,0,20
2019-08-30,0,0,5
2019-08-31,0,0,11
2019-09-01,0,2,12
2019-09-02,0,1,19
2019-09-03,1,0,31
2019-09-04,0,0,41
2019-09-05,0,0,10
2019-09-06,3,0,16
2019-09-07,0,0,10
2019-09-08,0,0,8
2019-09-09,1,0,14
2019-09-10,16,0,12
2019-09-11,1,0,21
