,ant-design/ant-design,youzan/vant,ElemeFE/element
2018-01-15,3,-0.5706115544828124,3
2018-01-16,0,0.5842962101406247,4
2018-01-17,2,0.36980540133906215,0
2018-01-18,8,7.4050417425031245,9
2018-01-19,7,-1.6992493549968755,1
2018-01-20,8,-1.3303361935281246,0
2018-01-21,2,-0.7052164029312498,4
2018-01-22,2,3.5661988875,2
2018-01-23,8,8.47983736375,5
2018-01-24,12,-0.6708011405156249,3
2018-01-25,4,0.607600817501563,4
2018-01-26,8,-2.1302044211078126,6
