,rust-lang/rust,python/cpython,JuliaLang/julia
2023-01-08,37,13,5
2023-01-09,172,12,7
2023-01-10,52,7,32
2023-01-11,133,9,6
2023-01-12,131,7,9
2023-01-13,106,5,12
2023-01-14,131,8,4
2023-01-15,49,3,1
2023-01-16,65,7,9
2023-01-17,100,3,7
2023-01-18,72,6,9
2023-01-19,76,5,11
2023-01-20,84,16,4
2023-01-21,83,9,1
2023-01-22,54,8,10
2023-01-23,100,7,2
2023-01-24,50,13,8
2023-01-25,64,7,3
2023-01-26,81,9,5
2023-01-27,151,5,3
2023-01-28,77,5,8
2023-01-29,57,1,1
2023-01-30,91,8,5
2023-01-31,95,12,3
2023-02-01,72,10,9
2023-02-02,73,5,8
2023-02-03,80,9,12
2023-02-04,30,6,3
2023-02-05,61,9,17
2023-02-06,65,11,7
2023-02-07,72,17,14
2023-02-08,52,16,9
2023-02-09,84,13,8
2023-02-10,89,10,23
2023-02-11,53,2,2
2023-02-12,56,4,5
2023-02-13,90,6,20
2023-02-14,139,7,11
2023-02-15,86,7,6
2023-02-16,95,11,13
2023-02-17,75,10,6
2023-02-18,98,4,1
2023-02-19,73,10,1
2023-02-20,93,10,3
2023-02-21,91,9,7
2023-02-22,83,7,2
2023-02-23,66,12,3
2023-02-24,42,9,5
2023-02-25,79,8,5
2023-02-26,82,4,3
2023-02-27,64,8,3
2023-02-28,79,10,7
2023-03-01,126,6,12
2023-03-02,66,5,7
2023-03-03,93,4,41
2023-03-04,80,9,5
2023-03-05,84,10,7
2023-03-06,75,5,18
2023-03-07,60,8,7
2023-03-08,98,13,22
2023-03-09,97,7,7
2023-03-10,104,6,7
2023-03-11,75,9,1
2023-03-12,78,4,0
2023-03-13,76,13,1
2023-03-14,87,12,2
2023-03-15,87,13,6
2023-03-16,86,16,10
2023-03-17,88,5,6
2023-03-18,47,5,1
2023-03-19,59,6,1
2023-03-20,70,8,7
2023-03-21,92,17,12
2023-03-22,91,17,4
2023-03-23,79,15,9
2023-03-24,75,7,17
2023-03-25,63,8,3
2023-03-26,61,0,2
2023-03-27,84,7,2
2023-03-28,81,3,10
2023-03-29,99,8,7
2023-03-30,105,6,11
2023-03-31,50,12,10
2023-04-01,33,2,5
2023-04-02,34,7,3
2023-04-03,105,8,4
2023-04-04,115,11,7
2023-04-05,91,15,17
2023-04-06,112,13,3
2023-04-07,70,12,7
2023-04-08,48,8,3
2023-04-09,85,16,11
2023-04-10,64,8,15
2023-04-11,101,15,9
2023-04-12,108,10,6
2023-04-13,99,10,17
2023-04-14,104,12,5
2023-04-15,47,3,2
2023-04-16,111,2,0
2023-04-17,90,6,14
2023-04-18,60,8,7
2023-04-19,83,12,8
2023-04-20,104,1,14
2023-04-21,94,4,5
2023-04-22,101,12,9
2023-04-23,70,11,2
2023-04-24,90,40,9
2023-04-25,93,12,7
2023-04-26,101,19,10
2023-04-27,109,20,13
2023-04-28,92,11,8
2023-04-29,95,6,3
2023-04-30,56,8,0
2023-05-01,64,21,3
2023-05-02,150,15,10
2023-05-03,68,22,10
2023-05-04,67,28,31
2023-05-05,120,21,19
2023-05-06,118,12,11
2023-05-07,64,18,2
2023-05-08,83,13,13
2023-05-09,70,18,7
2023-05-10,67,13,12
2023-05-11,72,17,10
2023-05-12,74,20,17
2023-05-13,63,6,6
2023-05-14,57,6,2
2023-05-15,79,13,16
2023-05-16,72,20,8
2023-05-17,54,11,16
2023-05-18,102,16,4
2023-05-19,39,19,6
2023-05-20,62,14,5
2023-05-21,44,20,5
2023-05-22,64,23,5
2023-05-23,75,15,4
2023-05-24,75,30,4
2023-05-25,105,17,3
2023-05-26,119,23,8
2023-05-27,46,9,2
2023-05-28,51,4,0
2023-05-29,66,7,4
2023-05-30,72,18,8
2023-05-31,80,20,13
2023-06-01,100,19,6
2023-06-02,105,14,6
2023-06-03,61,2,2
2023-06-04,53,4,2
2023-06-05,116,13,5
2023-06-06,67,29,8
2023-06-07,73,24,8
2023-06-08,76,14,4
2023-06-09,66,20,8
2023-06-10,72,2,2
2023-06-11,62,15,1
2023-06-12,108,9,4
2023-06-13,84,16,11
2023-06-14,102,30,8
2023-06-15,78,13,8
2023-06-16,81,10,8
2023-06-17,73,1,10
2023-06-18,58,4,2
2023-06-19,125,8,7
2023-06-20,107,7,10
2023-06-21,111,12,5
2023-06-22,85,10,14
2023-06-23,77,13,2
2023-06-24,55,3,4
2023-06-25,61,3,4
2023-06-26,62,13,7
2023-06-27,113,12,10
2023-06-28,101,16,11
2023-06-29,93,9,10
2023-06-30,99,18,11
2023-07-01,61,11,3
2023-07-02,72,11,3
2023-07-03,112,26,4
2023-07-04,67,19,2
2023-07-05,100,9,14
2023-07-06,69,12,13
2023-07-07,89,12,11
2023-07-08,83,8,4
2023-07-09,41,7,2
2023-07-10,103,16,10
2023-07-11,53,25,12
2023-07-12,81,13,9
2023-07-13,84,12,13
2023-07-14,92,11,10
2023-07-15,33,8,10
