,JetBrains/kotlin,rust-lang/rust,apple/swift
2016-11-01,28,55,32
2016-11-02,18,41,75
2016-11-03,18,39,39
2016-11-04,2,40,29
2016-11-05,0,36,17
2016-11-06,0,25,21
2016-11-07,63,15,36
2016-11-08,60,39,23
2016-11-09,32,38,38
2016-11-10,16,53,22
2016-11-11,59,34,40
2016-11-12,0,67,41
2016-11-13,1,24,33
2016-11-14,17,31,36
2016-11-15,32,22,53
2016-11-16,55,28,42
2016-11-17,45,52,44
2016-11-18,47,43,55
2016-11-19,2,25,15
2016-11-20,0,38,28
2016-11-21,28,25,9
2016-11-22,69,30,14
2016-11-23,35,44,5
2016-11-24,33,26,26
2016-11-25,41,20,22
2016-11-26,2,20,14
2016-11-27,2,27,16
2016-11-28,23,37,33
2016-11-29,36,65,81
2016-11-30,39,30,40
2016-12-01,33,23,46
2016-12-02,29,26,79
2016-12-03,13,34,22
2016-12-04,1,24,22
2016-12-05,60,17,48
2016-12-06,25,32,66
2016-12-07,34,31,52
2016-12-08,58,27,49
2016-12-09,74,24,74
2016-12-10,0,13,38
2016-12-11,4,23,41
2016-12-12,45,32,62
2016-12-13,50,19,65
2016-12-14,21,46,57
2016-12-15,136,48,86
2016-12-16,32,17,40
2016-12-17,6,50,39
2016-12-18,0,28,60
2016-12-19,88,47,59
2016-12-20,42,84,71
2016-12-21,7,145,78
2016-12-22,29,39,52
2016-12-23,23,23,10
2016-12-24,1,24,3
2016-12-25,0,12,1
2016-12-26,19,17,16
2016-12-27,21,18,6
2016-12-28,19,37,4
2016-12-29,40,22,10
2016-12-30,19,97,3
2016-12-31,1,29,3
2017-01-01,0,18,11
2017-01-02,0,11,1
2017-01-03,0,49,20
2017-01-04,0,58,169
2017-01-05,1,34,80
2017-01-06,0,31,73
2017-01-07,0,23,57
2017-01-08,0,24,21
2017-01-09,29,31,68
2017-01-10,37,39,58
2017-01-11,59,23,71
2017-01-12,26,58,61
2017-01-13,80,34,102
2017-01-14,31,39,31
2017-01-15,7,22,18
2017-01-16,22,36,50
2017-01-17,7,54,44
2017-01-18,48,13,55
2017-01-19,42,43,58
2017-01-20,35,58,68
2017-01-21,5,27,35
2017-01-22,2,28,16
2017-01-23,44,17,41
2017-01-24,68,24,42
2017-01-25,77,31,52
2017-01-26,56,39,74
2017-01-27,76,26,67
2017-01-28,15,65,38
2017-01-29,2,18,26
2017-01-30,68,26,48
2017-01-31,26,27,33
2017-02-01,23,5,38
2017-02-02,40,43,42
2017-02-03,49,69,52
2017-02-04,0,59,39
2017-02-05,0,55,7
2017-02-06,42,38,77
2017-02-07,35,44,96
2017-02-08,74,73,67
2017-02-09,22,76,82
2017-02-10,15,75,64
2017-02-11,4,36,42
2017-02-12,2,32,36
2017-02-13,25,38,56
2017-02-14,7,27,77
2017-02-15,37,28,80
2017-02-16,30,39,72
2017-02-17,18,22,89
2017-02-18,2,32,85
2017-02-19,0,16,40
2017-02-20,12,37,90
2017-02-21,25,67,76
2017-02-22,45,24,59
2017-02-23,1,31,79
2017-02-24,19,36,80
2017-02-25,0,57,52
2017-02-26,0,27,18
2017-02-27,12,26,79
2017-02-28,27,72,117
2017-03-01,43,45,63
2017-03-02,21,34,71
2017-03-03,46,28,76
2017-03-04,0,22,14
2017-03-05,1,17,35
2017-03-06,24,24,79
2017-03-07,41,18,67
2017-03-08,4,26,60
2017-03-09,37,31,50
2017-03-10,44,48,57
2017-03-11,0,53,33
2017-03-12,0,35,18
2017-03-13,39,23,55
2017-03-14,33,61,104
2017-03-15,98,22,88
2017-03-16,18,14,75
2017-03-17,18,46,66
2017-03-18,0,28,45
2017-03-19,15,27,17
2017-03-20,94,35,50
2017-03-21,66,62,105
2017-03-22,75,54,85
2017-03-23,36,61,54
2017-03-24,45,33,78
2017-03-25,3,33,32
2017-03-26,11,29,42
2017-03-27,57,42,62
2017-03-28,32,28,67
2017-03-29,34,53,56
2017-03-30,62,77,77
2017-03-31,41,43,63
2017-04-01,7,19,65
2017-04-02,2,21,26
2017-04-03,40,27,62
2017-04-04,55,37,79
2017-04-05,22,49,90
2017-04-06,72,53,47
2017-04-07,29,41,80
2017-04-08,9,34,16
2017-04-09,8,31,15
2017-04-10,49,36,79
2017-04-11,36,52,86
2017-04-12,13,49,76
2017-04-13,52,45,93
2017-04-14,22,25,69
2017-04-15,0,54,51
2017-04-16,0,11,14
2017-04-17,49,19,77
2017-04-18,75,42,111
2017-04-19,58,21,63
2017-04-20,30,36,105
2017-04-21,59,42,85
2017-04-22,1,28,40
2017-04-23,0,29,54
2017-04-24,70,40,69
2017-04-25,16,43,87
2017-04-26,54,53,85
2017-04-27,47,31,83
2017-04-28,48,43,100
2017-04-29,1,19,47
2017-04-30,1,23,36
2017-05-01,0,53,67
2017-05-02,31,76,106
2017-05-03,32,62,108
2017-05-04,96,29,80
2017-05-05,53,49,79
2017-05-06,2,30,32
2017-05-07,4,39,28
2017-05-08,9,29,52
2017-05-09,5,54,66
2017-05-10,50,36,77
2017-05-11,33,95,88
2017-05-12,9,28,59
2017-05-13,0,53,56
2017-05-14,0,29,28
2017-05-15,15,36,58
2017-05-16,58,50,77
2017-05-17,52,32,83
2017-05-18,55,35,68
2017-05-19,27,35,89
2017-05-20,2,24,20
2017-05-21,1,21,12
2017-05-22,26,31,80
2017-05-23,27,51,77
2017-05-24,33,20,88
2017-05-25,11,72,73
2017-05-26,61,34,30
2017-05-27,4,26,32
2017-05-28,2,36,2
2017-05-29,22,14,24
2017-05-30,38,47,33
2017-05-31,53,44,56
2017-06-01,7,68,82
2017-06-02,10,44,76
2017-06-03,0,37,35
2017-06-04,0,46,22
2017-06-05,9,36,55
2017-06-06,46,58,54
2017-06-07,46,29,35
2017-06-08,37,30,31
2017-06-09,24,36,22
2017-06-10,2,22,8
2017-06-11,1,42,14
2017-06-12,4,67,27
2017-06-13,21,55,35
2017-06-14,38,38,91
2017-06-15,35,49,63
2017-06-16,20,36,62
2017-06-17,6,46,32
2017-06-18,1,33,3
2017-06-19,26,42,30
2017-06-20,53,62,56
2017-06-21,22,40,60
2017-06-22,27,52,78
2017-06-23,8,69,54
2017-06-24,4,56,23
2017-06-25,0,17,4
2017-06-26,26,20,47
2017-06-27,20,21,40
2017-06-28,20,36,73
2017-06-29,47,64,43
2017-06-30,11,32,51
2017-07-01,7,17,11
2017-07-02,0,17,5
2017-07-03,35,33,23
2017-07-04,16,48,3
2017-07-05,5,32,51
2017-07-06,34,35,56
