,apache/openwhisk,aws/chalice,serverless/serverless
2016-09-04,0,0,-5.143456972800003
2016-09-05,0,0,25.740218367999997
2016-09-06,7,7,12.7546341376
2016-09-07,5,0,2.5345601535999975
2016-09-08,4,1,12.176942387200002
2016-09-09,5,0,0.03839836160000143
2016-09-10,0,0,-1.4981848064000012
2016-09-11,1,0,-2.134208716800001
2016-09-12,1,0,24.994477568
2016-09-13,4,0,6.296594432000002
2016-09-14,10,1,-1.7127822335999996
2016-09-15,2,0,6.461496729599999
2016-09-16,6,0,5.108469657600001
2016-09-17,0,0,-1.7659918335999993
2016-09-18,3,0,-3.216669491200001
2016-09-19,2,0,5.944115814399999
2016-09-20,5,0,13.872191283200001
2016-09-21,6,8,-0.2560801791999987
2016-09-22,7,1,11.542400614399998
2016-09-23,4,0,13.064034816
2016-09-24,0,0,-6.147308134399999
2016-09-25,0,0,-1.0933990400000013
2016-09-26,2,0,17.5842085888
2016-09-27,5,0,10.347160064
2016-09-28,3,3,13.9089404928
2016-09-29,1,0,-5.2127367168
2016-09-30,2,0,7.926084607999998
2016-10-01,0,0,7.944803328000001
2016-10-02,0,0,-4.4034537472
2016-10-03,1,0,10.911909375999997
2016-10-04,7,0,17.0496315392
2016-10-05,1,0,8.829785600000001
2016-10-06,0,0,1.2361691136000008
2016-10-07,3,6,16.821206527999998
2016-10-08,0,0,-7.3427714048
2016-10-09,0,0,0.11700561919999863
2016-10-10,1,11,17.6037270528
2016-10-11,2,2,39.6233660416
2016-10-12,2,3,28.440849510400003
2016-10-13,4,11,31.8882235392
2016-10-14,0,0,-0.18274314239999967
2016-10-15,0,0,-6.427855667200003
2016-10-16,0,0,-7.811293388800003
2016-10-17,6,1,10.886687231999996
2016-10-18,1,0,21.8795147264
2016-10-19,2,4,43.786012569600004
2016-10-20,5,0,12.715343769600004
2016-10-21,0,3,11.404350361599999
2016-10-22,1,0,-7.1834031104000005
2016-10-23,0,0,-0.5452529664000032
2016-10-24,4,5,21.721046528
2016-10-25,0,1,12.195222527999999
2016-10-26,3,0,1.0943686656000011
2016-10-27,4,9,15.192977510400002
2016-10-28,6,4,17.728547430400003
2016-10-29,1,0,-10.171147161599999
2016-10-30,0,0,-2.2695577600000023
2016-10-31,2,0,18.963861504
2016-11-01,2,2,31.578225971200002
2016-11-02,2,0,16.2048002048
2016-11-03,1,0,3.7017172991999985
2016-11-04,1,0,8.113490329599998
2016-11-05,0,0,-2.5782776831999996
2016-11-06,0,0,-5.074019020800002
2016-11-07,1,5,14.055791103999997
2016-11-08,1,3,17.4772860928
2016-11-09,1,2,-1.5520079871999979
2016-11-10,7,5,1.1388329984000007
2016-11-11,0,5,4.2823794688
2016-11-12,0,0,-1.5156684799999995
2016-11-13,0,0,-3.1870143488
2016-11-14,0,1,8.0298720256
2016-11-15,1,10,6.554156953600001
2016-11-16,1,0,3.038133964800002
2016-11-17,8,4,8.5410673664
2016-11-18,8,0,10.8223736832
2016-11-19,0,0,-1.1549150207999999
2016-11-20,0,1,2.573764710399999
2016-11-21,0,0,23.7670847488
2016-11-22,6,3,8.661422080000001
2016-11-23,2,2,0.2023567359999987
2016-11-24,1,0,15.985295871999998
2016-11-25,1,0,-2.1839699968
2016-11-26,0,0,0.20120043519999875
2016-11-27,0,0,0.050494975999999525
2016-11-28,4,2,8.7555620864
2016-11-29,4,1,11.4586305536
2016-11-30,0,2,-1.7620476927999986
2016-12-01,5,2,35.3240912896
2016-12-02,2,0,13.030450995200002
2016-12-03,2,1,-7.2561757184000015
2016-12-04,0,0,-0.10211379200000259
2016-12-05,3,0,9.673576959999998
2016-12-06,4,1,8.3602233344
2016-12-07,12,0,13.9412063232
2016-12-08,6,0,24.6018630656
2016-12-09,9,0,3.688749670400002
2016-12-10,1,0,-6.1011234816
2016-12-11,0,0,17.228288716799998
2016-12-12,7,0,0.5622254592000004
2016-12-13,2,3,20.3471232
2016-12-14,9,0,16.3110411264
2016-12-15,4,0,1.4557446144000004
2016-12-16,2,0,22.733782528
2016-12-17,0,0,-3.2416222207999983
2016-12-18,0,0,-3.571100569600002
2016-12-19,0,0,6.3839690752
2016-12-20,6,0,16.5948618752
2016-12-21,0,0,-6.547000115199999
2016-12-22,1,0,-0.25050583039999985
2016-12-23,5,0,7.496990208000001
2016-12-24,0,0,-3.336663654399998
2016-12-25,0,0,-2.617683456
2016-12-26,0,0,-1.5340121088000003
2016-12-27,0,20,0.8917664768000004
2016-12-28,0,12,3.733169561600002
2016-12-29,0,14,0.23332689920000083
2016-12-30,0,2,2.8273570815999998
2016-12-31,0,0,-1.4922689535999993
2017-01-01,0,1,0.21337743359999994
2017-01-02,0,0,12.3597930496
2017-01-03,1,0,3.9985305600000003
2017-01-04,2,0,0.25558937599999965
2017-01-05,0,7,2.9699540991999998
2017-01-06,0,0,21.802834944
2017-01-07,2,1,-6.014086348799999
2017-01-08,0,1,-1.771930521600002
2017-01-09,1,0,2.0259553279999993
2017-01-10,0,0,0.8066369536000004
2017-01-11,0,0,4.0033963008
2017-01-12,1,0,-1.3709733888
2017-01-13,1,0,-1.4995238912000004
2017-01-14,0,0,6.000975360000002
2017-01-15,1,0,4.875885670400001
2017-01-16,1,0,0.7098030079999997
2017-01-17,3,0,3.2350908415999995
2017-01-18,3,0,4.9737703424
2017-01-19,4,0,2.5013869568000002
2017-01-20,3,1,5.688242585599999
2017-01-21,0,0,-2.8545659904000003
2017-01-22,0,0,-1.5233674240000006
2017-01-23,0,0,7.9283244032
2017-01-24,2,0,4.4454362112000005
2017-01-25,12,0,13.3457343488
2017-01-26,2,5,7.396875264
2017-01-27,5,0,12.3869622272
2017-01-28,0,0,-1.7704724480000005
2017-01-29,1,0,-2.7359660032000015
2017-01-30,3,0,9.556881919999999
2017-01-31,3,0,0.8755307520000004
2017-02-01,4,1,-1.3054232576000002
2017-02-02,6,0,-2.3796430847999996
2017-02-03,3,0,1.4296324096000008
2017-02-04,2,0,1.3472090112000012
2017-02-05,0,0,0.4335178752000006
2017-02-06,2,0,3.7953982463999996
2017-02-07,2,8,7.284586905600001
2017-02-08,2,2,10.2711677952
2017-02-09,7,0,4.1437834239999995
2017-02-10,6,0,3.571922739199999
2017-02-11,0,0,-2.2288808960000006
2017-02-12,0,0,-2.0271926272000007
2017-02-13,5,0,1.6485557247999993
2017-02-14,2,1,7.3977198592
2017-02-15,1,3,-2.8276659199999994
2017-02-16,1,7,1.5327842304000003
2017-02-17,4,0,0.45108090880000073
2017-02-18,0,0,-1.2364035071999995
2017-02-19,0,0,4.3032164351999995
2017-02-20,5,1,7.556091289599999
2017-02-21,6,2,-2.539311616
2017-02-22,4,3,20.7607441408
2017-02-23,0,1,2.796138086400001
2017-02-24,4,7,1.1329034239999989
2017-02-25,1,0,-1.0941514752000012
2017-02-26,0,0,-2.216631500800001
2017-02-27,5,0,5.5451289599999996
2017-02-28,0,0,4.49044224
2017-03-01,2,1,8.1970776064
2017-03-02,6,0,4.298840576000002
2017-03-03,4,0,2.4338813952000002
2017-03-04,1,0,-1.9874988032000003
2017-03-05,2,0,-1.8464757760000008
2017-03-06,5,0,13.7958766592
2017-03-07,10,0,1.1021941760000011
2017-03-08,2,0,1.0755602432
2017-03-09,3,0,5.5509271552
2017-03-10,11,0,1.9617463296000004
2017-03-11,3,0,2.4139522048
2017-03-12,0,0,-1.4417158144000002
2017-03-13,1,0,9.4205418496
2017-03-14,4,0,4.725547520000001
2017-03-15,2,5,4.686203904
2017-03-16,4,0,2.71326464
2017-03-17,2,0,2.0291073024
2017-03-18,3,0,-2.6904517632000005
2017-03-19,0,0,-1.5370168320000004
2017-03-20,1,0,0.9277532159999997
2017-03-21,3,1,2.8092056576000006
2017-03-22,1,0,0.40206888960000065
2017-03-23,0,1,9.765439180800001
2017-03-24,2,2,0.11008532480000088
2017-03-25,1,0,-0.9082266624000004
2017-03-26,0,0,-0.24054835200000046
2017-03-27,2,2,2.0397593599999997
2017-03-28,3,0,-0.24703590400000008
2017-03-29,1,10,13.0607322112
2017-03-30,2,2,6.5907308544
2017-03-31,1,3,1.4512515072000003
2017-04-01,0,2,-2.799889510400001
2017-04-02,0,1,-1.5059448832000009
2017-04-03,2,12,3.9684299775999996
2017-04-04,2,3,-1.7819224063999999
2017-04-05,0,1,6.979262156799999
2017-04-06,1,0,24.6746914816
2017-04-07,7,0,-4.611081625599998
2017-04-08,1,0,2.7316879359999984
2017-04-09,0,0,0.910709247999999
2017-04-10,1,0,0.4278783999999991
2017-04-11,1,0,15.79995904
2017-04-12,2,0,8.965989888
2017-04-13,2,5,5.715403263999999
2017-04-14,1,0,5.968406732800001
2017-04-15,1,0,-2.9821314047999996
2017-04-16,0,0,-1.9783062528000013
2017-04-17,0,3,6.834030489599999
2017-04-18,0,10,-2.3102206976
2017-04-19,5,2,-1.0741737471999997
2017-04-20,2,0,9.366541004800002
2017-04-21,3,0,1.7841767424000015
2017-04-22,3,0,-2.5411339263999997
2017-04-23,1,0,0.6461398015999997
2017-04-24,1,0,3.7527683071999998
2017-04-25,3,0,-0.7882102783999996
2017-04-26,2,6,16.8080646144
2017-04-27,7,0,9.6976050176
2017-04-28,3,10,-1.7624397823999995
2017-04-29,0,7,-2.995239014400001
2017-04-30,0,0,-0.740680192000001
2017-05-01,2,9,2.592114176
2017-05-02,1,10,0.18017361920000008
2017-05-03,0,0,16.487973376
2017-05-04,6,6,-2.5553086463999986
2017-05-05,1,10,0.4274075648000002
2017-05-06,0,0,-1.0315068416000002
2017-05-07,0,0,-1.3279219712000006
2017-05-08,0,11,3.1261998079999995
2017-05-09,3,0,2.5285359616000003
2017-05-10,5,0,5.3456006144
2017-05-11,0,3,24.6834066432
2017-05-12,1,1,9.389167308800001
2017-05-13,0,0,-6.017572556800001
2017-05-14,0,1,-3.046854963200002
2017-05-15,4,1,4.984156569599999
2017-05-16,2,0,-0.8953313280000001
2017-05-17,3,0,24.853931110399998
2017-05-18,2,0,3.169526374400001
2017-05-19,2,0,0.7622188031999997
2017-05-20,0,0,-2.1088278527999993
2017-05-21,0,0,-1.6607832064000005
2017-05-22,2,8,2.1671833599999992
2017-05-23,1,4,8.880894976
2017-05-24,3,12,70.4342136832
2017-05-25,3,10,2.3380810752000016
2017-05-26,3,1,3.9690964991999973
2017-05-27,0,0,-2.8090460160000035
2017-05-28,0,0,-6.281529446400002
2017-05-29,1,1,5.940185907199998
2017-05-30,1,22,10.9548706816
2017-05-31,2,5,6.5664932864
2017-06-01,2,0,16.656890777600005
2017-06-02,0,0,-6.316572057599997
2017-06-03,1,0,-4.2112536576
2017-06-04,0,0,-0.5870305280000006
2017-06-05,1,0,6.828287897599999
2017-06-06,2,11,3.7051929600000006
2017-06-07,1,1,19.688121344000002
2017-06-08,6,12,5.524077977600001
2017-06-09,4,0,6.5436556288
2017-06-10,0,0,1.714547916799999
2017-06-11,0,0,6.869796659199999
2017-06-12,1,0,6.349354495999999
2017-06-13,3,1,9.1315904512
2017-06-14,3,3,0.4029697024000001
2017-06-15,1,0,0.7371789312000008
2017-06-16,2,0,23.3919341568
2017-06-17,3,0,-5.504784588799998
2017-06-18,0,0,-3.0203609088000016
2017-06-19,1,1,13.305036595199999
2017-06-20,4,3,5.934145433600001
2017-06-21,3,5,11.173032857599999
2017-06-22,6,4,-2.8297803776000006
2017-06-23,4,0,8.384230297599998
2017-06-24,1,0,13.308726784000001
2017-06-25,0,0,-1.2317314047999997
2017-06-26,5,5,27.939753267199997
2017-06-27,3,0,14.1004645376
2017-06-28,3,0,2.9988796415999985
2017-06-29,5,0,-1.0669400064000012
2017-06-30,7,0,8.7196082176
2017-07-01,3,0,-6.0628375552
2017-07-02,0,0,-1.5454942208000007
2017-07-03,0,0,11.1120636928
2017-07-04,0,2,-1.7408296959999978
2017-07-05,0,32,11.770865971200001
2017-07-06,1,1,3.1737888768000015
2017-07-07,1,1,13.0615954432
2017-07-08,0,4,-5.535405670399999
2017-07-09,0,0,-2.8190355456000016
2017-07-10,1,1,7.205124095999999
2017-07-11,1,4,0.8409331712000006
2017-07-12,3,0,6.4108227584
2017-07-13,3,0,-2.2879270911999994
2017-07-14,5,0,-1.004296192
2017-07-15,1,0,-0.4205699071999993
2017-07-16,1,1,0.8716178432000001
2017-07-17,1,0,9.97452032
2017-07-18,2,1,4.151808512000001
2017-07-19,7,0,11.2223197184
2017-07-20,3,0,10.8025416704
2017-07-21,1,1,2.9593606143999995
2017-07-22,0,0,-1.0727373824000015
2017-07-23,1,0,4.105420697599999
2017-07-24,2,0,0.7440557055999992
2017-07-25,0,7,-1.7435337728000002
2017-07-26,4,17,6.0576290816
2017-07-27,2,7,2.1101473792000007
2017-07-28,5,12,4.411761254400001
2017-07-29,0,1,-1.8156677119999993
2017-07-30,0,0,0.3625438207999996
2017-07-31,2,18,-0.41454571519999983
2017-08-01,3,4,-0.09607342079999981
2017-08-02,3,2,4.1098251264
2017-08-03,7,1,9.4240577536
2017-08-04,4,12,2.9567187968000006
2017-08-05,1,0,11.400018944
2017-08-06,0,2,-4.1574914048
2017-08-07,2,5,8.016119705599998
2017-08-08,2,3,14.6871068672
2017-08-09,4,0,0.6401765376000004
2017-08-10,2,0,3.1293213695999986
2017-08-11,4,2,8.311824896000001
2017-08-12,1,0,-2.5686232064
2017-08-13,1,0,12.162219929599999
2017-08-14,0,7,17.164027494400003
2017-08-15,1,0,22.150917120000003
2017-08-16,8,2,-2.2818662399999994
2017-08-17,7,5,39.9945207808
2017-08-18,1,1,2.306251673600002
2017-08-19,1,0,-7.152415436800002
2017-08-20,0,0,-1.665486028800002
2017-08-21,2,4,25.3900705792
2017-08-22,2,0,2.7678976000000013
2017-08-23,2,0,3.8079788032
2017-08-24,2,1,5.6671417343999995
2017-08-25,0,1,2.9899773952000013
2017-08-26,0,0,-1.362254438399999
2017-08-27,1,0,-1.668418560000001
2017-08-28,0,0,13.3284672512
2017-08-29,0,0,6.929821798400003
2017-08-30,0,1,0.8817034240000012
2017-08-31,6,6,6.2077791232
2017-09-01,2,4,15.811456921600001
2017-09-02,0,0,9.712537907200002
2017-09-03,0,0,-3.318521241600001
2017-09-04,0,0,15.076158054399997
2017-09-05,4,13,6.683804467200001
2017-09-06,4,7,25.0096695296
2017-09-07,5,6,11.5248223232
2017-09-08,3,1,7.096903577599999
2017-09-09,0,0,-2.0345456640000013
2017-09-10,0,0,-5.78008576
2017-09-11,3,1,7.424929177599998
2017-09-12,6,2,14.2740292608
2017-09-13,3,1,9.332132966400001
2017-09-14,7,1,10.3083414528
2017-09-15,4,2,2.9563078656000013
2017-09-16,2,0,-4.640916070399999
2017-09-17,0,0,0.6506633215999988
2017-09-18,3,0,9.0110667776
2017-09-19,2,2,8.655154688
2017-09-20,5,13,19.9303934976
2017-09-21,8,2,31.2649007104
2017-09-22,3,2,5.436859289600001
2017-09-23,0,0,-7.917729996800002
2017-09-24,0,0,-4.055901696000003
2017-09-25,2,0,-3.5835152384000013
2017-09-26,1,4,-1.6484013056000002
2017-09-27,1,6,-0.2722756608000001
2017-09-28,3,0,2.9316379648000015
2017-09-29,1,0,7.585426432000004
2017-09-30,0,0,-2.297851289599998
2017-10-01,1,0,0.4239706111999999
2017-10-02,0,9,3.7736421375999996
2017-10-03,1,0,5.2580663296
2017-10-04,3,0,11.664654848
2017-10-05,0,0,1.9770976256
2017-10-06,1,0,9.8383547392
2017-10-07,0,1,-0.3788881919999998
2017-10-08,0,0,-2.0522306560000008
2017-10-09,0,0,9.0280160256
2017-10-10,1,0,8.4366164992
2017-10-11,0,1,4.683024383999999
2017-10-12,1,1,7.9204078592
2017-10-13,0,1,-0.6537957375999994
2017-10-14,0,0,5.7739119616
2017-10-15,0,0,3.2338720768
2017-10-16,2,0,2.5593713663999997
2017-10-17,9,0,6.8094539776
2017-10-18,4,0,2.0721545216000004
2017-10-19,1,0,11.6830185472
2017-10-20,3,0,4.123205222400001
2017-10-21,3,0,-2.279741132800001
2017-10-22,1,0,-1.7173866496000008
2017-10-23,2,0,-1.9680024576000001
2017-10-24,2,0,0.6731082752000002
2017-10-25,2,10,2.6282904576000004
2017-10-26,3,0,7.306548224
2017-10-27,1,0,7.274634137600001
2017-10-28,0,0,-2.3500119039999996
2017-10-29,0,2,-1.7753982976000007
2017-10-30,1,2,-0.044728012800000494
2017-10-31,4,1,0.05813800959999971
2017-11-01,1,0,1.150698496
2017-11-02,0,0,1.0073459712000001
2017-11-03,1,1,-1.0106628095999994
2017-11-04,0,0,1.4118360064000006
2017-11-05,0,0,0.2517539840000004
2017-11-06,1,1,6.471903129599999
2017-11-07,2,1,5.300755968000001
2017-11-08,4,0,2.8232318976
2017-11-09,4,0,-1.0557702144000007
2017-11-10,4,0,-0.29130772480000044
2017-11-11,1,0,-0.01317294080000031
2017-11-12,0,1,-0.8634557440000001
2017-11-13,3,0,6.409904947199999
2017-11-14,1,1,-0.8409503743999993
2017-11-15,3,1,2.8878021632
2017-11-16,4,15,6.5618844672000005
2017-11-17,4,1,-2.317289984
2017-11-18,1,0,9.9118642176
2017-11-19,0,0,-1.9137946623999995
2017-11-20,4,0,-1.602329190400001
2017-11-21,1,0,4.988356096
2017-11-22,2,5,-1.9504104447999997
2017-11-23,2,0,1.0000700415999997
2017-11-24,2,0,-1.1032318975999995
2017-11-25,0,3,-0.6679775232
2017-11-26,0,0,-0.42440755199999947
2017-11-27,3,0,3.6586766336000003
2017-11-28,2,4,1.0348983296
2017-11-29,2,0,9.152816128
2017-11-30,0,1,2.5393304576
2017-12-01,8,0,0.9408245759999998
2017-12-02,2,0,1.3257172991999995
2017-12-03,0,1,6.4512127999999995
2017-12-04,2,0,-1.5159244800000002
2017-12-05,2,6,3.491827711999999
2017-12-06,5,5,13.0085279744
2017-12-07,2,0,1.8918561792000013
2017-12-08,5,0,-1.1865866240000003
2017-12-09,4,0,4.8867435519999995
2017-12-10,0,0,0.2839062527999996
2017-12-11,3,0,4.8877795328
2017-12-12,6,0,4.2983758848
2017-12-13,5,0,-2.8511535104000005
2017-12-14,1,3,5.403867648
2017-12-15,0,0,13.501970432
2017-12-16,0,0,-3.4573169663999996
2017-12-17,0,0,-0.3141864448000016
2017-12-18,0,1,0.12486277119999967
2017-12-19,3,0,1.4190389248000002
2017-12-20,0,0,4.3708229632
2017-12-21,2,0,2.8386307072
2017-12-22,0,0,3.865757696
2017-12-23,0,0,-0.4151451647999993
2017-12-24,1,0,-1.6868163584
2017-12-25,0,0,1.0943993855999996
2017-12-26,0,0,-1.0523470848
2017-12-27,0,0,-0.6522221568000002
2017-12-28,0,0,2.5219872768
2017-12-29,0,0,-0.9563725823999994
2017-12-30,0,0,-0.4735984639999997
2017-12-31,0,0,-0.28844912639999976
2018-01-01,0,0,-0.15959214079999998
2018-01-02,1,0,5.894616576
2018-01-03,4,0,5.713774899200001
2018-01-04,3,1,6.06921984
2018-01-05,5,5,1.508836864
2018-01-06,0,2,-1.0150080512000006
2018-01-07,0,0,2.7075839999999993
2018-01-08,5,1,-0.6421248000000004
2018-01-09,0,0,3.8487500799999994
2018-01-10,0,0,2.224012288
2018-01-11,8,1,-1.8005950463999998
2018-01-12,4,1,7.0137331712
2018-01-13,1,0,1.7585164288000006
2018-01-14,2,0,-0.8544807936000005
2018-01-15,0,2,1.8047650815999996
2018-01-16,2,0,-0.3714139136000001
2018-01-17,2,1,-0.9788027904000001
2018-01-18,3,0,4.356928
2018-01-19,0,1,7.5586576384
2018-01-20,0,0,-2.5134453759999995
2018-01-21,0,0,-1.2210547712000004
2018-01-22,2,0,6.264525926399999
2018-01-23,3,0,6.0973607936
2018-01-24,3,0,-2.5437637632000003
2018-01-25,0,1,0.743037849599999
2018-01-26,4,0,0.75652096
2018-01-27,1,0,-0.1993881599999996
2018-01-28,0,0,-0.9155137536000001
2018-01-29,0,0,3.4748825599999997
2018-01-30,3,0,0.7976002560000004
2018-01-31,2,0,1.9520832512000004
2018-02-01,2,0,1.8479981568000001
2018-02-02,0,0,19.846542336
2018-02-03,0,0,1.1760151552000009
2018-02-04,0,0,-2.2969136128000014
2018-02-05,0,0,7.013558169599999
2018-02-06,5,0,-1.1028986879999998
2018-02-07,3,0,1.9034246143999995
2018-02-08,2,0,13.8732972032
2018-02-09,0,0,-3.5025411072
2018-02-10,3,0,-2.4305631232
2018-02-11,3,0,-0.5824405503999999
2018-02-12,2,0,-0.17014589440000005
2018-02-13,3,0,-0.9797033983999998
2018-02-14,6,0,-0.6891032575999999
2018-02-15,5,0,1.5446541312000002
2018-02-16,4,0,-0.7561435135999988
2018-02-17,0,0,3.5801378816000007
2018-02-18,0,0,-0.9458248703999999
2018-02-19,3,0,0.5814855679999997
2018-02-20,12,0,1.5300709376
2018-02-21,7,1,9.3322730496
2018-02-22,2,0,0.6560025600000001
2018-02-23,6,0,2.359909375999999
2018-02-24,5,0,3.2946184192
2018-02-25,0,1,-0.9290516480000002
2018-02-26,6,1,2.7441782783999997
2018-02-27,4,3,7.416462848
2018-02-28,6,0,8.2900576256
2018-03-01,4,0,1.4254088192000003
2018-03-02,3,1,3.1903564799999993
2018-03-03,0,2,-2.7325652992000005
2018-03-04,0,0,2.4601181183999996
2018-03-05,4,1,6.134803456
2018-03-06,6,0,3.3036425216
2018-03-07,7,0,-1.6529207296
2018-03-08,2,0,1.3239046144000002
2018-03-09,2,2,-1.6496057343999997
2018-03-10,0,0,0.07572377600000002
2018-03-11,0,0,0.1632306175999999
2018-03-12,2,1,14.278126592
2018-03-13,2,0,0.5084237824000013
2018-03-14,3,0,-0.34589419520000053
2018-03-15,3,0,0.36088002559999954
2018-03-16,2,0,-1.3575972864000003
2018-03-17,2,0,-0.8482035712000005
2018-03-18,1,1,-0.6030904320000002
2018-03-19,3,52,1.5192549376
2018-03-20,5,24,-0.787921510399999
2018-03-21,5,5,4.520697856000001
2018-03-22,1,3,0.7914937344000004
2018-03-23,2,1,0.07908587519999988
2018-03-24,0,0,0.32398929919999975
2018-03-25,0,0,-0.5848576000000002
2018-03-26,4,1,1.6432665599999998
2018-03-27,0,0,16.336408576
2018-03-28,2,4,5.2304340992
2018-03-29,0,1,-1.4077568000000005
2018-03-30,0,2,-2.131677696000001
2018-03-31,1,0,-1.2705251328000005
2018-04-01,1,0,-0.9002266624000004
2018-04-02,2,3,2.3093636095999996
2018-04-03,7,13,0.8485391359999999
2018-04-04,3,8,0.8972721152000007
2018-04-05,2,1,8.9206781952
2018-04-06,1,1,-0.4977995775999995
2018-04-07,0,0,3.5352532991999994
2018-04-08,0,0,0.18044159999999954
2018-04-09,0,0,7.62529024
2018-04-10,1,7,-1.6404341759999999
2018-04-11,0,0,-0.5393969152000007
2018-04-12,2,3,-1.1707189248000005
2018-04-13,5,4,-0.7862852607999996
2018-04-14,0,0,-0.5903841279999997
2018-04-15,0,0,1.6262740992000002
2018-04-16,1,0,-0.6894274559999998
2018-04-17,2,0,6.6482163712
2018-04-18,2,0,2.3604614144000005
2018-04-19,3,0,0.5459429375999998
2018-04-20,1,0,0.8804586495999995
2018-04-21,0,5,-1.0280576000000003
2018-04-22,0,0,0.39699455999999955
2018-04-23,3,1,0.36287897599999996
2018-04-24,2,0,0.3765870591999998
2018-04-25,3,0,3.4116495360000005
2018-04-26,6,0,3.8188526592000005
2018-04-27,2,1,-0.5396422656
2018-04-28,0,0,-0.9252789248000003
2018-04-29,0,0,-0.5422302208000003
2018-04-30,2,3,3.630112768
2018-05-01,2,1,4.9132210176
2018-05-02,4,1,5.2577560576
2018-05-03,3,0,2.7529174016
2018-05-04,3,0,-1.1211426816000003
2018-05-05,0,0,1.6835215359999995
2018-05-06,2,0,0.5973994495999997
2018-05-07,0,2,-1.2250316800000003
2018-05-08,5,7,1.2326072319999999
2018-05-09,5,0,0.02082928640000037
2018-05-10,5,0,3.2155995136000004
2018-05-11,3,3,-0.2645091327999993
2018-05-12,0,0,4.196427776
2018-05-13,1,0,-0.44615792639999974
2018-05-14,3,18,-0.9149770752000002
2018-05-15,3,10,-0.5349649408000003
2018-05-16,3,7,0.631046656
2018-05-17,2,5,6.5112579072
2018-05-18,3,3,-0.6946269183999996
2018-05-19,3,4,0.022672486399999636
2018-05-20,0,0,-0.7509346304
2018-05-21,2,10,0.534529536
2018-05-22,1,3,1.5067498495999998
2018-05-23,0,0,3.30093568
2018-05-24,4,0,0.8131604480000001
2018-05-25,3,0,-1.0001388543999998
2018-05-26,0,0,-0.5633358848
2018-05-27,0,0,0.6712421376
2018-05-28,2,0,2.5604023296
2018-05-29,1,0,2.138971648
2018-05-30,2,0,1.9621907456
2018-05-31,5,0,-0.13394298879999988
2018-06-01,3,2,0.21101117439999995
2018-06-02,1,0,-0.6467755008000001
2018-06-03,0,0,-0.38362112000000026
2018-06-04,2,0,0.715337728
2018-06-05,3,2,5.5731649536
2018-06-06,2,3,-0.4573161471999996
2018-06-07,2,0,-0.8459267072000001
2018-06-08,4,0,-0.47032248320000014
2018-06-09,2,0,-0.3019930624
2018-06-10,0,0,-0.21971415040000009
2018-06-11,6,0,6.83496448
2018-06-12,3,5,10.463623168
2018-06-13,4,0,-0.07572234239999975
2018-06-14,2,4,1.0147961855999992
2018-06-15,4,1,3.3363306496
2018-06-16,1,2,-1.9659520000000004
