,facebook/react,sveltejs/svelte,angular/angular
2017-11-06,10,1,12.0
2017-11-07,11,0,0.0
2017-11-08,7,0,4.0
2017-11-09,7,1,1.0
2017-11-10,8,0,16.0
2017-11-11,0,0,0.0
2017-11-12,2,12,0.0
2017-11-13,9,1,0.0
2017-11-14,0,1,20.0
2017-11-15,4,0,4.0
2017-11-16,2,1,18.0
2017-11-17,4,0,3.0
2017-11-18,1,10,0.0
2017-11-19,5,2,0.0
2017-11-20,5,0,0.0
2017-11-21,3,3,7.0
2017-11-22,6,1,16.0
2017-11-23,4,10,0.0
2017-11-24,3,12,0.0
2017-11-25,4,19,0.0
2017-11-26,2,0,0.0
2017-11-27,7,13,10.0
2017-11-28,15,0,3.0
2017-11-29,14,1,19.0
2017-11-30,16,0,2.0
2017-12-01,6,0,11.0
2017-12-02,3,0,0.0
2017-12-03,0,28,0.0
2017-12-04,5,3,1.0
2017-12-05,6,9,1.0
2017-12-06,3,0,16.0
2017-12-07,9,5,5.0
2017-12-08,6,0,22.0
2017-12-09,1,2,0.0
2017-12-10,4,10,0.0
2017-12-11,3,5,7.0
2017-12-12,3,5,8.0
2017-12-13,2,22,3.0
2017-12-14,1,6,6.0
2017-12-15,1,1,8.0
2017-12-16,0,6,0.0
2017-12-17,0,0,0.0
2017-12-18,4,2,4.0
2017-12-19,1,1,7.0
2017-12-20,0,0,10.0
2017-12-21,0,2,3.0
2017-12-22,1,0,42.0
2017-12-23,4,0,4.0
2017-12-24,7,21,0.0
2017-12-25,0,0,0.0
2017-12-26,0,0,0.0
2017-12-27,0,0,8.0
2017-12-28,0,0,0.0
2017-12-29,0,0,0.0
2017-12-30,0,14,0.0
2017-12-31,0,0,0.0
2018-01-01,0,0,0.0
2018-01-02,3,4,2.0
2018-01-03,5,0,0.0
2018-01-04,4,0,11.0
2018-01-05,15,9,11.0
2018-01-06,0,3,0.0
2018-01-07,4,0,0.0
2018-01-08,1,6,6.0
2018-01-09,6,2,7.0
2018-01-10,1,0,24.0
2018-01-11,5,10,14.0
2018-01-12,1,1,14.0
2018-01-13,0,3,0.0
2018-01-14,1,5,0.0
2018-01-15,1,0,0.0
