,microsoft/vscode,atom/atom,adobe/brackets
2016-12-06,28,11,1
2016-12-07,87,5,1
2016-12-08,50,5,0
2016-12-09,28,8,0
2016-12-10,11,5,0
2016-12-11,3,1,0
2016-12-12,52,10,1
2016-12-13,48,12,1
2016-12-14,33,15,2
2016-12-15,16,12,0
2016-12-16,25,5,7
2016-12-17,11,2,2
2016-12-18,3,0,0
2016-12-19,39,0,1
2016-12-20,39,8,1
2016-12-21,42,2,0
2016-12-22,10,9,1
2016-12-23,26,4,1
2016-12-24,2,0,0
2016-12-25,0,0,0
2016-12-26,1,2,0
2016-12-27,17,1,0
2016-12-28,21,7,0
2016-12-29,18,3,0
2016-12-30,25,1,0
2016-12-31,13,11,0
2017-01-01,3,2,0
2017-01-02,5,7,0
2017-01-03,29,5,1
2017-01-04,41,9,0
2017-01-05,30,7,3
2017-01-06,39,5,0
2017-01-07,14,9,0
2017-01-08,6,1,3
2017-01-09,63,9,1
2017-01-10,47,12,0
2017-01-11,61,10,0
2017-01-12,63,10,0
2017-01-13,71,6,1
2017-01-14,11,4,0
2017-01-15,14,1,3
2017-01-16,67,0,1
2017-01-17,88,2,2
2017-01-18,58,15,0
2017-01-19,75,24,2
2017-01-20,119,12,1
2017-01-21,35,0,0
2017-01-22,6,0,0
2017-01-23,78,6,0
2017-01-24,48,7,0
2017-01-25,103,18,0
2017-01-26,58,5,0
2017-01-27,37,1,0
2017-01-28,1,1,0
2017-01-29,2,0,1
2017-01-30,27,0,0
2017-01-31,55,1,0
2017-02-01,36,3,0
2017-02-02,67,2,1
2017-02-03,34,2,0
2017-02-04,11,0,0
2017-02-05,6,1,0
2017-02-06,48,21,0
2017-02-07,34,10,0
2017-02-08,42,1,0
2017-02-09,43,4,1
2017-02-10,52,2,2
2017-02-11,7,3,0
2017-02-12,3,0,0
