,apache/openwhisk,serverless/serverless,aws/chalice
2017-03-24,2,1.4746058203687495,2
2017-03-25,1,-0.06511818029374994,0
2017-03-26,0,0.2773897123203126,0
2017-03-27,2,2.435143557500001,2
2017-03-28,3,0.2973928139687507,0
2017-03-29,1,13.445446762865625,10
2017-03-30,2,8.218472017575,2
2017-03-31,1,3.0949035005062493,3
2017-04-01,0,-1.563360775692188,2
2017-04-02,0,-0.9007363543734365,1
2017-04-03,2,4.360830233198439,12
2017-04-04,2,-0.9969456628328114,3
2017-04-05,0,7.372719506876564,1
2017-04-06,1,25.73839774024531,0
2017-04-07,7,-1.4320480469093768,0
2017-04-08,1,4.1445861595624995,0
2017-04-09,0,2.267395674820312,0
2017-04-10,1,1.530710018750002,0
2017-04-11,1,16.719385084921875,0
2017-04-12,2,11.308673329820312,0
2017-04-13,2,8.122749172125,5
2017-04-14,1,8.203850760790624,0
2017-04-15,1,-0.7793911220015617,0
2017-04-16,0,-0.7459449056656233,0
2017-04-17,0,7.684714318971877,3
2017-04-18,0,-0.8528268066906233,10
2017-04-19,5,-0.2496293268890606,2
2017-04-20,2,9.993655475884376,0
2017-04-21,3,3.253230687575001,0
2017-04-22,3,-1.4222014760671873,0
2017-04-23,1,1.183644937323438,0
2017-04-24,1,4.274724453162501,0
2017-04-25,3,0.010633871573438314,0
2017-04-26,2,17.296382430410937,6
2017-04-27,7,11.765367113198437,0
2017-04-28,3,0.4568352230421864,10
2017-04-29,0,-1.7107992179734377,7
2017-04-30,0,-0.052033467679686085,0
2017-05-01,2,3.1473563802187523,9
2017-05-02,1,0.9547288086000014,10
2017-05-03,0,17.107632466804688,0
2017-05-04,6,-0.40008877181718816,6
2017-05-05,1,1.5158164333843753,10
2017-05-06,0,-0.1682428870499999,0
2017-05-07,0,-0.785096803857811,0
2017-05-08,0,3.4578063769843763,11
2017-05-09,3,3.1715032779015635,0
2017-05-10,5,6.072244656325001,0
2017-05-11,0,25.739182480646875,3
2017-05-12,1,12.571590927071874,1
2017-05-13,0,-3.218213340368752,0
2017-05-14,0,-1.7860174206234376,1
2017-05-15,4,5.7678735624640645,1
2017-05-16,2,0.3594656254375024,0
2017-05-17,3,25.722233126543752,0
2017-05-18,2,6.399804399996874,0
2017-05-19,2,3.0887269408265623,0
2017-05-20,0,-0.3535042767203125,0
2017-05-21,0,-0.5716367280749979,0
2017-05-22,2,2.8932428512500024,8
2017-05-23,1,9.768317578890628,4
2017-05-24,3,72.0443959824672,12
2017-05-25,3,10.473052806006244,10
2017-05-26,3,8.942394898873435,1
2017-05-27,0,1.0674976915468726,0
2017-05-28,0,-3.65608073749687,0
2017-05-29,1,7.5017500594125055,1
2017-05-30,1,13.070152561651568,22
2017-05-31,2,9.374415136684378,5
2017-06-01,2,19.38964654269844,0
2017-06-02,0,-2.5963155537062494,0
2017-06-03,1,-2.4669325709171863,0
2017-06-04,0,0.4130067088671894,0
2017-06-05,1,7.686322472284378,0
2017-06-06,2,5.153701317343752,11
2017-06-07,1,21.121740627640627,1
2017-06-08,6,8.546926251471874,12
2017-06-09,4,8.995860325173437,0
2017-06-10,0,4.076177490642188,0
2017-06-11,0,8.672502039928126,0
2017-06-12,1,8.413250770218752,0
2017-06-13,3,11.280854316537502,1
2017-06-14,3,2.8977944723171882,3
2017-06-15,1,2.5464635778890643,0
2017-06-16,2,24.89317644298594,0
2017-06-17,3,-2.0006032478687494,0
2017-06-18,0,-1.3416867177906235,0
2017-06-19,1,14.370144755326564,1
2017-06-20,4,8.227606106432814,3
2017-06-21,3,13.316306749885939,5
2017-06-22,6,-0.18973263234687554,4
2017-06-23,4,9.895694745956252,0
2017-06-24,1,15.388156380898439,0
2017-06-25,0,1.5990242092484386,0
2017-06-26,5,29.6794972044125,5
2017-06-27,3,18.27158503046406,0
2017-06-28,3,7.095555738753125,0
2017-06-29,5,2.0228803751046875,0
2017-06-30,7,10.929589090378128,0
2017-07-01,3,-3.4084864087953095,0
2017-07-02,0,-0.16930399596249623,0
2017-07-03,0,12.226878521775003,0
2017-07-04,0,0.362745057070315,2
2017-07-05,0,13.086434589490626,32
2017-07-06,1,5.365851282985938,1
2017-07-07,1,14.804483643975,1
2017-07-08,0,-2.9857955224343753,4
2017-07-09,0,-1.6753272530031236,0
2017-07-10,1,7.894514338968752,1
2017-07-11,1,2.238338136459377,4
2017-07-12,3,7.503024831700001,0
2017-07-13,3,-0.8177250353421872,0
2017-07-14,5,-0.19608462841406116,0
2017-07-15,1,0.14094710844687608,0
2017-07-16,1,1.314831894389064,1
2017-07-17,1,10.40829543375,0
2017-07-18,2,5.495773035359375,1
2017-07-19,7,12.484352546364063,0
2017-07-20,3,12.770092313965623,0
2017-07-21,1,5.301565305410937,1
2017-07-22,0,0.7486933631984374,0
2017-07-23,1,5.325471054448439,0
2017-07-24,2,2.159727775182814,0
2017-07-25,0,-0.5915244469937482,7
2017-07-26,4,6.817470995995315,17
2017-07-27,2,3.383562356279689,7
2017-07-28,5,5.526688511762501,12
2017-07-29,0,-0.5660739684140623,1
2017-07-30,0,1.034883566915626,0
2017-07-31,2,0.17354195378281334,18
2017-08-01,3,0.3428237339359387,4
2017-08-02,3,4.466796894340626,2
2017-08-03,7,10.136510324589063,1
2017-08-04,4,4.387753728384375,12
2017-08-05,1,12.579330574960936,0
2017-08-06,0,-2.2066389357671885,2
2017-08-07,2,8.839337562682813,5
2017-08-08,2,16.1964709731625,3
2017-08-09,4,3.1458067156984377,0
2017-08-10,2,4.822122348635938,0
2017-08-11,4,9.912298941648437,2
2017-08-12,1,-0.5242015034890608,0
2017-08-13,1,13.330453877565628,0
2017-08-14,0,19.361224876996875,7
2017-08-15,1,25.33289101234375,0
2017-08-16,8,2.032859575359373,2
2017-08-17,7,42.581639752509375,5
2017-08-18,1,8.285354063674998,1
2017-08-19,1,-3.1165103039390605,0
2017-08-20,0,0.6260841747875014,0
2017-08-21,2,27.233125669693756,4
2017-08-22,2,6.96135504686719,0
2017-08-23,2,6.9075594680062515,0
2017-08-24,2,8.371831370348438,1
2017-08-25,0,5.58699416477969,1
2017-08-26,0,0.9103401456125026,0
2017-08-27,1,-0.15204307407031026,0
2017-08-28,0,14.392439755365627,0
2017-08-29,0,9.218085206887501,0
2017-08-30,0,3.1485391089843757,1
