,ElemeFE/element,ant-design/ant-design,youzan/vant
2017-07-23,2,2,-0.24185040029687502
2017-07-24,4,10,-0.16369360219843754
2017-07-25,1,10,0.91115997625
2017-07-26,0,2,-0.36887782926562507
2017-07-27,10,5,1.8391784505171875
2017-07-28,6,6,3.3056660094843746
2017-07-29,4,7,-1.4796226299984376
2017-07-30,6,10,-0.5823036632328121
2017-07-31,0,8,8.6583941375
2017-08-01,4,9,-2.93904777375
2017-08-02,0,6,-1.1263194417656244
2017-08-03,6,7,-0.6801214107328123
2017-08-04,0,13,3.53095497146875
2017-08-05,22,2,-1.5581559435281254
2017-08-06,2,5,-0.6838614154312498
2017-08-07,0,29,0.5913845362500001
2017-08-08,1,10,7.396459549109375
2017-08-09,10,12,11.253868280904687
2017-08-10,0,10,-1.1926234500000001
2017-08-11,0,20,-0.2619915949999987
2017-08-12,0,5,-1.5675271170624994
2017-08-13,6,1,-1.7306515154312496
2017-08-14,0,10,-1.0654376737499998
2017-08-15,0,18,4.207664518234375
2017-08-16,1,15,7.871554320142186
2017-08-17,1,14,0.968666726918749
2017-08-18,13,11,15.818672663928126
2017-08-19,5,4,-6.141733576978126
2017-08-20,1,2,-3.1993532064640613
2017-08-21,2,8,11.136497274267189
2017-08-22,4,3,10.801216256250001
2017-08-23,3,14,-3.1552078838281252
2017-08-24,0,7,8.552972759929688
2017-08-25,6,9,-3.3927992799062503
2017-08-26,0,0,-0.9204952084609381
2017-08-27,0,16,-3.2012867806890624
2017-08-28,3,0,14.232984728017188
2017-08-29,0,13,4.9118121020468735
2017-08-30,1,10,1.0012596022234366
2017-08-31,0,7,9.1067106249625
2017-09-01,5,9,9.380454620365624
2017-09-02,2,0,-7.884897843573437
2017-09-03,1,5,-3.581934439995311
2017-09-04,0,8,6.677527142801563
2017-09-05,4,13,3.6157929829999986
2017-09-06,5,24,3.3288645126031247
2017-09-07,0,3,7.326049804579688
2017-09-08,2,25,21.101863192651564
2017-09-09,0,2,-9.868977503509377
2017-09-10,0,6,-4.834924374224998
2017-09-11,2,12,2.211925636250001
2017-09-12,4,7,-3.4813260408906253
2017-09-13,1,8,5.952097756779687
2017-09-14,14,1,1.1810281375124991
2017-09-15,4,21,3.6248723391999995
2017-09-16,7,11,-2.8602308352156265
2017-09-17,2,4,-2.1528331865515624
2017-09-18,8,12,-1.0684442819828122
2017-09-19,2,6,3.245130766171875
2017-09-20,3,6,6.215816181335937
2017-09-21,3,14,1.7655136096249997
2017-09-22,6,19,7.077967331559375
2017-09-23,4,13,-4.359661357273438
2017-09-24,6,0,4.1013583906046875
2017-09-25,2,34,0.05971863676718758
2017-09-26,10,4,8.657697755000001
2017-09-27,6,15,8.3992281304375
2017-09-28,4,7,-2.98341738080625
2017-09-29,7,8,16.404067372809376
2017-09-30,6,4,1.014182341179687
2017-10-01,4,2,-6.146955612328124
2017-10-02,1,0,-3.050072359343749
2017-10-03,1,2,-2.06822260344375
2017-10-04,4,0,-1.4875487703703132
2017-10-05,3,0,-1.1457861847640634
2017-10-06,0,5,0.18711224017656203
2017-10-07,0,2,-0.8289000387609385
2017-10-08,0,4,-0.5195587155468758
2017-10-09,3,21,6.818249280904688
2017-10-10,2,18,-0.14016250000000063
2017-10-11,1,16,10.63527975
2017-10-12,6,13,0.7502191375000002
2017-10-13,0,2,4.820905226250001
2017-10-14,1,4,-3.9432434667656246
2017-10-15,0,1,-1.8554399507328116
2017-10-16,12,14,4.78728185875
2017-10-17,4,17,-0.6983231648593753
2017-10-18,4,15,4.061509076339062
2017-10-19,8,14,-1.8657206964031254
2017-10-20,26,9,7.315982267378125
2017-10-21,0,2,-3.615577300289063
2017-10-22,2,5,-1.5532679808624996
2017-10-23,4,12,2.0857106325000005
2017-10-24,13,15,2.4359572269062495
2017-10-25,6,8,6.967239332071875
2017-10-26,10,16,6.350587836690625
2017-10-27,13,10,-2.5714801599125003
2017-10-28,5,9,-2.591784614123437
2017-10-29,1,2,-1.4774368065953123
2017-10-30,6,2,4.06189747875
2017-10-31,18,20,-2.2105145077968755
2017-11-01,12,13,-0.0921216955109374
2017-11-02,3,1,-0.030858566321875447
2017-11-03,10,8,1.075255065748437
2017-11-04,1,1,-1.0806888158593753
2017-11-05,2,0,-0.45323363896562485
2017-11-06,2,10,3.71633088125
2017-11-07,2,8,0.5872903036718746
2017-11-08,5,5,5.810404297585937
2017-11-09,11,17,0.3706042844843749
2017-11-10,10,7,1.0179753225015629
2017-11-11,5,1,4.123957153235938
2017-11-12,8,6,-2.754368276465625
2017-11-13,8,7,-0.25942006999999956
2017-11-14,7,3,-0.13103570206249993
2017-11-15,9,4,3.9762336597875
2017-11-16,15,3,4.892160247425
2017-11-17,7,15,2.936066460823437
2017-11-18,0,8,-3.1045067824953123
2017-11-19,6,13,-1.4363241527921873
2017-11-20,2,15,1.089522634353125
2017-11-21,2,30,0.7997449469843749
2017-11-22,2,26,0.7244659637515625
2017-11-23,14,0,3.7056469116890627
2017-11-24,5,4,8.797877273976562
2017-11-25,1,0,-3.274109693223438
2017-11-26,4,2,-2.020327704396874
2017-11-27,3,14,0.8957707275000004
2017-11-28,0,11,3.6338815439687497
2017-11-29,8,12,-0.29032436999687494
2017-11-30,3,6,4.316483633753125
2017-12-01,2,17,-2.7261862840437505
2017-12-02,0,4,-1.2707712243359377
2017-12-03,1,6,-0.7977822373265626
2017-12-04,3,30,6.531682226767187
2017-12-05,1,13,5.548576972718749
2017-12-06,0,6,1.58084986720625
2017-12-07,0,7,6.030085857804687
2017-12-08,0,8,3.895435372940625
2017-12-09,0,0,-4.253342229396875
2017-12-10,4,7,-0.9770405374999991
2017-12-11,6,8,7.39498843375
2017-12-12,12,1,6.227018230140624
2017-12-13,4,9,0.23132624199531193
2017-12-14,0,1,5.329424246559375
2017-12-15,3,9,2.426351542945312
2017-12-16,1,10,-4.284152565720313
2017-12-17,4,6,-2.105667342112499
2017-12-18,2,6,2.654135444484375
2017-12-19,6,5,5.788929335876562
2017-12-20,3,3,-2.613373768001563
2017-12-21,1,8,5.07320078259375
2017-12-22,0,14,1.8148415666953115
2017-12-23,1,3,-2.968068736454688
2017-12-24,5,1,-1.407631842629687
2017-12-25,0,3,5.129566255
2017-12-26,5,3,-0.4473001695625003
