,elastic/elasticsearch,apache/solr,blevesearch/bleve
2014-09-17,4.764371105120314,13,0
2014-09-18,10.690694443857813,10,0
2014-09-19,8.525996848150001,11,0
2014-09-20,-0.28670842083906045,6,0
2014-09-21,-1.2036925106828105,8,0
2014-09-22,4.474415618750003,15,0
2014-09-23,10.238563029609377,9,1
2014-09-24,16.579799111070315,12,1
2014-09-25,15.7694371897125,15,0
2014-09-26,12.380751802457812,5,0
2014-09-27,-1.6199972929406252,8,0
2014-09-28,12.732954559271876,4,0
2014-09-29,13.995923051876563,5,0
2014-09-30,8.482170426870315,8,0
2014-10-01,16.682235662346876,13,0
2014-10-02,21.929372393521874,11,1
2014-10-03,5.019786939520313,15,0
2014-10-04,-3.794223536432811,13,0
2014-10-05,-1.3413289228562473,3,0
2014-10-06,7.248580613443754,9,0
2014-10-07,26.744330785695315,9,0
2014-10-08,7.683646000701563,8,0
2014-10-09,12.50562878175625,9,0
2014-10-10,12.303730598375,2,0
2014-10-11,0.26652144140937617,0,4
2014-10-12,0.4951239158906269,2,0
2014-10-13,10.048889058234378,13,0
2014-10-14,14.38835698907344,2,0
2014-10-15,29.63719469472344,4,1
2014-10-16,13.720067680270311,8,0
2014-10-17,11.35017332131875,4,3
2014-10-18,1.6885010286749997,4,0
2014-10-19,-1.1812273813874974,1,0
2014-10-20,16.73038083330938,8,1
2014-10-21,9.43922618745469,18,1
2014-10-22,26.526539234553127,15,2
2014-10-23,20.855567248623437,6,2
2014-10-24,22.539247704017185,10,1
2014-10-25,-0.8053881589328133,1,0
2014-10-26,1.2055501013312528,0,0
2014-10-27,28.00485636750313,8,0
2014-10-28,32.797240421381254,10,0
2014-10-29,22.14892902011406,7,2
2014-10-30,22.26939682406406,6,0
2014-10-31,14.113703478015626,7,3
2014-11-01,-2.1238557241218725,1,0
2014-11-02,0.8703506951656301,1,0
2014-11-03,6.721004863492192,5,0
2014-11-04,37.61783096383594,7,1
2014-11-05,40.55902237304219,13,0
2014-11-06,19.807463572431246,4,0
2014-11-07,23.822627777754686,5,0
2014-11-08,0.7374838556296872,4,0
2014-11-09,6.973337988432817,5,0
2014-11-10,22.48844629977813,4,0
2014-11-11,4.229059973414067,12,0
2014-11-12,17.411851317250004,6,0
2014-11-13,26.69090645179219,6,0
2014-11-14,8.661851982623439,5,0
2014-11-15,-0.9872565444906236,2,0
2014-11-16,1.5718478747609401,0,0
2014-11-17,7.263570999775005,2,0
2014-11-18,13.075694580646879,5,1
2014-11-19,31.49540088387344,10,6
2014-11-20,33.480300620796875,6,2
2014-11-21,21.071776983959374,9,4
2014-11-22,-4.5667403238843765,1,0
2014-11-23,4.0960998536484405,3,0
2014-11-24,46.53911011227813,4,2
2014-11-25,26.600049779664065,7,9
2014-11-26,30.490726610140626,19,8
2014-11-27,23.777003400128123,29,2
2014-11-28,15.954869433632815,9,0
2014-11-29,0.8456859941609407,8,2
2014-11-30,-2.1262991920374947,6,0
2014-12-01,2.2868260533031313,15,5
2014-12-02,40.60241538143126,13,0
2014-12-03,10.104387873171877,5,0
2014-12-04,26.638035039184377,0,0
2014-12-05,31.611787527134375,8,0
2014-12-06,-5.356988901025,3,0
2014-12-07,-1.2727716287374973,0,0
2014-12-08,18.850228763165628,7,0
2014-12-09,4.512605716798442,5,3
2014-12-10,7.289562375846879,6,0
2014-12-11,10.386413412153127,7,0
2014-12-12,19.448723757889066,5,2
2014-12-13,-2.478063605743749,2,0
2014-12-14,-0.6674766361468731,2,0
2014-12-15,18.179918675881254,9,0
2014-12-16,13.67180315229844,11,0
2014-12-17,14.35380134331875,7,0
2014-12-18,3.152562349004687,11,2
2014-12-19,4.0521937011359395,15,0
2014-12-20,-1.5877640523624978,7,0
2014-12-21,-0.7581476268578093,1,0
2014-12-22,6.739198531396878,5,0
2014-12-23,6.235372223365626,12,2
2014-12-24,5.055561258015626,17,0
2014-12-25,-1.8095793386421872,2,0
2014-12-26,-1.033392173006249,4,0
2014-12-27,-0.6437598676109363,5,2
2014-12-28,0.541678422982814,4,2
2014-12-29,1.5751699144484383,3,14
2014-12-30,5.489170985839063,11,4
2014-12-31,4.0601068018375,11,0
2015-01-01,-0.9818315113968752,5,0
2015-01-02,24.487766282248437,4,3
2015-01-03,-1.8118705125000019,3,2
2015-01-04,-1.46243072125,8,0
2015-01-05,4.051188469484375,16,2
2015-01-06,13.795029781432815,14,2
2015-01-07,4.721742685584376,10,8
2015-01-08,10.03909825720625,13,0
2015-01-09,4.621688818570313,9,0
2015-01-10,1.919677228359376,11,0
2015-01-11,0.2712615610859388,4,0
2015-01-12,16.798435228714062,14,4
2015-01-13,8.351580403671875,14,7
2015-01-14,2.4164137683359375,17,5
2015-01-15,9.967988578351562,17,6
2015-01-16,21.553425852310937,9,10
2015-01-17,-3.8383522315406253,2,0
2015-01-18,-1.0587655873140616,10,0
2015-01-19,12.490265543825002,7,5
2015-01-20,18.488830939396877,9,0
2015-01-21,7.38485457993125,14,0
2015-01-22,4.9460959020265625,21,7
2015-01-23,22.37804552113281,6,0
2015-01-24,-2.1766347553062495,9,0
2015-01-25,4.484326417887502,2,0
2015-01-26,15.713633426984376,4,1
2015-01-27,24.662398506495315,5,0
2015-01-28,10.200410982418749,8,0
2015-01-29,17.85070177107344,10,6
2015-01-30,6.369657436729687,3,1
2015-01-31,-1.8068716256781228,2,0
2015-02-01,0.37311346182031535,4,0
2015-02-02,8.948174971318753,3,0
2015-02-03,13.38706871546719,4,0
2015-02-04,10.725828921165625,10,1
2015-02-05,9.704742978759375,12,6
2015-02-06,8.853521891867189,18,4
2015-02-07,-1.0435838789624992,8,0
2015-02-08,-1.9472302301765607,3,0
2015-02-09,10.695627497131252,14,0
2015-02-10,2.7933169342203144,7,0
2015-02-11,20.15337570385469,12,1
2015-02-12,37.63026627595625,12,0
2015-02-13,20.118129615293746,6,1
2015-02-14,-3.61490573165469,5,0
2015-02-15,-3.3515257564624994,3,0
2015-02-16,10.75153687742813,2,0
2015-02-17,21.985135737562505,9,3
2015-02-18,13.522307874490627,2,1
2015-02-19,17.622715479726562,5,1
2015-02-20,10.11705178306875,6,0
2015-02-21,-1.3443967348796857,13,0
2015-02-22,0.2145432955343778,3,0
2015-02-23,30.902757431178127,8,1
2015-02-24,15.176347299546876,5,0
2015-02-25,29.288117534142188,21,0
2015-02-26,12.825469797320311,20,0
2015-02-27,20.702213536759377,11,0
2015-02-28,5.229830672725001,6,0
2015-03-01,3.5413247716640655,5,0
2015-03-02,19.340209277095315,12,2
2015-03-03,9.172723512876566,11,0
2015-03-04,12.594884696001566,6,0
2015-03-05,7.625623503000002,6,0
2015-03-06,13.131251326481252,4,5
2015-03-07,-2.020141345339061,4,0
2015-03-08,1.4010055333937528,4,0
2015-03-09,0.89520817922969,12,2
2015-03-10,2.2520085203531286,11,3
2015-03-11,0.36202327320468997,4,9
2015-03-12,0.7824926757312518,4,0
2015-03-13,4.997028389451564,3,0
2015-03-14,1.7837167558031257,3,0
2015-03-15,2.0214300583578133,6,0
2015-03-16,24.179441404115625,3,0
2015-03-17,8.990292340809374,4,0
2015-03-18,13.318830772829687,5,1
2015-03-19,18.883270746325,2,4
2015-03-20,14.031104703896874,4,1
2015-03-21,12.956156540584375,3,0
2015-03-22,-3.102430455512499,7,0
2015-03-23,18.420368947095316,3,0
2015-03-24,25.035885562001564,9,0
2015-03-25,10.693281515414064,15,0
2015-03-26,7.46699596881875,17,2
2015-03-27,5.035145478081251,12,0
2015-03-28,10.607576511178127,4,0
2015-03-29,1.4536776243375025,2,0
2015-03-30,19.340667210123442,6,0
2015-03-31,18.05499368288594,35,0
2015-04-01,13.443873979292189,31,0
2015-04-02,18.605810800707815,12,0
2015-04-03,7.1945284119875,12,4
2015-04-04,4.034833642428127,7,1
2015-04-05,2.723427688707815,4,0
2015-04-06,3.233609906918754,10,0
2015-04-07,26.549890058476567,11,14
2015-04-08,16.402608537865625,11,3
2015-04-09,28.400987446178124,14,3
2015-04-10,17.09815349999375,10,15
2015-04-11,-2.5551280095140623,3,0
2015-04-12,-1.4996652370562473,8,0
2015-04-13,18.416324511618754,22,0
2015-04-14,13.01148730294063,12,0
2015-04-15,5.8701390235812525,16,0
2015-04-16,21.433505189379687,9,0
