,moby/moby,canonical/lxd,containerd/containerd
2016-02-15,9.0,4,0
2016-02-16,28.0,2,3
2016-02-17,40.0,20,2
2016-02-18,41.0,15,0
2016-02-19,30.0,9,3
2016-02-20,14.0,1,0
2016-02-21,7.0,6,1
2016-02-22,14.0,3,1
2016-02-23,30.0,11,4
2016-02-24,31.0,30,0
2016-02-25,38.0,11,10
2016-02-26,22.0,17,10
2016-02-27,16.0,8,0
2016-02-28,10.0,0,0
2016-02-29,51.0,10,8
2016-03-01,56.0,7,5
2016-03-02,43.0,16,0
2016-03-03,41.0,4,0
2016-03-04,30.0,1,0
2016-03-05,8.0,0,0
2016-03-06,7.0,0,0
2016-03-07,16.0,19,3
2016-03-08,27.0,15,1
2016-03-09,27.0,10,2
2016-03-10,27.0,19,0
2016-03-11,43.0,12,7
2016-03-12,16.0,1,2
2016-03-13,8.0,0,0
2016-03-14,31.0,0,3
2016-03-15,41.0,28,4
2016-03-16,40.0,5,3
2016-03-17,43.0,8,10
2016-03-18,35.0,4,4
2016-03-19,14.0,2,2
2016-03-20,12.0,3,0
2016-03-21,38.0,8,10
2016-03-22,40.0,6,11
2016-03-23,39.0,17,8
2016-03-24,39.0,3,3
2016-03-25,51.0,7,10
2016-03-26,10.0,4,1
2016-03-27,14.0,1,0
2016-03-28,44.0,8,8
2016-03-29,44.0,3,6
2016-03-30,35.0,2,4
2016-03-31,45.0,15,7
2016-04-01,10.0,7,3
2016-04-02,1.0,6,1
2016-04-03,1.0,5,0
2016-04-04,13.0,8,5
2016-04-05,12.0,7,4
2016-04-06,58.0,8,7
2016-04-07,27.0,9,6
2016-04-08,40.0,12,0
2016-04-09,22.0,3,0
2016-04-10,13.0,3,0
2016-04-11,16.0,3,1
2016-04-12,22.0,0,0
2016-04-13,26.0,5,2
2016-04-14,37.0,4,3
2016-04-15,45.0,0,2
2016-04-16,12.0,0,0
2016-04-17,2.0,0,3
2016-04-18,24.0,4,6
2016-04-19,27.0,2,1
2016-04-20,22.0,0,2
2016-04-21,25.0,1,5
2016-04-22,19.0,4,9
2016-04-23,9.0,0,0
2016-04-24,4.0,13,0
2016-04-25,32.0,2,0
2016-04-26,19.0,6,16
2016-04-27,16.0,6,1
2016-04-28,20.0,8,3
2016-04-29,24.0,4,3
2016-04-30,8.0,0,0
2016-05-01,6.0,6,0
2016-05-02,21.0,1,4
2016-05-03,18.0,2,0
2016-05-04,24.0,5,2
2016-05-05,19.0,2,0
2016-05-06,26.0,1,3
2016-05-07,18.0,2,0
2016-05-08,5.0,0,0
2016-05-09,19.0,6,8
2016-05-10,12.0,3,0
2016-05-11,19.0,6,0
2016-05-12,33.0,0,1
2016-05-13,12.0,0,2
2016-05-14,16.0,2,0
2016-05-15,5.0,0,0
2016-05-16,14.0,0,0
2016-05-17,10.0,5,1
2016-05-18,16.0,1,5
2016-05-19,15.0,3,1
2016-05-20,17.0,1,0
2016-05-21,13.0,0,0
2016-05-22,11.0,0,0
2016-05-23,21.0,1,1
2016-05-24,42.0,0,0
2016-05-25,55.0,6,2
2016-05-26,25.0,5,2
2016-05-27,32.0,4,1
2016-05-28,7.0,0,0
2016-05-29,8.0,0,0
2016-05-30,9.0,0,0
2016-05-31,30.0,10,1
2016-06-01,27.0,17,0
2016-06-02,35.0,13,0
2016-06-03,49.0,11,1
2016-06-04,18.0,0,0
2016-06-05,31.0,13,0
2016-06-06,51.0,3,1
2016-06-07,51.0,4,1
2016-06-08,41.0,3,0
2016-06-09,37.0,4,5
2016-06-10,40.0,8,0
2016-06-11,21.0,1,0
2016-06-12,19.0,0,0
2016-06-13,35.0,8,3
2016-06-14,97.0,2,0
2016-06-15,57.0,1,1
2016-06-16,69.0,11,2
2016-06-17,55.0,0,2
2016-06-18,29.0,0,0
2016-06-19,22.0,0,0
2016-06-20,30.0,1,0
2016-06-21,46.0,4,0
2016-06-22,30.0,10,2
2016-06-23,34.0,5,0
2016-06-24,39.0,2,0
2016-06-25,7.0,0,0
2016-06-26,6.0,0,0
2016-06-27,29.0,3,2
2016-06-28,26.0,5,1
2016-06-29,35.0,1,1
2016-06-30,38.0,2,1
2016-07-01,31.0,2,4
2016-07-02,17.0,0,0
2016-07-03,25.0,0,0
2016-07-04,14.0,0,1
2016-07-05,25.0,11,6
2016-07-06,19.0,3,0
2016-07-07,31.0,6,0
2016-07-08,27.0,8,0
2016-07-09,5.0,0,0
2016-07-10,2.0,0,0
2016-07-11,26.0,0,0
2016-07-12,45.0,4,0
2016-07-13,50.0,0,1
2016-07-14,23.0,0,2
2016-07-15,35.0,0,1
2016-07-16,13.0,0,0
2016-07-17,3.0,0,0
2016-07-18,27.0,0,0
2016-07-19,48.0,2,0
2016-07-20,46.0,9,0
2016-07-21,31.0,0,0
2016-07-22,39.0,8,0
2016-07-23,16.0,0,0
2016-07-24,22.0,0,0
2016-07-25,45.0,1,0
2016-07-26,58.0,9,0
2016-07-27,37.0,0,0
2016-07-28,27.0,2,0
2016-07-29,44.0,0,0
2016-07-30,10.0,0,0
2016-07-31,7.0,0,0
2016-08-01,33.0,3,0
2016-08-02,40.0,5,1
2016-08-03,37.0,8,1
2016-08-04,25.0,7,0
2016-08-05,46.0,7,0
2016-08-06,9.0,0,0
2016-08-07,1.0,4,0
2016-08-08,30.0,1,0
2016-08-09,21.0,0,0
2016-08-10,38.0,0,2
2016-08-11,43.0,5,0
2016-08-12,42.0,2,0
2016-08-13,7.0,0,0
2016-08-14,1.0,0,0
2016-08-15,25.0,7,1
2016-08-16,48.0,3,0
2016-08-17,35.0,3,0
2016-08-18,27.0,2,0
2016-08-19,23.0,2,0
2016-08-20,9.0,2,0
2016-08-21,4.0,0,0
2016-08-22,23.0,0,0
2016-08-23,29.0,2,0
2016-08-24,20.0,4,0
2016-08-25,39.0,1,0
2016-08-26,41.0,3,7
2016-08-27,7.0,0,0
2016-08-28,8.0,0,0
2016-08-29,19.0,0,0
2016-08-30,60.0,10,1
2016-08-31,47.0,3,0
2016-09-01,27.0,2,0
2016-09-02,19.0,2,0
2016-09-03,6.0,3,0
2016-09-04,4.0,2,0
2016-09-05,17.0,2,0
2016-09-06,28.0,0,0
2016-09-07,50.0,13,4
2016-09-08,37.0,14,2
2016-09-09,31.0,2,1
2016-09-10,6.0,0,0
2016-09-11,1.0,2,0
2016-09-12,37.0,6,5
2016-09-13,34.0,8,0
2016-09-14,33.0,9,1
2016-09-15,22.0,44,0
2016-09-16,27.0,37,4
2016-09-17,24.0,14,0
2016-09-18,10.0,13,0
2016-09-19,49.0,14,4
2016-09-20,45.0,5,9
2016-09-21,33.0,2,1
2016-09-22,32.0,36,3
2016-09-23,42.0,25,0
2016-09-24,9.0,0,0
2016-09-25,3.0,0,0
2016-09-26,45.0,8,0
2016-09-27,34.0,8,4
2016-09-28,14.0,5,3
2016-09-29,33.0,9,0
2016-09-30,21.0,3,2
2016-10-01,8.0,11,0
2016-10-02,6.0,3,0
2016-10-03,22.0,12,2
2016-10-04,20.0,16,1
2016-10-05,24.0,5,1
2016-10-06,19.0,7,5
2016-10-07,18.0,4,0
2016-10-08,3.0,0,0
2016-10-09,2.0,4,0
2016-10-10,26.0,1,0
2016-10-11,28.0,15,0
2016-10-12,23.0,6,0
2016-10-13,21.0,1,0
2016-10-14,29.0,15,0
2016-10-15,11.0,0,0
2016-10-16,4.0,2,0
2016-10-17,40.0,19,0
2016-10-18,44.0,13,0
2016-10-19,33.0,2,0
2016-10-20,42.0,6,0
2016-10-21,56.0,11,0
2016-10-22,13.0,3,0
2016-10-23,0.0,0,0
2016-10-24,21.0,12,0
2016-10-25,53.0,5,0
2016-10-26,26.0,12,0
2016-10-27,24.0,14,0
2016-10-28,72.0,3,1
2016-10-29,11.0,3,0
2016-10-30,2.0,0,0
2016-10-31,36.0,4,0
2016-11-01,26.0,0,0
2016-11-02,54.0,0,4
2016-11-03,63.0,2,0
2016-11-04,72.0,3,1
