,socketio/socket.io,websockets/ws,faye/faye
2012-06-22,0.955,0,0
2012-06-23,-0.12850000000000011,0,0
2012-06-24,-0.06566249999999996,0,0
2012-06-25,-0.04461674999999997,4,0
2012-06-26,1.9661754875000002,1,0
2012-06-27,-0.2272104462500001,0,0
2012-06-28,2.887269674484375,0,0
2012-06-29,3.623507451214062,0,0
2012-06-30,-0.5858933130156253,0,0
2012-07-01,-0.30613235253593757,0,7
2012-07-02,19.797688475,0,1
2012-07-03,14.8468123575,3,0
2012-07-04,-2.723089663531252,0,0
2012-07-05,-1.4377268438218755,0,0
2012-07-06,1.0291702759531263,0,0
2012-07-07,-0.9370673096703102,2,0
2012-07-08,-0.6608204101437483,1,0
2012-07-09,1.4973718625000014,0,0
2012-07-10,-0.6212840965624989,0,0
2012-07-11,-0.4528718719843742,0,0
2012-07-12,2.773895481889063,0,0
2012-07-13,-0.36351239250000006,0,0
2012-07-14,-0.18637012603124994,3,0
2012-07-15,-0.12862173007187494,0,7
2012-07-16,1.9158251075000003,3,0
2012-07-17,-0.26748687603125,2,0
2012-07-18,-0.1462837425718749,0,0
2012-07-19,-0.09028108874999995,0,0
2012-07-20,1.9299700609531252,0,0
2012-07-21,3.7425699423921874,0,0
2012-07-22,1.4836759749999997,0,0
2012-07-23,-0.4591873925000003,0,0
2012-07-24,9.73553837396875,0,0
2012-07-25,0.8113187949281246,0,0
2012-07-26,0.2178839749999999,0,0
2012-07-27,5.4179310575,0,0
2012-07-28,-0.9984604360312496,0,0
2012-07-29,-0.5782508496343743,0,0
2012-07-30,2.5917518388250005,0,0
2012-07-31,2.405849557428126,1,0
2012-08-01,15.33726696484375,0,0
2012-08-02,5.986309077359374,0,1
2012-08-03,2.2395843044124994,0,0
2012-08-04,-1.392146480629688,0,0
2012-08-05,-0.8768294027156237,0,1
2012-08-06,23.390064873750003,0,0
2012-08-07,0.11583777220312452,0,0
2012-08-08,2.2188362633453127,0,0
2012-08-09,-0.5386871858578124,0,0
2012-08-10,7.883297070300002,0,0
2012-08-11,-1.6132535723499992,0,0
2012-08-12,2.0860160398562515,0,0
2012-08-13,14.0526357525,0,0
2012-08-14,1.847352098875,0,0
2012-08-15,-0.5933649474093747,0,0
2012-08-16,-0.9625091184203123,0,0
2012-08-17,-0.6602947394093734,0,0
2012-08-18,0.513099042823439,0,0
2012-08-19,-0.4914304490734364,0,0
2012-08-20,4.691124817203126,0,0
2012-08-21,-0.7547580503421873,0,0
2012-08-22,3.578987763648438,0,0
2012-08-23,0.3982195268406248,0,0
2012-08-24,-0.4048733650359373,0,0
2012-08-25,12.74932255375,0,0
2012-08-26,-0.48652837551562556,0,2
2012-08-27,8.166003166214063,0,1
2012-08-28,0.5678936349218744,0,1
2012-08-29,-1.0016435601796867,0,0
2012-08-30,1.3739528016875007,0,0
2012-08-31,1.326650864340626,0,1
2012-09-01,0.35784533371406335,0,0
2012-09-02,0.46682662204687553,0,0
2012-09-03,-0.48824568723281186,0,0
2012-09-04,11.736240437823438,0,0
2012-09-05,-1.402446323854688,0,0
2012-09-06,6.357911627428125,0,1
2012-09-07,5.887397218968749,0,0
2012-09-08,-0.3231400398531248,0,2
2012-09-09,2.1546392856625003,0,0
2012-09-10,5.134951184448438,0,0
2012-09-11,1.8375220424640633,0,0
2012-09-12,2.0040664063125004,0,0
2012-09-13,-0.9546804416812494,0,0
2012-09-14,3.449378672640626,0,1
2012-09-15,1.179462107389063,0,0
2012-09-16,-0.6709511945171869,0,0
2012-09-17,-0.39550225658281213,0,0
2012-09-18,-0.2950235619515618,0,0
2012-09-19,-0.21817114301249935,0,0
2012-09-20,-0.1387830466546871,0,0
2012-09-21,3.9041046323921877,0,0
2012-09-22,-0.4604606445625002,0,2
2012-09-23,-0.232732036175,1,7
2012-09-24,-0.13079770507187505,1,1
2012-09-25,2.9173500000000003,0,3
2012-09-26,1.635533,0,1
2012-09-27,0.6123519499999999,0,0
2012-09-28,-0.3198747850000001,0,0
2012-09-29,-0.20226075206249977,0,5
2012-09-30,-0.15177066014374962,0,2
2012-10-01,-0.09238203749999971,2,0
2012-10-02,-0.07572186374999977,0,0
2012-10-03,-0.06405434404687482,1,0
2012-10-04,12.944573120110938,0,0
2012-10-05,-1.326366018087501,0,0
2012-10-06,-0.5933988525359379,0,0
2012-10-07,0.6294999999999997,0,2
2012-10-08,8.6313875,0,0
2012-10-09,4.84548225,0,0
2012-10-10,5.7953938375,0,0
2012-10-11,-0.3913805512500004,0,0
2012-10-12,-0.9124673192031243,0,0
2012-10-13,-0.6358728454671865,0,3
2012-10-14,6.600610191250001,0,0
2012-10-15,-1.0218634042656247,0,0
2012-10-16,15.415673315323438,0,0
2012-10-17,-2.0233174371671883,0,0
2012-10-18,2.0068974974250002,0,0
2012-10-19,0.06282246923281243,0,0
2012-10-20,-0.6661329400359361,0,0
2012-10-21,26.53397612625,0,0
2012-10-22,-3.0680578911093765,0,0
2012-10-23,10.479696142248438,0,0
2012-10-24,-1.178195795750001,0,0
2012-10-25,-1.378712241824998,0,1
2012-10-26,-0.8619508852968737,3,0
2012-10-27,-0.6665892081234354,0,0
2012-10-28,1.4780078487140642,0,0
2012-10-29,2.367594648578126,0,0
2012-10-30,-0.7630553859703119,0,0
2012-10-31,1.6820865475625002,0,0
2012-11-01,-0.4371795434468748,0,0
2012-11-02,6.8073801474640625,0,0
2012-11-03,-0.8316742750000005,0,0
2012-11-04,3.58200157,0,0
2012-11-05,5.3158487852187495,0,0
2012-11-06,2.0035358308812503,1,0
