,thheller/shadow-cljs,bhauman/figwheel-main,bhauman/lein-figwheel
2018-08-11,1,5,0
2018-08-12,2,2,3
2018-08-13,0,4,0
2018-08-14,2,7,0
2018-08-15,1,5,0
2018-08-16,4,6,0
2018-08-17,4,2,0
2018-08-18,6,4,0
2018-08-19,0,0,0
2018-08-20,5,0,0
2018-08-21,7,0,0
2018-08-22,2,1,0
2018-08-23,0,2,0
2018-08-24,7,0,0
2018-08-25,0,8,0
2018-08-26,0,3,0
2018-08-27,0,2,0
2018-08-28,5,9,0
2018-08-29,0,0,0
2018-08-30,2,4,0
2018-08-31,4,1,0
2018-09-01,0,0,0
2018-09-02,0,5,0
2018-09-03,0,6,0
2018-09-04,0,3,0
2018-09-05,2,2,0
2018-09-06,1,5,0
2018-09-07,2,0,0
2018-09-08,0,0,0
2018-09-09,0,0,0
2018-09-10,1,6,0
2018-09-11,4,4,0
2018-09-12,0,0,0
2018-09-13,0,1,0
2018-09-14,0,3,0
2018-09-15,2,1,0
2018-09-16,2,9,0
2018-09-17,1,0,0
2018-09-18,0,0,0
2018-09-19,0,1,0
2018-09-20,3,4,0
2018-09-21,0,4,0
2018-09-22,2,1,0
2018-09-23,0,0,0
2018-09-24,1,4,0
2018-09-25,0,0,0
2018-09-26,0,1,0
2018-09-27,0,1,0
2018-09-28,0,0,0
2018-09-29,0,2,0
2018-09-30,4,0,0
2018-10-01,2,0,0
2018-10-02,2,8,0
2018-10-03,0,0,0
2018-10-04,0,1,0
2018-10-05,0,3,0
2018-10-06,3,0,0
2018-10-07,0,1,0
2018-10-08,0,0,0
2018-10-09,0,0,0
2018-10-10,5,0,0
2018-10-11,0,0,0
2018-10-12,0,4,0
2018-10-13,2,0,0
2018-10-14,0,0,0
2018-10-15,7,0,0
2018-10-16,2,0,0
2018-10-17,5,0,0
2018-10-18,4,0,0
2018-10-19,0,2,0
2018-10-20,0,1,0
2018-10-21,1,0,0
2018-10-22,3,0,0
2018-10-23,4,1,0
2018-10-24,4,0,2
2018-10-25,2,0,0
2018-10-26,5,1,0
2018-10-27,0,0,0
2018-10-28,0,0,0
2018-10-29,0,0,0
2018-10-30,4,0,0
2018-10-31,2,0,0
2018-11-01,2,0,0
2018-11-02,0,0,0
2018-11-03,0,1,0
2018-11-04,0,0,0
2018-11-05,0,0,0
2018-11-06,10,0,0
2018-11-07,1,0,0
2018-11-08,3,0,0
2018-11-09,0,0,0
2018-11-10,0,2,0
2018-11-11,0,0,0
2018-11-12,3,0,0
2018-11-13,3,0,0
2018-11-14,1,0,0
2018-11-15,0,0,4
2018-11-16,0,1,0
2018-11-17,2,0,0
2018-11-18,0,0,0
2018-11-19,0,0,0
2018-11-20,0,0,0
2018-11-21,0,0,0
2018-11-22,0,0,0
2018-11-23,4,0,0
2018-11-24,0,8,0
2018-11-25,1,0,0
2018-11-26,1,0,0
2018-11-27,0,0,0
2018-11-28,0,0,0
2018-11-29,0,0,0
2018-11-30,3,0,0
2018-12-01,0,0,0
2018-12-02,0,0,0
2018-12-03,0,0,0
2018-12-04,6,0,0
2018-12-05,0,0,0
2018-12-06,0,0,0
2018-12-07,0,0,0
2018-12-08,0,0,0
2018-12-09,0,0,0
2018-12-10,2,0,0
2018-12-11,0,0,0
2018-12-12,0,0,0
2018-12-13,0,0,0
2018-12-14,0,0,0
2018-12-15,0,0,0
2018-12-16,0,0,0
2018-12-17,0,0,0
2018-12-18,0,0,0
2018-12-19,0,0,0
2018-12-20,0,4,10
2018-12-21,0,1,0
2018-12-22,0,2,0
2018-12-23,0,0,0
2018-12-24,0,1,0
2018-12-25,0,3,0
2018-12-26,0,1,0
2018-12-27,0,0,0
2018-12-28,0,0,0
2018-12-29,0,0,0
2018-12-30,0,2,0
2018-12-31,0,0,0
2019-01-01,0,0,0
2019-01-02,0,0,0
2019-01-03,0,0,0
2019-01-04,4,0,0
2019-01-05,0,0,0
2019-01-06,7,0,0
2019-01-07,0,0,0
2019-01-08,0,0,0
2019-01-09,0,0,0
2019-01-10,2,0,0
2019-01-11,2,0,0
2019-01-12,1,0,0
2019-01-13,0,0,0
2019-01-14,0,0,0
2019-01-15,0,0,0
2019-01-16,0,0,0
2019-01-17,0,0,0
2019-01-18,0,0,0
2019-01-19,2,0,0
2019-01-20,1,0,0
2019-01-21,3,0,0
2019-01-22,0,0,0
2019-01-23,0,0,0
2019-01-24,0,0,0
2019-01-25,3,0,0
2019-01-26,1,0,0
2019-01-27,1,0,0
2019-01-28,8,0,0
2019-01-29,3,0,0
2019-01-30,4,0,0
2019-01-31,4,0,0
2019-02-01,3,0,0
2019-02-02,2,0,0
2019-02-03,4,0,0
2019-02-04,0,0,0
2019-02-05,0,0,0
2019-02-06,8,0,0
2019-02-07,8,0,0
2019-02-08,1,0,0
2019-02-09,0,0,0
2019-02-10,2,0,0
2019-02-11,4,0,0
2019-02-12,2,0,0
2019-02-13,3,2,0
2019-02-14,9,0,0
2019-02-15,0,0,0
2019-02-16,5,2,0
2019-02-17,3,0,0
2019-02-18,5,0,0
2019-02-19,6,0,0
2019-02-20,8,0,0
2019-02-21,2,0,0
2019-02-22,1,0,0
2019-02-23,2,1,0
2019-02-24,5,1,0
2019-02-25,0,0,0
2019-02-26,0,0,0
2019-02-27,3,0,0
2019-02-28,1,3,0
2019-03-01,2,0,0
2019-03-02,4,0,0
2019-03-03,1,0,0
2019-03-04,0,0,0
2019-03-05,0,0,0
2019-03-06,1,0,0
2019-03-07,3,0,0
2019-03-08,0,0,0
2019-03-09,0,0,0
2019-03-10,0,0,0
2019-03-11,0,0,0
2019-03-12,1,0,0
2019-03-13,0,0,0
2019-03-14,6,1,0
2019-03-15,3,0,0
2019-03-16,0,0,0
2019-03-17,0,0,0
2019-03-18,1,0,0
2019-03-19,3,0,0
2019-03-20,4,0,0
2019-03-21,0,0,0
2019-03-22,0,0,0
2019-03-23,1,0,0
2019-03-24,2,0,0
2019-03-25,2,0,0
2019-03-26,2,0,0
2019-03-27,3,0,0
2019-03-28,0,0,0
2019-03-29,2,0,0
2019-03-30,0,0,0
2019-03-31,1,0,0
2019-04-01,0,0,0
2019-04-02,1,0,0
2019-04-03,0,0,0
2019-04-04,1,0,0
2019-04-05,1,0,0
2019-04-06,6,0,0
2019-04-07,5,0,0
2019-04-08,3,0,0
2019-04-09,0,0,0
2019-04-10,0,0,0
2019-04-11,5,0,0
2019-04-12,0,0,0
2019-04-13,1,0,0
2019-04-14,1,0,0
2019-04-15,1,0,0
2019-04-16,0,0,0
2019-04-17,0,0,0
2019-04-18,2,0,0
2019-04-19,0,0,3
2019-04-20,3,1,1
2019-04-21,0,0,0
2019-04-22,2,0,0
2019-04-23,0,0,0
2019-04-24,0,0,0
2019-04-25,2,0,0
2019-04-26,2,0,0
2019-04-27,1,0,0
2019-04-28,1,0,0
2019-04-29,0,0,0
2019-04-30,0,1,0
2019-05-01,2,5,0
2019-05-02,0,4,0
2019-05-03,0,0,0
2019-05-04,0,0,0
2019-05-05,0,0,0
2019-05-06,0,2,0
2019-05-07,0,0,0
2019-05-08,0,0,0
2019-05-09,0,0,0
