,websockets/ws,socketio/socket.io,faye/faye
2012-11-21,1,-0.4124693503999999,0
2012-11-22,0,-0.16000000000000014,0
2012-11-23,0,-0.09600000000000007,0
2012-11-24,0,-0.06720000000000002,0
2012-11-25,0,-0.05107200000000003,0
2012-11-26,0,-0.04085760000000002,0
2012-11-27,0,-0.03385344000000002,0
2012-11-28,0,0.9712245760000001,0
2012-11-29,0,-0.2249387007999999,0
2012-11-30,5,-0.08000000000000007,0
2012-12-01,0,-0.048000000000000036,0
2012-12-02,0,-0.03360000000000001,0
2012-12-03,0,5.974464,5
2012-12-04,0,-1.2204287999999996,0
2012-12-05,2,1.5030732799999995,0
2012-12-06,1,-0.702387712,0
