,django/django,rails/rails,sinatra/sinatra
2019-12-24,-0.9030039727968746,5,0
2019-12-25,-0.5172435568734369,10,0
2019-12-26,-0.3574483123953121,4,0
2019-12-27,4.722948365920313,22,0
2019-12-28,-0.6784933979765624,7,0
2019-12-29,-0.33873694562343737,5,0
2019-12-30,5.782538969964063,1,2
2019-12-31,5.2392776219062505,9,0
2020-01-01,-1.0009768652156255,1,7
2020-01-02,3.4931899375,14,0
2020-01-03,4.24955651875,10,0
2020-01-04,0.05148293492187528,11,0
2020-01-05,-0.6566668376796873,6,0
2020-01-06,2.5843157475000007,11,0
2020-01-07,3.3797484444062507,19,0
2020-01-08,4.203302706690625,14,0
2020-01-09,9.057805287284374,12,0
2020-01-10,2.492108754187499,14,0
2020-01-11,0.7839690785281248,6,0
2020-01-12,-0.9238281131953121,3,0
2020-01-13,1.4144632587140635,8,0
2020-01-14,1.360292713453126,10,0
2020-01-15,6.3536495840796885,13,0
2020-01-16,4.875744512278125,6,0
2020-01-17,4.778298797164062,8,0
2020-01-18,-0.28750766992187526,0,0
2020-01-19,-0.7969270611749997,10,0
2020-01-20,5.481898627428126,8,0
2020-01-21,4.017366393968751,12,0
2020-01-22,3.920074720146875,3,0
2020-01-23,1.8585731013187499,16,0
2020-01-24,3.012598964154688,9,0
2020-01-25,-0.9964096895593746,2,0
2020-01-26,-0.5883297532312491,6,0
2020-01-27,5.602657657464063,17,0
2020-01-28,2.0903113281562504,5,0
2020-01-29,12.17234380095625,11,0
2020-01-30,0.21823503349218676,7,0
2020-01-31,5.890451013273438,0,0
2020-02-01,-1.3826578096703128,3,0
2020-02-02,-0.8015302351437488,4,0
2020-02-03,6.4436090350000015,2,0
2020-02-04,5.861331870656251,5,0
2020-02-05,3.6225426194875,12,0
2020-02-06,3.7215938931890626,8,0
2020-02-07,3.724884917251563,13,0
2020-02-08,-0.20873064618124948,4,0
2020-02-09,-0.8345558052515617,14,0
2020-02-10,4.4588137887500015,23,0
2020-02-11,3.0771596226406257,8,0
2020-02-12,2.026705047389063,11,0
2020-02-13,4.133471173420313,14,0
2020-02-14,2.989221178492188,6,1
2020-02-15,-0.9746632740078123,1,0
2020-02-16,-0.566327138195312,12,0
2020-02-17,0.6178218662140633,2,0
2020-02-18,5.605063862421876,3,1
2020-02-19,6.111174334007813,2,0
2020-02-20,1.8310831195593746,13,0
2020-02-21,-0.9240754076859377,6,0
