,twbs/bootstrap,tailwindlabs/tailwindcss,jgthms/bulma
2018-02-14,0.5178907012140623,1,1
2018-02-15,-0.4106928255156244,0,2
2018-02-16,1.720631701214063,2,1
2018-02-17,-0.40942242551562463,0,0
2018-02-18,-0.261345393785937,0,0
2018-02-19,5.805419027859375,1,0
2018-02-20,1.2396929923953124,0,1
2018-02-21,0.46030678566249983,0,0
2018-02-22,-0.40529119055156265,0,0
2018-02-23,-0.256561245035937,0,0
2018-02-24,7.814337873968751,1,0
2018-02-25,0.051334219928124813,0,0
2018-02-26,-0.5690029525,0,0
2018-02-27,-0.36575928309374994,0,1
2018-02-28,-0.2744234374968742,0,0
2018-03-01,0.8240374819125006,2,0
2018-03-02,0.7701882974640628,0,0
2018-03-03,3.7530884175000003,0,0
2018-03-04,1.4388597996249999,0,0
2018-03-05,1.4940783666968749,25,0
2018-03-06,0.5508218974640623,0,0
2018-03-07,-0.35892876249999983,11,1
2018-03-08,2.7679522912500003,0,0
2018-03-09,-0.4753685592656248,0,1
2018-03-10,-0.27656197555156214,0,0
2018-03-11,-0.19680027209843726,0,0
2018-03-12,13.849931058825,13,0
2018-03-13,6.504621722646874,19,1
2018-03-14,1.504147944412499,1,0
2018-03-15,-0.10067994128593827,0,0
2018-03-16,1.2190200609531257,0,0
2018-03-17,0.25336894239218866,0,0
2018-03-18,-0.5936896749999989,0,0
2018-03-19,-0.43162059749999904,0,0
2018-03-20,1.6518662602812508,0,1
2018-03-21,10.506530459121876,0,0
2018-03-22,-1.3394302305843757,0,0
2018-03-23,-0.6221142756234377,0,0
2018-03-24,-0.3934541748171875,0,0
2018-03-25,-0.285887018087499,0,0
2018-03-26,0.7879928724640632,0,4
2018-03-27,0.7330304700000004,0,0
2018-03-28,-0.2861672847812497,0,3
2018-03-29,0.8044508517562503,3,5
2018-03-30,4.758450122104688,2,0
2018-03-31,2.4182207499999997,0,0
2018-04-01,14.4172212375,0,1
2018-04-02,5.177581791249999,1,1
2018-04-03,-1.6005912592656257,1,2
2018-04-04,-0.9162004280515625,0,1
2018-04-05,3.356909638714064,0,0
2018-04-06,-0.8909115817656237,0,0
2018-04-07,0.4202310561359386,0,0
2018-04-08,0.4567612670234382,0,33
2018-04-09,1.5259728734078133,0,17
2018-04-10,3.469072020851563,0,22
2018-04-11,0.34939748224843736,0,16
2018-04-12,2.581845965,0,1
2018-04-13,0.43212298543749994,0,15
2018-04-14,0.5637653811062504,0,4
2018-04-15,0.6373844657343752,0,1
2018-04-16,4.6555931419484375,0,1
2018-04-17,2.2724149739328126,0,1
2018-04-18,-0.6959299408843751,0,6
2018-04-19,0.5961139255906251,0,0
2018-04-20,-0.36628875033281205,0,0
2018-04-21,-0.24659182937343688,0,0
2018-04-22,0.8282788256984379,0,0
2018-04-23,-0.23358418430156216,0,0
2018-04-24,5.849361743635938,0,0
2018-04-25,-0.7123612142265628,0,0
2018-04-26,0.6730472461421875,0,0
2018-04-27,1.7033149369843748,0,0
2018-04-28,-0.3905358650359372,0,0
2018-04-29,1.7737058037500002,0,0
2018-04-30,2.633797111984375,0,0
2018-05-01,0.47759721996406257,0,6
2018-05-02,-0.39480539059374997,0,0
2018-05-03,-0.2596358364656247,2,3
2018-05-04,-0.15447670551562462,1,0
2018-05-05,-0.12287225356718712,0,0
2018-05-06,-0.09458788507187472,0,1
2018-05-07,0.9344202727187502,1,0
2018-05-08,-0.15659634036874992,0,0
2018-05-09,-0.07976487062343744,0,0
2018-05-10,-0.0368988525359375,0,0
2018-05-11,1.9793375,0,0
2018-05-12,-0.21611675000000014,0,0
2018-05-13,-0.10316201250000002,0,0
2018-05-14,-0.06809369625000002,0,0
2018-05-15,1.9491066869843752,0,0
2018-05-16,-0.24063235253593757,0,0
2018-05-17,-0.11632402499999998,1,0
2018-05-18,0.9208126075,0,0
2018-05-19,-0.1604616260312499,0,0
2018-05-20,0.9059687949281251,0,0
2018-05-21,-0.15482402500000003,0,0
2018-05-22,6.9121501075000005,0,0
2018-05-23,3.2362466239687495,0,1
2018-05-24,-0.7656222175718754,0,4
2018-05-25,-0.4067104462500002,1,6
2018-05-26,-0.2813678255156245,0,0
2018-05-27,0.7850402012140633,0,0
2018-05-28,-0.2661694005156246,2,0
2018-05-29,-0.18370277628593712,0,1
2018-05-30,-0.13985297610937472,0,7
2018-05-31,2.882272280185938,0,2
2018-06-01,6.65028783985625,0,1
2018-06-02,0.15183798749999933,0,1
2018-06-03,1.4884063037499997,0,0
2018-06-04,-0.5160558130156251,3,0
2018-06-05,1.6801133974640632,0,1
2018-06-06,-0.4299657874999997,0,0
2018-06-07,0.7271430737500004,0,1
2018-06-08,-0.3087563252968747,0,0
2018-06-09,-0.21591746996718703,0,0
2018-06-10,-0.15128117326718718,0,0
2018-06-11,1.9254779964328128,0,1
2018-06-12,-0.25510184757187504,0,0
2018-06-13,-0.12229863853124998,0,0
2018-06-14,-0.08489140132187498,4,0
2018-06-15,-0.05089331301562482,5,0
2018-06-16,-0.040632352535937374,0,0
2018-06-17,-0.02632402499999992,0,0
2018-06-18,-0.022187392499999934,0,0
2018-06-19,-0.01913662603124995,0,0
2018-06-20,-0.016797705071874957,11,11
2018-06-21,7.0,2,0
2018-06-22,0.2999999999999994,5,0
2018-06-23,0.5849999999999997,1,0
2018-06-24,3.6555,0,0
2018-06-25,2.3818625,2,3
2018-06-26,-0.64197975,8,0
2018-06-27,-0.3779133374999998,0,0
2018-06-28,-0.27508463624999946,0,0
2018-06-29,-0.21768839985937433,0,0
2018-06-30,-0.18045227701718697,0,0
2018-07-01,1.8981720119484378,0,0
2018-07-02,1.7200468066515624,0,0
2018-07-03,1.6476996508093749,0,0
2018-07-04,0.6278034423921872,0,0
2018-07-05,0.711675,0,0
2018-07-06,1.7244415000000002,0,0
2018-07-07,0.6266174750000001,0,0
2018-07-08,5.6800925825,0,0
2018-07-09,4.19357270646875,0,10
2018-07-10,2.0727745138968747,0,1
2018-07-11,1.1909139601468748,12,0
2018-07-12,17.3186245106625,2,1
2018-07-13,-0.2288295705515635,0,1
2018-07-14,1.6728275001828126,0,2
2018-07-15,4.8485864919125,0,0
2018-07-16,1.6430782506203139,5,1
2018-07-17,-1.1447662940437489,0,1
2018-07-18,-0.7300238192265615,0,6
2018-07-19,0.47183100886093876,0,1
2018-07-20,9.490611230646877,0,0
2018-07-21,1.624080614571875,0,0
2018-07-22,-0.9300508591187502,0,1
2018-07-23,-0.5565500244515624,0,3
2018-07-24,2.612660195737501,0,0
2018-07-25,7.438486429892188,0,1
2018-07-26,-0.1260640712500003,0,0
2018-07-27,-0.705491313015625,0,2
2018-07-28,0.5276494285578128,0,0
2018-07-29,5.545156285593751,0,0
2018-07-30,-0.8592790951078124,0,0
2018-07-31,-0.45319393874999975,0,0
2018-08-01,-0.32227902154687466,0,5
2018-08-02,6.747071492017188,0,1
2018-08-03,-0.8866216458031251,0,0
2018-08-04,-0.4134646237859374,0,0
2018-08-05,-0.27563049051562494,0,0
2018-08-06,-0.21044623062968681,0,0
2018-08-07,0.8367896347843755,0,0
2018-08-08,-0.19213408749999983,0,0
2018-08-09,-0.12265587374999981,0,0
2018-08-10,-0.09547819110937486,0,0
2018-08-11,-0.07945446775156227,0,0
2018-08-12,12.98388325,0,0
2018-08-13,2.686837987499999,0,0
2018-08-14,-0.9960936962500008,3,0
2018-08-15,-0.5600683130156254,0,0
2018-08-16,-0.3910113525359366,0,0
2018-08-17,-0.292167749999999,0,0
2018-08-18,0.7644268375000007,0,0
2018-08-19,4.703133898750001,3,0
