,balderdashy/sails,expressjs/express,hapijs/hapi
2012-07-23,0.0,1,0.5221119999999997
2012-07-24,4.0,12,6.4430336
2012-07-25,-0.40000000000000036,1,4.23647744
2012-07-26,-0.18000000000000013,2,-1.0421724159999997
2012-07-27,-0.11400000000000009,0,2.7516238848
2012-07-28,4.91735,0,-1.5131439103999997
2012-07-29,4.4355329999999995,0,-0.8311275520000003
2012-07-30,6.222351949999999,0,0.4612556799999997
2012-07-31,7.888125214999999,0,3.384616448
2012-08-01,-1.4990857520625007,4,2.7826835456000003
2012-08-02,5.17800833985625,0,5.559746355200001
2012-08-03,3.8524686875,2,-0.10251069439999982
2012-08-04,-1.1900582937499993,0,-1.3819561984000004
2012-08-05,5.263505116171876,0,-0.8028502016000003
2012-08-06,5.847575185992188,0,-0.5319859200000002
2012-08-07,-0.3788287200390621,1,-0.4097617920000002
2012-08-08,-0.8904626098921871,0,-0.3318006783999998
2012-08-09,-0.5764369128234367,4,-0.2667728895999997
2012-08-10,2.617283640656251,1,-0.18444482559999945
2012-08-11,0.38931349470625065,1,-0.11606087679999963
2012-08-12,2.548192722320313,0,-0.02493870079999993
2012-08-13,3.42127223565625,0,0.0
2012-08-14,0.2460474974250001,5,9.0
2012-08-15,2.497126969232813,0,-1.7999999999999996
2012-08-16,-0.5849891400359375,2,9.28
2012-08-17,-0.3409433512499995,0,-2.432
2012-08-18,0.7500858272031254,0,-0.10240000000000071
2012-08-19,0.701201740626563,0,2.0901759999999996
2012-08-20,1.7120091609171877,0,18.8001408
2012-08-21,-0.38754954342031245,0,-0.6957004799999993
2012-08-22,0.7843926880906251,1,11.088622592
2012-08-23,-0.23088304158281242,0,-4.4878273536
2012-08-24,-0.1408003201078122,0,-2.2249139200000005
2012-08-25,-0.08498920874999985,0,-1.5200266240000007
2012-08-26,-0.06764853426562478,0,-1.0462878720000004
2012-08-27,-0.05627130805156233,0,-0.8333860864000002
2012-08-28,-0.04069749106718739,3,-0.6788723711999989
2012-08-29,-0.027891401321874926,6,1.4560880640000007
2012-08-30,-0.009568313015624975,3,2.348694630400001
2012-08-31,-0.008398852535937478,1,18.0654290944
2012-09-01,0.0,0,-4.135999999999999
2012-09-02,1.0,0,-1.7312000000000014
2012-09-03,5.9,5,-1.0638720000000008
2012-09-04,-0.6450000000000006,2,1.2441343999999996
2012-09-05,-0.2985000000000002,0,-0.9803238400000003
2012-09-06,4.8083375,0,0.37229721599999976
2012-09-07,2.35990825,0,16.3142904832
2012-09-08,1.3651374875,0,-0.8579745791999982
2012-09-09,4.43243422875,0,3.7040103423999993
2012-09-10,10.145057009484375,0,33.6695424
2012-09-11,2.409620019370312,0,9.54541056
2012-09-12,-1.2433784277156252,0,4.647883775999998
2012-09-13,-0.7240005187499996,2,-4.235363020800002
2012-09-14,1.4706820711718764,0,6.049755647999998
2012-09-15,-0.6186309067265614,0,9.3094905856
2012-09-16,-0.39905080238906165,0,2.3490127871999995
2012-09-17,0.7036820211000007,0,5.325553356799999
2012-09-18,2.667054509148438,3,1.1583277056000014
2012-09-19,-0.5078941299578124,1,1.938386329600001
2012-09-20,-0.22341943514374996,0,9.5784537088
2012-09-21,-0.12834989249999992,0,12.458033971199999
2012-09-22,-0.09724087603124967,0,-4.7541803008
2012-09-23,6.921690032428125,0,-3.204639232000001
2012-09-24,5.24942026625,0,11.9324713984
2012-09-25,1.0421505982343744,2,7.781066956800001
2012-09-26,3.293396208417187,5,-0.5658664959999999
2012-09-27,1.1691659423921874,1,4.8139846656
2012-09-28,6.32620775,0,1.4635606016000002
2012-09-29,-1.1341595875000001,0,-3.0163233791999993
2012-09-30,-0.6435114487499993,0,-1.7372018688000004
2012-10-01,-0.46515639360937433,0,26.8944669696
2012-10-02,-0.3679082883453113,0,-3.4585518079999984
2012-10-03,10.746954198753127,0,-0.5460407296000005
2012-10-04,4.730607562865624,0,7.3712591872
2012-10-05,6.774612090074999,2,22.4255873024
2012-10-06,-1.4672758961812509,4,-0.13150136319999994
2012-10-07,15.182920532248438,0,3.2282388479999984
2012-10-08,4.8707407499999995,0,1.644157439999999
2012-10-09,-1.8267826374999998,2,5.180117504
2012-10-10,-0.10093673374999956,16,4.7894908928
2012-10-11,0.09279027932812678,0,2.9634608127999993
2012-10-12,0.2139476740109394,0,-1.7222694912000005
2012-10-13,-0.6238490693406238,0,0.37169254400000096
2012-10-14,1.569013452212501,0,-2.311127654399999
2012-10-15,1.5039718680000005,1,12.7111693312
2012-10-16,-0.5413010941843746,1,2.287767244800001
2012-10-17,-0.24616442650156234,0,0.028480409599999756
2012-10-18,2.867850978234375,0,3.7703337984000003
2012-10-19,0.5973806381984376,3,12.4935220224
2012-10-20,-0.31152469055156246,0,-1.3499450367999994
2012-10-21,-0.18741027003593744,0,-2.696121036800001
2012-10-22,-0.13181151853124967,0,5.364837068799999
2012-10-23,-0.10494708110312467,2,9.434509312
2012-10-24,18.927599507428127,0,0.12190986240000079
2012-10-25,-1.9464431012500016,0,2.3014204415999995
2012-10-26,3.1052013647031247,2,8.429878476799999
2012-10-27,-0.9762648706234381,2,2.284636057600001
2012-10-28,-0.5809863525359361,0,-3.1340369920000004
2012-10-29,11.57978175,0,3.320815308799999
2012-10-30,6.4672717625,0,2.829170176
2012-10-31,-1.6152472287500004,0,11.6877151232
2012-11-01,-0.9364459972968748,0,8.8902505472
2012-11-02,-0.6799029831828113,2,6.441417318399999
2012-11-03,-0.3969742520624987,0,-3.529851904
2012-11-04,-0.32047356014374906,3,-0.6277131264000007
2012-11-05,-0.2384204549999993,1,21.936102297599998
2012-11-06,1.7964306738125004,0,-0.15214335999999928
2012-11-07,-0.3773327345562497,0,22.832670207999996
2012-11-08,23.8428091797125,8,-5.833274879999999
2012-11-09,1.542999999999998,0,-4.2737058816000015
2012-11-10,-1.521325000000001,0,-2.6486147072
2012-11-11,1.1037664999999994,0,-1.8321112064000005
2012-11-12,8.163775975000002,0,0.6732691455999995
2012-11-13,-1.4816393924999993,4,6.525546291200001
2012-11-14,13.138508073968751,0,2.356530278400001
2012-11-15,-2.0335194650718753,0,13.766862233600001
2012-11-16,-1.122210297374999,0,6.583352115200001
2012-11-17,7.189779512075001,0,-1.0648107008000007
2012-11-18,3.736484084856251,0,0.3388543999999989
2012-11-19,-0.20461439228124956,0,5.769436159999999
2012-11-20,2.1598193027875006,1,14.971490816
2012-11-21,9.116298579676563,6,-1.3172307967999997
2012-11-22,-1.52970288221875,0,-3.468645683200001
2012-11-23,0.14037371449687552,0,3.930561536
2012-11-24,2.3823361175000004,0,6.329071001600001
2012-11-25,7.254847752125001,0,-3.2685845504
2012-11-26,12.709720380884376,0,20.306152652799998
2012-11-27,4.917373710554687,0,2.4274940928000017
2012-11-28,1.215854995917187,0,2.7579435007999997
2012-11-29,12.638308049735938,0,10.2696040448
2012-11-30,-2.2872772591093744,0,16.1815030784
2012-12-01,-1.2339175017656239,0,-4.725258752
2012-12-02,-0.8839262865828112,0,1.1547728895999985
2012-12-03,15.31318585326719,0,13.534805606399999
2012-12-04,-2.14392361375625,0,8.445950976
2012-12-05,-1.1221113903624995,0,0.2026263551999996
2012-12-06,-0.6988086542984372,4,5.778480332799999
2012-12-07,-0.4897529398265609,0,9.4640878592
2012-12-08,-0.37545193550312383,0,-3.405222297599999
2012-12-09,0.7894078000000007,0,-3.281658982400001
2012-12-10,-0.27749913999999953,0,3.0081492991999994
2012-12-11,2.80190699175,0,-0.48824473599999907
2012-12-12,-0.4628816405749999,0,-0.9439592447999992
2012-12-13,10.8443375,0,-0.3672395775999997
2012-12-14,1.798383249999999,1,3.9594750976000004
2012-12-15,0.1298504874999996,0,-1.682854911999999
2012-12-16,0.39205605374999974,0,-0.8381623295999998
2012-12-17,-0.5068418505156242,0,14.5504340992
2012-12-18,2.6455483087140634,0,10.680243200000001
2012-12-19,6.429000173453126,3,-4.256157696000001
2012-12-20,15.941507496142187,0,1.0016028671999986
2012-12-21,-1.2683112944218764,0,0.11250933759999948
2012-12-22,-1.2718355256921878,0,-1.5778479104
2012-12-23,35.23165368312656,0,1.9697172479999996
2012-12-24,12.849967046948436,0,0.6632959999999999
2012-12-25,-3.748461278785939,1,1.7634022400000005
2012-12-26,11.862768224703125,0,-1.4048266239999987
2012-12-27,4.077720402532814,0,3.2969913344000004
2012-12-28,1.5059875147328152,2,-1.1648245759999998
2012-12-29,11.985833993873438,1,-0.5993418752000002
2012-12-30,20.299698869964065,0,-0.38518446080000013
2012-12-31,-1.9473241048125,0,4.727297024
2013-01-01,2.521244562440626,0,-1.2191076351999997
2013-01-02,14.010531671889064,0,6.4501829632
2013-01-03,13.15286769403125,2,5.2548850688
2013-01-04,-2.2877153366124996,0,5.814449152
2013-01-05,10.033350745185938,2,0.3264425983999999
2013-01-06,2.4387854188875018,1,-1.9133440000000008
2013-01-07,28.917379410137503,0,5.877414399999999
2013-01-08,-0.4239014156078129,0,47.793507840000004
2013-01-09,19.34570263985,1,-4.1889233919999995
2013-01-10,-0.9459619234296883,0,3.804760575999997
2013-01-11,-2.5816337450749973,1,-5.579899596800001
2013-01-12,-0.6871536210906226,0,-2.247919308800001
2013-01-13,4.708748522526566,2,-2.4779195392
2013-01-14,12.393263570740627,1,16.2279129088
2013-01-15,6.580598723835938,0,2.0065884160000005
2013-01-16,28.69615246432344,0,0.9969539072000018
2013-01-17,-4.321471135237502,0,1.6570152960000009
2013-01-18,-2.2641172073374993,2,4.4076086272
2013-01-19,9.589640671142188,0,-2.876468224
2013-01-20,-1.1459869155156222,0,3.471141887999999
2013-01-21,-0.43419784062968536,1,2.9081680895999997
2013-01-22,-1.1507151511843734,0,7.757510144000001
2013-01-23,0.15160916360625232,1,4.669308108800001
2013-01-24,-0.6986541263078109,11,10.8051407872
2013-01-25,-0.4869258161140613,0,8.531547648
2013-01-26,-0.17980942124999957,1,10.167115264
2013-01-27,-0.1501696519218746,0,-1.5102230528000007
2013-01-28,2.870833862839063,0,10.340451839999998
2013-01-29,-0.33112917805156267,0,14.898713088
