,rails/rails,django/django,pallets/flask
2014-08-15,20,15.0,0
2014-08-16,8,1.0,0
2014-08-17,45,0.0,0
2014-08-18,48,9.0,0
2014-08-19,59,15.0,0
2014-08-20,74,13.0,0
2014-08-21,29,0.0,0
2014-08-22,41,9.0,1
2014-08-23,12,13.0,0
2014-08-24,37,2.0,0
2014-08-25,11,3.0,2
2014-08-26,25,16.0,13
2014-08-27,24,8.0,1
2014-08-28,20,9.0,9
2014-08-29,29,10.0,0
2014-08-30,12,9.0,0
2014-08-31,9,2.0,2
2014-09-01,6,4.0,0
2014-09-02,34,6.0,1
2014-09-03,23,7.0,8
2014-09-04,21,3.0,0
2014-09-05,27,15.0,0
2014-09-06,10,14.0,3
2014-09-07,8,1.0,0
2014-09-08,8,16.0,0
2014-09-09,21,10.0,0
2014-09-10,15,12.0,2
2014-09-11,14,2.0,33
2014-09-12,23,7.0,2
2014-09-13,9,6.0,2
2014-09-14,11,1.0,1
2014-09-15,9,3.0,0
2014-09-16,19,6.0,0
2014-09-17,28,7.0,0
2014-09-18,4,8.0,2
2014-09-19,9,5.0,1
2014-09-20,9,3.0,4
2014-09-21,8,6.0,1
2014-09-22,28,8.0,1
2014-09-23,15,10.0,0
2014-09-24,4,12.0,0
2014-09-25,26,10.0,2
2014-09-26,6,9.0,1
2014-09-27,14,3.0,1
2014-09-28,8,2.0,3
2014-09-29,9,7.0,1
2014-09-30,10,5.0,0
2014-10-01,4,3.0,0
2014-10-02,10,5.0,0
2014-10-03,18,0.0,0
2014-10-04,5,7.0,0
2014-10-05,7,2.0,0
2014-10-06,4,12.0,0
2014-10-07,13,6.0,3
2014-10-08,7,6.0,1
2014-10-09,4,9.0,0
2014-10-10,8,7.0,0
2014-10-11,0,3.0,0
2014-10-12,0,3.0,0
2014-10-13,27,3.0,0
2014-10-14,10,2.0,2
2014-10-15,22,11.0,0
2014-10-16,27,8.0,0
2014-10-17,7,5.0,0
2014-10-18,9,1.0,2
2014-10-19,18,8.0,2
2014-10-20,16,11.0,4
2014-10-21,9,9.0,3
2014-10-22,7,11.0,0
2014-10-23,11,9.0,0
2014-10-24,22,7.0,3
2014-10-25,23,1.0,3
2014-10-26,6,0.0,2
2014-10-27,12,11.0,13
2014-10-28,19,8.0,0
2014-10-29,17,6.0,0
2014-10-30,20,19.0,1
2014-10-31,24,9.0,0
2014-11-01,27,1.0,0
2014-11-02,13,0.0,2
2014-11-03,12,14.0,4
2014-11-04,25,10.0,2
2014-11-05,24,5.0,20
2014-11-06,18,1.0,3
2014-11-07,10,0.0,1
2014-11-08,7,0.0,2
2014-11-09,8,1.0,0
2014-11-10,22,6.0,0
2014-11-11,7,8.0,0
2014-11-12,7,9.0,2
2014-11-13,10,11.0,0
2014-11-14,15,1.0,0
2014-11-15,3,25.0,0
2014-11-16,13,19.0,0
2014-11-17,23,17.0,0
2014-11-18,18,2.0,0
2014-11-19,16,21.0,0
2014-11-20,18,16.0,0
2014-11-21,17,12.0,0
2014-11-22,7,7.0,0
2014-11-23,23,15.0,0
2014-11-24,33,16.0,0
2014-11-25,67,14.0,0
2014-11-26,31,9.0,0
2014-11-27,26,9.0,0
2014-11-28,23,12.0,0
2014-11-29,21,5.0,0
2014-11-30,8,0.0,0
2014-12-01,20,15.0,2
2014-12-02,35,11.0,4
2014-12-03,18,12.0,0
2014-12-04,35,10.0,4
2014-12-05,16,4.0,0
2014-12-06,6,13.0,0
2014-12-07,5,1.0,2
2014-12-08,18,8.0,0
2014-12-09,14,3.0,2
2014-12-10,4,0.0,0
2014-12-11,11,10.0,0
2014-12-12,12,10.0,0
2014-12-13,13,5.0,1
2014-12-14,4,4.0,0
2014-12-15,38,12.0,1
2014-12-16,45,8.0,2
2014-12-17,16,6.0,2
2014-12-18,19,7.0,1
2014-12-19,17,7.0,0
2014-12-20,27,4.0,1
2014-12-21,11,3.0,0
2014-12-22,47,5.0,0
2014-12-23,36,17.0,0
2014-12-24,15,10.0,0
2014-12-25,7,4.0,2
2014-12-26,33,8.0,3
2014-12-27,19,8.0,1
2014-12-28,12,35.0,0
2014-12-29,44,8.0,0
2014-12-30,45,10.0,5
2014-12-31,23,14.0,0
2015-01-01,14,7.0,0
2015-01-02,72,11.0,1
2015-01-03,24,7.0,3
2015-01-04,84,0.0,1
2015-01-05,26,9.0,0
2015-01-06,28,10.0,0
2015-01-07,10,12.0,0
2015-01-08,20,12.0,0
2015-01-09,23,9.0,0
2015-01-10,20,17.0,0
2015-01-11,18,4.0,0
2015-01-12,12,23.0,0
2015-01-13,19,10.0,4
2015-01-14,25,9.0,0
2015-01-15,20,4.0,0
2015-01-16,14,19.0,2
2015-01-17,23,45.0,1
2015-01-18,19,24.0,0
2015-01-19,18,14.0,0
2015-01-20,12,8.0,0
2015-01-21,21,1.0,3
2015-01-22,17,3.0,1
2015-01-23,18,6.0,3
2015-01-24,5,1.0,0
2015-01-25,25,0.0,0
2015-01-26,21,2.0,0
2015-01-27,18,14.0,0
2015-01-28,23,5.0,0
2015-01-29,27,6.0,2
2015-01-30,16,7.0,0
2015-01-31,17,3.0,0
2015-02-01,34,1.0,2
2015-02-02,8,7.0,0
2015-02-03,20,17.0,0
2015-02-04,12,10.0,0
2015-02-05,34,14.0,6
2015-02-06,33,13.0,7
2015-02-07,14,3.0,1
2015-02-08,21,5.0,1
2015-02-09,10,13.0,2
2015-02-10,17,8.0,1
2015-02-11,36,16.0,7
2015-02-12,23,12.0,3
2015-02-13,14,11.0,3
2015-02-14,10,9.0,1
2015-02-15,11,3.0,0
2015-02-16,18,18.0,1
2015-02-17,15,11.0,0
2015-02-18,26,6.0,2
2015-02-19,27,3.0,1
2015-02-20,37,15.0,0
2015-02-21,10,7.0,0
2015-02-22,5,7.0,0
2015-02-23,20,12.0,0
2015-02-24,25,13.0,0
2015-02-25,24,5.0,0
2015-02-26,16,1.0,2
2015-02-27,19,5.0,0
2015-02-28,26,4.0,1
2015-03-01,23,1.0,0
2015-03-02,67,12.0,1
2015-03-03,15,3.0,0
2015-03-04,19,5.0,7
2015-03-05,45,9.0,13
2015-03-06,21,2.0,0
2015-03-07,13,7.0,0
2015-03-08,2,8.0,2
2015-03-09,10,8.0,0
2015-03-10,12,10.0,0
2015-03-11,14,7.0,0
2015-03-12,26,10.0,3
2015-03-13,12,13.0,1
2015-03-14,13,4.0,0
2015-03-15,12,0.0,0
2015-03-16,10,11.0,0
2015-03-17,11,8.0,0
2015-03-18,42,13.0,0
2015-03-19,32,3.0,0
2015-03-20,20,14.0,0
2015-03-21,13,9.0,0
2015-03-22,26,5.0,1
2015-03-23,22,8.0,5
2015-03-24,26,8.0,0
2015-03-25,16,12.0,0
2015-03-26,10,4.0,0
2015-03-27,19,4.0,0
2015-03-28,4,6.0,0
2015-03-29,10,3.0,3
2015-03-30,10,7.0,0
2015-03-31,21,2.0,5
2015-04-01,17,21.0,3
2015-04-02,3,4.0,0
2015-04-03,8,5.0,2
2015-04-04,6,5.0,0
2015-04-05,9,2.0,0
2015-04-06,30,3.0,1
2015-04-07,11,7.0,0
2015-04-08,22,3.0,0
2015-04-09,19,11.0,0
2015-04-10,13,1.0,0
2015-04-11,17,2.0,17
2015-04-12,19,0.0,0
2015-04-13,19,7.0,0
2015-04-14,26,15.0,0
2015-04-15,15,4.0,0
2015-04-16,11,9.0,0
2015-04-17,9,5.0,0
2015-04-18,5,7.0,0
2015-04-19,20,2.0,2
2015-04-20,9,14.0,0
2015-04-21,12,5.0,0
2015-04-22,22,11.0,0
2015-04-23,17,1.0,0
2015-04-24,14,11.0,0
2015-04-25,13,10.0,0
2015-04-26,18,1.0,0
2015-04-27,10,2.0,0
2015-04-28,32,6.0,0
2015-04-29,9,2.0,0
2015-04-30,12,6.0,1
2015-05-01,10,6.0,2
2015-05-02,11,8.0,2
2015-05-03,39,2.0,0
2015-05-04,33,4.0,0
2015-05-05,20,7.0,0
