,JuliaLang/julia,rust-lang/rust,python/cpython
2011-06-08,6,19,12
2011-06-09,20,29,26
2011-06-10,10,26,29
2011-06-11,17,10,26
2011-06-12,9,6,4
2011-06-13,13,4,6
2011-06-14,23,33,4
2011-06-15,14,46,3
2011-06-16,21,48,12
2011-06-17,0,39,21
2011-06-18,6,14,12
2011-06-19,17,24,18
2011-06-20,10,25,29
2011-06-21,8,13,11
2011-06-22,16,10,6
2011-06-23,27,15,6
2011-06-24,16,18,7
2011-06-25,12,8,42
2011-06-26,2,3,15
2011-06-27,10,38,28
2011-06-28,6,50,12
2011-06-29,15,38,46
2011-06-30,8,38,17
2011-07-01,22,33,20
2011-07-02,7,6,15
2011-07-03,9,8,33
2011-07-04,11,9,47
2011-07-05,5,26,23
2011-07-06,2,68,6
2011-07-07,8,32,3
2011-07-08,29,58,21
2011-07-09,27,15,20
2011-07-10,34,13,4
2011-07-11,25,35,0
2011-07-12,31,50,3
2011-07-13,17,32,20
2011-07-14,6,25,20
2011-07-15,8,28,35
2011-07-16,11,10,6
2011-07-17,2,8,19
2011-07-18,40,15,14
2011-07-19,53,22,21
2011-07-20,11,22,6
2011-07-21,5,24,9
2011-07-22,34,29,15
2011-07-23,12,11,24
2011-07-24,9,4,7
2011-07-25,34,16,6
2011-07-26,19,41,24
2011-07-27,2,40,25
2011-07-28,3,51,16
2011-07-29,24,32,48
2011-07-30,7,16,31
2011-07-31,16,4,21
2011-08-01,5,12,18
2011-08-02,3,48,34
2011-08-03,2,32,21
2011-08-04,8,29,4
2011-08-05,18,40,6
2011-08-06,11,4,15
2011-08-07,3,0,8
2011-08-08,12,14,11
2011-08-09,4,27,21
2011-08-10,7,31,8
2011-08-11,8,38,17
2011-08-12,13,76,17
2011-08-13,3,3,22
2011-08-14,7,4,4
2011-08-15,6,46,9
2011-08-16,18,49,16
2011-08-17,11,33,9
2011-08-18,6,31,30
2011-08-19,6,38,51
2011-08-20,29,20,41
2011-08-21,3,0,22
2011-08-22,19,23,16
2011-08-23,5,10,17
2011-08-24,11,21,7
2011-08-25,0,6,22
2011-08-26,10,30,13
2011-08-27,0,52,12
2011-08-28,2,4,9
2011-08-29,2,17,17
2011-08-30,8,14,16
2011-08-31,4,29,5
2011-09-01,3,51,50
2011-09-02,9,20,24
2011-09-03,2,15,8
2011-09-04,8,0,10
2011-09-05,3,0,20
2011-09-06,5,4,13
2011-09-07,4,8,4
2011-09-08,1,4,0
2011-09-09,0,9,17
2011-09-10,0,9,20
2011-09-11,6,1,5
2011-09-12,4,46,18
2011-09-13,2,17,2
2011-09-14,2,33,7
2011-09-15,3,27,8
2011-09-16,2,30,0
2011-09-17,2,3,6
2011-09-18,6,2,9
2011-09-19,2,9,14
2011-09-20,6,37,10
2011-09-21,9,30,19
2011-09-22,5,27,3
2011-09-23,1,42,6
2011-09-24,0,19,8
2011-09-25,1,6,4
2011-09-26,2,23,0
2011-09-27,0,31,1
2011-09-28,3,23,42
2011-09-29,0,7,31
2011-09-30,2,33,8
2011-10-01,1,6,27
2011-10-02,0,3,20
2011-10-03,0,4,37
2011-10-04,0,9,63
2011-10-05,5,39,31
2011-10-06,2,16,49
2011-10-07,0,14,33
2011-10-08,0,0,15
2011-10-09,0,4,19
2011-10-10,0,6,4
2011-10-11,0,16,32
2011-10-12,15,49,28
2011-10-13,42,7,11
2011-10-14,13,2,19
2011-10-15,14,3,3
2011-10-16,12,2,8
2011-10-17,19,10,16
2011-10-18,24,17,15
2011-10-19,18,0,37
2011-10-20,14,13,20
2011-10-21,15,46,11
2011-10-22,8,4,10
2011-10-23,7,5,37
2011-10-24,9,34,20
2011-10-25,6,7,20
2011-10-26,5,9,10
2011-10-27,6,19,12
2011-10-28,12,46,30
2011-10-29,9,10,6
2011-10-30,13,7,34
2011-10-31,14,18,40
2011-11-01,2,13,28
2011-11-02,17,49,20
2011-11-03,12,7,24
2011-11-04,10,2,27
2011-11-05,3,29,25
2011-11-06,15,5,26
2011-11-07,6,17,28
2011-11-08,9,11,24
2011-11-09,8,17,5
2011-11-10,6,19,15
2011-11-11,5,16,26
2011-11-12,12,6,21
2011-11-13,7,2,8
2011-11-14,11,6,17
2011-11-15,9,8,21
2011-11-16,15,59,11
2011-11-17,10,33,8
2011-11-18,10,36,17
2011-11-19,6,7,7
2011-11-20,1,1,23
2011-11-21,9,13,28
2011-11-22,3,17,35
2011-11-23,4,11,18
2011-11-24,2,4,4
2011-11-25,4,9,14
2011-11-26,2,4,17
2011-11-27,1,0,8
2011-11-28,11,6,12
2011-11-29,27,37,11
2011-11-30,7,11,4
2011-12-01,44,13,7
2011-12-02,25,25,12
2011-12-03,15,6,26
2011-12-04,24,4,9
2011-12-05,15,7,12
2011-12-06,11,12,9
2011-12-07,31,28,12
2011-12-08,21,15,11
2011-12-09,13,13,14
2011-12-10,15,1,18
2011-12-11,17,3,9
2011-12-12,35,4,10
2011-12-13,20,21,8
2011-12-14,19,33,15
2011-12-15,13,12,20
2011-12-16,15,42,13
2011-12-17,11,25,17
2011-12-18,10,16,42
2011-12-19,9,46,27
2011-12-20,1,33,14
2011-12-21,1,25,17
2011-12-22,1,21,10
2011-12-23,2,11,15
2011-12-24,1,5,17
2011-12-25,14,1,17
2011-12-26,18,1,2
2011-12-27,5,0,7
2011-12-28,3,12,4
2011-12-29,10,5,4
2011-12-30,7,9,5
2011-12-31,11,9,9
2012-01-01,19,2,20
2012-01-02,6,23,9
2012-01-03,27,11,21
2012-01-04,15,13,13
2012-01-05,35,23,10
2012-01-06,14,28,4
2012-01-07,9,29,10
2012-01-08,6,10,6
2012-01-09,18,25,14
2012-01-10,10,18,11
2012-01-11,8,22,10
2012-01-12,16,21,15
2012-01-13,10,32,17
2012-01-14,2,31,47
2012-01-15,2,15,5
2012-01-16,4,43,48
2012-01-17,11,63,10
2012-01-18,7,41,41
2012-01-19,10,76,18
2012-01-20,3,76,13
2012-01-21,8,31,25
2012-01-22,7,8,10
2012-01-23,3,20,9
2012-01-24,13,66,10
2012-01-25,22,41,29
2012-01-26,22,32,13
2012-01-27,6,36,23
2012-01-28,18,14,8
2012-01-29,5,13,11
2012-01-30,22,15,8
2012-01-31,6,31,11
2012-02-01,4,22,16
2012-02-02,2,25,18
2012-02-03,3,29,11
2012-02-04,3,43,26
2012-02-05,2,17,25
2012-02-06,15,21,12
2012-02-07,10,10,6
2012-02-08,1,31,21
2012-02-09,8,12,13
2012-02-10,9,45,12
2012-02-11,8,21,10
2012-02-12,3,28,23
2012-02-13,0,34,17
2012-02-14,6,25,18
2012-02-15,4,24,37
2012-02-16,3,6,23
2012-02-17,3,17,14
2012-02-18,5,26,12
2012-02-19,29,3,22
2012-02-20,39,8,56
2012-02-21,16,24,62
2012-02-22,15,18,29
2012-02-23,10,31,45
2012-02-24,9,21,13
2012-02-25,6,12,25
2012-02-26,35,0,37
2012-02-27,21,14,21
2012-02-28,15,17,12
2012-02-29,20,37,17
2012-03-01,9,14,9
2012-03-02,15,25,13
2012-03-03,18,17,6
2012-03-04,34,8,26
2012-03-05,27,5,41
2012-03-06,18,49,19
2012-03-07,23,20,13
2012-03-08,33,30,17
2012-03-09,16,10,11
2012-03-10,42,29,11
2012-03-11,26,24,6
2012-03-12,10,13,41
2012-03-13,9,23,46
2012-03-14,16,25,57
2012-03-15,29,60,45
2012-03-16,35,40,39
2012-03-17,44,8,52
2012-03-18,37,9,14
2012-03-19,40,20,8
2012-03-20,15,21,9
2012-03-21,25,30,20
2012-03-22,16,25,27
2012-03-23,7,34,19
2012-03-24,12,11,8
2012-03-25,17,13,22
2012-03-26,4,15,21
2012-03-27,10,25,8
2012-03-28,5,20,8
2012-03-29,10,49,13
2012-03-30,4,12,12
2012-03-31,8,3,37
2012-04-01,26,22,22
2012-04-02,9,15,20
2012-04-03,6,13,18
2012-04-04,1,24,8
2012-04-05,4,17,27
2012-04-06,1,53,15
2012-04-07,13,7,10
2012-04-08,39,17,15
2012-04-09,24,9,27
2012-04-10,25,7,33
2012-04-11,30,12,20
2012-04-12,37,12,15
2012-04-13,6,15,21
2012-04-14,38,10,16
2012-04-15,29,17,28
2012-04-16,26,9,30
2012-04-17,34,10,17
2012-04-18,13,12,29
2012-04-19,10,20,12
2012-04-20,27,44,21
2012-04-21,13,9,9
2012-04-22,10,3,24
2012-04-23,19,19,32
2012-04-24,15,9,35
2012-04-25,13,16,16
2012-04-26,18,12,9
2012-04-27,9,21,19
2012-04-28,26,7,6
2012-04-29,31,0,58
2012-04-30,32,4,21
2012-05-01,19,11,33
2012-05-02,22,10,13
2012-05-03,18,33,20
2012-05-04,10,8,26
2012-05-05,14,2,9
2012-05-06,21,1,35
2012-05-07,9,10,18
2012-05-08,15,5,11
2012-05-09,5,2,11
2012-05-10,19,6,17
2012-05-11,4,5,11
2012-05-12,3,1,15
2012-05-13,31,1,18
2012-05-14,14,7,22
2012-05-15,14,20,37
2012-05-16,12,30,37
2012-05-17,10,16,10
2012-05-18,10,20,25
2012-05-19,8,25,18
2012-05-20,9,2,30
2012-05-21,17,5,10
2012-05-22,30,42,10
2012-05-23,14,61,7
2012-05-24,29,23,7
2012-05-25,13,24,23
2012-05-26,16,12,24
2012-05-27,21,4,18
2012-05-28,36,5,23
2012-05-29,38,18,28
2012-05-30,28,22,9
2012-05-31,23,46,24
2012-06-01,7,18,17
2012-06-02,12,28,17
2012-06-03,5,19,27
2012-06-04,7,15,24
2012-06-05,19,22,7
2012-06-06,10,29,6
2012-06-07,14,59,8
2012-06-08,8,23,10
2012-06-09,6,28,4
2012-06-10,11,7,8
2012-06-11,0,7,11
2012-06-12,2,10,5
2012-06-13,3,30,6
2012-06-14,9,22,8
2012-06-15,2,46,25
2012-06-16,7,15,16
2012-06-17,25,2,28
2012-06-18,27,10,13
2012-06-19,43,17,7
2012-06-20,18,16,12
2012-06-21,20,55,26
2012-06-22,10,19,38
2012-06-23,8,5,66
2012-06-24,11,4,95
2012-06-25,5,25,27
2012-06-26,12,33,26
2012-06-27,22,14,16
2012-06-28,16,25,14
2012-06-29,27,53,23
2012-06-30,20,16,34
2012-07-01,33,3,14
2012-07-02,13,22,9
2012-07-03,18,31,20
2012-07-04,11,25,3
2012-07-05,13,24,5
2012-07-06,20,51,7
2012-07-07,8,17,26
2012-07-08,18,28,33
2012-07-09,17,37,29
2012-07-10,14,52,8
2012-07-11,11,42,11
2012-07-12,17,22,8
2012-07-13,17,44,21
2012-07-14,7,34,9
2012-07-15,4,5,23
2012-07-16,15,10,21
2012-07-17,5,14,17
2012-07-18,12,28,13
2012-07-19,4,19,12
2012-07-20,7,15,23
2012-07-21,19,3,20
2012-07-22,11,0,14
2012-07-23,14,20,21
2012-07-24,7,43,9
2012-07-25,6,49,13
2012-07-26,6,26,6
2012-07-27,16,23,8
2012-07-28,12,14,11
2012-07-29,12,1,16
2012-07-30,7,18,20
2012-07-31,9,35,15
2012-08-01,16,30,16
2012-08-02,15,20,11
2012-08-03,11,54,19
2012-08-04,14,8,17
2012-08-05,9,4,24
2012-08-06,12,21,9
2012-08-07,18,43,4
2012-08-08,29,31,6
2012-08-09,4,27,16
2012-08-10,16,22,8
2012-08-11,12,13,20
2012-08-12,6,6,27
2012-08-13,14,24,16
2012-08-14,8,48,25
2012-08-15,9,34,26
2012-08-16,6,26,8
2012-08-17,30,28,12
2012-08-18,16,10,22
2012-08-19,12,0,13
2012-08-20,17,10,29
2012-08-21,4,28,12
2012-08-22,7,27,7
2012-08-23,5,41,12
2012-08-24,16,34,38
2012-08-25,9,31,14
2012-08-26,2,14,1
2012-08-27,7,28,7
2012-08-28,18,19,19
2012-08-29,16,23,10
2012-08-30,10,20,8
2012-08-31,6,51,10
2012-09-01,3,12,15
2012-09-02,6,13,13
2012-09-03,13,14,10
2012-09-04,9,35,0
2012-09-05,6,24,7
2012-09-06,23,21,12
2012-09-07,9,27,8
2012-09-08,7,29,19
2012-09-09,6,6,21
2012-09-10,20,28,54
2012-09-11,7,14,20
2012-09-12,17,28,21
2012-09-13,18,29,4
2012-09-14,13,13,5
2012-09-15,8,19,9
2012-09-16,6,8,0
2012-09-17,7,5,6
2012-09-18,6,25,4
2012-09-19,11,29,6
2012-09-20,13,43,25
2012-09-21,19,6,20
2012-09-22,12,15,8
2012-09-23,3,11,20
2012-09-24,2,13,20
2012-09-25,13,27,39
2012-09-26,3,49,5
2012-09-27,10,44,5
2012-09-28,1,47,29
2012-09-29,2,21,59
2012-09-30,1,5,59
2012-10-01,17,23,43
2012-10-02,17,35,24
2012-10-03,7,15,19
2012-10-04,3,49,38
2012-10-05,14,32,27
2012-10-06,27,25,53
2012-10-07,3,13,36
2012-10-08,9,21,9
2012-10-09,16,11,32
2012-10-10,9,18,24
2012-10-11,21,76,20
2012-10-12,18,41,29
2012-10-13,5,24,12
2012-10-14,7,1,6
2012-10-15,6,10,1
2012-10-16,17,4,50
2012-10-17,10,25,35
2012-10-18,19,22,11
2012-10-19,15,10,25
2012-10-20,21,3,15
2012-10-21,10,19,28
2012-10-22,11,18,13
2012-10-23,9,32,24
2012-10-24,8,12,6
2012-10-25,11,25,5
2012-10-26,10,2,17
2012-10-27,33,7,41
2012-10-28,16,4,53
2012-10-29,11,6,10
2012-10-30,4,13,11
2012-10-31,28,7,79
2012-11-01,21,9,29
2012-11-02,4,11,9
2012-11-03,13,9,45
2012-11-04,8,12,29
2012-11-05,21,12,14
2012-11-06,23,1,16
2012-11-07,5,12,8
2012-11-08,17,4,27
2012-11-09,12,6,5
2012-11-10,2,0,17
2012-11-11,0,1,57
2012-11-12,9,1,14
2012-11-13,12,26,6
2012-11-14,14,14,16
2012-11-15,1,19,12
2012-11-16,22,33,4
2012-11-17,4,10,31
2012-11-18,13,23,39
2012-11-19,12,11,2
2012-11-20,17,8,13
2012-11-21,21,21,13
2012-11-22,24,0,10
2012-11-23,4,7,19
2012-11-24,5,11,6
2012-11-25,5,6,6
2012-11-26,21,7,8
2012-11-27,12,11,9
2012-11-28,18,14,24
2012-11-29,17,34,28
2012-11-30,8,18,5
2012-12-01,4,11,2
2012-12-02,4,1,32
2012-12-03,9,3,16
2012-12-04,19,8,7
2012-12-05,11,8,9
2012-12-06,19,32,6
2012-12-07,15,36,2
2012-12-08,30,17,26
2012-12-09,30,5,28
2012-12-10,15,9,19
2012-12-11,25,21,13
2012-12-12,17,12,6
2012-12-13,28,17,8
2012-12-14,38,35,12
2012-12-15,16,15,20
2012-12-16,14,13,19
2012-12-17,16,23,31
2012-12-18,16,29,19
2012-12-19,7,15,13
2012-12-20,15,12,7
2012-12-21,24,37,12
2012-12-22,6,11,9
2012-12-23,14,18,25
2012-12-24,10,8,19
2012-12-25,3,21,30
2012-12-26,3,0,21
2012-12-27,16,8,36
2012-12-28,12,15,17
2012-12-29,1,12,19
2012-12-30,10,12,10
2012-12-31,11,2,19
2013-01-01,9,5,39
2013-01-02,32,6,38
2013-01-03,18,8,16
2013-01-04,25,4,14
2013-01-05,32,7,12
2013-01-06,17,5,8
2013-01-07,15,20,7
2013-01-08,44,25,22
2013-01-09,37,25,6
2013-01-10,28,22,32
2013-01-11,42,27,60
2013-01-12,39,16,36
2013-01-13,26,24,27
2013-01-14,52,21,10
2013-01-15,26,19,31
2013-01-16,13,11,16
2013-01-17,18,3,15
2013-01-18,21,35,13
2013-01-19,15,1,24
2013-01-20,3,24,16
2013-01-21,13,11,23
2013-01-22,32,23,23
2013-01-23,20,51,10
2013-01-24,34,45,16
2013-01-25,29,36,50
2013-01-26,33,23,24
2013-01-27,5,1,21
2013-01-28,6,25,10
2013-01-29,8,44,41
2013-01-30,2,41,3
2013-01-31,0,40,17
2013-02-01,2,45,33
2013-02-02,12,17,67
2013-02-03,17,28,20
2013-02-04,13,22,30
2013-02-05,22,21,15
2013-02-06,26,23,7
2013-02-07,23,23,26
2013-02-08,24,39,12
2013-02-09,24,22,43
2013-02-10,39,22,35
2013-02-11,37,13,18
2013-02-12,35,15,21
2013-02-13,22,40,17
2013-02-14,16,25,1
2013-02-15,15,44,12
2013-02-16,12,41,14
2013-02-17,16,22,10
2013-02-18,13,17,16
2013-02-19,39,51,10
2013-02-20,43,7,21
2013-02-21,8,30,18
2013-02-22,14,21,13
2013-02-23,14,9,52
2013-02-24,8,4,4
2013-02-25,16,14,13
2013-02-26,12,56,19
2013-02-27,18,34,13
2013-02-28,12,27,9
2013-03-01,21,21,19
2013-03-02,22,33,8
2013-03-03,17,30,7
2013-03-04,35,21,18
2013-03-05,27,26,20
2013-03-06,37,34,16
2013-03-07,55,50,21
2013-03-08,25,34,13
2013-03-09,18,9,25
2013-03-10,20,16,14
2013-03-11,20,42,32
2013-03-12,18,40,13
2013-03-13,18,15,17
2013-03-14,17,29,11
2013-03-15,19,20,9
2013-03-16,39,22,37
2013-03-17,16,4,10
2013-03-18,22,17,20
2013-03-19,33,37,71
2013-03-20,21,32,37
2013-03-21,15,33,26
2013-03-22,13,51,14
2013-03-23,18,17,57
2013-03-24,12,7,16
2013-03-25,25,19,7
2013-03-26,18,58,20
2013-03-27,19,63,5
2013-03-28,13,31,17
2013-03-29,11,49,14
2013-03-30,13,17,25
2013-03-31,10,13,14
2013-04-01,18,17,13
2013-04-02,24,10,7
2013-04-03,34,27,23
2013-04-04,30,21,7
2013-04-05,21,19,9
2013-04-06,8,16,22
2013-04-07,13,10,19
2013-04-08,14,23,10
2013-04-09,12,15,23
2013-04-10,16,47,9
2013-04-11,23,24,17
2013-04-12,12,25,21
2013-04-13,9,23,26
2013-04-14,7,16,59
2013-04-15,8,24,9
2013-04-16,5,23,9
2013-04-17,20,7,23
2013-04-18,13,56,6
2013-04-19,10,50,13
2013-04-20,7,45,15
2013-04-21,7,16,12
2013-04-22,12,29,8
2013-04-23,5,39,12
2013-04-24,17,32,5
2013-04-25,10,26,2
2013-04-26,11,19,3
2013-04-27,20,13,0
2013-04-28,30,40,17
2013-04-29,11,44,5
2013-04-30,13,54,20
2013-05-01,29,40,9
2013-05-02,17,55,1
2013-05-03,50,46,7
2013-05-04,14,20,20
2013-05-05,2,16,8
2013-05-06,10,26,23
2013-05-07,20,56,15
2013-05-08,17,30,7
2013-05-09,20,65,6
2013-05-10,7,35,7
2013-05-11,20,26,13
2013-05-12,6,21,25
2013-05-13,14,34,11
2013-05-14,11,68,5
2013-05-15,31,70,12
2013-05-16,15,28,16
2013-05-17,26,38,19
2013-05-18,8,38,14
2013-05-19,8,20,13
2013-05-20,18,64,24
2013-05-21,22,36,8
2013-05-22,20,22,9
2013-05-23,11,29,6
2013-05-24,6,37,7
2013-05-25,2,16,19
2013-05-26,2,21,1
2013-05-27,16,25,4
2013-05-28,19,36,27
2013-05-29,8,36,16
2013-05-30,12,47,2
2013-05-31,13,30,12
2013-06-01,6,36,7
2013-06-02,15,21,4
2013-06-03,11,14,2
2013-06-04,27,15,17
2013-06-05,19,37,8
2013-06-06,19,38,0
2013-06-07,13,30,8
2013-06-08,10,41,7
2013-06-09,1,13,10
2013-06-10,14,40,9
2013-06-11,14,28,8
2013-06-12,30,43,9
2013-06-13,27,35,9
2013-06-14,35,30,16
2013-06-15,35,43,28
2013-06-16,2,47,18
2013-06-17,19,43,22
2013-06-18,34,12,5
2013-06-19,18,19,14
2013-06-20,27,33,6
2013-06-21,13,23,18
2013-06-22,14,25,13
2013-06-23,10,42,31
2013-06-24,32,32,25
2013-06-25,16,43,9
2013-06-26,14,56,3
2013-06-27,17,45,3
2013-06-28,32,58,8
2013-06-29,12,43,20
2013-06-30,15,35,10
2013-07-01,31,28,17
2013-07-02,49,25,8
2013-07-03,28,22,4
2013-07-04,15,18,12
2013-07-05,19,15,0
2013-07-06,23,23,18
2013-07-07,13,29,31
2013-07-08,10,53,21
2013-07-09,6,32,5
2013-07-10,19,25,6
2013-07-11,39,63,39
2013-07-12,41,21,21
2013-07-13,10,23,11
2013-07-14,9,29,7
2013-07-15,17,15,21
2013-07-16,27,27,31
2013-07-17,13,46,22
2013-07-18,25,27,6
2013-07-19,16,41,7
2013-07-20,12,58,33
2013-07-21,5,31,17
2013-07-22,12,44,24
2013-07-23,16,47,4
2013-07-24,22,44,4
2013-07-25,28,35,16
2013-07-26,19,14,30
2013-07-27,14,27,9
2013-07-28,19,32,15
2013-07-29,14,29,6
2013-07-30,26,40,25
2013-07-31,21,34,17
2013-08-01,25,47,18
2013-08-02,25,34,12
2013-08-03,11,36,28
2013-08-04,6,56,24
2013-08-05,8,30,8
2013-08-06,25,46,12
2013-08-07,47,47,2
2013-08-08,51,52,12
2013-08-09,20,29,3
2013-08-10,16,36,36
2013-08-11,12,31,8
2013-08-12,15,22,13
2013-08-13,19,25,13
2013-08-14,34,21,5
2013-08-15,24,56,12
2013-08-16,44,56,24
2013-08-17,8,18,16
2013-08-18,6,18,11
2013-08-19,13,47,17
2013-08-20,41,34,5
2013-08-21,30,38,17
2013-08-22,12,71,20
