,opencv/opencv,scikit-image/scikit-image,davisking/dlib
2017-07-18,6,2,1
2017-07-19,7,3,3
2017-07-20,15,2,0
2017-07-21,9,0,1
2017-07-22,1,0,2
2017-07-23,0,0,0
2017-07-24,2,2,2
2017-07-25,13,4,3
2017-07-26,17,3,0
2017-07-27,4,5,0
2017-07-28,4,1,1
2017-07-29,1,12,4
2017-07-30,7,0,0
2017-07-31,18,0,3
2017-08-01,10,0,0
2017-08-02,9,3,0
2017-08-03,27,0,6
2017-08-04,1,1,0
2017-08-05,0,0,2
2017-08-06,0,0,2
2017-08-07,3,0,0
2017-08-08,4,0,2
2017-08-09,3,0,2
2017-08-10,11,2,9
