,tensorflow/tensorflow,pytorch/pytorch,apache/mxnet
2021-11-27,9,1,-0.6121824255999999
2021-11-28,10,2,-0.3347857408000001
2021-11-29,51,24,1.776206336
2021-11-30,69,52,-0.5757416447999998
2021-12-01,62,30,0.7173532671999999
2021-12-02,56,59,2.6228606976
2021-12-03,56,30,-0.8053714943999999
2021-12-04,73,10,-0.37839841280000014
2021-12-05,16,1,-0.2309269504000001
2021-12-06,68,20,-0.16018944000000007
2021-12-07,84,37,-0.12581222399999992
2021-12-08,71,37,-0.10315182079999997
2021-12-09,68,28,-0.06516787199999997
2021-12-10,53,25,-0.05563248639999978
2021-12-11,29,7,-0.03740805119999989
2021-12-12,10,9,0.0
2021-12-13,63,5,0.0
2021-12-14,88,44,2.0
2021-12-15,72,34,-0.3999999999999999
2021-12-16,51,39,0.8399999999999999
2021-12-17,29,47,0.704
2021-12-18,11,8,-0.34720000000000006
2021-12-19,5,7,-0.17907200000000012
2021-12-20,44,17,-0.12245760000000008
2021-12-21,44,32,1.90701056
2021-12-22,60,34,-0.4747402239999998
2021-12-23,59,27,0.7777057792
2021-12-24,17,5,2.672685568
2021-12-25,6,2,0.22594293760000017
2021-12-26,7,0,-0.5515413504000002
2021-12-27,11,2,-0.2984576000000002
2021-12-28,53,13,-0.20818944000000011
2021-12-29,74,13,0.840587776
2021-12-30,41,18,-0.3286878207999999
2021-12-31,13,2,-0.16559667200000006
2022-01-01,4,0,-0.12055920639999981
2022-01-02,3,2,-0.08539576319999984
2022-01-03,30,3,-0.03800535039999998
2022-01-04,62,20,0.9795712
2022-01-05,56,50,1.78307328
2022-01-06,57,37,0.505612288
2022-01-07,80,53,-0.4204693504000001
2022-01-08,22,14,-0.20960000000000015
2022-01-09,11,3,-0.14073600000000008
2022-01-10,47,24,-0.10510080000000005
2022-01-11,64,29,-0.08332032000000004
2022-01-12,59,49,-0.06866995199999998
2022-01-13,44,30,0.9418285056000002
2022-01-14,51,27,-0.23932641279999983
2022-01-15,20,7,-0.09246935040000004
2022-01-16,5,1,-0.048000000000000036
2022-01-17,19,4,-0.03360000000000001
2022-01-18,43,19,2.9744639999999998
2022-01-19,59,32,0.3795712000000001
2022-01-20,64,43,-0.4569267200000002
2022-01-21,56,34,-0.2383877120000001
2022-01-22,18,17,-0.16126935040000004
2022-01-23,6,3,-0.11020800000000006
2022-01-24,41,10,-0.08682240000000005
2022-01-25,66,40,0.9287910399999999
2022-01-26,72,44,0.7399101440000002
2022-01-27,60,49,0.6682042368000001
2022-01-28,52,40,1.6595306496
2022-01-29,16,8,-0.5616000000000001
2022-01-30,5,4,-0.2671360000000002
2022-01-31,42,24,-0.17556480000000013
2022-02-01,57,47,0.8699084799999999
2022-02-02,96,34,0.6971847680000001
2022-02-03,67,35,-0.3646413824
2022-02-04,85,37,-0.18871050240000004
2022-02-05,20,11,4.8771552256
2022-02-06,14,0,-1.0840747007999998
2022-02-07,48,39,-0.4459648000000004
2022-02-08,67,31,-0.2773555200000002
2022-02-09,80,30,0.800685568
2022-02-10,82,24,0.6454629376000001
2022-02-11,60,43,1.6053866496
2022-02-12,17,8,-0.6126336000000001
