,openxla/xla,NVIDIA/Megatron-LM,alpa-projects/alpa
2021-10-23,-12.7100128256,0,1
2021-10-24,-7.271246233600001,0,0
2021-10-25,5.8782737407999965,1,1
2021-10-26,5.9840878592,0,0
2021-10-27,-5.751861657599999,1,1
2021-10-28,2.7643217920000005,0,2
2021-10-29,-1.1744328703999987,2,2
2021-10-30,-4.680052531199999,0,0
2021-10-31,-1.9070006272000004,1,2
2021-11-01,1.7751167999999995,0,2
2021-11-02,9.89312,6,2
2021-11-03,1.1264168960000012,0,1
2021-11-04,4.094376345600001,0,1
2021-11-05,-0.5842929663999996,2,6
2021-11-06,-3.2952198144000002,0,1
2021-11-07,-2.3595043840000005,0,1
2021-11-08,2.6452659199999995,0,2
2021-11-09,5.431775744,0,1
2021-11-10,2.573114265600001,0,1
2021-11-11,-0.5857709055999987,1,0
2021-11-12,2.5407954944,0,3
2021-11-13,-3.9899405312,0,3
2021-11-14,-1.6778152960000003,0,1
2021-11-15,6.969950003199999,0,0
2021-11-16,6.062262272,0,3
2021-11-17,3.467402956800001,3,4
2021-11-18,0.268263321600001,3,1
2021-11-19,-3.7132333055999993,0,1
2021-11-20,-1.4937428992000004,0,1
2021-11-21,-1.8384145408000006,1,0
2021-11-22,1.9202355199999994,5,0
2021-11-23,4.003067904,1,4
2021-11-24,1.6113913856000006,4,4
2021-11-25,-2.3395215359999995,0,1
2021-11-26,0.24374855679999996,3,1
2021-11-27,-1.6897712128000002,3,3
2021-11-28,-0.7885554688000003,1,2
2021-11-29,5.4749509631999995,0,2
2021-11-30,3.2163415040000003,3,4
2021-12-01,3.5759512576000008,0,4
2021-12-02,-3.120864460799999,6,3
2021-12-03,7.010512384,3,4
2021-12-04,-3.6404215808,0,0
2021-12-05,-1.1782875136000004,3,1
2021-12-06,3.4047334399999998,12,3
2021-12-07,2.049747968,12,6
2021-12-08,2.7055516672000004,4,5
2021-12-09,2.2005297152000005,7,5
2021-12-10,0.029006950400000342,15,4
2021-12-11,-0.2522933248000001,1,0
2021-12-12,-1.7268856832,0,3
2021-12-13,6.3200653312,1,1
2021-12-14,4.823679283200001,4,0
2021-12-15,0.7436200960000008,0,0
2021-12-16,7.519542784,0,0
2021-12-17,-1.768847052799999,3,0
2021-12-18,-0.6535026687999999,0,1
2021-12-19,-0.7859039232000002,0,1
2021-12-20,-0.08609546240000032,0,2
2021-12-21,4.1794179071999995,4,1
2021-12-22,6.7072715776,0,0
2021-12-23,-1.2179884031999988,0,2
2021-12-24,-4.425019084799999,0,0
2021-12-25,0.9432157183999998,1,0
2021-12-26,-2.4358789120000006,0,1
2021-12-27,-0.20998584320000058,0,1
2021-12-28,-1.2068107264,0,2
2021-12-29,1.2938233856,0,0
2021-12-30,1.6979912704000002,2,2
2021-12-31,0.23295211520000025,1,0
2022-01-01,-1.4370544639999998,0,1
2022-01-02,-0.5836303360000001,0,1
2022-01-03,-0.3694690304000001,0,1
2022-01-04,4.765861888,3,0
2022-01-05,4.821667123200001,1,2
2022-01-06,0.4686504960000004,0,0
2022-01-07,4.1321954304,1,0
2022-01-08,-1.0047058943999998,2,1
2022-01-09,4.2374436864,0,0
2022-01-10,0.9011200000000006,1,0
2022-01-11,-0.6956031999999999,4,1
2022-01-12,0.12131071999999987,1,2
2022-01-13,1.3346385920000001,7,0
2022-01-14,8.0826425344,1,1
2022-01-15,-1.7196966911999985,2,1
2022-01-16,-2.7691201535999994,0,0
2022-01-17,-2.1454828544,0,1
2022-01-18,-0.24277493760000057,0,1
2022-01-19,8.7837056,2,3
2022-01-20,-1.6913470463999989,2,4
2022-01-21,6.1131017216000005,0,0
2022-01-22,-1.9559508991999994,2,0
2022-01-23,-3.1377251328,0,0
2022-01-24,0.5503684607999997,4,0
2022-01-25,11.2829432832,3,1
2022-01-26,5.897881088,2,3
2022-01-27,-2.0039917567999987,6,0
2022-01-28,0.23712665600000093,9,2
2022-01-29,-1.1986115583999997,5,0
2022-01-30,-2.2151529472000004,0,1
2022-01-31,3.9789188095999997,2,1
2022-02-01,2.385552896,5,0
2022-02-02,2.9835567104000003,1,1
2022-02-03,0.4096306176000004,1,1
2022-02-04,9.1063491584,3,2
2022-02-05,-5.895156223999999,0,0
2022-02-06,-3.0165196800000005,0,0
2022-02-07,1.3287832575999996,0,0
2022-02-08,1.6707418111999996,3,2
2022-02-09,12.1978908672,1,0
2022-02-10,0.7247946752000018,2,1
2022-02-11,-0.8079461375999992,7,0
2022-02-12,-1.4556415999999999,0,1
2022-02-13,-2.3062293504000007,0,0
2022-02-14,6.978157363199999,8,0
2022-02-15,5.176986624,12,1
2022-02-16,6.023158681600001,2,0
2022-02-17,7.752235212800001,6,1
2022-02-18,-5.958312447999997,9,1
2022-02-19,-3.7098066944,4,0
2022-02-20,-2.8532172800000004,0,2
2022-02-21,-1.7439412224000006,0,0
2022-02-22,2.7534564351999995,4,1
2022-02-23,2.4369087488000005,4,2
2022-02-24,17.835749888000002,2,3
2022-02-25,-6.714988441599999,0,0
2022-02-26,-3.4622100479999993,0,1
2022-02-27,-2.4853581824,0,0
2022-02-28,11.559989043199998,1,2
2022-03-01,5.79390976,5,0
2022-03-02,2.8738411520000007,4,2
2022-03-03,2.1164054528000005,2,0
2022-03-04,-2.5691356159999996,0,0
2022-03-05,-0.5411749887999999,0,1
2022-03-06,-3.7834957824000006,0,0
2022-03-07,6.062906163199999,4,0
2022-03-08,4.460929024,1,1
2022-03-09,12.4151730176,15,0
2022-03-10,-4.474130841599997,2,0
2022-03-11,1.5014819839999998,5,0
2022-03-12,-5.4153044992,0,3
2022-03-13,-2.473889075200001,0,1
2022-03-14,8.4000380928,11,0
2022-03-15,6.859121664,3,1
2022-03-16,3.1060632576000007,0,1
2022-03-17,-1.720581427199999,0,0
2022-03-18,9.1812606976,7,0
2022-03-19,-3.8088007679999993,0,0
2022-03-20,-4.6946430976,0,0
2022-03-21,4.657216,1,0
2022-03-22,1.6102041600000003,4,0
2022-03-23,5.565900288,7,0
2022-03-24,3.9937193984000015,3,3
2022-03-25,2.5719992320000005,8,2
2022-03-26,-5.248916992,0,0
2022-03-27,-3.116251443200001,0,0
2022-03-28,2.270914252799999,2,0
2022-03-29,6.2161346559999995,8,0
2022-03-30,6.0149730304,1,0
2022-03-31,0.6153275392000008,3,0
2022-04-01,0.6697630720000003,0,2
2022-04-02,0.2790384640000001,0,0
2022-04-03,-4.1173599232,0,0
2022-04-04,2.1023788031999993,0,0
2022-04-05,2.142182912,0,2
2022-04-06,9.5818754048,0,1
2022-04-07,-4.754029363199999,0,1
2022-04-08,5.6816909312,0,1
2022-04-09,-5.2721821696,0,1
2022-04-10,-2.1429803008000006,0,1
2022-04-11,3.699134976,0,0
2022-04-12,8.114698751999999,0,1
2022-04-13,3.3187171328000016,0,1
2022-04-14,9.25557504,1,1
2022-04-15,-4.354022502399999,0,1
2022-04-16,-2.7453577215999996,0,0
2022-04-17,-3.1738714112000004,0,0
2022-04-18,-1.734016000000001,0,1
2022-04-19,-0.22820352000000055,0,3
2022-04-20,6.656505344,1,0
2022-04-21,-4.024496332799999,0,0
2022-04-22,10.5140722688,0,1
2022-04-23,-3.6429363199999987,0,0
2022-04-24,-2.6842560512,0,1
2022-04-25,5.7038244864,1,0
2022-04-26,8.37072384,0,4
2022-04-27,-1.2447441919999989,0,2
2022-04-28,-0.3575062527999995,3,1
2022-04-29,3.3720416256,0,3
2022-04-30,-3.5274736640000004,0,1
2022-05-01,-2.4080557056000003,0,2
2022-05-02,5.6860913663999995,0,2
2022-05-03,6.2836392960000005,1,4
2022-05-04,11.4535747584,2,2
2022-05-05,-2.9415330815999994,1,1
2022-05-06,-2.6473707519999996,0,3
2022-05-07,-2.8093171712000005,0,2
2022-05-08,-1.4162052096000006,0,4
2022-05-09,2.1581919231999995,2,1
2022-05-10,10.231318016,1,3
2022-05-11,-1.566678937599999,0,1
2022-05-12,-0.45229363199999995,1,2
2022-05-13,5.3850701824,1,2
2022-05-14,-5.2241978368,0,2
2022-05-15,-1.0971495424000004,0,2
2022-05-16,3.3078822911999994,9,1
2022-05-17,4.9587377152,5,1
2022-05-18,5.4345095168,1,3
2022-05-19,7.156094361600001,4,0
2022-05-20,2.5600993280000006,4,0
2022-05-21,-4.8931172352,0,0
2022-05-22,-3.7359859712000008,0,1
2022-05-23,6.988965887999999,0,1
2022-05-24,3.0014508032,9,1
2022-05-25,6.669816320000001,2,0
2022-05-26,4.881704345600001,3,0
2022-05-27,2.318962176000001,0,0
2022-05-28,-5.1650422784,0,0
2022-05-29,-2.8717777920000005,0,0
2022-05-30,3.486739046399999,0,0
2022-05-31,13.017651712,0,1
2022-06-01,5.300845772800001,1,3
2022-06-02,10.140163481600002,0,2
2022-06-03,2.787369574400003,0,2
2022-06-04,-9.0277513216,0,4
2022-06-05,-3.702026752,0,1
2022-06-06,1.832922214399999,1,1
2022-06-07,9.9269952512,0,1
2022-06-08,0.24714731520000122,7,1
2022-06-09,2.6281739264000006,0,1
2022-06-10,6.558764236800001,0,4
2022-06-11,-1.0208387071999994,0,1
2022-06-12,-6.0156444672,0,1
2022-06-13,14.272692531199999,0,1
2022-06-14,7.4121618432,0,1
2022-06-15,-1.750380031999999,0,1
2022-06-16,3.8180594688000005,0,3
2022-06-17,1.270453657600001,0,3
2022-06-18,-4.0475855872,0,2
2022-06-19,-3.4588724224000007,0,2
2022-06-20,2.1974861823999996,0,3
2022-06-21,7.248846336,2,0
2022-06-22,7.682012262400001,0,5
2022-06-23,15.893782835200001,0,2
2022-06-24,1.2747252736000014,6,1
2022-06-25,-10.3386160128,0,1
2022-06-26,-3.4217091072000008,0,2
2022-06-27,1.8882738175999987,0,3
2022-06-28,4.9666143232,0,3
2022-06-29,1.2776637439999998,0,0
2022-06-30,8.6430620672,0,5
2022-07-01,-1.054051123199999,0,5
2022-07-02,-5.9944589312,0,4
2022-07-03,-1.6091287552000004,0,1
2022-07-04,0.046258687999999326,0,7
2022-07-05,1.9548178431999994,0,0
2022-07-06,4.235865088000001,0,4
2022-07-07,2.9111963648000003,0,2
2022-07-08,6.5604870144000005,0,1
2022-07-09,-3.2225313791999985,0,2
2022-07-10,-3.5328920576000002,0,0
2022-07-11,7.2913863679999995,0,1
2022-07-12,4.2634017792000005,1,0
2022-07-13,-1.5098274815999995,0,0
2022-07-14,3.1156722688,0,0
2022-07-15,0.3029571583999999,3,0
2022-07-16,-2.0513796095999997,0,0
2022-07-17,-2.6768836608,0,0
2022-07-18,7.6185936896,4,0
2022-07-19,8.460746752,5,0
2022-07-20,5.0012305408,2,1
2022-07-21,1.5848798208000012,1,1
2022-07-22,2.4585381888000004,0,3
2022-07-23,-5.4604747776,0,2
2022-07-24,-3.245547008000001,0,0
2022-07-25,14.0807230464,0,1
2022-07-26,-1.7587450879999995,3,2
2022-07-27,4.6295088128,1,3
2022-07-28,20.5057995776,1,0
2022-07-29,-1.5278775295999978,1,0
2022-07-30,-3.678787379199999,0,0
2022-07-31,-6.661462323199999,0,0
2022-08-01,5.644773683199999,0,0
2022-08-02,16.125749247999998,0,0
2022-08-03,10.411559219200003,0,0
2022-08-04,2.8043784192000025,1,0
2022-08-05,-1.7178117119999978,0,3
2022-08-06,-9.1504101376,2,3
2022-08-07,-0.2493249536000013,0,0
2022-08-08,20.6881416192,1,0
2022-08-09,8.579023872,0,1
2022-08-10,11.824307404800003,2,2
2022-08-11,7.5750539264000025,0,1
2022-08-12,9.5884355584,0,0
2022-08-13,-15.430580428799999,0,1
2022-08-14,-3.316535808000001,0,1
2022-08-15,6.972285951999999,0,2
2022-08-16,21.1371568128,4,3
2022-08-17,11.767958528000001,0,1
2022-08-18,15.527391027200004,0,0
2022-08-19,1.708629504000001,0,0
2022-08-20,-11.9728497664,0,1
2022-08-21,-9.522473472000001,0,6
2022-08-22,27.779409715199996,0,1
2022-08-23,8.1340807168,0,4
2022-08-24,2.279847321600002,0,3
2022-08-25,20.21851648,0,1
2022-08-26,-1.6302552063999975,0,1
2022-08-27,-3.892033638399999,0,0
2022-08-28,-8.9743236096,0,0
2022-08-29,18.874612736,0,0
2022-08-30,14.237576704,0,2
2022-08-31,14.065727385599999,0,0
2022-09-01,4.884593152000001,0,1
2022-09-02,8.734330060799998,1,1
2022-09-03,-12.858382335999998,0,2
2022-09-04,-10.5169964032,0,2
2022-09-05,3.2109236223999984,0,0
2022-09-06,7.443988377599999,0,0
2022-09-07,16.9274903552,0,3
2022-09-08,10.708888268800003,0,0
2022-09-09,6.603381862400003,0,2
2022-09-10,-12.780949503999999,0,1
2022-09-11,-7.839633305600001,0,0
2022-09-12,5.691124019199998,2,0
2022-09-13,12.040481792,0,1
2022-09-14,6.950736588800002,0,0
2022-09-15,13.183179264000003,0,0
2022-09-16,27.976988774400002,0,1
2022-09-17,-20.178365132799996,0,1
2022-09-18,-6.847344742400001,0,3
2022-09-19,11.450463129599997,0,1
2022-09-20,12.79646464,0,0
2022-09-21,8.314573824000002,0,0
2022-09-22,6.590694604800003,1,0
2022-09-23,8.597260697600003,5,2
2022-09-24,-13.345186815999998,3,0
2022-09-25,-8.227885158400001,0,4
2022-09-26,10.534255513599998,3,1
2022-09-27,12.8704116736,4,0
2022-09-28,8.034534809600004,0,0
2022-09-29,21.299137740800003,0,1
2022-09-30,2.3104336896000035,2,0
2022-10-01,-10.408888217599998,0,3
2022-10-02,-9.5096148992,0,1
2022-10-03,12.967864729599999,2,2
2022-10-04,31.3387648,3,0
2022-10-05,3.416564224000002,3,0
2022-10-06,24.880298598400003,11,1
2022-10-07,0.02205726720000456,6,2
2022-10-08,-17.937920511999998,0,1
2022-10-09,-9.635815321600003,0,2
2022-10-10,9.250486579199997,1,0
2022-10-11,10.925617664,3,1
2022-10-12,4.654411673600002,0,0
2022-10-13,13.979666534400003,3,0
2022-10-14,12.595160064000002,5,0
2022-10-15,-13.280834662399997,0,1
2022-10-16,-8.280505344000002,0,0
2022-10-17,17.6982820864,0,2
2022-10-18,8.31844096,0,1
2022-10-19,24.238473216000003,0,0
2022-10-20,18.913137971200005,2,2
2022-10-21,19.8221147136,0,0
2022-10-22,-22.294377881599996,0,0
2022-10-23,-9.0432412672,0,0
2022-10-24,6.197927423999998,0,0
2022-10-25,21.551757107199997,0,0
2022-10-26,13.988875161600003,0,0
2022-10-27,21.9739584512,1,0
2022-10-28,16.968512921600006,0,0
2022-10-29,-11.656563199999997,0,2
2022-10-30,-14.730043699200003,0,0
2022-10-31,24.192826368,0,0
2022-11-01,6.296721612799999,0,0
2022-11-02,19.088707072,2,1
2022-11-03,29.200138649600003,0,0
2022-11-04,-7.159636070399998,0,1
2022-11-05,-14.056802918399999,0,1
2022-11-06,-13.460224614400001,0,1
2022-11-07,27.689144115199998,0,0
2022-11-08,7.998219161600002,2,1
2022-11-09,11.204035276800003,0,0
2022-11-10,-7.153041612799996,2,1
2022-11-11,1.1018182655999986,2,0
2022-11-12,-9.840523878399999,0,0
2022-11-13,-6.120817459200001,0,0
2022-11-14,13.475278745599999,0,2
2022-11-15,20.75927296,0,0
2022-11-16,19.095141888000004,0,0
2022-11-17,17.213057126400003,2,1
2022-11-18,4.791831040000005,0,0
2022-11-19,-15.3645225984,0,0
2022-11-20,-10.887259648000002,0,0
2022-11-21,16.852848537599996,0,0
2022-11-22,4.495260467200001,1,2
2022-11-23,7.759208345600001,0,1
2022-11-24,-0.46515937279999875,2,0
2022-11-25,0.10535761919999942,0,0
2022-11-26,-10.2642386944,0,0
2022-11-27,-4.711016550400001,0,2
2022-11-28,18.120756735999997,0,0
2022-11-29,10.519993344000001,3,1
2022-11-30,11.446149017600002,0,0
2022-12-01,4.454616985600001,0,1
2022-12-02,10.601012019200002,0,2
2022-12-03,-11.279634739199999,0,1
2022-12-04,-7.959197081600001,0,1
2022-12-05,24.606743039999998,0,0
2022-12-06,17.321343488,0,2
2022-12-07,14.370526515200002,0,2
2022-12-08,19.4515361792,0,0
2022-12-09,5.657739468800003,1,1
2022-12-10,-13.792192307199997,0,0
2022-12-11,-12.7249754112,0,0
2022-12-12,31.1488227328,0,0
2022-12-13,31.056760832000002,0,0
2022-12-14,13.427754188800005,0,0
2022-12-15,15.074986086400003,0,1
2022-12-16,0.15180994560000372,0,0
2022-12-17,-11.821338112,0,1
2022-12-18,-11.684544000000002,0,0
2022-12-19,21.0856262656,0,0
2022-12-20,17.380393984,0,2
2022-12-21,8.237939609600005,1,0
2022-12-22,9.025063219200003,2,0
2022-12-23,-13.8309308416,0,2
2022-12-24,-8.6322479104,0,0
2022-12-25,-5.250228531200001,0,1
2022-12-26,-0.020475289600002,0,0
2022-12-27,5.8284689408000006,0,1
2022-12-28,15.6582889472,0,0
2022-12-29,-1.3523616767999975,0,0
2022-12-30,-2.892843212799999,0,0
2022-12-31,-5.1152723968,0,0
2023-01-01,-4.121722982400001,0,0
2023-01-02,1.6115104767999995,0,3
2023-01-03,14.720483737599999,1,0
2023-01-04,8.0520266752,1,1
2023-01-05,-1.1744080896,0,0
2023-01-06,-2.6219446271999995,0,0
2023-01-07,7.6669830143999995,0,1
2023-01-08,-5.8340873216,0,0
2023-01-09,20.9239998464,0,0
2023-01-10,20.668764672000002,0,4
2023-01-11,22.138476236800003,2,0
2023-01-12,10.199259033600004,0,0
2023-01-13,11.043751526400001,0,0
2023-01-14,-16.3173056512,0,1
2023-01-15,-9.996252160000001,0,0
2023-01-16,-0.6166170624000022,0,0
2023-01-17,20.2855384064,0,2
2023-01-18,7.281283584000002,0,0
2023-01-19,6.336506265600002,0,0
2023-01-20,20.540823552000003,0,1
2023-01-21,-5.965091430399998,0,0
2023-01-22,-12.2342129664,0,0
2023-01-23,19.6132401152,0,2
2023-01-24,24.6692404224,0,1
2023-01-25,7.488067686400001,0,0
2023-01-26,17.0017627136,0,0
2023-01-27,3.823324569600004,0,1
2023-01-28,-14.3013538816,0,0
2023-01-29,-11.3828968448,0,1
2023-01-30,9.851823103999997,0,0
2023-01-31,12.470505062399997,1,0
2023-02-01,30.7906468864,0,0
2023-02-02,-0.9269125119999941,0,0
2023-02-03,-4.028131839999997,0,2
2023-02-04,-11.393831014399998,0,0
2023-02-05,-7.041631334400002,0,0
2023-02-06,31.935648870399998,0,1
2023-02-07,9.777506099200004,0,2
2023-02-08,0.744451686400005,0,0
2023-02-09,16.750884044800003,0,1
2023-02-10,14.2619476992,0,0
