,rails/rails,sinatra/sinatra,django/django
2016-07-18,10,0,3.0
2016-07-19,8,4,2.0
2016-07-20,28,18,2.0
2016-07-21,15,7,9.0
2016-07-22,3,1,3.0
2016-07-23,6,9,0.0
2016-07-24,9,0,3.0
2016-07-25,5,16,5.0
2016-07-26,18,19,0.0
2016-07-27,13,6,4.0
2016-07-28,22,7,5.0
2016-07-29,13,0,3.0
2016-07-30,2,1,2.0
2016-07-31,3,3,2.0
2016-08-01,10,4,9.0
2016-08-02,21,1,5.0
2016-08-03,13,1,5.0
2016-08-04,9,2,6.0
2016-08-05,5,1,8.0
2016-08-06,49,0,4.0
2016-08-07,24,0,1.0
2016-08-08,7,1,13.0
2016-08-09,7,2,14.0
2016-08-10,9,0,11.0
2016-08-11,17,2,12.0
2016-08-12,13,2,11.0
2016-08-13,10,0,4.0
2016-08-14,15,0,0.0
2016-08-15,17,0,7.0
2016-08-16,27,1,10.0
2016-08-17,31,12,5.0
2016-08-18,6,0,7.0
2016-08-19,29,0,17.0
2016-08-20,7,0,2.0
2016-08-21,5,0,0.0
2016-08-22,17,11,0.0
2016-08-23,14,0,6.0
2016-08-24,11,0,12.0
2016-08-25,5,0,5.0
2016-08-26,12,0,7.0
2016-08-27,8,0,0.0
2016-08-28,7,0,0.0
2016-08-29,39,0,7.0
2016-08-30,10,0,3.0
2016-08-31,25,0,14.0
2016-09-01,9,0,13.0
2016-09-02,12,0,5.0
2016-09-03,12,0,7.0
2016-09-04,4,0,0.0
2016-09-05,7,0,0.0
2016-09-06,20,0,2.0
2016-09-07,10,0,7.0
2016-09-08,4,0,4.0
2016-09-09,0,0,8.0
2016-09-10,7,0,6.0
2016-09-11,11,0,0.0
2016-09-12,5,0,7.0
2016-09-13,9,0,10.0
2016-09-14,16,1,2.0
2016-09-15,5,0,3.0
2016-09-16,13,0,7.0
2016-09-17,11,1,6.0
2016-09-18,2,0,1.0
2016-09-19,6,0,2.0
2016-09-20,9,4,4.0
2016-09-21,2,0,8.0
2016-09-22,8,0,6.0
2016-09-23,15,0,6.0
2016-09-24,6,0,2.0
2016-09-25,18,0,1.0
2016-09-26,13,0,9.0
2016-09-27,8,0,10.0
2016-09-28,10,0,5.0
2016-09-29,7,2,3.0
2016-09-30,5,0,8.0
2016-10-01,10,0,5.0
2016-10-02,19,0,1.0
2016-10-03,13,0,1.0
2016-10-04,8,1,11.0
2016-10-05,6,0,4.0
2016-10-06,6,0,5.0
2016-10-07,14,0,5.0
2016-10-08,7,0,1.0
2016-10-09,0,0,0.0
2016-10-10,42,0,3.0
2016-10-11,18,0,6.0
2016-10-12,1,0,5.0
2016-10-13,6,0,10.0
2016-10-14,6,0,9.0
2016-10-15,14,0,3.0
2016-10-16,3,0,0.0
2016-10-17,2,0,3.0
2016-10-18,2,0,1.0
2016-10-19,6,0,1.0
2016-10-20,10,0,2.0
2016-10-21,23,0,1.0
2016-10-22,8,0,1.0
2016-10-23,11,1,0.0
2016-10-24,9,0,3.0
2016-10-25,16,0,4.0
2016-10-26,11,0,3.0
2016-10-27,9,0,7.0
2016-10-28,14,1,7.0
2016-10-29,5,0,3.0
2016-10-30,3,0,0.0
2016-10-31,14,1,8.0
2016-11-01,10,0,6.0
2016-11-02,5,0,0.0
2016-11-03,3,0,2.0
2016-11-04,5,0,2.0
2016-11-05,9,0,6.0
2016-11-06,6,1,9.0
2016-11-07,4,2,2.0
2016-11-08,6,0,5.0
2016-11-09,1,0,5.0
2016-11-10,6,0,4.0
2016-11-11,4,0,8.0
2016-11-12,12,0,5.0
2016-11-13,23,0,0.0
2016-11-14,27,0,6.0
2016-11-15,9,0,9.0
2016-11-16,9,0,5.0
2016-11-17,17,0,3.0
2016-11-18,10,0,0.0
2016-11-19,12,0,1.0
2016-11-20,18,0,2.0
2016-11-21,16,1,5.0
2016-11-22,10,5,8.0
2016-11-23,5,0,9.0
2016-11-24,16,0,5.0
2016-11-25,8,0,5.0
2016-11-26,12,1,0.0
2016-11-27,11,0,0.0
2016-11-28,10,0,4.0
2016-11-29,12,0,6.0
2016-11-30,16,0,14.0
2016-12-01,8,0,7.0
2016-12-02,6,1,4.0
2016-12-03,3,0,0.0
2016-12-04,2,0,0.0
2016-12-05,19,0,3.0
2016-12-06,17,0,8.0
2016-12-07,6,0,4.0
2016-12-08,16,0,9.0
2016-12-09,15,0,1.0
2016-12-10,9,0,1.0
2016-12-11,8,0,0.0
2016-12-12,10,0,2.0
2016-12-13,5,0,1.0
2016-12-14,11,2,10.0
2016-12-15,8,0,15.0
2016-12-16,9,0,1.0
2016-12-17,7,0,7.0
2016-12-18,8,0,0.0
2016-12-19,14,0,11.0
2016-12-20,17,0,5.0
2016-12-21,7,0,6.0
2016-12-22,10,1,4.0
2016-12-23,15,0,10.0
2016-12-24,35,0,3.0
2016-12-25,7,10,0.0
2016-12-26,4,0,0.0
2016-12-27,12,0,7.0
2016-12-28,4,2,9.0
2016-12-29,58,2,10.0
2016-12-30,18,5,4.0
2016-12-31,26,1,3.0
2017-01-01,18,0,1.0
2017-01-02,12,0,5.0
2017-01-03,27,0,6.0
2017-01-04,43,0,6.0
2017-01-05,14,2,3.0
2017-01-06,11,0,5.0
2017-01-07,6,0,8.0
2017-01-08,4,0,1.0
2017-01-09,15,0,8.0
2017-01-10,12,0,6.0
2017-01-11,12,0,3.0
2017-01-12,12,0,5.0
2017-01-13,15,1,6.0
2017-01-14,14,5,8.0
2017-01-15,21,0,2.0
2017-01-16,23,0,8.0
2017-01-17,14,0,19.0
2017-01-18,47,0,52.0
2017-01-19,18,0,18.0
2017-01-20,5,0,11.0
2017-01-21,5,2,5.0
2017-01-22,10,0,3.0
2017-01-23,7,0,6.0
2017-01-24,4,1,6.0
2017-01-25,18,0,12.0
2017-01-26,4,1,7.0
2017-01-27,12,2,9.0
2017-01-28,11,0,6.0
2017-01-29,3,1,1.0
2017-01-30,28,3,8.0
2017-01-31,35,3,5.0
2017-02-01,3,2,4.0
2017-02-02,12,0,5.0
2017-02-03,8,0,4.0
2017-02-04,9,0,10.0
2017-02-05,3,0,0.0
2017-02-06,12,1,4.0
2017-02-07,25,0,9.0
2017-02-08,7,0,4.0
2017-02-09,6,1,8.0
2017-02-10,11,1,4.0
2017-02-11,4,0,8.0
2017-02-12,7,0,0.0
2017-02-13,27,0,3.0
2017-02-14,16,0,2.0
2017-02-15,10,0,2.0
2017-02-16,3,0,5.0
2017-02-17,10,0,3.0
2017-02-18,6,0,0.0
2017-02-19,8,0,0.0
2017-02-20,57,0,2.0
2017-02-21,42,0,5.0
2017-02-22,21,0,6.0
2017-02-23,38,0,5.0
2017-02-24,20,0,10.0
2017-02-25,18,0,2.0
2017-02-26,38,0,0.0
2017-02-27,15,0,3.0
2017-02-28,23,0,4.0
2017-03-01,11,0,9.0
2017-03-02,13,0,1.0
2017-03-03,27,0,3.0
2017-03-04,24,8,3.0
2017-03-05,12,0,0.0
2017-03-06,18,0,3.0
2017-03-07,8,2,6.0
2017-03-08,7,0,4.0
2017-03-09,12,0,3.0
2017-03-10,13,1,1.0
2017-03-11,8,1,1.0
2017-03-12,14,0,0.0
2017-03-13,16,2,2.0
2017-03-14,11,0,5.0
2017-03-15,21,0,5.0
2017-03-16,10,0,6.0
2017-03-17,18,0,7.0
2017-03-18,3,1,5.0
2017-03-19,17,7,0.0
2017-03-20,17,0,5.0
2017-03-21,17,0,12.0
2017-03-22,31,0,3.0
2017-03-23,14,0,6.0
2017-03-24,4,0,2.0
2017-03-25,18,0,4.0
2017-03-26,6,0,0.0
2017-03-27,15,1,4.0
2017-03-28,15,3,5.0
2017-03-29,23,0,5.0
2017-03-30,13,0,3.0
2017-03-31,7,2,3.0
2017-04-01,4,3,8.0
2017-04-02,9,0,8.0
2017-04-03,6,0,4.0
2017-04-04,7,0,8.0
2017-04-05,6,0,5.0
2017-04-06,6,0,3.0
2017-04-07,10,0,13.0
2017-04-08,10,7,1.0
2017-04-09,12,3,0.0
2017-04-10,10,2,9.0
2017-04-11,13,0,6.0
2017-04-12,10,0,4.0
2017-04-13,7,0,2.0
2017-04-14,7,0,3.0
2017-04-15,11,0,2.0
2017-04-16,10,0,0.0
2017-04-17,10,0,3.0
2017-04-18,23,0,2.0
2017-04-19,15,0,3.0
2017-04-20,23,0,5.0
2017-04-21,3,0,3.0
2017-04-22,4,0,4.0
2017-04-23,16,0,1.0
2017-04-24,11,0,2.0
2017-04-25,11,0,7.0
2017-04-26,18,0,14.0
2017-04-27,43,0,8.0
2017-04-28,4,0,7.0
2017-04-29,8,0,3.0
2017-04-30,9,0,0.0
2017-05-01,9,0,6.0
2017-05-02,10,0,3.0
2017-05-03,10,0,6.0
2017-05-04,17,0,6.0
2017-05-05,7,0,7.0
2017-05-06,6,20,5.0
2017-05-07,1,2,0.0
2017-05-08,6,2,4.0
2017-05-09,4,0,4.0
2017-05-10,6,0,5.0
2017-05-11,6,0,2.0
2017-05-12,8,0,5.0
2017-05-13,4,0,1.0
2017-05-14,6,0,4.0
2017-05-15,13,0,5.0
2017-05-16,8,3,0.0
2017-05-17,11,0,0.0
2017-05-18,8,0,4.0
2017-05-19,11,0,1.0
2017-05-20,10,0,3.0
2017-05-21,17,0,2.0
2017-05-22,12,0,4.0
2017-05-23,2,1,4.0
2017-05-24,33,1,5.0
2017-05-25,18,1,9.0
2017-05-26,24,1,2.0
2017-05-27,12,0,9.0
2017-05-28,27,0,1.0
2017-05-29,32,0,4.0
2017-05-30,19,0,10.0
2017-05-31,15,0,5.0
2017-06-01,15,0,10.0
2017-06-02,12,0,10.0
2017-06-03,16,1,7.0
2017-06-04,9,0,1.0
2017-06-05,5,0,10.0
2017-06-06,18,0,10.0
2017-06-07,6,0,7.0
2017-06-08,8,1,6.0
2017-06-09,8,0,4.0
2017-06-10,7,0,0.0
2017-06-11,13,0,2.0
2017-06-12,7,0,1.0
2017-06-13,5,0,11.0
2017-06-14,10,0,8.0
2017-06-15,19,0,2.0
2017-06-16,12,0,3.0
2017-06-17,10,0,6.0
2017-06-18,7,0,0.0
2017-06-19,13,3,10.0
2017-06-20,20,0,5.0
2017-06-21,10,1,7.0
2017-06-22,7,0,2.0
2017-06-23,6,0,1.0
2017-06-24,9,0,0.0
2017-06-25,5,1,0.0
2017-06-26,15,0,6.0
2017-06-27,18,0,2.0
2017-06-28,38,0,4.0
2017-06-29,12,0,6.0
2017-06-30,21,0,2.0
2017-07-01,53,0,2.0
