,d3/d3,plotly/plotly.js,highcharts/highcharts
2013-05-24,3,-0.5335040000000001,5
2013-05-25,2,-0.32867840000000015,0
2013-05-26,1,1.7672396799999999,3
2013-05-27,0,0.022524416000000103,4
2013-05-28,21,1.2182098944000002,0
2013-05-29,9,1.8569935872000003,4
2013-05-30,25,0.3440941056000002,2
2013-05-31,0,-1.4151003136,4
2013-06-01,2,1.4089215999999998,0
2013-06-02,1,2.8275916800000003,0
2013-06-03,2,-2.1076643839999996,2
2013-06-04,3,1.1857132544,2
2013-06-05,0,0.7166523392000002,4
2013-06-06,0,-1.3741085696,4
2013-06-07,0,1.3975597056,2
2013-06-08,5,-1.1653902336,1
2013-06-09,0,3.5131023359999998,0
2013-06-10,0,5.0799504384,7
2013-06-11,5,-0.49706014719999914,6
2013-06-12,4,19.577043456,10
2013-06-13,5,-8.876234137599997,19
2013-06-14,2,0.29465456639999976,11
2013-06-15,0,3.415371776,0
2013-06-16,0,-3.6088769536000003,0
2013-06-17,0,1.5453496319999998,8
2013-06-18,4,-0.08193669120000013,8
2013-06-19,5,-2.7171777535999997,16
2013-06-20,2,2.6506925056,6
2013-06-21,3,-2.5192918015999997,15
2013-06-22,0,0.05041387519999985,1
2013-06-23,0,-1.0133619712,0
2013-06-24,3,1.4664853503999997,10
2013-06-25,5,-1.1123406848,3
2013-06-26,5,0.5298874368,8
2013-06-27,6,4.3301712896,4
2013-06-28,2,2.7132139520000003,0
2013-06-29,6,-2.7934671871999996,0
2013-06-30,5,-1.022682112,0
2013-07-01,7,-0.6074912768000003,4
2013-07-02,4,-0.41103462400000035,3
2013-07-03,5,2.6914571264,3
2013-07-04,2,0.5781754880000003,1
2013-07-05,11,-1.3404295167999998,1
2013-07-06,3,-0.571769344,0
2013-07-07,0,-0.3167907840000001,0
2013-07-08,0,-0.17305600000000015,0
2013-07-09,0,6.8712064,0
2013-07-10,3,0.0989619200000007,0
2013-07-11,10,0.8777917440000005,0
2013-07-12,2,-2.0767058944,0
2013-07-13,0,2.1312036863999997,0
2013-07-14,0,2.273536,0
2013-07-15,0,2.6646016,0
2013-07-16,1,-1.9593395199999994,0
2013-07-17,0,-1.6108912640000002,0
2013-07-18,3,1.1135780864,0
2013-07-19,9,-1.3445592064,0
2013-07-20,0,-0.6167189504000001,0
2013-07-21,1,-0.391717376,0
2013-07-22,1,-0.2970333184000001,4
2013-07-23,2,5.7947542528,7
2013-07-24,7,-2.5250728959999993,7
2013-07-25,0,-0.7695392768,3
2013-07-26,0,-0.414311424,12
2013-07-27,0,0.7248036863999998,0
2013-07-28,0,-0.579712,0
2013-07-29,3,-0.25777920000000004,8
2013-07-30,0,-0.17422335999999997,5
2013-07-31,5,0.867465728,6
2013-08-01,11,1.4932590592000001,7
2013-08-02,1,-0.9429631999999999,17
2013-08-03,0,-0.32237056,2
2013-08-04,0,1.815244288,0
2013-08-05,2,-0.9259501567999999,0
2013-08-06,0,-0.3228672,2
2013-08-07,0,0.80770304,3
2013-08-08,0,3.464903168,7
2013-08-09,0,6.1769864192,13
2013-08-10,6,-3.815522713599999,1
2013-08-11,0,1.70565888,0
2013-08-12,8,6.061336576,7
2013-08-13,11,2.9388324864,4
2013-08-14,3,2.69816064,3
2013-08-15,11,2.4508564480000006,6
2013-08-16,3,4.2689585152000005,0
2013-08-17,0,-0.6601439231999997,0
2013-08-18,0,0.6299334656000006,0
2013-08-19,3,-1.0300380160000007,1
2013-08-20,0,6.8469595136,6
2013-08-21,4,0.34462044160000005,2
2013-08-22,6,-3.6806998015999994,0
2013-08-23,7,-2.5103881215999997,4
2013-08-24,0,-1.4425133056000004,0
2013-08-25,0,-0.9648243712000004,0
2013-08-26,0,5.3541749759999995,6
2013-08-27,1,-0.8608947199999992,3
2013-08-28,1,0.15686184960000027,7
2013-08-29,0,0.33871360000000017,5
2013-08-30,2,-1.5095446528,18
2013-08-31,5,3.3562898432,0
2013-09-01,0,-1.0088831999999996,2
2013-09-02,0,3.82074624,11
2013-09-03,0,1.3904942080000007,9
2013-09-04,0,-0.6201678847999998,35
2013-09-05,8,3.1459431424,9
2013-09-06,0,-0.8817125375999999,3
2013-09-07,0,0.033798246399999954,3
2013-09-08,0,0.24318259200000014,0
2013-09-09,0,3.3140420608,0
2013-09-10,0,3.1910546432,1
2013-09-11,0,17.452725248,5
2013-09-12,0,8.197612748800001,3
2013-09-13,0,1.4440536064000007,2
2013-09-14,0,8.119670272,0
2013-09-15,0,-1.6527768575999993,0
2013-09-16,1,-2.0713317376000013,5
2013-09-17,0,0.6998385663999995,7
2013-09-18,0,5.8833315840000004,1
2013-09-19,6,24.0911286272,2
2013-09-20,0,1.6404467712000042,4
2013-09-21,2,-12.210115686399998,0
2013-09-22,0,-2.0312032256000006,1
2013-09-23,0,-1.1875598336000017,4
2013-09-24,3,-4.461534003200001,11
2013-09-25,9,-2.4548840448000004,5
2013-09-26,5,1.2749968384,1
2013-09-27,0,11.5215980544,4
2013-09-28,0,5.127624806400002,0
