,elastic/kibana,grafana/grafana,getsentry/sentry
2022-05-15,3,2,-14.463667302400001
2022-05-16,35,28,33.6135730176
2022-05-17,50,35,14.558926643200003
2022-05-18,53,29,18.896390144
2022-05-19,45,30,8.700857446400008
2022-05-20,51,27,7.400659558400001
2022-05-21,0,5,-24.2145577984
2022-05-22,1,4,-10.675982848000004
2022-05-23,51,62,15.286932172799997
2022-05-24,70,36,19.4324616192
2022-05-25,61,39,13.456690790400003
2022-05-26,28,36,9.8876468224
2022-05-27,2,9,-11.0893548544
2022-05-28,0,1,-12.8246161408
2022-05-29,0,0,-6.472745574400002
2022-05-30,28,24,20.92004608
2022-05-31,38,39,15.958048256000001
2022-06-01,32,35,32.0006943744
2022-06-02,25,37,8.598402969600006
2022-06-03,33,32,12.148128153600002
2022-06-04,1,5,-23.239499980799998
2022-06-05,1,3,-10.569069568000003
2022-06-06,31,15,28.527155199999996
2022-06-07,52,33,18.353244160000003
2022-06-08,40,31,13.416788992
2022-06-09,44,38,-3.6933732351999957
2022-06-10,8,29,-3.985862963199999
2022-06-11,0,3,-13.90343168
2022-06-12,0,0,-6.845425356800002
2022-06-13,46,32,30.6883218432
2022-06-14,45,40,19.781724160000003
2022-06-15,49,24,23.451371008000002
2022-06-16,34,25,23.611966566400003
2022-06-17,25,34,-18.245035724799997
2022-06-18,1,1,-15.735663104000004
2022-06-19,2,0,-9.003110195200003
2022-06-20,34,30,5.191551999999996
2022-06-21,36,30,32.295695359999996
2022-06-22,28,40,23.895443968000006
2022-06-23,52,29,14.996422758400005
2022-06-24,24,21,4.541287424000004
2022-06-25,2,1,-23.075218944
2022-06-26,5,0,-9.865360793600004
2022-06-27,28,29,43.806194483199995
2022-06-28,49,22,12.529118208
2022-06-29,57,34,31.7411576832
2022-06-30,55,27,9.288216371200008
2022-07-01,6,2,-25.734788608
2022-07-02,1,0,-14.255351500800002
2022-07-03,1,0,-8.150726860800004
2022-07-04,22,17,-0.44867840000000303
2022-07-05,53,14,22.85218048
2022-07-06,39,39,30.486317056000004
2022-07-07,42,46,4.614332006400005
2022-07-08,50,27,2.389281075200003
