,apple/swift,rust-lang/rust,JetBrains/kotlin
2023-08-03,71,96,84
2023-08-04,52,99,38
2023-08-05,34,70,0
2023-08-06,14,73,0
2023-08-07,46,88,53
2023-08-08,119,96,42
2023-08-09,88,73,36
2023-08-10,89,53,36
2023-08-11,72,72,37
2023-08-12,10,40,2
2023-08-13,5,49,3
2023-08-14,53,89,20
2023-08-15,46,98,13
2023-08-16,53,101,31
2023-08-17,82,57,42
2023-08-18,46,83,26
2023-08-19,19,47,1
2023-08-20,8,45,0
2023-08-21,58,67,30
2023-08-22,42,105,43
2023-08-23,53,60,33
2023-08-24,55,79,40
2023-08-25,46,56,51
2023-08-26,14,51,1
2023-08-27,4,46,0
2023-08-28,44,91,29
2023-08-29,46,70,74
2023-08-30,62,86,70
2023-08-31,64,62,41
2023-09-01,62,73,20
2023-09-02,22,72,1
2023-09-03,22,76,3
2023-09-04,46,34,27
2023-09-05,44,75,66
2023-09-06,62,88,55
2023-09-07,72,71,17
2023-09-08,61,103,48
2023-09-09,20,46,2
2023-09-10,7,64,0
2023-09-11,67,91,17
2023-09-12,106,67,15
2023-09-13,61,52,72
2023-09-14,55,85,51
2023-09-15,60,66,42
2023-09-16,46,65,0
2023-09-17,9,44,0
2023-09-18,50,91,40
2023-09-19,98,77,118
2023-09-20,67,72,44
2023-09-21,74,83,48
2023-09-22,57,124,47
2023-09-23,45,63,7
2023-09-24,19,62,6
2023-09-25,59,80,1
2023-09-26,83,54,4
2023-09-27,56,35,1
2023-09-28,45,112,4
2023-09-29,67,68,1
2023-09-30,20,46,0
2023-10-01,8,52,0
2023-10-02,35,100,29
2023-10-03,52,82,21
2023-10-04,59,85,19
2023-10-05,51,105,41
2023-10-06,51,113,29
2023-10-07,37,39,0
2023-10-08,32,53,1
2023-10-09,41,111,21
2023-10-10,49,90,41
2023-10-11,65,69,16
2023-10-12,60,67,69
2023-10-13,29,55,47
2023-10-14,16,72,0
2023-10-15,8,71,0
2023-10-16,38,83,48
2023-10-17,25,97,51
2023-10-18,33,78,72
2023-10-19,44,83,61
2023-10-20,52,66,47
2023-10-21,5,118,0
2023-10-22,1,78,0
2023-10-23,44,113,26
2023-10-24,64,87,51
2023-10-25,49,163,40
2023-10-26,49,75,36
2023-10-27,63,101,29
2023-10-28,19,61,0
2023-10-29,10,101,0
2023-10-30,64,114,25
