,kubernetes/kubernetes,hashicorp/nomad,docker-archive/classicswarm
2015-10-18,12,0,0.9635689472000006
2015-10-19,60,9,8.3141123072
2015-10-20,56,5,-1.0273091583999996
2015-10-21,72,4,4.038699622399999
2015-10-22,52,14,4.5905010688
2015-10-23,53,15,4.3007750144
2015-10-24,34,2,-2.8006057984000003
2015-10-25,10,9,-1.4843113472000007
2015-10-26,44,22,0.9848880127999997
2015-10-27,66,6,-0.1516634111999995
2015-10-28,32,26,8.063217152
2015-10-29,66,40,-1.3487536127999995
2015-10-30,56,11,4.6707828736
2015-10-31,10,4,-0.9846714367999994
2015-11-01,4,0,-0.18407905280000025
2015-11-02,51,11,1.1142937599999996
2015-11-03,69,12,7.015302656
2015-11-04,50,5,-0.20691169279999988
2015-11-05,53,27,0.5234057215999999
2015-11-06,49,30,-1.2853369856
2015-11-07,27,4,-0.7120231424
2015-11-08,4,0,-0.5144761344
2015-11-09,32,7,0.6575870976
2015-11-10,48,10,0.5314118656000001
2015-11-11,51,16,1.5052485632000006
2015-11-12,130,5,-0.6903836671999997
2015-11-13,58,6,-0.29531412479999997
2015-11-14,11,0,0.8199252991999999
2015-11-15,4,0,0.6868352
2015-11-16,42,34,-0.36842752000000006
2015-11-17,58,53,-0.20017203200000008
2015-11-18,56,118,3.8576894976
2015-11-19,63,34,1.0996192256000004
2015-11-20,49,19,-0.7909035008000002
2015-11-21,25,10,0.6106444799999997
2015-11-22,8,4,1.538285568
2015-11-23,68,7,4.3237989376
2015-11-24,57,28,0.6467434496
2015-11-25,96,38,8.96183552
2015-11-26,36,19,2.4158597120000005
2015-11-27,24,9,-2.2141536256000007
2015-11-28,7,3,-0.15760302080000077
2015-11-29,4,1,0.022542847999999616
2015-11-30,38,10,3.1299040256
2015-12-01,69,14,0.6093012992000002
2015-12-02,55,9,4.8358666239999994
2015-12-03,84,12,10.1354145792
2015-12-04,41,4,5.647003136
2015-12-05,31,4,-0.3170462720000007
2015-12-06,11,0,1.7382983679999988
2015-12-07,47,1,4.8361624575999995
2015-12-08,42,5,9.3007215616
2015-12-09,67,19,5.0920172544
2015-12-10,76,13,-2.805252812800001
2015-12-11,56,38,6.705560473599999
2015-12-12,13,4,-0.3055689727999993
2015-12-13,8,0,-1.3429277696000002
2015-12-14,65,13,9.4059844608
2015-12-15,66,15,2.7104927744000005
2015-12-16,71,10,7.1086687232
2015-12-17,71,11,0.4018844672000004
2015-12-18,70,26,2.3766252543999995
2015-12-19,30,2,-2.4956637184000003
2015-12-20,17,6,-1.4782468096000003
2015-12-21,31,12,-0.9903224832000004
2015-12-22,58,18,3.2532734976000004
2015-12-23,31,1,-1.4021515263999993
2015-12-24,8,36,-0.7085441023999995
2015-12-25,1,1,-0.4588779519999996
2015-12-26,2,0,-0.2562159615999996
2015-12-27,2,0,-0.16449075199999988
2015-12-28,29,5,-0.08171520000000004
2015-12-29,30,2,2.9322931199999998
2015-12-30,29,0,0.34244915200000037
2015-12-31,6,0,-0.48987740160000004
2016-01-01,5,0,-0.22400000000000017
2016-01-02,9,0,-0.14880000000000007
2016-01-03,9,0,-0.11020800000000006
2016-01-04,24,7,4.9131776
2016-01-05,48,10,12.92879104
2016-01-06,39,7,2.7399101440000004
2016-01-07,42,12,5.388204236799999
2016-01-08,41,9,2.067530649599999
2016-01-09,7,0,-2.5260800000000008
2016-01-10,7,2,-1.445248000000001
2016-01-11,31,4,4.967347199999999
2016-01-12,64,10,10.99622656
2016-01-13,49,12,5.263554560000001
2016-01-14,71,30,8.3735450624
2016-01-15,45,9,-2.2201513983999996
2016-01-16,24,0,1.4462906367999993
2016-01-17,14,3,1.6447124479999995
2016-01-18,19,0,-0.21615872000000058
2016-01-19,15,11,1.2241351679999997
2016-01-20,49,3,0.20318556160000045
2016-01-21,102,22,3.4918867968000007
2016-01-22,84,11,0.126210662400001
2016-01-23,17,0,2.6242982912
2016-01-24,16,2,-0.5348620288000001
2016-01-25,47,2,0.9623599104
2016-01-26,65,14,2.9628294144
2016-01-27,53,37,6.6024287232
2016-01-28,65,12,10.656581324800001
2016-01-29,75,19,9.2628180992
2016-01-30,67,1,-2.388729856000001
2016-01-31,25,6,-0.5752178688000011
2016-02-01,69,14,12.995078246399999
2016-02-02,74,17,5.702849945600001
2016-02-03,80,14,13.821354291199999
2016-02-04,65,22,10.111127142399999
2016-02-05,79,61,-2.2227720192000007
2016-02-06,50,12,-1.086892851200001
2016-02-07,42,12,-3.0793224192000004
2016-02-08,69,15,2.058849075199999
2016-02-09,83,23,8.7352840192
2016-02-10,71,19,8.314596864000002
2016-02-11,82,27,7.715176960000001
2016-02-12,70,22,5.393955020800001
2016-02-13,38,9,-3.3155846144000005
2016-02-14,32,1,-2.4348517376000007
2016-02-15,57,3,-1.5994637312000006
2016-02-16,74,9,0.8206776319999998
2016-02-17,65,19,8.654631526400001
2016-02-18,58,5,2.097239961600001
2016-02-19,102,12,1.5920192512000009
2016-02-20,37,29,0.9423639552000003
2016-02-21,18,25,-1.6861532160000001
2016-02-22,76,32,0.09131304959999942
2016-02-23,101,28,6.15577856
2016-02-24,98,4,7.016869376000001
2016-02-25,96,19,3.1802273792000006
2016-02-26,96,1,4.384774656
2016-02-27,52,6,1.2565862399999999
2016-02-28,25,0,-2.2426213376
2016-02-29,51,8,1.7152396287999994
2016-03-01,88,4,5.502850048
2016-03-02,96,35,8.6587513856
2016-03-03,87,11,3.532519219200001
2016-03-04,104,9,-0.1155526656000001
2016-03-05,70,4,-2.2430449664000003
2016-03-06,26,0,-1.3304747008000002
2016-03-07,59,9,3.0962448383999996
2016-03-08,37,6,0.534081024
2016-03-09,35,3,0.7360744448000003
2016-03-10,51,24,0.8226762752000005
2016-03-11,68,6,3.9209430016000004
2016-03-12,25,2,1.4442074112000003
2016-03-13,6,0,6.666604748799999
2016-03-14,35,7,1.6931635199999997
2016-03-15,65,19,11.064666112
2016-03-16,55,28,4.3141561344
2016-03-17,67,12,8.632880435199999
2016-03-18,37,15,2.7976778751999998
2016-03-19,24,18,0.4059681791999994
2016-03-20,10,3,-2.859406848000001
2016-03-21,35,16,-0.7492790272000005
2016-03-22,62,23,5.5255845888
2016-03-23,42,27,-0.4106290175999989
2016-03-24,28,41,8.2665305088
2016-03-25,40,37,7.997790412800001
2016-03-26,14,13,-1.6747890687999991
2016-03-27,4,0,-2.1712171008000007
2016-03-28,18,21,5.715122278399999
2016-03-29,30,12,8.705307648
2016-03-30,34,15,4.5405792256
2016-03-31,33,8,0.6228831231999994
2016-04-01,38,7,0.40093265919999954
2016-04-02,22,13,-2.1691637759999995
2016-04-03,12,1,-1.2906358784000003
2016-04-04,24,2,1.1491694591999995
2016-04-05,25,5,2.9467176960000003
2016-04-06,17,6,5.5007127552
2016-04-07,24,11,6.802742169600001
2016-04-08,43,11,4.172714188800001
2016-04-09,11,4,-2.7345125376000006
2016-04-10,2,4,-1.407609651200001
2016-04-11,28,5,-0.9327206400000005
2016-04-12,37,18,1.2954920959999998
2016-04-13,45,16,10.0364122112
2016-04-14,68,19,20.1940665344
2016-04-15,62,10,5.088738099200001
2016-04-16,25,1,-3.8481381376000003
2016-04-17,25,0,-2.6919574528000014
2016-04-18,28,2,-1.7025536000000008
2016-04-19,52,14,0.7365017599999995
2016-04-20,57,5,-1.3993277440000003
2016-04-21,64,2,0.01722910720000037
2016-04-22,35,14,6.029297049600002
2016-04-23,14,2,3.9908133888000017
2016-04-24,9,0,0.9893774336000001
2016-04-25,32,2,3.4970730495999995
2016-04-26,50,3,3.1774105599999998
2016-04-27,45,0,3.026443776
2016-04-28,82,0,2.9211169792
2016-04-29,44,0,0.8599444479999994
2016-04-30,6,0,2.1882899456
2016-05-01,5,2,0.09778411520000008
2016-05-02,41,2,1.5355631615999998
2016-05-03,36,10,6.5233957888
2016-05-04,54,2,-1.468070912
2016-05-05,60,13,3.5664506879999998
2016-05-06,86,2,5.117347328
2016-05-07,23,16,-2.407482368
2016-05-08,19,6,-0.22798673920000034
2016-05-09,83,20,-1.0223993856000002
2016-05-10,71,6,3.3331756032
2016-05-11,68,28,0.7016675328000006
2016-05-12,65,4,-0.09537771519999994
2016-05-13,59,4,2.2195690496
2016-05-14,26,5,-0.09388953599999939
2016-05-15,22,1,-0.7615561728
2016-05-16,61,8,-0.4047749120000002
2016-05-17,84,13,0.7046301695999999
2016-05-18,67,4,-0.4220410879999998
2016-05-19,65,6,-0.26240194559999985
2016-05-20,88,2,-0.15853537279999994
2016-05-21,47,1,0.8938407936000002
2016-05-22,37,3,0.7226682368000001
2016-05-23,63,3,0.6871018496
2016-05-24,60,4,2.65507328
2016-05-25,53,24,1.224012288
2016-05-26,76,0,5.2403946496
2016-05-27,87,11,-0.5835648
2016-05-28,41,7,-0.9396915200000004
2016-05-29,28,72,1.4364487679999998
2016-05-30,42,1,-0.8057421824
2016-05-31,50,12,8.5346891776
2016-06-01,59,3,-2.1335947263999997
2016-06-02,65,2,2.0246274047999995
2016-06-03,65,12,1.7887363072000002
2016-06-04,36,2,0.7275385856000001
2016-06-05,7,8,-0.06014679040000037
2016-06-06,43,10,0.18256537599999978
2016-06-07,39,10,-0.7306871808000002
2016-06-08,63,10,1.5374161920000002
2016-06-09,51,2,0.24303728640000033
2016-06-10,78,186,-0.553936896
2016-06-11,28,28,-0.33638942719999987
2016-06-12,11,27,-0.21873899519999984
2016-06-13,68,11,0.8590748672
2016-06-14,59,25,5.7067493376
2016-06-15,59,26,-0.3467515903999998
2016-06-16,51,40,-0.7737021440000003
2016-06-17,70,44,3.5590735872
2016-06-18,35,2,-0.08760535039999984
2016-06-19,23,0,-0.7272448000000004
2016-06-20,61,8,1.5629644799999998
2016-06-21,76,20,1.281223168
2016-06-22,75,28,3.1885336576000003
2016-06-23,49,7,2.7475449856000003
2016-06-24,83,5,-1.3838050304000002
2016-06-25,38,2,-0.7047495680000002
2016-06-26,21,0,0.5174052863999999
2016-06-27,47,5,1.4762756096
2016-06-28,71,24,0.273511936
2016-06-29,74,6,2.3888637952
2016-06-30,48,4,1.0402035712000002
2016-07-01,35,13,3.1118357504
2016-07-02,30,0,-1.2589782016
2016-07-03,23,0,-0.6001203200000005
2016-07-04,23,0,-0.40447795200000014
2016-07-05,35,0,2.6950701056
2016-07-06,48,5,-0.8331081727999998
2016-07-07,88,2,5.5887988736
2016-07-08,67,5,1.5221096448000004
2016-07-09,16,11,-1.2632895488
2016-07-10,8,19,-0.6544854016000003
2016-07-11,54,24,2.5931135999999997
2016-07-12,62,33,4.09520384
2016-07-13,79,13,0.5176560640000001
2016-07-14,56,1,1.8557452287999996
2016-07-15,72,0,-1.237906432
2016-07-16,17,0,-0.6985872384
2016-07-17,8,0,-0.43757445120000016
2016-07-18,63,6,0.6952038399999998
2016-07-19,89,4,1.5547376640000001
2016-07-20,90,18,7.3155135488
2016-07-21,73,15,0.050097664000000375
2016-07-22,68,11,1.7622981631999997
2016-07-23,33,5,-0.2741440512000002
2016-07-24,3,0,-0.8763008000000003
2016-07-25,38,39,-0.5532723200000004
2016-07-26,37,35,-0.41154355200000015
2016-07-27,42,10,-0.3277241344
2016-07-28,47,20,2.7392837632000004
2016-07-29,48,4,-0.7997391871999995
2016-07-30,23,1,-0.3250285568
2016-07-31,3,0,-0.19579576319999992
2016-08-01,37,2,-0.1132693504
2016-08-02,94,19,1.923392
2016-08-03,80,20,1.5387136000000001
2016-08-04,99,24,0.38921984
2016-08-05,71,12,0.500836864
2016-08-06,23,3,0.5193919488000001
2016-08-07,8,2,-0.4462720000000001
2016-08-08,43,19,-0.2535296000000002
2016-08-09,62,24,-0.1818470400000001
2016-08-10,86,11,-0.14219366399999994
2016-08-11,79,18,-0.11660564479999984
2016-08-12,78,27,-0.0766819327999999
2016-08-13,34,5,-0.043783782399999915
2016-08-14,18,4,-0.026857062399999902
2016-08-15,47,7,0.9875306496
2016-08-16,61,25,-0.19999999999999996
2016-08-17,89,75,2.92
2016-08-18,114,12,5.352
2016-08-19,115,25,-1.4736
2016-08-20,59,2,-0.6495360000000006
2016-08-21,49,1,-0.4092288000000002
2016-08-22,98,9,0.7048652799999999
2016-08-23,114,18,-0.428890112
2016-08-24,79,9,3.7341776896
2016-08-25,100,16,0.007276544000000218
2016-08-26,95,13,-0.6773343231999998
2016-08-27,20,7,-0.3723521024
2016-08-28,12,1,1.7971712
2016-08-29,39,9,-0.55267072
2016-08-30,81,11,-0.28163891200000013
2016-08-31,54,18,-0.1966050304000001
2016-09-01,76,14,-0.1416775679999998
2016-09-02,69,12,-0.11533711359999982
2016-09-03,21,0,-0.05332695039999999
2016-09-04,15,1,-0.03385344000000002
2016-09-05,34,7,-0.02877542399999988
2016-09-06,79,0,-0.02493870079999993
2016-09-07,79,1,0.0
2016-09-08,74,0,0.0
2016-09-09,76,1,0.0
2016-09-10,39,1,0.0
2016-09-11,31,2,0.0
2016-09-12,76,5,0.0
2016-09-13,76,4,0.0
2016-09-14,77,4,0.0
2016-09-15,68,6,0.0
2016-09-16,86,2,0.0
2016-09-17,25,1,0.0
2016-09-18,9,0,0.0
2016-09-19,37,2,0.0
2016-09-20,74,5,3.0
2016-09-21,53,14,1.4000000000000001
2016-09-22,75,3,-0.6400000000000001
2016-09-23,69,3,0.6959999999999997
2016-09-24,57,6,0.6032
2016-09-25,11,0,0.5761919999999999
2016-09-26,74,23,-0.44035840000000015
2016-09-27,94,7,-0.2532377600000002
2016-09-28,91,5,-0.1841525759999999
2016-09-29,60,1,0.8542517248000002
2016-09-30,67,4,-0.2878302207999999
2016-10-01,24,0,-0.13174323200000004
2016-10-02,8,0,-0.09178378239999996
2016-10-03,30,28,-0.060457062399999914
2016-10-04,69,0,-0.03800535039999998
2016-10-05,83,4,-0.02042880000000001
2016-10-06,45,10,-0.01692672000000001
2016-10-07,66,8,-0.01438771199999994
2016-10-08,33,4,-0.012469350399999964
2016-10-09,9,5,0.0
2016-10-10,63,8,0.0
2016-10-11,49,12,0.0
2016-10-12,82,5,1.0
2016-10-13,90,15,0.8
2016-10-14,67,0,-0.28
2016-10-15,50,2,-0.1280000000000001
2016-10-16,15,0,-0.08160000000000005
2016-10-17,75,2,0.9408639999999999
2016-10-18,67,14,0.7540352
2016-10-19,101,4,1.68264448
2016-10-20,68,4,2.440685568
2016-10-21,51,7,-0.8684570624
2016-10-22,34,1,-0.4076053504000003
2016-10-23,11,4,-0.25716480000000014
2016-10-24,52,13,0.8107724799999999
2016-10-25,81,36,-0.34878003199999996
2016-10-26,84,21,1.7980030976
2016-10-27,96,26,-0.5400249343999999
2016-10-28,67,22,-0.2617018367999999
2016-10-29,38,7,1.8410559488
2016-10-30,27,1,0.5123712
2016-10-31,74,41,-0.42799872000000017
2016-11-01,74,51,0.7687546879999999
2016-11-02,119,18,-0.3615227904
2016-11-03,95,4,-0.19344742399999998
2016-11-04,116,19,-0.1393323008
2016-11-05,35,5,-0.08788224000000004
2016-11-06,60,3,-0.0712381439999999
2016-11-07,88,6,0.9402447872000002
2016-11-08,78,33,-0.22939607039999993
2016-11-09,77,22,-0.09438771200000001
2016-11-10,66,23,-0.060469350399999997
2016-11-11,42,1,-0.03360000000000001
2016-11-12,16,1,-0.025536000000000014
2016-11-13,8,0,-0.02042880000000001
2016-11-14,49,4,-0.01692672000000001
2016-11-15,63,8,0.9856122880000001
2016-11-16,45,15,-0.21246935039999992
2016-11-17,53,12,-0.08000000000000007
2016-11-18,51,7,0.952
2016-11-19,18,0,0.7664
2016-11-20,2,0,-0.30553600000000003
2016-11-21,47,1,2.8515712
2016-11-22,60,2,0.30147328000000007
2016-11-23,87,3,-0.5135237120000001
2016-11-24,22,2,-0.2824341504000002
2016-11-25,8,0,0.81384448
2016-11-26,0,3,-0.341522432
2016-11-27,1,0,-0.1936794624
2016-11-28,57,16,1.8683216896
2016-11-29,64,10,-0.49368985599999976
2016-11-30,68,4,0.7626682368
2016-12-01,97,6,-0.32889815040000003
2016-12-02,64,4,0.8358732799999999
2016-12-03,64,1,-0.31345971199999995
2016-12-04,9,0,-0.16692695040000008
2016-12-05,89,5,-0.10738944000000006
2016-12-06,90,8,0.9171957760000001
2016-12-07,96,2,6.7325985792
2016-12-08,100,5,-0.5148165119999997
2016-12-09,103,3,-0.8373960704000005
2016-12-10,34,7,0.5360122879999998
2016-12-11,12,0,-0.5212053504
2016-12-12,77,11,0.6872191999999998
2016-12-13,76,14,-0.43346432000000007
2016-12-14,76,9,-0.2669035520000001
2016-12-15,54,9,-0.2036460543999996
2016-12-16,68,10,-0.1557019647999997
2016-12-17,20,1,-0.05493207039999999
2016-12-18,8,1,-0.03481651199999995
2016-12-19,42,13,-0.029396070399999974
2016-12-20,61,19,0.9856122880000001
2016-12-21,63,3,2.7875306496
2016-12-22,57,0,-0.6799999999999999
2016-12-23,27,1,-0.28800000000000026
2016-12-24,6,1,-0.17760000000000012
2016-12-25,2,2,-0.12633600000000003
2016-12-26,2,0,-0.09703680000000005
2016-12-27,24,0,0.92178688
2016-12-28,23,0,2.734832128
2016-12-29,31,1,1.2643675136000003
2016-12-30,16,0,-0.7254080512000001
2016-12-31,6,0,-0.33760000000000023
2017-01-01,1,0,-0.2223360000000001
2017-01-02,20,0,-0.16423680000000007
2017-01-03,58,7,-0.12928512000000006
2017-01-04,68,3,0.893974528
2017-01-05,48,13,1.7105140736000002
2017-01-06,57,19,2.4538165248
2017-01-07,13,1,0.1670612992
2017-01-08,1,9,-0.5696000000000002
2017-01-09,45,6,0.6832639999999998
2017-01-10,58,10,0.5796992
2017-01-11,110,9,8.55200768
2017-01-12,50,6,-2.0630635519999996
2017-01-13,56,7,-0.9140537344000006
2017-01-14,23,3,0.4238354431999999
2017-01-15,8,0,-0.6001605632
2017-01-16,48,1,0.6403511295999998
2017-01-17,86,8,1.5368263679999998
2017-01-18,93,9,5.3072024576
2017-01-19,72,7,5.4245052416
2017-01-20,90,16,4.8577470464
2017-01-21,14,2,-2.3576627200000004
2017-01-22,7,7,-1.1834885120000007
2017-01-23,75,48,-0.7946696704000005
2017-01-24,71,20,-0.5847659520000001
2017-01-25,97,5,-0.4645586944000001
2017-01-26,63,28,0.6272463872000003
2017-01-27,88,11,0.5059828736000006
2017-01-28,21,13,-0.46799943679999934
2017-01-29,14,0,-0.21528545279999986
2017-01-30,42,10,0.9184
2017-01-31,82,17,1.740864
2017-02-01,82,19,-0.5259648
2017-02-02,114,39,0.7546444799999998
2017-02-03,55,10,-0.360914432
2017-02-04,28,3,-0.19959306240000002
2017-02-05,6,5,-0.13197015040000004
2017-02-06,69,3,0.9086156799999999
2017-02-07,73,5,0.7262228480000001
2017-02-08,75,9,0.6583264256000001
2017-02-09,43,7,0.6301345791999999
2017-02-10,89,6,-0.37598771200000003
2017-02-11,14,6,0.8003946495999998
2017-02-12,5,1,-0.32756480000000004
2017-02-13,54,7,-0.17649152000000012
2017-02-14,92,12,-0.12527923200000002
2017-02-15,119,8,1.9021874176
2017-02-16,96,18,-0.46931978239999983
2017-02-17,55,19,1.7927141376
2017-02-18,27,0,-0.5253960704
2017-02-19,28,0,-0.24158771200000012
2017-02-20,55,4,0.8404586495999999
2017-02-21,73,23,0.6919424000000001
2017-02-22,60,6,0.63507456
2017-02-23,116,25,0.602366976
2017-02-24,71,18,1.5796078592
2017-02-25,45,5,-0.6159114239999999
2017-02-26,55,1,-0.3125035008000001
2017-02-27,107,16,-0.19249152000000014
2017-02-28,96,20,-0.144479232
2017-03-01,128,20,-0.11528458239999995
2017-03-02,86,9,0.9153586176
2017-03-03,34,10,-0.2607105023999999
2017-03-04,38,8,-0.12124477439999992
2017-03-05,7,0,-0.07293870079999996
2017-03-06,56,6,-0.03360000000000001
2017-03-07,64,6,2.9744639999999998
2017-03-08,65,7,0.3795712000000001
2017-03-09,66,17,-0.4569267200000002
2017-03-10,47,13,-0.2383877120000001
2017-03-11,17,8,-0.16126935040000004
2017-03-12,13,4,-0.11020800000000006
2017-03-13,34,15,-0.08682240000000005
2017-03-14,55,20,0.9287910399999999
2017-03-15,47,10,0.7399101440000002
2017-03-16,46,4,2.6682042368000003
2017-03-17,58,3,2.2595306496000003
2017-03-18,17,1,-0.9216000000000002
2017-03-19,12,0,-0.4431360000000003
2017-03-20,34,6,-0.29076480000000016
2017-03-21,45,5,-0.2147635200000001
2017-03-22,41,4,-0.16920883200000003
2017-03-23,25,0,0.8610763776000001
2017-03-24,66,8,1.6935873536000003
2017-03-25,41,0,1.4394288128000003
2017-03-26,40,2,0.3545919488
2017-03-27,59,14,-0.48960000000000015
2017-03-28,54,35,-0.2687360000000002
2017-03-29,49,7,1.8132991999999999
2017-03-30,37,1,0.45754368
2017-03-31,46,4,-0.4746347520000001
2017-04-01,9,3,-0.27152701440000004
2017-04-02,6,3,-0.18584084479999988
2017-04-03,46,0,0.8760015872000001
2017-04-04,49,16,-0.2788629504
2017-04-05,58,1,-0.1342822400000001
2017-04-06,58,8,-0.09370214399999993
2017-04-07,55,10,-0.07292641279999988
2017-04-08,31,5,-0.03800535039999998
2017-04-09,5,0,-0.02042880000000001
2017-04-10,59,11,-0.01692672000000001
2017-04-11,59,6,-0.01438771199999994
2017-04-12,49,7,-0.012469350399999964
2017-04-13,58,2,0.0
2017-04-14,62,9,0.0
2017-04-15,8,0,0.0
2017-04-16,5,10,0.0
2017-04-17,42,3,1.0
2017-04-18,71,5,-0.19999999999999996
2017-04-19,62,44,-0.08000000000000007
2017-04-20,57,7,-0.048000000000000036
2017-04-21,55,4,-0.03360000000000001
2017-04-22,15,0,-0.025536000000000014
2017-04-23,12,0,-0.02042880000000001
2017-04-24,41,2,2.98307328
2017-04-25,70,8,-0.6143877119999998
2017-04-26,50,3,1.7475306495999998
2017-04-27,72,5,1.456
2017-04-28,79,2,-0.6608
2017-04-29,24,1,-0.33260800000000024
2017-04-30,13,2,-0.22448640000000014
2017-05-01,34,10,1.8309478399999999
2017-05-02,65,9,2.4649072640000003
2017-05-03,53,30,-0.8721190912
2017-05-04,62,14,0.6013711359999998
2017-05-05,65,5,1.5350858752
2017-05-06,18,0,1.3431892992
2017-05-07,4,0,-0.7254656000000002
2017-05-08,49,5,-0.3847398400000003
2017-05-09,50,9,0.731708416
2017-05-10,62,6,1.5931973632000003
2017-05-11,70,8,-0.6262643711999999
2017-05-12,78,4,-0.29709875200000013
2017-05-13,18,0,-0.20469821439999997
2017-05-14,9,0,-0.14645012479999986
2017-05-15,96,3,-0.09643950079999997
2017-05-16,75,14,-0.05778432000000003
2017-05-17,99,7,-0.04824115199999996
2017-05-18,74,2,2.9587552256
2017-05-19,85,2,-0.6249387007999998
2017-05-20,46,2,-0.2400000000000002
2017-05-21,16,4,-0.1440000000000001
2017-05-22,65,1,5.8991999999999996
2017-05-23,81,13,1.7233920000000003
2017-05-24,77,5,-1.1412864000000003
2017-05-25,82,7,3.4212198399999996
2017-05-26,111,8,0.8112368640000001
2017-05-27,34,1,-1.0114240512000001
2017-05-28,11,0,-0.5511808000000004
2017-05-29,53,0,-0.39324672000000027
2017-05-30,95,16,-0.3064504319999998
2017-05-31,99,33,-0.2507664383999997
2017-06-01,88,0,-0.14597253119999995
2017-06-02,55,4,1.9085957120000003
2017-06-03,72,1,-0.47865282559999967
2017-06-04,29,1,0.8150612991999999
2017-06-05,72,2,-0.29600000000000004
2017-06-06,91,3,-0.1472000000000001
2017-06-07,68,3,-0.09907200000000006
2017-06-08,54,5,-0.07445760000000004
2017-06-09,44,5,-0.05938944000000003
2017-06-10,13,0,-0.049204223999999894
2017-06-11,10,0,-0.04186542079999994
2017-06-12,40,2,-0.01438771199999994
2017-06-13,71,0,-0.012469350399999964
2017-06-14,61,0,0.0
2017-06-15,47,4,3.0
2017-06-16,53,8,1.4000000000000001
2017-06-17,27,1,-0.6400000000000001
2017-06-18,5,0,-0.30400000000000027
2017-06-19,25,0,0.8031999999999999
2017-06-20,38,1,4.656192
2017-06-21,54,3,0.8076416000000002
2017-06-22,78,19,1.0603622399999997
2017-06-23,116,9,0.08938342399999988
2017-06-24,39,7,0.2842805248
2017-06-25,3,9,-0.6162475008000001
2017-06-26,67,6,2.63465728
2017-06-27,54,2,1.127449088
2017-06-28,47,3,0.14174504960000012
2017-06-29,53,6,4.325059584
2017-06-30,48,2,3.6321303552
2017-07-01,23,1,-1.6480611328
2017-07-02,5,3,-0.8128154624000006
2017-07-03,29,19,-0.5376431104000003
2017-07-04,32,1,-0.39312537599999997
2017-07-05,49,5,1.6870658048
2017-07-06,36,19,-0.6261040127999999
2017-07-07,38,142,-0.32904151039999985
2017-07-08,41,8,-0.23028531199999958
2017-07-09,6,1,-0.12954675199999985
2017-07-10,23,5,2.948928
2017-07-11,15,5,16.3591424
2017-07-12,118,1,0.3261465600000002
