,metabase/metabase,apache/superset,getredash/redash
2020-07-15,1.5668119552,7,1
2020-07-16,7.5673762816000005,5,4
2020-07-17,2.346938470400001,5,1
2020-07-18,0.7413516287999995,0,0
2020-07-19,-1.7707099136000004,1,0
2020-07-20,7.986104729599999,5,0
2020-07-21,10.476709888,5,0
2020-07-22,8.1132891136,6,0
2020-07-23,-3.271194316800001,8,2
2020-07-24,1.6007825407999992,3,0
2020-07-25,-2.3575668735999997,1,0
2020-07-26,-1.3925370880000003,1,0
2020-07-27,3.0126450687999995,5,3
2020-07-28,7.445381632,8,1
2020-07-29,3.255042150400001,11,0
2020-07-30,1.4546039808000009,3,1
2020-07-31,4.9218732032,8,1
2020-08-01,-2.4825641984,0,0
2020-08-02,-1.3150166016000007,1,0
2020-08-03,0.12481791999999947,3,0
2020-08-04,6.130191872,10,1
2020-08-05,-1.0213943295999992,7,3
2020-08-06,-0.21725890559999983,5,0
2020-08-07,0.09954600960000004,10,0
2020-08-08,0.26067261440000045,2,0
2020-08-09,-0.6480662528,1,1
2020-08-10,2.6529356799999997,6,0
2020-08-11,3.139560448,7,0
2020-08-12,0.7503251456000004,5,0
2020-08-13,-0.028564684800000073,4,0
2020-08-14,-0.7170125824000002,4,0
2020-08-15,-0.43079178240000016,0,0
2020-08-16,-0.3054874624000001,1,0
2020-08-17,7.7703632896,5,2
2020-08-18,-0.7772636159999995,4,0
2020-08-19,0.01075886079999977,7,4
2020-08-20,0.24042045439999993,3,2
2020-08-21,-0.6361264128,4,2
2020-08-22,0.6216426495999998,2,0
2020-08-23,-0.4705664000000001,0,0
2020-08-24,2.70502144,4,0
2020-08-25,-0.8259932159999994,4,3
2020-08-26,-0.4250980351999999,4,0
2020-08-27,0.7866802176,11,0
2020-08-28,1.6519141376000002,5,0
2020-08-29,1.4139959296,2,0
2020-08-30,-0.6836741120000001,1,2
2020-08-31,-0.35284951040000023,3,0
2020-09-01,-0.23189913599999995,5,1
2020-09-02,0.8238911488,12,0
2020-09-03,-0.30885632,6,0
2020-09-04,-0.16909875200000005,4,2
2020-09-05,-0.1230982143999999,0,1
2020-09-06,-0.08731412479999981,0,0
2020-09-07,-0.05047470079999994,2,0
2020-09-08,1.9795712,1,0
2020-09-09,-0.4169267199999999,9,0
2020-09-10,-0.17438771200000008,7,2
2020-09-11,12.8915306496,4,0
2020-09-12,-1.6671999999999998,3,0
2020-09-13,-1.2910720000000009,0,0
2020-09-14,0.25514239999999944,19,1
2020-09-15,1.2813465599999998,12,0
2020-09-16,1.125656576,19,0
2020-09-17,2.0759508991999995,8,1
2020-09-18,2.86992384,9,0
2020-09-19,-1.4327029759999994,0,0
2020-09-20,-0.7791900672,1,0
2020-09-21,4.5858743296,13,2
2020-09-22,1.6998932480000002,14,0
2020-09-23,-0.23852861440000028,16,2
2020-09-24,-0.8662094848000003,12,1
2020-09-25,1.4721912832,5,0
2020-09-26,0.22856110080000036,5,0
2020-09-27,-0.6222294016000001,0,0
2020-09-28,3.652544,13,1
2020-09-29,-1.0583475199999997,11,2
2020-09-30,-0.527108608,4,0
2020-10-01,-0.3101893632,11,0
2020-10-02,2.7988484096,10,0
2020-10-03,0.2521538560000002,2,1
2020-10-04,-0.5610416128000001,1,1
2020-10-05,3.6958237695999996,4,0
2020-10-06,0.9936491520000004,12,1
2020-10-07,8.1199145984,6,0
2020-10-08,7.7611776,4,0
2020-10-09,2.9783910399999995,5,2
2020-10-10,0.3385661439999992,3,0
2020-10-11,-2.0469829632000005,2,0
2020-10-12,9.7851421696,6,0
2020-10-13,-0.07622348799999923,10,0
2020-10-14,7.830702694399999,14,0
2020-10-15,7.709123891200001,3,2
2020-10-16,11.0674520064,7,1
2020-10-17,-5.003495936,0,0
2020-10-18,-2.4833040384000014,0,0
2020-10-19,9.370151628799999,5,0
2020-10-20,3.601771008000001,8,0
2020-10-21,4.7626500096,9,0
2020-10-22,17.6380889088,21,0
2020-10-23,12.917540864000001,9,0
2020-10-24,-5.7330745344,2,0
2020-10-25,-2.5873090560000023,1,1
2020-10-26,-2.4310835200000014,15,1
2020-10-27,7.257161728,16,0
2020-10-28,-1.1690793983999992,12,2
2020-10-29,2.8748685311999997,11,1
2020-10-30,4.638530764800001,11,0
2020-10-31,-1.7709784063999985,5,0
2020-11-01,-1.5652560896,1,0
2020-11-02,3.1542117376,7,1
2020-11-03,2.5834525696,5,1
2020-11-04,3.4021611520000006,12,1
2020-11-05,7.0938292224,3,1
2020-11-06,7.237806899200001,5,0
2020-11-07,-1.376531456,2,0
2020-11-08,-2.0855323648000006,0,1
2020-11-09,6.768028569599999,8,0
2020-11-10,1.510774272,13,1
2020-11-11,2.8615189504,8,0
2020-11-12,4.7664835584,13,0
2020-11-13,9.33723904,4,0
2020-11-14,-3.8286427135999994,3,0
2020-11-15,-1.883043328000001,1,0
2020-11-16,3.8190523391999993,5,0
2020-11-17,1.1330954240000004,8,0
2020-11-18,3.3086271488000003,4,0
2020-11-19,9.0345513984,4,0
2020-11-20,-3.278181375999999,4,1
2020-11-21,-1.6084179968,2,0
2020-11-22,-1.0243842048,0,1
2020-11-23,4.3568,3,0
2020-11-24,5.494241280000001,12,1
2020-11-25,1.7851397120000003,12,0
2020-11-26,1.1044594687999998,3,0
2020-11-27,2.3553884160000003,1,0
2020-11-28,-1.7320428544,1,0
2020-11-29,-0.8792960000000006,0,0
2020-11-30,3.3774207999999994,17,1
2020-12-01,7.716851200000001,5,0
2020-12-02,0.4858019840000005,10,0
2020-12-03,2.2106683391999997,12,0
2020-12-04,1.2328525823999998,6,0
2020-12-05,2.4364971008,7,0
2020-12-06,-1.6942166016000002,0,1
2020-12-07,3.073425919999999,2,2
2020-12-08,5.533878272,6,1
2020-12-09,13.7571298304,12,0
2020-12-10,6.6614754304,8,1
2020-12-11,4.8221457408,7,0
2020-12-12,-3.946091417600001,3,0
2020-12-13,-2.141026099200001,2,0
2020-12-14,6.5292381183999995,6,1
2020-12-15,5.3138053119999995,16,0
2020-12-16,3.8840402944,16,3
2020-12-17,4.8884580352,15,0
2020-12-18,0.6770850816000005,20,1
2020-12-19,1.4842597376,7,0
2020-12-20,-1.2191425536000002,0,0
2020-12-21,3.541603839999999,7,0
2020-12-22,6.995794944,10,0
2020-12-23,2.0186820608000007,9,0
2020-12-24,-2.5133417472,2,0
2020-12-25,1.6226547712,1,0
2020-12-26,-1.5155213311999998,0,0
2020-12-27,-0.8643229696,0,0
2020-12-28,5.3955620864,0,0
2020-12-29,3.3603076096000004,0,0
2020-12-30,0.16692224000000033,0,0
2020-12-31,-1.3334491136,0,0
2021-01-01,-0.7147269120000003,0,0
2021-01-02,-0.460379136,1,0
2021-01-03,-0.35486085120000005,0,0
2021-01-04,3.74522368,6,0
2021-01-05,7.988182528,9,3
2021-01-06,6.699391897600001,21,1
2021-01-07,5.1968778239999995,12,0
2021-01-08,7.0886612992,20,1
2021-01-09,-2.4765440000000005,10,0
2021-01-10,-1.9979392000000011,3,0
2021-01-11,0.6898099199999992,11,1
2021-01-12,2.6179614719999997,11,0
2021-01-13,2.2559023104000007,16,1
2021-01-14,8.1770486784,6,0
2021-01-15,7.0037781504000005,16,0
2021-01-16,4.561969356800001,2,0
2021-01-17,-3.296482816,2,0
2021-01-18,-1.6861819904000013,5,0
2021-01-19,3.8464424959999994,13,0
2021-01-20,2.1213555712,6,1
2021-01-21,6.1147285504,15,3
2021-01-22,3.3135478784000005,21,0
2021-01-23,0.39601561600000057,7,1
2021-01-24,-1.9658752,3,0
2021-01-25,3.8991571967999996,17,0
2021-01-26,9.2837632,13,0
2021-01-27,5.84290816,10,0
2021-01-28,3.62550784,14,2
2021-01-29,11.8561741824,17,0
2021-01-30,6.2738587648,4,0
2021-01-31,-4.539419238400001,1,0
2021-02-01,5.5882175487999985,3,0
2021-02-02,4.74725632,13,3
2021-02-03,1.4914063359999998,10,0
2021-02-04,2.0035326976,9,0
2021-02-05,5.2556442624,11,0
2021-02-06,-2.2023830527999992,0,0
2021-02-07,-0.9610234879999997,4,0
2021-02-08,10.6043129856,5,0
2021-02-09,9.722860544,11,0
2021-02-10,6.752477900800001,6,0
2021-02-11,1.7051066368,11,0
2021-02-12,6.577136127999999,2,0
2021-02-13,0.03396403200000009,6,0
2021-02-14,-2.9657828352000006,2,1
2021-02-15,10.221951897599999,10,1
2021-02-16,5.2888979456000005,11,0
2021-02-17,2.2048008192000004,15,0
2021-02-18,-0.22435870719999995,17,0
2021-02-19,9.6103284736,1,0
2021-02-20,-2.8232321023999996,6,0
2021-02-21,-2.1628139520000005,0,0
2021-02-22,5.653126758399999,15,0
2021-02-23,0.6246261760000005,15,0
2021-02-24,2.0579996672000007,5,0
2021-02-25,8.1039878144,12,0
2021-02-26,6.9592713216,9,0
2021-02-27,-2.4985393151999995,0,0
2021-02-28,-1.9980295168000006,1,0
2021-03-01,10.809613209599998,11,0
2021-03-02,30.727430656,4,0
2021-03-03,-1.4514034687999988,17,0
2021-03-04,2.8099499007999977,9,1
2021-03-05,2.421349478399999,6,0
2021-03-06,-2.110329344,8,0
2021-03-07,-2.831650816000001,4,0
2021-03-08,3.146278809599999,2,0
2021-03-09,0.5733493760000004,11,0
2021-03-10,0.8333161472000024,6,1
2021-03-11,8.0658407424,4,1
2021-03-12,7.0862682112,14,3
2021-03-13,0.5931977728,1,0
2021-03-14,-2.4756128768000005,1,0
2021-03-15,8.616533299199999,11,0
2021-03-16,7.03263488,8,0
2021-03-17,4.449661952,10,1
2021-03-18,0.5637296127999996,16,0
2021-03-19,15.3117324288,4,0
2021-03-20,-2.231637503999999,2,0
2021-03-21,-3.142692352000001,1,0
2021-03-22,6.133879398399999,5,1
2021-03-23,9.07248128,3,0
2021-03-24,1.913852416000001,9,3
2021-03-25,-0.2958284800000004,8,1
2021-03-26,-1.4480730112000009,15,2
2021-03-27,1.3048756224000007,0,0
2021-03-28,-0.7630738431999995,0,0
2021-03-29,8.8400165888,5,0
2021-03-30,8.224996864000001,11,1
2021-03-31,15.3904099328,9,2
2021-04-01,2.422624563200001,13,0
2021-04-02,8.794271641599998,7,0
2021-04-03,-3.899964723200001,3,0
2021-04-04,-1.8201432064000018,1,0
2021-04-05,7.896236236799999,15,0
2021-04-06,4.5002244096,9,0
2021-04-07,6.418435584,12,1
2021-04-08,1.0093464576000009,10,1
2021-04-09,0.8619684863999995,15,1
2021-04-10,-1.5283105791999998,1,2
2021-04-11,-1.6979919872000002,2,0
2021-04-12,8.9450853376,13,0
2021-04-13,9.193871769600001,15,0
