,ansible/ansible,saltstack/salt,cfengine/core
2014-01-03,13,46,15
2014-01-04,15,11,0
2014-01-05,0,20,0
2014-01-06,20,33,17
2014-01-07,10,39,49
2014-01-08,17,40,20
2014-01-09,8,29,5
2014-01-10,8,49,15
2014-01-11,4,25,24
2014-01-12,2,28,18
2014-01-13,9,25,18
2014-01-14,24,20,30
2014-01-15,13,24,4
2014-01-16,13,53,22
2014-01-17,10,64,10
2014-01-18,3,21,1
2014-01-19,6,24,1
2014-01-20,14,25,12
2014-01-21,23,23,19
2014-01-22,13,21,29
2014-01-23,17,31,51
2014-01-24,21,32,17
2014-01-25,6,13,22
2014-01-26,6,8,8
2014-01-27,16,21,15
2014-01-28,17,32,20
2014-01-29,30,52,42
2014-01-30,24,53,16
2014-01-31,4,48,14
2014-02-01,2,33,4
2014-02-02,3,16,0
2014-02-03,13,51,19
2014-02-04,10,77,6
2014-02-05,31,51,48
2014-02-06,13,59,14
2014-02-07,30,53,2
2014-02-08,11,94,1
2014-02-09,8,16,0
2014-02-10,18,45,18
2014-02-11,13,81,8
2014-02-12,30,90,2
2014-02-13,17,45,9
2014-02-14,18,50,28
2014-02-15,7,32,8
2014-02-16,1,37,0
2014-02-17,17,34,5
2014-02-18,25,60,23
2014-02-19,46,69,13
2014-02-20,60,89,36
2014-02-21,18,45,39
2014-02-22,6,27,4
2014-02-23,6,26,2
2014-02-24,26,77,11
2014-02-25,23,83,39
2014-02-26,39,93,34
2014-02-27,22,82,29
2014-02-28,36,56,51
2014-03-01,6,20,2
2014-03-02,7,23,0
2014-03-03,32,64,39
2014-03-04,24,77,17
2014-03-05,29,75,32
2014-03-06,36,66,29
2014-03-07,23,72,16
2014-03-08,12,18,6
2014-03-09,14,11,0
2014-03-10,51,155,6
2014-03-11,88,72,34
2014-03-12,68,79,61
2014-03-13,25,65,19
2014-03-14,21,79,23
2014-03-15,12,23,1
2014-03-16,77,16,0
2014-03-17,28,103,20
2014-03-18,30,56,18
2014-03-19,37,49,40
2014-03-20,24,90,26
2014-03-21,11,78,10
2014-03-22,5,43,2
2014-03-23,15,43,1
2014-03-24,15,64,14
2014-03-25,37,38,15
2014-03-26,29,65,6
2014-03-27,20,49,9
2014-03-28,70,38,17
2014-03-29,5,21,3
2014-03-30,12,13,2
2014-03-31,25,59,22
2014-04-01,18,61,18
2014-04-02,39,41,16
2014-04-03,32,39,29
2014-04-04,13,24,12
2014-04-05,6,14,12
2014-04-06,3,21,0
2014-04-07,9,70,8
2014-04-08,23,57,12
2014-04-09,4,42,23
2014-04-10,8,52,23
2014-04-11,9,40,6
2014-04-12,2,13,0
2014-04-13,3,21,0
2014-04-14,28,77,11
2014-04-15,17,72,0
2014-04-16,16,59,3
2014-04-17,10,62,1
2014-04-18,10,91,0
2014-04-19,3,22,1
2014-04-20,3,14,1
2014-04-21,17,30,0
2014-04-22,14,46,9
2014-04-23,30,59,8
2014-04-24,25,75,15
2014-04-25,6,57,5
2014-04-26,0,34,0
2014-04-27,7,20,0
2014-04-28,8,37,8
2014-04-29,41,78,5
2014-04-30,12,131,5
2014-05-01,8,77,7
2014-05-02,3,51,4
2014-05-03,4,9,7
2014-05-04,2,22,2
2014-05-05,12,49,10
2014-05-06,11,50,3
2014-05-07,16,72,3
2014-05-08,19,52,6
2014-05-09,30,34,6
2014-05-10,3,22,0
2014-05-11,0,19,0
2014-05-12,7,69,10
2014-05-13,10,81,12
2014-05-14,22,74,7
2014-05-15,8,41,24
2014-05-16,9,45,17
2014-05-17,2,27,0
2014-05-18,0,13,0
2014-05-19,4,40,4
2014-05-20,8,31,5
2014-05-21,22,48,9
2014-05-22,6,52,7
2014-05-23,17,57,18
2014-05-24,4,17,1
2014-05-25,3,22,0
2014-05-26,7,18,6
2014-05-27,24,38,4
2014-05-28,4,45,1
2014-05-29,5,51,0
2014-05-30,8,46,2
2014-05-31,2,7,0
2014-06-01,6,14,3
2014-06-02,4,44,22
2014-06-03,8,40,11
2014-06-04,15,31,6
2014-06-05,15,85,6
2014-06-06,9,171,2
2014-06-07,4,18,0
2014-06-08,3,2,0
2014-06-09,11,40,0
2014-06-10,18,53,3
2014-06-11,5,55,10
2014-06-12,20,43,6
2014-06-13,3,31,1
2014-06-14,3,17,0
2014-06-15,7,30,0
2014-06-16,13,21,10
2014-06-17,17,119,2
2014-06-18,13,67,0
2014-06-19,117,132,2
2014-06-20,38,109,7
2014-06-21,7,35,0
2014-06-22,9,15,0
2014-06-23,25,35,3
2014-06-24,13,49,3
2014-06-25,13,78,13
2014-06-26,12,71,44
2014-06-27,6,75,9
2014-06-28,5,17,0
2014-06-29,4,13,0
2014-06-30,2,63,26
2014-07-01,17,69,40
2014-07-02,19,47,13
2014-07-03,5,50,16
2014-07-04,3,14,23
2014-07-05,7,5,0
2014-07-06,3,4,0
2014-07-07,6,72,14
2014-07-08,11,64,9
2014-07-09,9,81,7
2014-07-10,21,103,10
2014-07-11,13,49,13
2014-07-12,2,19,1
2014-07-13,1,16,0
2014-07-14,27,70,8
2014-07-15,12,89,13
2014-07-16,21,35,28
2014-07-17,14,82,13
2014-07-18,8,16,13
2014-07-19,7,9,0
2014-07-20,1,4,0
2014-07-21,8,36,5
2014-07-22,2,52,7
2014-07-23,3,71,27
2014-07-24,20,53,6
2014-07-25,26,61,14
2014-07-26,6,39,0
2014-07-27,0,7,0
2014-07-28,31,39,0
