,facebook/docusaurus,mkdocs/mkdocs,docsifyjs/docsify
2022-02-16,1.8341881856000004,0,0
2022-02-17,5.6813748224000005,0,0
2022-02-18,-3.0232841215999997,0,0
2022-02-19,-0.7779617792,0,0
2022-02-20,1.7707973631999998,0,0
2022-02-21,-0.7523789824000002,0,0
2022-02-22,-1.0560135168000002,0,0
2022-02-23,6.522605056,0,0
2022-02-24,0.9746652160000009,0,1
2022-02-25,3.4899322880000003,0,0
2022-02-26,-1.2875927551999995,1,0
2022-02-27,0.10193162239999998,0,0
2022-02-28,-1.6015394816000001,0,0
2022-03-01,-0.6765402112000003,0,0
2022-03-02,9.6510034944,1,0
2022-03-03,4.814704947200001,0,0
2022-03-04,-1.8911033343999986,0,0
2022-03-05,1.1303659520000005,0,0
2022-03-06,3.1793188864,0,1
2022-03-07,-0.5266673663999999,0,0
2022-03-08,1.4495640576,0,2
2022-03-09,1.2845299712000005,0,0
2022-03-10,3.2479706112,0,0
2022-03-11,-2.5766990847999995,0,0
2022-03-12,1.270992384,0,0
2022-03-13,0.0068220928000002345,0,0
2022-03-14,3.3926609919999997,0,0
2022-03-15,-0.6657427455999994,0,2
2022-03-16,1.2821296128000004,0,1
2022-03-17,1.0971023360000003,0,0
2022-03-18,2.0898693120000003,0,1
2022-03-19,-0.3027823615999998,0,2
2022-03-20,-1.5913660415999997,0,0
2022-03-21,4.3580192768,0,0
2022-03-22,1.6838987776000005,0,0
2022-03-23,-0.34615111679999977,0,1
2022-03-24,6.3972284416,0,0
2022-03-25,12.1678901248,3,0
2022-03-26,-1.6647580671999993,13,0
2022-03-27,1.04383232,0,0
2022-03-28,1.5291544576000007,0,0
2022-03-29,0.6707571712,0,0
2022-03-30,1.0972680191999995,0,0
2022-03-31,-0.7340313599999995,1,1
2022-04-01,-2.8527017984,0,0
2022-04-02,-1.3854308352000002,0,0
2022-04-03,-0.8183069696,0,0
2022-04-04,-0.39216220160000015,0,0
2022-04-05,-0.18908764160000002,0,0
2022-04-06,0.9618504704000002,0,0
2022-04-07,12.6802793472,0,0
2022-04-08,-2.154297548799999,0,0
2022-04-09,4.4127659008,0,0
2022-04-10,-2.7584396287999997,0,0
2022-04-11,-0.7275916288000004,0,0
2022-04-12,-0.2299788288000002,0,0
2022-04-13,2.9932122112,0,0
2022-04-14,1.9170337792000005,0,0
2022-04-15,0.6339318784000003,0,0
2022-04-16,-2.0957919231999997,0,0
2022-04-17,4.2769901568,0,0
2022-04-18,-2.3491241983999998,0,0
2022-04-19,-0.7076248576000002,0,0
2022-04-20,2.6720154624,0,0
2022-04-21,4.6513675264,0,0
2022-04-22,3.1984732160000005,0,0
2022-04-23,-3.2483153919999994,0,0
2022-04-24,-0.08388689919999992,0,0
