,cacti/cacti,netdata/netdata,grafana/grafana
2017-12-12,0,15,39
2017-12-13,0,1,69
2017-12-14,0,4,36
2017-12-15,0,0,32
2017-12-16,0,5,1
2017-12-17,0,10,0
2017-12-18,0,9,11
2017-12-19,0,1,38
2017-12-20,0,9,18
2017-12-21,2,2,7
2017-12-22,9,0,9
2017-12-23,20,5,2
2017-12-24,10,6,0
2017-12-25,2,6,2
2017-12-26,1,19,7
2017-12-27,4,8,10
2017-12-28,2,6,16
2017-12-29,6,0,3
2017-12-30,3,0,0
2017-12-31,8,0,6
2018-01-01,0,0,3
2018-01-02,0,5,3
2018-01-03,7,27,9
2018-01-04,0,12,6
2018-01-05,1,7,5
2018-01-06,12,8,0
2018-01-07,4,9,0
2018-01-08,0,6,6
2018-01-09,0,3,41
2018-01-10,0,13,18
2018-01-11,2,12,10
2018-01-12,8,5,4
2018-01-13,13,12,0
2018-01-14,25,17,2
2018-01-15,48,9,11
2018-01-16,17,0,31
2018-01-17,5,0,7
2018-01-18,1,9,20
2018-01-19,16,10,10
2018-01-20,18,23,3
2018-01-21,8,2,2
2018-01-22,3,6,13
2018-01-23,4,4,13
2018-01-24,3,3,18
2018-01-25,2,35,35
2018-01-26,0,4,19
2018-01-27,13,35,3
2018-01-28,16,4,1
2018-01-29,0,8,22
2018-01-30,1,9,45
2018-01-31,0,0,58
2018-02-01,0,5,41
2018-02-02,0,9,11
2018-02-03,13,2,6
2018-02-04,19,6,3
2018-02-05,8,0,41
2018-02-06,3,3,13
2018-02-07,17,0,8
2018-02-08,9,1,14
2018-02-09,18,0,17
2018-02-10,20,5,1
2018-02-11,20,6,0
2018-02-12,5,4,16
2018-02-13,6,2,6
2018-02-14,9,3,30
2018-02-15,10,0,21
2018-02-16,1,2,23
2018-02-17,8,9,2
2018-02-18,7,7,2
2018-02-19,13,10,13
2018-02-20,12,41,19
2018-02-21,0,5,29
2018-02-22,9,3,26
2018-02-23,7,11,6
2018-02-24,9,14,1
2018-02-25,14,24,1
2018-02-26,5,17,9
2018-02-27,6,3,13
2018-02-28,0,16,12
2018-03-01,0,7,8
2018-03-02,1,0,2
2018-03-03,10,0,4
2018-03-04,7,0,6
2018-03-05,0,14,6
2018-03-06,3,0,26
2018-03-07,3,6,39
2018-03-08,7,9,14
2018-03-09,3,1,9
2018-03-10,0,1,2
2018-03-11,1,21,1
2018-03-12,1,9,20
2018-03-13,3,14,37
2018-03-14,2,1,26
2018-03-15,1,0,22
2018-03-16,0,0,18
2018-03-17,6,0,1
2018-03-18,10,7,1
2018-03-19,5,6,29
2018-03-20,0,2,38
2018-03-21,9,1,11
2018-03-22,5,0,32
2018-03-23,1,0,38
2018-03-24,6,10,6
2018-03-25,2,1,2
2018-03-26,5,13,14
2018-03-27,0,7,21
2018-03-28,0,2,24
2018-03-29,2,5,6
2018-03-30,6,0,6
2018-03-31,0,1,0
2018-04-01,0,0,0
2018-04-02,0,2,5
2018-04-03,3,6,20
2018-04-04,3,0,19
2018-04-05,1,3,21
2018-04-06,7,0,11
2018-04-07,11,0,1
2018-04-08,15,0,6
2018-04-09,3,1,22
2018-04-10,0,3,24
2018-04-11,0,0,14
2018-04-12,1,0,19
2018-04-13,5,0,29
2018-04-14,4,2,5
2018-04-15,4,0,5
2018-04-16,0,7,56
2018-04-17,0,4,56
2018-04-18,0,6,22
2018-04-19,3,2,21
2018-04-20,0,2,19
2018-04-21,5,0,1
2018-04-22,10,2,5
2018-04-23,2,2,19
2018-04-24,8,1,16
2018-04-25,0,1,10
2018-04-26,1,6,11
2018-04-27,0,3,24
2018-04-28,6,0,2
2018-04-29,4,1,0
2018-04-30,3,4,12
2018-05-01,0,9,3
2018-05-02,0,14,19
2018-05-03,0,13,10
2018-05-04,0,0,4
2018-05-05,0,0,2
2018-05-06,8,0,1
2018-05-07,2,6,23
2018-05-08,6,6,38
2018-05-09,3,2,3
2018-05-10,19,12,2
2018-05-11,14,0,4
2018-05-12,5,0,1
2018-05-13,5,0,0
2018-05-14,1,1,8
2018-05-15,1,0,5
2018-05-16,0,0,10
2018-05-17,0,0,4
2018-05-18,0,2,11
2018-05-19,0,1,3
2018-05-20,0,0,2
2018-05-21,0,3,21
2018-05-22,0,2,2
2018-05-23,0,4,15
2018-05-24,0,0,11
2018-05-25,0,6,10
2018-05-26,0,8,3
2018-05-27,0,2,4
2018-05-28,0,5,23
2018-05-29,0,15,24
2018-05-30,2,1,18
2018-05-31,0,12,15
2018-06-01,0,43,8
2018-06-02,13,0,1
2018-06-03,5,0,0
2018-06-04,1,15,48
2018-06-05,0,8,19
2018-06-06,3,5,10
2018-06-07,0,3,15
2018-06-08,0,1,5
2018-06-09,6,0,2
2018-06-10,5,15,0
2018-06-11,0,20,1
2018-06-12,1,0,8
2018-06-13,0,2,11
2018-06-14,0,2,40
2018-06-15,0,2,38
2018-06-16,0,6,4
2018-06-17,4,2,0
2018-06-18,0,5,20
2018-06-19,0,3,18
2018-06-20,0,11,17
2018-06-21,0,13,12
2018-06-22,0,15,2
2018-06-23,0,3,1
2018-06-24,0,7,0
2018-06-25,0,11,22
2018-06-26,0,12,24
2018-06-27,0,5,6
2018-06-28,0,13,14
2018-06-29,0,1,23
2018-06-30,0,2,4
2018-07-01,0,8,6
2018-07-02,0,2,12
2018-07-03,0,9,8
2018-07-04,3,4,30
2018-07-05,0,3,8
2018-07-06,0,12,17
2018-07-07,0,8,9
2018-07-08,0,10,8
2018-07-09,0,3,23
2018-07-10,0,11,12
2018-07-11,3,4,23
2018-07-12,0,4,9
2018-07-13,0,1,10
2018-07-14,9,0,5
2018-07-15,5,0,13
2018-07-16,0,2,12
2018-07-17,0,4,11
2018-07-18,0,15,12
2018-07-19,1,0,0
2018-07-20,0,0,5
2018-07-21,9,0,2
2018-07-22,2,1,5
2018-07-23,5,1,24
2018-07-24,1,3,31
2018-07-25,3,7,16
2018-07-26,4,0,12
2018-07-27,9,4,36
2018-07-28,8,2,3
2018-07-29,18,0,4
2018-07-30,0,0,18
2018-07-31,5,0,10
2018-08-01,1,1,15
2018-08-02,3,8,39
2018-08-03,3,5,12
2018-08-04,0,0,0
2018-08-05,3,3,13
2018-08-06,7,1,21
2018-08-07,11,0,19
2018-08-08,6,0,20
2018-08-09,6,0,17
2018-08-10,1,0,13
2018-08-11,10,0,0
2018-08-12,1,2,4
2018-08-13,1,3,36
2018-08-14,3,4,49
2018-08-15,4,0,8
2018-08-16,7,0,8
2018-08-17,7,1,18
2018-08-18,23,0,8
2018-08-19,10,0,0
2018-08-20,7,0,11
2018-08-21,5,0,15
2018-08-22,2,1,4
2018-08-23,2,0,10
2018-08-24,4,0,8
2018-08-25,2,8,7
2018-08-26,9,0,5
2018-08-27,0,0,8
2018-08-28,1,0,9
2018-08-29,0,2,18
2018-08-30,3,0,33
2018-08-31,2,0,22
2018-09-01,2,0,1
2018-09-02,18,0,5
2018-09-03,6,0,20
2018-09-04,4,0,27
2018-09-05,0,3,29
2018-09-06,1,0,23
2018-09-07,4,0,15
2018-09-08,8,21,1
2018-09-09,2,6,0
2018-09-10,2,14,34
2018-09-11,0,9,25
2018-09-12,0,16,11
2018-09-13,2,5,26
2018-09-14,0,5,89
2018-09-15,3,0,5
2018-09-16,1,3,2
