,python/cpython,JuliaLang/julia,rust-lang/rust
2023-08-18,9,9,83
2023-08-19,7,3,47
2023-08-20,12,2,45
2023-08-21,27,11,67
2023-08-22,26,3,105
2023-08-23,22,7,60
2023-08-24,34,6,79
2023-08-25,20,10,56
2023-08-26,5,6,51
2023-08-27,11,2,46
2023-08-28,14,7,91
2023-08-29,33,2,70
2023-08-30,13,9,86
2023-08-31,16,16,62
2023-09-01,18,9,73
2023-09-02,18,1,72
2023-09-03,10,5,76
2023-09-04,12,0,34
2023-09-05,18,11,75
2023-09-06,24,8,88
2023-09-07,25,7,71
2023-09-08,19,5,103
2023-09-09,11,8,46
2023-09-10,13,1,64
2023-09-11,20,4,91
2023-09-12,27,4,67
2023-09-13,13,12,52
2023-09-14,13,13,85
2023-09-15,14,7,66
