,laravel/framework,codeigniter4/CodeIgniter4,chriskacerguis/codeigniter-restserver
2016-06-17,23,3,0
2016-06-18,13,0,3
2016-06-19,16,0,1
2016-06-20,13,0,2
2016-06-21,6,1,1
2016-06-22,24,0,6
2016-06-23,3,4,0
2016-06-24,6,5,0
2016-06-25,0,5,0
2016-06-26,6,6,0
2016-06-27,7,2,1
2016-06-28,8,11,0
2016-06-29,18,7,0
2016-06-30,28,10,0
2016-07-01,18,5,0
2016-07-02,10,1,0
2016-07-03,0,0,0
2016-07-04,0,0,0
2016-07-05,5,3,0
2016-07-06,1,4,0
2016-07-07,2,0,0
2016-07-08,2,4,1
2016-07-09,0,0,0
2016-07-10,8,0,1
2016-07-11,3,11,0
2016-07-12,19,11,0
2016-07-13,12,4,0
2016-07-14,8,11,0
2016-07-15,15,19,0
2016-07-16,2,6,0
2016-07-17,8,0,0
2016-07-18,29,6,3
2016-07-19,11,6,0
2016-07-20,17,7,0
2016-07-21,23,6,0
2016-07-22,12,1,0
2016-07-23,50,4,0
2016-07-24,32,1,0
2016-07-25,10,7,0
2016-07-26,18,0,0
2016-07-27,22,5,1
2016-07-28,12,6,0
2016-07-29,23,8,0
2016-07-30,3,6,3
2016-07-31,7,2,0
2016-08-01,32,6,0
2016-08-02,12,8,0
2016-08-03,7,5,0
2016-08-04,25,2,0
2016-08-05,26,0,0
2016-08-06,22,0,0
2016-08-07,35,2,0
2016-08-08,25,8,0
2016-08-09,38,6,0
2016-08-10,34,2,0
2016-08-11,22,1,0
2016-08-12,46,8,0
2016-08-13,8,0,0
2016-08-14,4,4,0
2016-08-15,15,7,0
2016-08-16,19,1,0
2016-08-17,13,2,0
2016-08-18,20,2,2
2016-08-19,15,2,0
2016-08-20,4,2,0
2016-08-21,6,0,0
2016-08-22,37,2,0
2016-08-23,15,0,2
2016-08-24,24,8,0
2016-08-25,13,2,0
2016-08-26,27,1,0
2016-08-27,15,1,0
2016-08-28,17,5,0
2016-08-29,14,0,0
2016-08-30,8,7,0
2016-08-31,13,15,0
2016-09-01,11,1,0
2016-09-02,18,0,0
2016-09-03,2,0,0
2016-09-04,1,0,1
2016-09-05,21,0,0
2016-09-06,17,0,0
2016-09-07,32,4,1
2016-09-08,14,2,2
2016-09-09,17,4,0
2016-09-10,0,3,2
2016-09-11,4,6,0
2016-09-12,5,7,0
2016-09-13,2,1,0
2016-09-14,4,1,0
2016-09-15,8,2,0
2016-09-16,14,1,0
2016-09-17,3,0,0
2016-09-18,5,2,0
2016-09-19,7,4,0
2016-09-20,16,3,0
2016-09-21,18,0,0
2016-09-22,7,16,0
2016-09-23,10,9,0
2016-09-24,7,3,0
2016-09-25,1,0,0
2016-09-26,7,1,0
2016-09-27,10,2,0
2016-09-28,16,0,0
2016-09-29,17,0,1
2016-09-30,4,0,0
2016-10-01,0,0,0
2016-10-02,2,1,0
2016-10-03,16,0,0
2016-10-04,9,5,0
2016-10-05,20,2,0
2016-10-06,14,0,0
2016-10-07,7,2,0
2016-10-08,3,1,0
2016-10-09,2,0,0
2016-10-10,9,1,0
2016-10-11,1,0,0
2016-10-12,13,2,0
2016-10-13,30,1,0
2016-10-14,10,2,0
2016-10-15,15,0,0
2016-10-16,6,0,0
2016-10-17,20,1,0
2016-10-18,13,2,0
2016-10-19,12,1,0
2016-10-20,5,1,0
2016-10-21,4,3,0
2016-10-22,10,0,0
2016-10-23,5,0,0
2016-10-24,13,4,0
2016-10-25,3,0,0
2016-10-26,15,2,2
2016-10-27,7,2,0
2016-10-28,17,0,0
2016-10-29,3,0,0
2016-10-30,15,2,0
2016-10-31,21,3,0
2016-11-01,30,0,0
2016-11-02,35,3,0
2016-11-03,22,2,0
2016-11-04,9,0,0
2016-11-05,7,2,0
2016-11-06,4,3,0
2016-11-07,17,3,0
2016-11-08,25,1,0
2016-11-09,4,1,0
2016-11-10,8,4,0
2016-11-11,23,4,0
2016-11-12,2,10,0
2016-11-13,3,0,0
2016-11-14,31,10,0
2016-11-15,16,5,0
2016-11-16,12,4,0
2016-11-17,13,4,0
2016-11-18,18,1,0
2016-11-19,6,0,0
2016-11-20,3,0,0
2016-11-21,11,1,0
2016-11-22,7,2,5
2016-11-23,5,0,0
2016-11-24,10,1,0
2016-11-25,3,0,0
2016-11-26,5,2,0
