,rust-lang/rust,JetBrains/kotlin,apple/swift
2011-06-09,29,0,-0.21860413439999984
2011-06-10,26,5,-0.13708800000000002
2011-06-11,10,0,-0.10053120000000004
2011-06-12,6,6,-0.07755264000000005
2011-06-13,4,2,-0.06204211200000005
2011-06-14,33,3,-0.051012403200000056
2011-06-15,46,20,0.0
2011-06-16,48,4,0.0
2011-06-17,39,24,0.0
2011-06-18,14,4,0.0
2011-06-19,24,0,0.0
2011-06-20,25,2,0.0
2011-06-21,13,0,0.0
2011-06-22,10,3,0.0
2011-06-23,15,8,0.0
2011-06-24,18,2,0.0
2011-06-25,8,0,0.0
2011-06-26,3,0,0.0
2011-06-27,38,2,0.0
2011-06-28,50,4,0.0
2011-06-29,38,9,0.0
2011-06-30,38,17,0.0
2011-07-01,33,0,0.0
2011-07-02,6,0,0.0
2011-07-03,8,0,0.0
2011-07-04,9,3,0.0
2011-07-05,26,9,0.0
2011-07-06,68,25,0.0
2011-07-07,32,3,0.0
2011-07-08,58,14,0.0
2011-07-09,15,0,0.0
2011-07-10,13,1,0.0
2011-07-11,35,2,0.0
2011-07-12,50,16,0.0
2011-07-13,32,14,1.0
2011-07-14,25,18,1.4
2011-07-15,28,10,-1.3200000000000003
2011-07-16,10,1,-0.296
2011-07-17,8,0,0.8544
2011-07-18,15,0,2.309952
2011-07-19,22,3,17.0175488
2011-07-20,22,0,-11.862435840000002
2011-07-21,24,0,-2.5177912319999995
2011-07-22,29,0,-1.2168307711999997
2011-07-23,11,0,2.2592966656000004
2011-07-24,4,0,8.702696959999999
2011-07-25,16,0,-6.327465472000002
2011-07-26,41,0,1.6268935168
2011-07-27,40,4,-3.4587728896000005
2011-07-28,51,0,-1.1356832767999998
2011-07-29,32,0,4.4408064
2011-07-30,16,4,-3.3803315200000004
2011-07-31,4,0,17.118651904
2011-08-01,12,0,-7.299196313600001
2011-08-02,48,0,-2.883564851200001
2011-08-03,32,1,8.1478965248
2011-08-04,29,0,-6.7865842688
2011-08-05,40,3,-2.6422912
2011-08-06,4,0,-0.24788736
2011-08-07,0,0,-1.413485056
2011-08-08,14,0,0.3237335039999998
2011-08-09,27,0,-0.08340469760000047
2011-08-10,31,0,1.0327759872
2011-08-11,38,0,3.4574785535999997
2011-08-12,76,0,24.549781708799998
2011-08-13,3,0,6.410124492799994
2011-08-14,4,0,-14.157143552
2011-08-15,46,0,-7.0998787072
2011-08-16,49,4,-1.935816191999999
2011-08-17,33,2,-0.39861329919999955
2011-08-18,31,0,-2.5657075712000004
2011-08-19,38,0,0.7798649855999995
2011-08-20,20,0,2.9451284479999993
2011-08-21,0,0,-3.867976089600001
2011-08-22,23,4,5.9801377792
2011-08-23,10,4,2.372355891199999
2011-08-24,21,1,5.710112767999999
2011-08-25,6,0,17.991066828799998
2011-08-26,30,5,-10.673831014400001
2011-08-27,52,0,-8.416443904000001
2011-08-28,4,0,-3.0115282943999997
2011-08-29,17,3,2.2327971840000007
2011-08-30,14,9,2.423584256
2011-08-31,29,16,14.050352025599999
2011-09-01,51,8,-1.9706061824000027
2011-09-02,20,13,-6.803249971200001
2011-09-03,15,5,-0.7704282112000005
2011-09-04,0,5,-1.2780232704000003
2011-09-05,0,20,-3.40394496
2011-09-06,4,17,4.626609152
2011-09-07,8,8,-3.496884940800001
2011-09-08,4,10,0.04788346879999983
2011-09-09,9,18,2.8943757311999994
2011-09-10,9,3,-3.7241111552000006
2011-09-11,1,2,0.011668070399999952
2011-09-12,46,8,-1.1356085248
2011-09-13,17,11,-0.45351004159999997
2011-09-14,33,4,0.721282048
2011-09-15,27,15,2.1954203648
2011-09-16,30,4,-0.03665797120000036
2011-09-17,3,0,-1.7014610944000004
2011-09-18,2,4,0.502964224
2011-09-19,9,7,4.154011648
2011-09-20,37,4,-0.2810012672000006
2011-09-21,30,3,-2.5648870400000003
2011-09-22,27,4,-0.756227072
2011-09-23,42,11,6.5757779968
2011-09-24,19,6,-0.47798210560000065
2011-09-25,6,1,-3.4222495744000003
2011-09-26,23,4,1.002766848
2011-09-27,31,8,3.2418198528
2011-09-28,23,6,-1.6078673920000002
2011-09-29,7,8,-1.1461846016000004
2011-09-30,33,4,-1.3446988800000002
2011-10-01,6,4,-0.569780224
2011-10-02,3,1,-0.37182627840000004
2011-10-03,4,5,-0.2229311488000001
2011-10-04,9,2,-0.14166630400000008
2011-10-05,39,6,-0.1113119744000001
2011-10-06,16,1,-0.07611648000000008
2011-10-07,14,2,-0.027344486400000027
2011-10-08,0,3,-0.00850206720000001
2011-10-09,4,3,0.0
2011-10-10,6,3,0.0
2011-10-11,16,2,0.0
2011-10-12,49,7,0.0
2011-10-13,7,20,0.0
2011-10-14,2,4,0.0
2011-10-15,3,1,0.0
2011-10-16,2,1,1.0
2011-10-17,10,20,-0.6000000000000001
2011-10-18,17,7,9.88
2011-10-19,0,12,-2.056000000000001
2011-10-20,13,8,5.3664
2011-10-21,46,16,-2.462848
2011-10-22,4,1,6.9432448
2011-10-23,5,6,-7.959805440000001
2011-10-24,34,16,-2.1156843519999997
2011-10-25,7,4,-1.1608092671999999
2011-10-26,9,5,1.23310592
2011-10-27,19,18,0.2389401599999994
2011-10-28,46,18,1.1969196031999996
2011-10-29,10,0,-2.4120598528000006
2011-10-30,7,2,-0.6869521408000001
2011-10-31,18,30,-0.3744187392
2011-11-01,13,24,25.8199936
2011-11-02,49,23,-13.727905280000002
2011-11-03,7,40,-0.416797184
2011-11-04,2,32,-4.172461158400001
2011-11-05,29,3,-1.5136251903999993
2011-11-06,5,1,-0.9107542016000001
2011-11-07,17,28,2.3842688
2011-11-08,11,13,7.7390361599999995
2011-11-09,17,39,8.278279168
2011-11-10,19,30,3.3385637887999984
2011-11-11,16,8,-10.919165542400002
2011-11-12,6,26,-2.958552268799999
2011-11-13,2,3,-1.5667455999999995
2011-11-14,6,25,-1.01944832
2011-11-15,8,17,-0.7314754560000003
2011-11-16,59,24,0.4426358783999996
2011-11-17,33,17,10.978917888
2011-11-18,36,19,1.407704063999999
2011-11-19,7,2,-7.015028940800001
2011-11-20,1,1,-1.7856
2011-11-21,13,7,-0.9300479999999997
2011-11-22,17,18,-0.5933311999999997
2011-11-23,11,36,-0.41961984000000013
2011-11-24,4,41,-0.31624243200000013
2011-11-25,9,38,-0.2489152512000002
2011-11-26,4,2,-0.1950879744000002
2011-11-27,0,0,-0.07651860480000008
2011-11-28,6,29,0.0
2011-11-29,37,21,3.0
2011-11-30,11,19,-1.8000000000000003
2011-12-01,13,24,-0.36
2011-12-02,25,26,-0.16799999999999998
2011-12-03,6,5,-0.10079999999999992
2011-12-04,4,1,-0.06854400000000001
2011-12-05,7,13,3.9497344
2011-12-06,12,22,10.56122368
2011-12-07,28,35,-3.3110210560000013
2011-12-08,15,36,-3.8095062016000005
2011-12-09,13,17,-2.0624
2011-12-10,1,1,1.0718080000000003
2011-12-11,3,4,-1.7880448000000002
2011-12-12,4,23,-0.6573593600000001
2011-12-13,21,28,1.571983872
2011-12-14,33,38,6.4829847551999995
2011-12-15,12,20,3.7391499263999988
2011-12-16,42,46,-6.558361088
2011-12-17,25,3,-1.6295529472
2011-12-18,16,3,-0.8391767039999998
2011-12-19,46,18,-0.5356985343999998
2011-12-20,33,36,-0.36552448000000015
2011-12-21,25,27,5.725118976
2011-12-22,21,12,21.1839440896
2011-12-23,11,12,-6.881079705600001
2011-12-24,5,1,-8.812518604800001
2011-12-25,1,8,-2.6815999999999995
2011-12-26,1,11,-1.4810879999999993
2011-12-27,0,29,-0.9741311999999998
2011-12-28,12,3,-0.7020646400000004
2011-12-29,5,26,-0.5359749120000004
2011-12-30,9,34,-0.42585016320000035
2011-12-31,9,0,-0.3056148480000003
2012-01-01,2,0,-0.07651860480000008
