,gogs/gogs,gitlabhq/gitlabhq,gitbucket/gitbucket
2014-11-21,4,-0.6335843327999999,0
2014-11-22,1,-3.1963098112,10
2014-11-23,1,5.074915430399999,4
2014-11-24,7,11.3234839552,1
2014-11-25,0,-1.3428528128000004,0
2014-11-26,2,4.1588161536,1
2014-11-27,2,3.8552712192000005,3
2014-11-28,6,1.9192031232000004,0
2014-11-29,3,4.2955113472,0
2014-11-30,7,7.0978243584,0
2014-12-01,2,13.387073535999999,0
2014-12-02,6,21.634752819200003,0
2014-12-03,1,13.9178973184,0
2014-12-04,2,22.750494924799998,1
2014-12-05,11,11.501805363199999,0
2014-12-06,0,-8.759311052800001,0
2014-12-07,5,1.443710463999997,0
2014-12-08,1,13.7901135872,0
2014-12-09,1,-3.2145556479999993,0
2014-12-10,7,-0.8575198208000003,0
2014-12-11,4,6.0798999552,0
2014-12-12,1,5.557686579200002,1
2014-12-13,2,-2.474591846399999,0
2014-12-14,3,4.288108339199999,0
2014-12-15,2,21.0053497856,0
2014-12-16,1,2.4425659392000014,0
2014-12-17,6,9.0549766144,0
2014-12-18,8,0.560744550399999,0
2014-12-19,6,-2.1410313216000008,1
2014-12-20,1,14.087310336,0
2014-12-21,7,-3.3104711679999994,2
2014-12-22,9,12.869142835199998,2
2014-12-23,0,19.732649779200003,0
2014-12-24,2,10.213427302400001,0
2014-12-25,0,9.674617958399999,0
2014-12-26,0,14.7292877824,1
2014-12-27,6,0.6952206335999982,2
2014-12-28,3,6.7505559551999985,4
2014-12-29,6,38.5708500992,3
2014-12-30,0,12.308659507200002,5
2014-12-31,7,-9.299364966400002,1
2015-01-01,0,-0.5345244160000018,3
2015-01-02,11,-4.4292544512,3
2015-01-03,2,0.2884564992000005,1
2015-01-04,0,-2.4167584767999997,4
2015-01-05,3,5.6076411904,1
2015-01-06,1,17.6676098048,2
2015-01-07,0,8.874824192000002,6
2015-01-08,1,5.337757696000001,1
2015-01-09,2,-2.9122428928,3
2015-01-10,0,4.912772505599999,2
2015-01-11,0,16.4213666816,0
2015-01-12,0,5.8826763263999995,1
2015-01-13,0,24.4784398336,0
2015-01-14,0,-1.120386355199999,1
2015-01-15,1,42.8429884416,0
2015-01-16,0,-1.336508927999997,0
2015-01-17,5,8.271639961599996,7
2015-01-18,5,13.529399603199998,2
2015-01-19,0,15.6098183168,0
2015-01-20,3,3.6762644479999977,4
2015-01-21,0,12.5486794752,1
2015-01-22,8,21.742950911999998,1
2015-01-23,1,12.691045068800001,0
2015-01-24,0,8.0823614464,2
2015-01-25,0,4.451564851199999,2
2015-01-26,1,12.7124641792,0
2015-01-27,1,26.869986611199998,2
2015-01-28,0,13.694820352,0
2015-01-29,0,14.464683622399999,6
2015-01-30,2,13.426632089599998,2
2015-01-31,8,-10.413321830400001,2
2015-02-01,12,-5.4795058176000015,3
2015-02-02,3,7.453220454399999,0
2015-02-03,11,50.3508404224,0
2015-02-04,6,14.368942489600004,1
2015-02-05,17,12.311072153599998,0
2015-02-06,2,11.4213835776,2
2015-02-07,13,6.0987165696000005,5
2015-02-08,5,2.5673902079999973,4
2015-02-09,13,10.181465497599998,1
2015-02-10,0,-2.512653414400001,0
2015-02-11,8,10.668533043200002,1
2015-02-12,10,26.4101303296,0
2015-02-13,13,25.182859878400002,0
2015-02-14,4,-6.572798976,4
2015-02-15,0,2.4613587967999973,1
2015-02-16,7,13.4036027392,1
2015-02-17,2,15.9767150592,0
2015-02-18,9,26.705995980799997,0
2015-02-19,4,11.8004315136,0
2015-02-20,3,43.8075441152,4
2015-02-21,3,-8.212883865599999,0
2015-02-22,13,1.712469913599998,1
2015-02-23,9,12.466785177599998,1
2015-02-24,2,65.393010176,0
2015-02-25,0,20.342774784000003,1
2015-02-26,0,7.811928678400001,2
2015-02-27,2,-0.0010625024000034955,13
2015-02-28,2,-1.592330649600001,3
2015-03-01,9,-4.188229120000001,16
2015-03-02,0,16.386926182399996,6
2015-03-03,0,35.793205043200004,10
2015-03-04,2,21.634880921600004,5
2015-03-05,0,2.401015808000002,0
2015-03-06,2,5.316007321599999,0
2015-03-07,1,9.8012420096,0
2015-03-08,0,5.859866623999999,4
2015-03-09,2,18.716261376,3
2015-03-10,4,45.625884672,2
2015-03-11,1,1.982130380800001,0
2015-03-12,6,25.74112256,1
2015-03-13,7,14.5492975616,1
2015-03-14,5,10.606705971199998,0
2015-03-15,3,1.7092294655999982,5
2015-03-16,7,19.072248422399998,4
2015-03-17,1,11.07168,0
2015-03-18,12,41.6207695872,0
2015-03-19,6,32.8774352896,0
2015-03-20,3,20.5592792064,0
2015-03-21,3,6.559332556799998,0
2015-03-22,4,7.775546470399998,3
2015-03-23,5,25.3131623424,15
2015-03-24,7,20.8369444864,8
2015-03-25,10,8.290611302399999,6
2015-03-26,6,19.451533004799998,0
2015-03-27,1,15.382713548800002,5
2015-03-28,1,-6.012231168,9
2015-03-29,0,4.7100120063999995,0
2015-03-30,0,11.403889766399999,1
2015-03-31,3,14.724600115200001,1
2015-04-01,0,1.820935372800001,0
2015-04-02,1,13.0796645376,3
2015-04-03,0,18.213205094400003,6
2015-04-04,0,-6.237656883199998,1
2015-04-05,1,-6.118796288000001,5
2015-04-06,0,7.241959628799999,2
2015-04-07,0,9.050831974400001,1
2015-04-08,2,12.269310464000002,3
2015-04-09,0,5.2709003264000005,2
2015-04-10,0,11.1278892032,0
2015-04-11,0,7.306672537600001,2
2015-04-12,0,5.682755891199999,0
2015-04-13,0,26.279077478399998,1
2015-04-14,0,61.327410688,0
2015-04-15,0,19.8710706176,4
2015-04-16,6,0.23933603839999762,0
2015-04-17,0,14.719509708799997,0
2015-04-18,5,2.288905011199999,0
2015-04-19,0,-8.369705164800003,2
2015-04-20,2,54.197572710399996,3
2015-04-21,0,16.970128691200003,2
2015-04-22,1,18.6025495552,1
2015-04-23,0,23.815983513600003,2
2015-04-24,9,33.2529787904,2
2015-04-25,0,19.8526984192,1
2015-04-26,0,-1.2351223808000036,0
2015-04-27,0,18.286451199999995,1
2015-04-28,1,1.8810191871999997,2
2015-04-29,0,4.4018917376,5
2015-04-30,0,43.9497385984,2
2015-05-01,0,-10.888958361599997,0
2015-05-02,0,0.22140528639999957,5
2015-05-03,0,13.919972454400002,0
2015-05-04,0,6.733396172800003,0
2015-05-05,0,12.7362390016,1
2015-05-06,0,46.9840480256,4
2015-05-07,0,21.8911113216,8
2015-05-08,1,18.5303136256,1
2015-05-09,1,27.979452006399995,0
2015-05-10,0,-14.479797862400002,3
2015-05-11,0,21.680128511999996,0
2015-05-12,0,14.459228979199999,0
2015-05-13,0,13.485133721599999,1
2015-05-14,1,16.5813892096,0
2015-05-15,0,12.032364441600002,1
2015-05-16,0,-1.9985400832,2
2015-05-17,0,-6.6648477696,0
2015-05-18,0,9.320400588799998,2
2015-05-19,0,-1.6796720127999993,0
2015-05-20,0,4.9220519936,1
2015-05-21,0,12.8450921472,1
2015-05-22,0,13.436025241600003,0
2015-05-23,0,-4.402468761599999,0
2015-05-24,0,-4.323576320000001,5
2015-05-25,0,18.430326272,6
2015-05-26,0,47.9946760192,0
2015-05-27,0,23.112515584,1
2015-05-28,0,23.275911167999997,1
2015-05-29,0,20.55890688,0
2015-05-30,0,-13.649638707200001,0
2015-05-31,0,-6.119698944000005,15
2015-06-01,0,12.155943628799998,2
2015-06-02,0,23.099117568,1
2015-06-03,1,23.915692953600004,0
2015-06-04,1,6.016277094400001,2
2015-06-05,0,25.6495526912,1
2015-06-06,0,-10.923968204799998,0
2015-06-07,0,-7.0120028160000025,2
2015-06-08,1,24.600621465599996,2
2015-06-09,1,14.885562163200001,1
2015-06-10,0,13.242454220800001,2
2015-06-11,0,17.089763737600002,0
2015-06-12,0,17.273586688,0
2015-06-13,0,18.8003272704,0
2015-06-14,0,-3.991771238400002,0
2015-06-15,0,16.155367219199995,0
2015-06-16,0,14.196380672,0
2015-06-17,0,13.525183590400001,0
2015-06-18,1,-0.5660896256000001,0
2015-06-19,0,29.1552365568,0
2015-06-20,0,-4.182024396799999,0
2015-06-21,0,-6.8657421312,0
2015-06-22,0,59.049421312,0
2015-06-23,0,25.895847628800002,2
2015-06-24,0,12.963269222399997,0
2015-06-25,0,10.960409702399998,0
2015-06-26,0,6.255203430399998,3
2015-06-27,0,-5.050385408,15
2015-06-28,0,-5.867749580800002,0
2015-06-29,1,7.571993804799998,0
2015-06-30,0,17.4385596416,0
2015-07-01,0,23.973298790400005,0
2015-07-02,0,7.883312435200001,0
2015-07-03,3,0.7546435583999997,3
2015-07-04,1,-6.969886208,11
2015-07-05,2,-1.0563357696000013,8
2015-07-06,2,20.6249819136,0
2015-07-07,2,27.8464453632,0
2015-07-08,1,17.226504396800003,0
2015-07-09,7,20.047245414400003,0
2015-07-10,2,29.1428697088,0
2015-07-11,1,-5.2549451776,0
2015-07-12,0,-4.0683248640000045,0
2015-07-13,1,21.390979583999997,3
2015-07-14,9,12.8516292608,0
2015-07-15,7,2.6605487104000005,0
2015-07-16,0,5.61658368,1
2015-07-17,0,18.3145043968,0
2015-07-18,0,3.337261465600001,11
2015-07-19,2,-1.6735007744000008,1
2015-07-20,2,10.581658726399999,0
2015-07-21,1,6.344804352000001,2
2015-07-22,0,19.5451542528,2
2015-07-23,2,8.2164738048,0
2015-07-24,28,10.1359853568,0
2015-07-25,4,-1.9446475775999996,2
2015-07-26,5,-1.6012324864000007,0
2015-07-27,3,3.8360342527999993,3
2015-07-28,10,26.6968723456,4
2015-07-29,2,18.1328178176,2
2015-07-30,4,18.2567292928,0
2015-07-31,11,8.3850080256,3
2015-08-01,4,-7.2361212928,0
2015-08-02,6,1.4952721407999974,5
2015-08-03,4,3.996654489599999,2
2015-08-04,3,8.9493069824,2
2015-08-05,16,19.0168142848,6
2015-08-06,8,19.524614553600003,0
2015-08-07,5,14.1448543232,0
2015-08-08,6,-2.7395873791999996,5
2015-08-09,10,7.5704566783999985,0
2015-08-10,22,21.344803635199998,0
2015-08-11,12,38.4581230592,0
2015-08-12,12,-1.6688905215999998,1
2015-08-13,16,5.068344934399997,1
2015-08-14,9,12.093863424,1
2015-08-15,19,-5.450745139199999,9
2015-08-16,5,-3.0714868736000023,5
2015-08-17,17,11.492788019199999,1
2015-08-18,12,10.623876198400001,3
2015-08-19,17,28.939112652800002,1
2015-08-20,10,31.000581324800002,3
2015-08-21,4,9.4746984448,0
2015-08-22,0,-7.285951488000002,3
2015-08-23,0,-0.9967601664000023,5
2015-08-24,9,7.334346342399998,0
2015-08-25,7,24.591885516799998,0
2015-08-26,6,32.8387997696,3
2015-08-27,7,7.081534771200001,1
2015-08-28,16,-8.2422262784,0
2015-08-29,13,-1.7624777728000005,2
2015-08-30,0,-4.195896627200002,0
2015-08-31,5,8.462808166399999,0
2015-09-01,15,22.977920921600003,2
2015-09-02,12,11.382417612800001,1
2015-09-03,12,23.600751001600003,5
2015-09-04,2,13.236015820800002,1
2015-09-05,14,-9.977313894400002,0
2015-09-06,12,-0.2144269312000029,3
2015-09-07,13,16.410218496,0
2015-09-08,3,19.7088019456,0
2015-09-09,5,40.5223918592,0
2015-09-10,8,29.9951577088,0
2015-09-11,4,0.7546849279999996,0
2015-09-12,9,-8.689924300800001,0
2015-09-13,10,-7.302374809600003,1
2015-09-14,3,41.17622272,0
2015-09-15,2,67.092729856,2
2015-09-16,4,24.369131417600002,0
2015-09-17,8,23.7503419392,0
2015-09-18,2,23.4344448,0
2015-09-19,1,-16.095148032000004,2
2015-09-20,0,15.031053107199995,2
2015-09-21,4,37.3670668288,6
2015-09-22,0,28.231490048,3
2015-09-23,1,26.934121881600003,6
2015-09-24,7,34.472807424,2
2015-09-25,16,5.959809843199999,0
2015-09-26,4,-7.499651993600001,0
2015-09-27,1,-10.313135923200003,0
2015-09-28,1,5.597394636799997,3
2015-09-29,0,27.8399133696,4
2015-09-30,0,20.553041408000006,0
2015-10-01,5,42.931530649600006,9
2015-10-02,14,12.978256793600004,6
2015-10-03,4,-6.0401504256,4
2015-10-04,1,-5.744758988800003,2
2015-10-05,3,42.185615974399994,4
2015-10-06,0,16.493362073600004,0
2015-10-07,0,30.2113302528,0
2015-10-08,1,21.4988957696,0
2015-10-09,7,1.7176680448,0
2015-10-10,7,-3.4232223744,0
2015-10-11,0,-5.918773350400002,0
2015-10-12,8,29.7831389184,10
2015-10-13,7,28.374361190400002,6
2015-10-14,0,52.635864678400004,2
2015-10-15,0,38.31083304960001,1
2015-10-16,1,29.0498673664,1
2015-10-17,1,0.6542629887999993,1
2015-10-18,4,16.275205324799995,4
2015-10-19,2,12.116786790399996,0
2015-10-20,2,3.9626119168000002,0
2015-10-21,7,17.0186694656,0
2015-10-22,3,29.995712000000005,0
2015-10-23,3,15.133030195200003,0
2015-10-24,7,-11.208982425599999,2
