,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2019-11-09,-1.1679892074671872,0,0
2019-11-10,2.344710460482813,0,0
2019-11-11,3.274533778198438,0,0
2019-11-12,2.1390023798859383,5,0
2019-11-13,2.173767191726563,2,0
2019-11-14,8.205161278753126,2,0
2019-11-15,4.634909545146875,2,0
2019-11-16,3.65978356631875,0,0
2019-11-17,-1.2815588565015625,0,0
2019-11-18,4.257121488453126,5,0
2019-11-19,0.9522373140796883,0,1
2019-11-20,4.160947449559376,0,1
2019-11-21,12.954199412095313,16,0
2019-11-22,3.9710038852515623,9,1
2019-11-23,2.3171232178328123,0,0
2019-11-24,3.63140925720625,0,1
2019-11-25,5.655354481070313,4,0
2019-11-26,8.475551479921876,3,1
2019-11-27,4.0622819550390625,1,1
2019-11-28,4.283797407350001,11,1
2019-11-29,0.32461787760156313,0,0
2019-11-30,1.7543790889031263,0,0
2019-12-01,1.9175885639718762,2,0
2019-12-02,4.996611526028126,7,1
2019-12-03,7.742593008710938,0,0
2019-12-04,1.3502696495921875,0,1
2019-12-05,4.779377644046876,27,1
2019-12-06,8.666698326690625,2,0
2019-12-07,3.219540132503125,0,0
2019-12-08,-1.4857940578687499,0,0
2019-12-09,3.0787529633453135,0,0
2019-12-10,3.932238760548439,0,0
2019-12-11,9.806758903893751,0,1
2019-12-12,5.177939335629688,0,1
2019-12-13,8.320496539298437,0,0
2019-12-14,0.00217577337812469,0,0
2019-12-15,6.658150609562501,0,0
2019-12-16,4.350899139820314,0,1
2019-12-17,13.4250338791875,5,0
2019-12-18,4.503905778528125,3,1
2019-12-19,9.899944795398438,5,1
2019-12-20,5.507964443495313,4,0
2019-12-21,1.7719034095921886,0,0
2019-12-22,0.24076445360937604,2,0
2019-12-23,2.6738961758031268,0,0
2019-12-24,2.6541587703687517,1,0
2019-12-25,1.7218981658000014,0,0
2019-12-26,7.868826565851563,0,0
2019-12-27,7.421107156060938,0,0
2019-12-28,5.21435145544375,0,0
2019-12-29,0.33174598515,0,0
2019-12-30,5.844432378825001,1,1
2019-12-31,3.540554970365626,0,0
2020-01-01,3.614703886543751,0,0
2020-01-02,5.640756022059375,0,1
2020-01-03,10.452340271501562,0,0
2020-01-04,0.8606858612859378,0,1
2020-01-05,0.5197144060671881,0,0
2020-01-06,9.87638421996719,0,0
2020-01-07,6.158678310068751,2,0
2020-01-08,6.138375398420313,2,0
2020-01-09,3.1113888984921876,0,0
2020-01-10,1.3708961537109383,0,0
2020-01-11,1.6711989123109388,0,0
2020-01-12,-1.1681946994781236,0,1
2020-01-13,5.275593557610939,0,0
2020-01-14,1.8558339317562509,0,0
2020-01-15,3.9961687354796886,2,2
2020-01-16,5.9069579068374996,0,0
2020-01-17,11.677725488384375,0,0
2020-01-18,3.979831709523437,0,0
2020-01-19,2.3309636783453125,0,0
2020-01-20,4.603033977392188,8,0
2020-01-21,7.5110692206562515,0,0
2020-01-22,-0.8441933730124993,6,1
2020-01-23,6.822849341064064,2,0
2020-01-24,0.3778954199609381,0,0
2020-01-25,1.826446735545314,0,0
2020-01-26,1.9263449289390633,0,0
2020-01-27,4.052896592721876,5,0
2020-01-28,2.9052304330125005,2,0
2020-01-29,3.9423812713937503,0,0
2020-01-30,5.866930669160938,0,0
2020-01-31,8.662718463339063,6,1
2020-02-01,3.22017167743125,0,1
2020-02-02,2.5381267046312503,0,0
2020-02-03,6.702760722095313,9,2
2020-02-04,7.374834779814063,1,0
2020-02-05,4.133649916507813,1,0
2020-02-06,0.31305327602812527,0,0
2020-02-07,0.7580135212109385,0,0
