,4ian/GDevelop,MonoGame/MonoGame,godotengine/godot
2023-03-15,0,0,35
2023-03-16,4,0,34
2023-03-17,3,0,4
2023-03-18,0,0,4
2023-03-19,2,0,7
2023-03-20,7,0,25
2023-03-21,4,0,16
2023-03-22,1,0,8
2023-03-23,4,0,5
2023-03-24,7,0,3
2023-03-25,0,0,27
2023-03-26,3,0,7
2023-03-27,5,0,26
2023-03-28,3,0,8
2023-03-29,3,0,7
2023-03-30,2,0,15
2023-03-31,5,0,15
2023-04-01,0,0,5
2023-04-02,0,0,13
2023-04-03,2,0,46
2023-04-04,6,0,10
2023-04-05,3,0,26
2023-04-06,1,0,11
2023-04-07,3,0,25
2023-04-08,0,0,19
2023-04-09,1,1,6
2023-04-10,0,0,31
2023-04-11,4,0,43
2023-04-12,2,0,34
2023-04-13,7,0,30
2023-04-14,0,0,9
2023-04-15,1,0,6
2023-04-16,0,0,9
2023-04-17,0,0,28
2023-04-18,3,15,41
2023-04-19,2,3,14
2023-04-20,3,4,26
2023-04-21,3,0,13
2023-04-22,0,0,10
2023-04-23,0,0,10
2023-04-24,0,0,27
2023-04-25,2,0,36
2023-04-26,1,0,28
2023-04-27,0,0,31
2023-04-28,2,1,21
2023-04-29,0,0,8
2023-04-30,0,0,4
2023-05-01,1,0,11
2023-05-02,2,0,8
2023-05-03,1,0,20
2023-05-04,1,0,4
2023-05-05,0,1,27
2023-05-06,0,0,11
2023-05-07,0,1,11
2023-05-08,0,0,51
2023-05-09,1,0,34
2023-05-10,0,0,33
2023-05-11,1,0,34
2023-05-12,3,0,56
2023-05-13,1,0,9
2023-05-14,1,0,9
2023-05-15,1,0,42
2023-05-16,3,0,20
2023-05-17,4,0,33
2023-05-18,3,0,25
2023-05-19,9,0,24
2023-05-20,0,0,13
2023-05-21,0,0,8
2023-05-22,5,0,49
2023-05-23,10,0,30
2023-05-24,4,0,45
2023-05-25,5,0,17
2023-05-26,1,0,30
2023-05-27,0,0,23
2023-05-28,0,0,8
2023-05-29,0,0,52
2023-05-30,1,0,47
2023-05-31,1,0,35
2023-06-01,3,0,13
2023-06-02,1,0,39
2023-06-03,1,0,9
2023-06-04,0,0,4
2023-06-05,0,0,31
2023-06-06,2,0,29
2023-06-07,4,0,42
2023-06-08,2,0,29
2023-06-09,5,0,47
