,ant-design/ant-design,mui/material-ui,twbs/bootstrap
2015-08-06,21,8.41158899993125,9
2015-08-07,16,-1.378281642482813,0
2015-08-08,3,-2.494206348217187,8
2015-08-09,5,-1.0207519121093749,1
2015-08-10,15,2.5897911957375,44
2015-08-11,8,-1.0340502564796887,13
2015-08-12,19,2.739163722684374,0
2015-08-13,3,12.28595802229375,32
2015-08-14,14,7.166501108899999,9
2015-08-15,4,-2.3418704783546875,5
2015-08-16,3,-3.9717423596953116,0
2015-08-17,31,4.855192896253126,14
2015-08-18,51,7.433214479706249,37
2015-08-19,43,1.8743169440546872,72
2015-08-20,41,-1.4839417290437495,44
2015-08-21,28,11.783726673601564,43
2015-08-22,16,-6.367306861445313,7
2015-08-23,11,-2.7646175265890616,45
2015-08-24,36,11.33584669331875,25
2015-08-25,30,-4.074231316109376,27
2015-08-26,12,-1.5830750308015622,25
2015-08-27,25,-0.8451393216703127,15
2015-08-28,10,-1.4136856491765628,2
2015-08-29,1,1.130073258817187,10
2015-08-30,0,5.764214839007812,2
2015-08-31,27,-2.6496081712500006,3
2015-09-01,39,1.867644295796875,6
2015-09-02,2,1.3684757749578123,36
2015-09-03,0,-0.6039954037484374,9
2015-09-04,0,-1.0775636049984372,0
2015-09-05,0,0.3815485017671878,14
2015-09-06,0,0.2663974002187499,17
2015-09-07,21,1.2575303186749998,3
2015-09-08,20,1.9839814486203124,9
2015-09-09,14,-1.337445334046875,4
2015-09-10,14,8.388779586254687,10
2015-09-11,30,-3.068453068964063,3
2015-09-12,4,-0.18074954948281197,2
2015-09-13,8,-1.0060564655156248,1
2015-09-14,13,0.39632023500156255,1
2015-09-15,18,4.270809081985937,2
2015-09-16,27,2.0705127607374996,6
2015-09-17,18,-1.0255859534484375,1
2015-09-18,7,-1.223833813390625,0
2015-09-19,2,0.2852592571546875,3
2015-09-20,1,1.292091170734375,3
2015-09-21,2,0.9870115005171876,1
2015-09-22,7,9.896993214484375,5
2015-09-23,20,11.138760545439062,4
2015-09-24,8,17.96557354302344,7
2015-09-25,4,-2.6627567321968755,9
2015-09-26,0,-3.0928304119828107,2
2015-09-27,0,-4.092713239265624,6
2015-09-28,0,7.519455368235938,6
2015-09-29,0,14.210413291253126,5
2015-09-30,0,2.8765602328624986,0
2015-10-01,0,-4.984669654545312,10
2015-10-02,17,2.9255390953828133,2
2015-10-03,0,-4.518800756196876,0
2015-10-04,0,-2.235994917926562,3
2015-10-05,1,9.503592885301563,0
2015-10-06,3,9.584377143593748,2
2015-10-07,0,14.744374762875,7
2015-10-08,1,-7.058109320845313,4
2015-10-09,14,-0.3936593953421852,3
2015-10-10,2,0.3129984061750002,3
2015-10-11,3,-2.3496693801296873,5
2015-10-12,4,-2.1969123362499996,5
2015-10-13,3,1.5079656705781246,11
2015-10-14,13,18.944612945970313,2
2015-10-15,9,-0.42866033483750154,3
2015-10-16,3,-1.9991779064203117,5
2015-10-17,0,-2.1947711510281245,4
2015-10-18,0,-0.10087104374374967,0
2015-10-19,32,23.071184292803125,4
2015-10-20,8,12.342617403017186,3
2015-10-21,18,15.217977813453127,2
2015-10-22,23,-5.879250045526561,1
2015-10-23,20,8.785455621001564,10
2015-10-24,2,-8.712151791676561,14
2015-10-25,3,-4.341750816464061,4
2015-10-26,20,2.055851946985938,7
2015-10-27,27,2.274869443143749,14
2015-10-28,22,-0.0871374016484392,7
2015-10-29,22,0.7040929604703114,9
2015-10-30,22,1.0840254885859366,8
2015-10-31,23,5.416895802353125,3
2015-11-01,4,2.269289575775,0
2015-11-02,15,-2.3920025437499994,5
2015-11-03,32,10.028218323671876,9
2015-11-04,35,1.1656890882421873,2
2015-11-05,24,3.0878031085406255,1
2015-11-06,11,-0.04240051499374964,1
2015-11-07,0,-0.2128541349937496,0
2015-11-08,4,2.34751010794375,0
2015-11-09,5,11.98528576979375,0
2015-11-10,12,9.9632585938375,0
2015-11-11,16,-2.3926821944203125,7
2015-11-12,13,15.153441124362502,6
2015-11-13,48,-3.566347929256249,44
2015-11-14,19,-2.317770643442187,1
2015-11-15,6,-1.8372996094781247,45
2015-11-16,23,1.0586620202234376,11
2015-11-17,6,1.8904939898515618,0
2015-11-18,24,1.6737289645078115,0
2015-11-19,43,9.775246266946874,9
2015-11-20,47,-5.492670857726563,0
2015-11-21,3,3.5633211052656257,0
2015-11-22,0,3.8305010360390623,0
2015-11-23,17,0.3345491692703124,4
2015-11-24,14,8.019772375221876,3
2015-11-25,21,0.09137018199062474,1
2015-11-26,23,10.253795791257813,5
2015-11-27,15,3.8378086908828113,1
2015-11-28,8,5.218537447973437,1
2015-11-29,4,-0.03181991684374985,1
2015-11-30,12,5.214567670743751,35
2015-12-01,2,1.4142664165578127,7
2015-12-02,13,7.104314018896875,2
2015-12-03,12,8.775090663110937,5
2015-12-04,13,9.507700174117186,8
2015-12-05,6,-0.6644901391656255,19
2015-12-06,9,6.57547796575,9
2015-12-07,10,10.692202878845313,24
2015-12-08,12,10.978094836696876,78
2015-12-09,8,-3.3137156221875,12
2015-12-10,13,7.003387237432813,4
2015-12-11,8,-0.1439605140281266,6
2015-12-12,5,-4.5526792860078125,5
2015-12-13,3,7.828025657167188,6
2015-12-14,5,6.821770448684374,1
2015-12-15,14,3.979139713692187,1
2015-12-16,24,13.282244235246875,2
2015-12-17,16,8.695655485484373,6
2015-12-18,10,-2.5488333423484377,1
2015-12-19,2,1.3573828331156257,0
2015-12-20,1,0.9932680131062508,3
2015-12-21,4,-2.394051473903125,9
2015-12-22,9,7.029352462003125,3
2015-12-23,15,-0.7102710064484388,8
2015-12-24,22,0.6764516541265619,26
2015-12-25,29,6.115573767312499,25
2015-12-26,1,6.976289066949999,9
2015-12-27,22,-5.899876380504688,4
2015-12-28,33,6.262820618028126,0
2015-12-29,18,9.568125383323437,4
2015-12-30,19,15.649262694629687,2
2015-12-31,17,0.4814608768609361,4
2016-01-01,34,-2.120706237492186,5
2016-01-02,9,2.857071231179688,1
2016-01-03,2,2.644459003984375,0
2016-01-04,7,2.747481002456251,20
2016-01-05,6,6.865513741609375,4
2016-01-06,15,12.619705348685937,58
2016-01-07,21,-0.8404946041031263,22
2016-01-08,8,1.5933024724718754,3
2016-01-09,4,9.356665193843751,13
2016-01-10,7,0.5314336097109376,3
2016-01-11,25,17.9963056700125,16
2016-01-12,15,1.6029332875124993,0
2016-01-13,29,3.7181774917000006,7
2016-01-14,32,5.1423325826593755,10
2016-01-15,19,-0.9616317130484369,6
2016-01-16,4,4.9194769537625005,4
2016-01-17,7,1.295690052653125,16
2016-01-18,7,10.084634647382813,14
2016-01-19,27,-1.958566893237501,7
