,sass/dart-sass,sass/sassc,sass/libsass
2017-05-15,0,0,-0.02042880000000001
2017-05-16,0,0,-0.01692672000000001
2017-05-17,0,0,1.985612288
2017-05-18,2,0,-0.4124693503999999
2017-05-19,11,0,-0.16000000000000014
2017-05-20,1,0,10.904
2017-05-21,0,0,8.732800000000001
2017-05-22,0,0,1.868928
2017-05-23,0,0,-2.448857600000001
2017-05-24,0,0,-1.3314534400000009
2017-05-25,3,0,-0.9192714240000004
2017-05-26,0,0,-0.6985515008000002
2017-05-27,0,0,-0.5385907200000002
2017-05-28,22,0,-0.4466027519999995
2017-05-29,1,0,-0.380061286399999
2017-05-30,1,0,1.7908985856000008
2017-05-31,0,0,-0.46234675199999975
2017-06-01,2,0,-0.16000000000000014
2017-06-02,1,0,-0.09600000000000007
2017-06-03,1,0,0.9328
2017-06-04,0,0,-0.25107199999999996
2017-06-05,4,0,-0.12085760000000009
2017-06-06,4,0,-0.08185344000000006
2017-06-07,0,0,-0.06237542399999989
2017-06-08,0,0,-0.05047470079999994
2017-06-09,0,0,-0.02042880000000001
2017-06-10,0,0,-0.01692672000000001
2017-06-11,0,0,-0.01438771199999994
2017-06-12,0,0,-0.012469350399999964
2017-06-13,1,0,2.0
2017-06-14,0,0,-0.3999999999999999
2017-06-15,1,0,-0.16000000000000014
2017-06-16,0,0,-0.09600000000000007
2017-06-17,0,0,-0.06720000000000002
2017-06-18,0,0,-0.05107200000000003
2017-06-19,0,0,-0.04085760000000002
2017-06-20,0,0,-0.03385344000000002
2017-06-21,0,0,-0.02877542399999988
2017-06-22,0,0,-0.02493870079999993
2017-06-23,0,0,0.0
2017-06-24,0,0,0.0
2017-06-25,0,0,0.0
2017-06-26,0,0,0.0
2017-06-27,0,0,0.0
2017-06-28,0,0,0.0
2017-06-29,0,0,0.0
2017-06-30,0,0,0.0
2017-07-01,0,0,0.0
2017-07-02,0,0,3.0
2017-07-03,0,0,-0.5999999999999999
2017-07-04,0,0,-0.2400000000000002
2017-07-05,2,0,-0.1440000000000001
2017-07-06,3,0,-0.10080000000000003
2017-07-07,13,0,-0.07660800000000004
2017-07-08,4,0,-0.06128640000000003
2017-07-09,1,0,-0.05078016000000003
2017-07-10,4,0,-0.04316313599999982
2017-07-11,0,0,9.9625919488
2017-07-12,0,0,-1.9999999999999996
2017-07-13,3,0,-0.8000000000000007
2017-07-14,2,0,-0.48000000000000037
2017-07-15,3,0,-0.33600000000000013
2017-07-16,0,0,-0.25536000000000014
2017-07-17,0,0,-0.2042880000000001
2017-07-18,0,0,-0.1692672000000001
2017-07-19,0,0,-0.1438771199999994
2017-07-20,0,0,-0.12469350399999965
2017-07-21,0,0,0.0
2017-07-22,0,0,0.0
2017-07-23,0,0,0.0
2017-07-24,0,0,4.0
2017-07-25,0,0,-0.7999999999999998
2017-07-26,0,0,-0.3200000000000003
2017-07-27,0,0,-0.19200000000000014
2017-07-28,0,0,-0.13440000000000005
2017-07-29,0,0,-0.10214400000000005
2017-07-30,0,0,-0.08171520000000004
2017-07-31,0,0,-0.06770688000000004
2017-08-01,0,0,-0.05755084799999976
2017-08-02,0,0,-0.04987740159999986
2017-08-03,0,0,0.0
2017-08-04,0,0,0.0
2017-08-05,0,0,0.0
2017-08-06,0,0,0.0
2017-08-07,0,0,0.0
2017-08-08,0,0,0.0
2017-08-09,0,0,0.0
2017-08-10,0,0,1.0
2017-08-11,0,0,-0.19999999999999996
2017-08-12,0,0,-0.08000000000000007
2017-08-13,0,0,-0.048000000000000036
2017-08-14,0,0,-0.03360000000000001
2017-08-15,0,0,-0.025536000000000014
2017-08-16,0,0,2.9795712
2017-08-17,0,0,0.38307328000000007
2017-08-18,0,0,-0.4543877120000001
2017-08-19,0,0,-0.23646935040000014
2017-08-20,0,0,-0.14880000000000007
2017-08-21,0,0,-0.11020800000000006
2017-08-22,0,0,-0.08682240000000005
2017-08-23,0,0,-0.07120896000000004
2017-08-24,0,0,-0.06008985599999983
2017-08-25,0,0,-0.05179576319999983
2017-08-26,0,0,-0.012469350399999964
2017-08-27,0,0,0.0
2017-08-28,0,0,0.0
2017-08-29,0,0,0.0
2017-08-30,0,0,0.0
2017-08-31,0,0,1.0
2017-09-01,0,0,-0.19999999999999996
2017-09-02,0,0,-0.08000000000000007
2017-09-03,0,0,-0.048000000000000036
2017-09-04,0,0,-0.03360000000000001
2017-09-05,0,0,-0.025536000000000014
2017-09-06,0,0,-0.02042880000000001
2017-09-07,0,0,-0.01692672000000001
2017-09-08,0,0,-0.01438771199999994
2017-09-09,0,0,-0.012469350399999964
2017-09-10,0,0,0.0
2017-09-11,0,0,0.0
2017-09-12,0,0,0.0
2017-09-13,0,0,0.0
2017-09-14,0,0,0.0
2017-09-15,0,0,0.0
2017-09-16,0,0,0.0
2017-09-17,0,0,0.0
2017-09-18,0,0,0.0
2017-09-19,0,0,0.0
2017-09-20,0,0,0.0
2017-09-21,0,0,0.0
2017-09-22,0,0,0.0
2017-09-23,0,0,0.0
2017-09-24,0,0,0.0
2017-09-25,0,0,0.0
2017-09-26,0,0,0.0
2017-09-27,0,0,0.0
2017-09-28,1,0,0.0
2017-09-29,2,0,0.0
2017-09-30,0,0,1.0
2017-10-01,0,0,1.8
2017-10-02,0,0,-0.48
2017-10-03,0,0,-0.20800000000000018
2017-10-04,1,0,-0.12960000000000008
2017-10-05,0,0,-0.09273600000000004
2017-10-06,1,0,2.9284992
2017-10-07,1,0,-0.6577843199999999
2017-10-08,0,0,-0.28824115200000017
2017-10-09,0,0,-0.18524477439999995
2017-10-10,0,0,-0.12573870079999996
2017-10-11,0,0,-0.07660800000000004
2017-10-12,3,0,-0.06128640000000003
2017-10-13,6,0,-0.05078016000000003
2017-10-14,1,0,-0.04316313599999982
2017-10-15,0,0,-0.03740805119999989
2017-10-16,0,0,0.0
2017-10-17,0,0,0.0
2017-10-18,0,0,0.0
2017-10-19,0,0,0.0
2017-10-20,1,0,0.0
2017-10-21,0,0,0.0
2017-10-22,0,0,0.0
2017-10-23,0,0,0.0
2017-10-24,0,0,0.0
2017-10-25,0,0,0.0
2017-10-26,0,0,0.0
2017-10-27,0,0,0.0
2017-10-28,0,0,0.0
2017-10-29,0,0,0.0
2017-10-30,0,0,0.0
2017-10-31,0,0,0.0
2017-11-01,0,0,0.0
2017-11-02,0,0,0.0
2017-11-03,7,0,0.0
2017-11-04,0,0,0.0
2017-11-05,0,0,0.0
2017-11-06,0,0,0.0
2017-11-07,0,0,0.0
2017-11-08,0,7,0.0
2017-11-09,1,4,0.0
2017-11-10,0,1,2.0
2017-11-11,0,0,11.6
2017-11-12,0,1,4.44
2017-11-13,0,3,4.544
2017-11-14,0,1,-2.6032000000000006
2017-11-15,0,0,-1.3502720000000008
2017-11-16,1,0,-0.9184896000000005
2017-11-17,3,0,-0.6929510400000003
2017-11-18,0,0,-0.5536496640000002
2017-11-19,0,0,-0.45907988479999934
2017-11-20,0,0,-0.36883322879999925
2017-11-21,0,0,-0.1879994367999993
2017-11-22,0,0,-0.08728545279999975
2017-11-23,0,0,0.0
2017-11-24,0,0,0.0
2017-11-25,0,0,0.0
2017-11-26,0,0,0.0
