,python/cpython,ruby/ruby,php/php-src
2000-10-31,0,4,16
2000-11-01,3,3,13
2000-11-02,3,1,36
2000-11-03,4,1,31
2000-11-04,0,0,10
2000-11-05,0,0,11
2000-11-06,7,0,20
2000-11-07,4,1,8
2000-11-08,6,1,12
2000-11-09,2,1,14
2000-11-10,2,3,10
2000-11-11,1,1,9
2000-11-12,0,0,6
2000-11-13,8,2,21
2000-11-14,5,1,14
2000-11-15,0,0,12
2000-11-16,1,3,6
2000-11-17,5,3,14
2000-11-18,2,1,10
2000-11-19,2,0,9
2000-11-20,0,4,14
2000-11-21,3,2,13
2000-11-22,7,0,27
2000-11-23,0,0,21
2000-11-24,0,0,7
2000-11-25,0,0,3
2000-11-26,2,0,5
2000-11-27,5,1,10
2000-11-28,6,0,9
2000-11-29,9,0,11
2000-11-30,10,0,6
2000-12-01,4,0,15
2000-12-02,0,0,9
2000-12-03,10,0,10
2000-12-04,5,1,18
2000-12-05,0,2,13
2000-12-06,7,2,13
2000-12-07,6,1,23
2000-12-08,1,1,12
2000-12-09,1,0,4
2000-12-10,2,0,14
2000-12-11,11,0,9
2000-12-12,33,1,8
2000-12-13,17,2,16
2000-12-14,12,1,12
2000-12-15,25,0,11
2000-12-16,3,0,6
2000-12-17,1,0,8
2000-12-18,3,2,26
2000-12-19,27,0,8
2000-12-20,6,0,8
2000-12-21,5,1,4
2000-12-22,10,4,12
2000-12-23,7,0,4
2000-12-24,0,3,15
2000-12-25,1,3,1
2000-12-26,5,2,5
2000-12-27,5,1,4
2000-12-28,2,1,10
2000-12-29,3,3,0
2000-12-30,1,0,2
2000-12-31,4,0,0
2001-01-01,5,0,1
2001-01-02,10,0,6
2001-01-03,14,0,19
2001-01-04,27,0,10
2001-01-05,9,1,18
2001-01-06,2,0,5
2001-01-07,4,0,26
2001-01-08,12,0,25
2001-01-09,26,7,19
2001-01-10,17,9,11
2001-01-11,17,4,6
2001-01-12,13,0,12
2001-01-13,9,3,17
2001-01-14,21,1,16
2001-01-15,33,2,21
2001-01-16,23,1,7
2001-01-17,47,4,12
2001-01-18,33,3,12
2001-01-19,53,1,11
2001-01-20,14,1,7
2001-01-21,21,0,5
2001-01-22,42,1,14
2001-01-23,54,3,10
2001-01-24,48,2,7
2001-01-25,32,0,5
2001-01-26,23,1,10
2001-01-27,18,0,9
2001-01-28,17,0,5
2001-01-29,29,2,2
2001-01-30,8,0,9
2001-01-31,13,1,18
2001-02-01,24,0,18
2001-02-02,37,1,12
2001-02-03,8,0,6
2001-02-04,4,0,7
