,chartjs/chart.js,d3/d3,highcharts/highcharts
2017-08-13,1,0,-1.6690929664000005
2017-08-14,3,0,7.8798288896
2017-08-15,0,0,-1.6734556159999991
2017-08-16,0,0,11.360221388800001
2017-08-17,0,0,4.419904204800001
2017-08-18,0,0,5.75005696
2017-08-19,1,0,-3.4971990016000003
2017-08-20,0,0,-1.800072601600001
2017-08-21,1,0,14.794462719999999
2017-08-22,0,0,2.8813214720000007
2017-08-23,1,0,10.5800863744
2017-08-24,3,0,2.3532174336000002
2017-08-25,1,0,14.1768562688
2017-08-26,4,0,-5.705020211199999
2017-08-27,1,0,-2.8642369536000016
2017-08-28,1,0,13.129466879999999
2017-08-29,0,0,12.581754368000002
2017-08-30,0,0,19.2601527296
2017-08-31,0,0,23.145081139200002
2017-09-01,0,0,5.9000341504
2017-09-02,1,3,-8.180504268800002
2017-09-03,0,2,-4.5729923072000025
2017-09-04,0,0,9.9508096
2017-09-05,0,0,10.05649408
2017-09-06,0,0,5.063331840000001
2017-09-07,0,0,-3.447260876799999
2017-09-08,1,0,0.5346196480000014
2017-09-09,1,0,-2.9407212543999988
2017-09-10,3,0,-1.6337240064000003
2017-09-11,1,0,9.93342464
2017-09-12,0,0,11.948870144
2017-09-13,0,0,16.4128872448
2017-09-14,0,0,14.611126272
2017-09-15,1,0,6.7967548415999985
2017-09-16,1,0,-2.355385548800001
2017-09-17,0,0,-4.291234201600002
2017-09-18,0,0,10.273518079999999
2017-09-19,0,0,4.360173568
2017-09-20,0,0,10.5306515456
2017-09-21,0,0,-1.5767905279999983
2017-09-22,0,0,1.2485124096000004
2017-09-23,0,0,-3.205359206399999
2017-09-24,0,0,-1.8235201536000003
2017-09-25,0,0,7.788776038399999
2017-09-26,0,0,22.284043264
2017-09-27,0,0,7.5251130368000005
2017-09-28,0,0,30.2701092864
2017-09-29,3,0,30.848375296
2017-09-30,0,0,3.0563600383999994
2017-10-01,0,0,-6.563005952000005
2017-10-02,1,3,35.921835519999995
2017-10-03,0,2,6.456443392000001
2017-10-04,0,0,13.667096166399999
2017-10-05,0,0,2.194519551999999
2017-10-06,1,0,0.366807142399999
2017-10-07,1,0,3.926181273600001
2017-10-08,2,0,-3.485820518399999
2017-10-09,1,0,-4.303406182400002
2017-10-10,1,0,0.1440411648000013
2017-10-11,0,0,-1.8123189247999978
2017-10-12,0,0,5.192174694400002
2017-10-13,0,0,8.436030054400002
2017-10-14,1,0,-0.44787128319999914
2017-10-15,0,0,10.7525228544
2017-10-16,1,0,3.1296516096
2017-10-17,0,0,6.759030988799999
2017-10-18,0,0,8.231212544
2017-10-19,0,0,8.5555923968
2017-10-20,1,0,4.032168345599999
2017-10-21,1,0,-3.492656844800001
2017-10-22,2,0,0.2540650495999994
2017-10-23,0,0,3.5975446528
2017-10-24,1,0,-1.7995963391999994
2017-10-25,0,0,-1.7872816128
2017-10-26,0,0,-0.19558860799999955
2017-10-27,0,0,-1.035649740799999
2017-10-28,2,0,2.363379916800001
2017-10-29,0,0,3.0264991744000005
2017-10-30,0,0,9.7487783936
2017-10-31,0,0,8.169802956800002
2017-11-01,2,0,9.5175673856
2017-11-02,1,0,4.751595929599999
2017-11-03,0,0,9.084581887999999
2017-11-04,0,0,-0.7394607104000013
2017-11-05,0,0,2.6747171839999986
2017-11-06,1,0,3.7157623807999993
2017-11-07,3,0,0.6014654463999998
2017-11-08,0,0,4.1862977536
2017-11-09,0,0,4.8981380096
2017-11-10,1,0,7.666230476800001
2017-11-11,1,0,-1.9786960895999992
2017-11-12,0,0,-2.4655583232000002
2017-11-13,0,0,3.5280420863999997
2017-11-14,2,0,5.9438734336
2017-11-15,0,0,12.2251502592
2017-11-16,0,0,0.5582060544000003
2017-11-17,0,0,-3.1814386688000003
2017-11-18,0,0,-1.8083530752
2017-11-19,0,0,-1.2163702784000001
2017-11-20,0,0,5.175957299199999
2017-11-21,0,2,2.1585356800000004
2017-11-22,2,0,3.186506752
2017-11-23,0,0,-0.00820408319999899
2017-11-24,0,0,-1.4525788159999995
2017-11-25,2,0,-0.7499627520000003
2017-11-26,0,0,-0.4887168000000003
2017-11-27,0,0,8.62184448
2017-11-28,0,0,-1.1072491519999992
2017-11-29,1,0,1.8221418496
2017-11-30,1,0,-1.2676694015999999
2017-12-01,1,0,1.318477824
2017-12-02,2,0,-0.8323627008000001
2017-12-03,0,0,-0.47019520000000026
2017-12-04,0,0,9.654622719999999
2017-12-05,0,0,22.725097472
2017-12-06,0,0,4.9715359744
2017-12-07,0,0,10.2235099136
2017-12-08,0,0,-0.48726149120000084
2017-12-09,0,0,-3.852135424000002
2017-12-10,0,0,-2.3572267008000014
2017-12-11,0,0,6.295116799999999
2017-12-12,2,0,9.05719808
2017-12-13,0,0,-3.144692223999998
2017-12-14,1,0,12.629956608
2017-12-15,1,0,8.6375878656
2017-12-16,0,0,-4.714466816
2017-12-17,0,0,-2.3258091520000015
2017-12-18,1,0,8.46590464
2017-12-19,0,0,12.841508864000001
2017-12-20,0,0,6.072265932800001
2017-12-21,0,0,2.3565048831999995
2017-12-22,0,0,8.167667609599999
2017-12-23,1,0,-4.655040511999999
2017-12-24,0,0,-2.440565555200001
2017-12-25,0,0,-1.5882240000000007
2017-12-26,0,4,-1.2213734399999998
2017-12-27,0,0,-0.990524415999999
2017-12-28,0,0,-0.7214070783999991
2017-12-29,1,0,-0.4409974783999993
2017-12-30,0,0,-0.259937996799999
2017-12-31,1,0,-0.14963220479999956
2018-01-01,0,0,0.0
2018-01-02,0,0,12.0
2018-01-03,0,0,-1.3999999999999995
2018-01-04,0,0,0.8399999999999992
2018-01-05,0,0,3.9439999999999995
2018-01-06,2,0,-1.6112000000000002
2018-01-07,1,0,0.16396799999999945
2018-01-08,1,0,6.222118399999999
2018-01-09,1,0,6.07737856
2018-01-10,0,0,8.433883136
2018-01-11,2,0,-1.5096173567999998
2018-01-12,0,0,6.949385625599999
2018-01-13,3,0,-3.0528580608
2018-01-14,0,0,-1.6121630720000009
2018-01-15,0,0,11.923598848
2018-01-16,1,0,0.5732141056000004
2018-01-17,0,0,-0.49926266880000014
2018-01-18,0,2,-1.8197322751999998
2018-01-19,0,0,-0.10707875840000014
2018-01-20,0,0,-0.9167961087999996
2018-01-21,5,0,-0.6271425535999999
2018-01-22,0,0,4.59916544
2018-01-23,0,0,12.670795264
2018-01-24,0,0,6.520958156800001
2018-01-25,0,0,12.5409183744
2018-01-26,0,0,18.1181345792
2018-01-27,1,0,-6.972467712
2018-01-28,1,3,2.5838826495999974
2018-01-29,0,3,8.5324032
2018-01-30,0,0,7.42542336
2018-01-31,0,0,12.00476928
2018-02-01,1,0,11.803262054400001
2018-02-02,1,0,-1.8366274560000004
2018-02-03,1,0,-4.6186317824000005
2018-02-04,1,0,-2.775132979200001
2018-02-05,0,0,6.186495487999999
2018-02-06,0,0,-3.0255268863999993
2018-02-07,0,3,-1.7454373887999999
2018-02-08,0,0,1.814951731200001
2018-02-09,1,0,24.5756086272
2018-02-10,0,0,-2.9406748671999985
2018-02-11,0,0,-3.0497771520000017
2018-02-12,0,0,8.275786239999999
2018-02-13,0,0,12.790690304
2018-02-14,0,0,11.0742227968
2018-02-15,1,0,2.381463039999999
2018-02-16,1,0,8.471455743999998
2018-02-17,0,0,3.7367712768000008
2018-02-18,0,0,-0.7418302464000002
2018-02-19,0,0,1.6450879487999988
2018-02-20,2,0,13.865346559999999
2018-02-21,0,0,-2.4155228159999993
2018-02-22,0,0,-0.39492515839999953
2018-02-23,0,0,-0.6446618623999996
2018-02-24,0,0,7.9962692608
2018-02-25,0,0,2.699646156800001
2018-02-26,0,0,3.1248937983999996
2018-02-27,0,0,16.2253353984
2018-02-28,0,1,0.6259235840000015
2018-03-01,1,0,1.188260147199999
2018-03-02,0,0,29.934471372799997
2018-03-03,1,0,-8.4376394752
2018-03-04,0,0,-3.959732940800002
2018-03-05,0,0,9.394056703999999
2018-03-06,0,0,9.7581971456
2018-03-07,0,0,6.845425049600001
2018-03-08,0,0,12.8219720704
2018-03-09,0,0,10.6594635776
2018-03-10,2,0,-6.729973247999999
2018-03-11,0,0,-3.6413381632000013
2018-03-12,0,0,19.783644159999998
2018-03-13,1,0,17.914379776
2018-03-14,0,0,7.0839887872
2018-03-15,0,0,15.024805990399999
2018-03-16,0,0,21.8124347392
2018-03-17,0,0,-10.317231411199998
2018-03-18,0,0,-5.234276556800003
2018-03-19,0,0,5.5750809599999975
2018-03-20,1,0,15.601005056
2018-03-21,0,0,2.190954803200002
2018-03-22,0,9,23.667668070399998
2018-03-23,0,0,0.20622848000000005
2018-03-24,0,0,-6.1597810688
2018-03-25,0,0,-3.483059712000001
2018-03-26,0,0,4.802859519999998
2018-03-27,0,0,7.905172992
2018-03-28,0,0,-4.134578073599998
2018-03-29,0,0,-2.2696104960000003
2018-03-30,0,0,-1.4450082815999985
2018-03-31,0,1,-1.0394525695999985
2018-04-01,1,0,-0.5361217535999999
2018-04-02,2,0,-0.34320384000000015
2018-04-03,1,0,39.713092096
2018-04-04,0,0,-1.2455502847999966
2018-04-05,0,0,3.262837145599998
2018-04-06,1,0,5.919999999999998
2018-04-07,0,0,-4.32
2018-04-08,0,0,-2.440640000000002
2018-04-09,0,0,7.255295999999999
2018-04-10,0,0,-2.1603584000000002
2018-04-11,1,0,6.9672140800000015
2018-04-12,0,0,-1.2511897599999982
2018-04-13,0,0,7.1579456512
2018-04-14,0,0,-2.8990559231999993
2018-04-15,0,0,-1.4524887040000007
2018-04-16,0,2,37.09820672
