,denoland/deno,oven-sh/bun,nodejs/node
2022-04-26,8,2,4
2022-04-27,3,0,5
2022-04-28,2,1,18
2022-04-29,3,10,3
2022-04-30,0,4,0
2022-05-01,2,10,4
2022-05-02,4,7,15
2022-05-03,3,13,4
2022-05-04,5,14,5
2022-05-05,5,0,10
2022-05-06,2,19,9
2022-05-07,1,2,0
2022-05-08,1,9,9
2022-05-09,4,7,4
2022-05-10,9,8,8
2022-05-11,5,22,1
2022-05-12,7,7,7
2022-05-13,8,0,3
2022-05-14,4,0,3
2022-05-15,8,0,9
2022-05-16,3,15,2
