,4ian/GDevelop,MonoGame/MonoGame,godotengine/godot
2018-01-16,5,0,12
2018-01-17,5,0,8
2018-01-18,5,0,41
2018-01-19,0,0,17
2018-01-20,8,2,17
2018-01-21,3,0,14
2018-01-22,6,0,19
2018-01-23,0,0,7
2018-01-24,1,0,22
2018-01-25,0,0,16
2018-01-26,0,0,10
2018-01-27,5,1,12
2018-01-28,1,1,3
2018-01-29,1,0,5
2018-01-30,2,6,21
2018-01-31,0,0,18
2018-02-01,0,0,21
2018-02-02,0,0,10
2018-02-03,8,0,11
2018-02-04,2,0,6
2018-02-05,1,0,12
2018-02-06,1,0,4
2018-02-07,0,0,7
2018-02-08,0,1,2
2018-02-09,0,0,4
2018-02-10,2,0,2
2018-02-11,6,0,4
2018-02-12,0,4,11
2018-02-13,2,0,29
2018-02-14,0,4,59
2018-02-15,2,0,15
2018-02-16,0,5,17
2018-02-17,9,0,22
2018-02-18,4,0,14
2018-02-19,0,0,54
2018-02-20,1,1,26
2018-02-21,0,38,30
2018-02-22,0,0,27
2018-02-23,3,9,12
2018-02-24,4,2,25
2018-02-25,14,0,12
2018-02-26,0,2,7
2018-02-27,9,0,18
2018-02-28,1,0,10
2018-03-01,0,3,25
2018-03-02,0,0,28
2018-03-03,0,7,20
2018-03-04,0,1,12
2018-03-05,0,0,9
2018-03-06,0,5,17
2018-03-07,0,1,11
2018-03-08,0,1,4
2018-03-09,0,1,10
2018-03-10,6,1,12
2018-03-11,5,2,8
2018-03-12,1,0,2
2018-03-13,0,0,68
2018-03-14,0,1,11
2018-03-15,1,2,30
2018-03-16,0,0,11
2018-03-17,2,0,7
2018-03-18,0,4,12
2018-03-19,0,5,12
2018-03-20,0,0,12
2018-03-21,0,0,13
2018-03-22,0,4,6
2018-03-23,0,2,21
2018-03-24,0,0,8
2018-03-25,2,0,2
2018-03-26,0,0,8
2018-03-27,0,3,11
2018-03-28,0,1,14
2018-03-29,5,0,9
2018-03-30,9,2,16
2018-03-31,6,0,2
2018-04-01,4,0,3
2018-04-02,3,0,6
2018-04-03,6,0,38
2018-04-04,8,0,24
2018-04-05,1,0,9
2018-04-06,0,0,12
2018-04-07,0,1,19
2018-04-08,6,0,27
2018-04-09,1,0,23
2018-04-10,3,0,23
2018-04-11,0,0,11
2018-04-12,0,0,22
2018-04-13,12,0,10
2018-04-14,1,0,3
2018-04-15,3,2,9
2018-04-16,1,0,17
2018-04-17,0,0,7
2018-04-18,0,0,23
2018-04-19,0,0,11
2018-04-20,1,0,7
2018-04-21,0,0,6
2018-04-22,0,0,7
2018-04-23,10,0,7
2018-04-24,15,0,8
2018-04-25,4,1,5
2018-04-26,5,0,6
2018-04-27,4,0,9
2018-04-28,2,0,13
2018-04-29,0,0,14
2018-04-30,3,0,26
2018-05-01,0,0,29
2018-05-02,6,0,22
2018-05-03,0,0,21
2018-05-04,5,0,17
2018-05-05,2,0,17
2018-05-06,0,2,6
2018-05-07,0,0,57
2018-05-08,0,1,42
2018-05-09,2,1,21
