,apache/mxnet,pytorch/pytorch,tensorflow/tensorflow
2017-03-16,7,15,61
2017-03-17,5,17,44
2017-03-18,6,1,13
2017-03-19,3,3,2
2017-03-20,5,8,47
2017-03-21,7,7,34
2017-03-22,8,28,62
2017-03-23,8,26,52
2017-03-24,7,34,39
2017-03-25,2,4,11
2017-03-26,2,4,5
2017-03-27,4,19,43
2017-03-28,6,19,62
2017-03-29,11,27,55
2017-03-30,5,12,55
2017-03-31,7,20,78
2017-04-01,3,4,18
2017-04-02,4,3,2
2017-04-03,10,18,34
2017-04-04,4,15,31
2017-04-05,8,17,30
2017-04-06,4,31,36
2017-04-07,2,20,42
2017-04-08,6,12,16
2017-04-09,3,5,3
2017-04-10,10,6,44
2017-04-11,5,33,49
2017-04-12,12,32,35
2017-04-13,12,12,35
2017-04-14,12,13,39
2017-04-15,6,3,8
2017-04-16,2,3,10
2017-04-17,7,21,39
2017-04-18,5,44,45
2017-04-19,8,32,42
2017-04-20,7,26,55
2017-04-21,6,7,26
2017-04-22,2,8,16
2017-04-23,0,4,4
2017-04-24,10,23,16
2017-04-25,9,23,28
2017-04-26,9,18,40
2017-04-27,12,11,59
2017-04-28,4,40,50
2017-04-29,0,7,21
2017-04-30,5,3,8
2017-05-01,8,68,49
2017-05-02,4,25,48
2017-05-03,3,27,32
2017-05-04,9,18,52
2017-05-05,1,13,41
2017-05-06,8,4,29
2017-05-07,1,4,8
2017-05-08,8,25,10
2017-05-09,5,26,2
2017-05-10,11,24,65
2017-05-11,11,8,90
2017-05-12,9,12,79
2017-05-13,7,1,8
2017-05-14,5,2,6
2017-05-15,6,12,43
2017-05-16,11,9,50
2017-05-17,19,17,65
2017-05-18,13,11,59
2017-05-19,19,15,65
2017-05-20,11,6,11
2017-05-21,5,3,11
2017-05-22,5,6,44
2017-05-23,13,13,59
2017-05-24,10,23,55
2017-05-25,11,32,51
2017-05-26,18,16,63
2017-05-27,3,1,32
2017-05-28,0,1,7
2017-05-29,0,0,9
2017-05-30,5,15,33
2017-05-31,6,15,64
2017-06-01,6,16,50
2017-06-02,7,44,41
2017-06-03,7,5,12
2017-06-04,1,2,2
2017-06-05,3,19,31
2017-06-06,5,24,84
2017-06-07,3,36,63
2017-06-08,4,13,46
2017-06-09,8,10,55
2017-06-10,4,5,11
2017-06-11,0,70,10
2017-06-12,5,8,18
2017-06-13,4,30,73
2017-06-14,7,20,99
2017-06-15,2,29,33
2017-06-16,6,13,63
2017-06-17,2,49,5
2017-06-18,2,0,2
2017-06-19,7,20,32
2017-06-20,7,18,55
2017-06-21,2,29,63
2017-06-22,6,32,68
2017-06-23,5,18,39
2017-06-24,1,13,9
2017-06-25,1,0,3
2017-06-26,2,13,47
2017-06-27,6,16,59
2017-06-28,11,17,42
2017-06-29,1,17,43
2017-06-30,5,10,44
2017-07-01,6,2,14
2017-07-02,0,4,7
2017-07-03,4,17,5
2017-07-04,2,17,16
2017-07-05,5,10,24
2017-07-06,4,7,71
2017-07-07,1,13,54
2017-07-08,1,5,12
2017-07-09,0,3,2
2017-07-10,6,18,35
2017-07-11,7,25,39
2017-07-12,29,30,47
2017-07-13,9,45,45
2017-07-14,9,32,41
2017-07-15,2,4,11
2017-07-16,4,3,5
2017-07-17,2,11,20
2017-07-18,3,20,50
2017-07-19,3,31,41
2017-07-20,10,19,44
2017-07-21,6,19,51
2017-07-22,1,4,12
2017-07-23,1,6,2
2017-07-24,1,10,41
2017-07-25,5,60,83
2017-07-26,3,26,42
2017-07-27,4,24,46
2017-07-28,5,8,48
2017-07-29,2,6,10
2017-07-30,5,2,8
2017-07-31,7,8,41
2017-08-01,14,22,33
2017-08-02,7,16,53
2017-08-03,19,19,51
2017-08-04,7,18,106
2017-08-05,3,0,11
2017-08-06,2,11,3
2017-08-07,4,11,32
2017-08-08,7,13,36
2017-08-09,7,24,52
2017-08-10,8,16,69
2017-08-11,2,7,48
2017-08-12,7,5,9
2017-08-13,2,1,1
2017-08-14,3,18,33
2017-08-15,5,22,36
2017-08-16,5,32,48
2017-08-17,2,19,60
2017-08-18,5,17,49
2017-08-19,1,4,13
2017-08-20,1,1,4
2017-08-21,4,8,39
2017-08-22,3,13,40
2017-08-23,7,19,40
2017-08-24,14,21,66
2017-08-25,3,50,46
2017-08-26,6,14,12
2017-08-27,4,6,5
2017-08-28,4,9,50
2017-08-29,11,13,48
2017-08-30,13,26,49
2017-08-31,7,21,27
2017-09-01,4,16,28
2017-09-02,4,6,8
2017-09-03,1,2,27
2017-09-04,7,3,22
2017-09-05,5,250,68
2017-09-06,9,22,52
2017-09-07,9,44,68
2017-09-08,9,25,61
2017-09-09,10,6,9
2017-09-10,16,9,3
2017-09-11,9,22,33
2017-09-12,5,16,42
2017-09-13,5,38,50
2017-09-14,1,19,48
2017-09-15,4,18,53
2017-09-16,0,2,21
2017-09-17,6,18,13
2017-09-18,4,14,40
2017-09-19,4,38,52
2017-09-20,6,29,55
2017-09-21,3,30,40
2017-09-22,9,21,57
2017-09-23,2,9,15
2017-09-24,8,6,11
2017-09-25,15,19,27
2017-09-26,10,21,58
2017-09-27,9,11,60
2017-09-28,4,30,76
2017-09-29,9,8,60
2017-09-30,2,16,14
2017-10-01,6,1,7
2017-10-02,3,16,58
2017-10-03,4,22,56
2017-10-04,7,17,73
2017-10-05,2,36,67
2017-10-06,4,28,69
2017-10-07,2,11,16
2017-10-08,3,3,9
2017-10-09,4,5,28
2017-10-10,10,32,54
2017-10-11,8,23,32
2017-10-12,2,21,56
2017-10-13,9,26,68
2017-10-14,7,9,10
2017-10-15,4,3,12
2017-10-16,4,22,54
2017-10-17,7,7,40
2017-10-18,4,12,48
2017-10-19,0,18,51
2017-10-20,0,41,57
2017-10-21,7,2,11
2017-10-22,2,4,7
2017-10-23,1,10,44
2017-10-24,1,27,39
