,neovim/neovim,pulsar-edit/pulsar,microsoft/vscode
2016-04-18,20,13,45
2016-04-19,13,5,65
2016-04-20,12,13,45
2016-04-21,5,11,92
2016-04-22,5,10,36
2016-04-23,3,1,10
2016-04-24,5,4,26
2016-04-25,21,29,50
2016-04-26,2,39,10
2016-04-27,11,16,28
2016-04-28,14,19,29
2016-04-29,12,15,35
2016-04-30,4,4,17
2016-05-01,6,5,2
2016-05-02,3,9,51
2016-05-03,9,11,29
2016-05-04,2,14,63
2016-05-05,4,7,3
2016-05-06,18,5,49
2016-05-07,7,4,0
2016-05-08,5,0,1
2016-05-09,1,0,15
2016-05-10,20,4,45
2016-05-11,2,3,47
2016-05-12,5,4,40
2016-05-13,0,4,51
2016-05-14,13,1,6
2016-05-15,16,2,4
2016-05-16,5,12,26
2016-05-17,27,12,40
2016-05-18,2,7,58
2016-05-19,12,10,61
2016-05-20,20,4,60
2016-05-21,8,2,17
2016-05-22,9,1,17
2016-05-23,11,21,58
2016-05-24,2,19,19
2016-05-25,13,22,53
2016-05-26,3,13,50
2016-05-27,6,5,37
2016-05-28,15,0,2
2016-05-29,5,0,0
2016-05-30,14,6,40
2016-05-31,6,0,33
2016-06-01,11,6,57
2016-06-02,6,2,86
2016-06-03,4,6,54
2016-06-04,5,2,5
2016-06-05,9,1,4
2016-06-06,7,5,50
2016-06-07,17,3,51
2016-06-08,3,11,51
2016-06-09,11,6,52
2016-06-10,15,6,29
2016-06-11,4,4,15
2016-06-12,1,0,7
2016-06-13,3,9,43
2016-06-14,1,16,85
2016-06-15,12,10,77
2016-06-16,6,3,71
2016-06-17,3,5,43
2016-06-18,7,7,1
2016-06-19,0,1,9
2016-06-20,5,5,47
2016-06-21,1,3,47
2016-06-22,0,3,42
2016-06-23,18,2,57
2016-06-24,15,3,69
2016-06-25,6,14,14
2016-06-26,4,0,19
2016-06-27,1,1,63
2016-06-28,3,6,19
2016-06-29,2,7,57
2016-06-30,1,10,51
2016-07-01,6,0,24
2016-07-02,1,18,10
2016-07-03,12,1,1
2016-07-04,0,4,30
2016-07-05,1,2,42
2016-07-06,3,8,52
2016-07-07,0,1,62
2016-07-08,38,6,38
2016-07-09,11,4,1
2016-07-10,4,0,5
2016-07-11,0,10,35
2016-07-12,5,16,47
2016-07-13,9,11,50
2016-07-14,0,11,49
2016-07-15,2,3,37
2016-07-16,2,3,8
2016-07-17,3,1,0
2016-07-18,4,4,20
2016-07-19,2,7,23
2016-07-20,3,10,33
2016-07-21,0,20,35
2016-07-22,0,15,29
2016-07-23,0,0,0
2016-07-24,7,2,1
2016-07-25,2,24,49
2016-07-26,0,14,25
2016-07-27,2,33,29
2016-07-28,3,35,19
2016-07-29,3,34,3
2016-07-30,14,1,2
2016-07-31,2,1,0
2016-08-01,10,12,0
2016-08-02,0,41,20
2016-08-03,1,19,41
2016-08-04,6,15,34
2016-08-05,5,21,16
2016-08-06,2,10,2
2016-08-07,17,4,0
2016-08-08,7,33,44
2016-08-09,6,25,59
2016-08-10,5,15,12
2016-08-11,9,45,7
2016-08-12,0,43,53
2016-08-13,2,8,0
2016-08-14,13,1,2
2016-08-15,3,22,28
2016-08-16,0,23,48
2016-08-17,11,20,65
2016-08-18,4,8,56
2016-08-19,1,19,35
2016-08-20,4,1,9
2016-08-21,5,0,4
2016-08-22,10,1,49
2016-08-23,0,17,92
2016-08-24,8,0,51
2016-08-25,3,14,55
2016-08-26,16,14,64
2016-08-27,0,2,6
2016-08-28,0,6,11
2016-08-29,7,21,86
2016-08-30,0,21,16
2016-08-31,14,5,75
2016-09-01,2,9,47
2016-09-02,2,4,19
2016-09-03,5,0,12
2016-09-04,7,0,4
2016-09-05,6,0,57
2016-09-06,2,4,40
2016-09-07,0,25,60
2016-09-08,2,11,43
2016-09-09,0,15,36
2016-09-10,6,2,13
2016-09-11,5,4,18
2016-09-12,4,13,53
2016-09-13,7,5,43
2016-09-14,1,7,42
2016-09-15,8,13,54
2016-09-16,2,8,33
2016-09-17,3,3,3
2016-09-18,6,0,4
2016-09-19,2,3,35
2016-09-20,5,16,56
2016-09-21,5,17,71
2016-09-22,4,26,58
2016-09-23,5,1,74
2016-09-24,10,4,3
2016-09-25,7,0,5
2016-09-26,0,3,70
2016-09-27,8,2,41
2016-09-28,7,1,75
2016-09-29,1,37,48
2016-09-30,3,3,12
2016-10-01,4,2,3
2016-10-02,2,0,1
2016-10-03,0,2,28
2016-10-04,7,3,41
2016-10-05,0,3,38
2016-10-06,3,12,35
2016-10-07,9,35,41
2016-10-08,4,5,22
2016-10-09,3,0,3
2016-10-10,4,29,23
2016-10-11,4,14,18
2016-10-12,18,18,14
2016-10-13,4,0,44
2016-10-14,1,33,55
2016-10-15,14,8,1
2016-10-16,5,4,7
2016-10-17,1,18,54
2016-10-18,5,4,58
2016-10-19,6,5,50
2016-10-20,5,2,76
2016-10-21,3,5,150
2016-10-22,15,1,9
2016-10-23,1,0,17
2016-10-24,8,2,91
2016-10-25,6,7,51
2016-10-26,5,8,61
2016-10-27,0,10,36
2016-10-28,5,8,43
2016-10-29,3,10,6
2016-10-30,6,7,5
2016-10-31,4,9,46
2016-11-01,0,15,60
2016-11-02,9,6,38
2016-11-03,3,7,63
2016-11-04,1,6,52
2016-11-05,6,2,5
2016-11-06,0,3,2
2016-11-07,0,6,53
2016-11-08,13,1,50
2016-11-09,2,1,54
2016-11-10,2,6,58
2016-11-11,3,17,60
2016-11-12,4,2,2
2016-11-13,1,1,0
2016-11-14,4,4,39
2016-11-15,12,10,44
2016-11-16,15,15,38
2016-11-17,4,7,45
2016-11-18,1,5,46
2016-11-19,2,2,4
2016-11-20,2,3,1
2016-11-21,4,15,45
2016-11-22,0,1,51
2016-11-23,4,9,63
2016-11-24,10,9,37
2016-11-25,4,0,37
2016-11-26,4,0,3
2016-11-27,2,10,8
2016-11-28,1,17,35
2016-11-29,10,6,72
2016-11-30,1,24,62
2016-12-01,14,13,54
2016-12-02,1,6,73
2016-12-03,7,0,21
2016-12-04,5,2,11
2016-12-05,1,8,94
2016-12-06,3,11,28
2016-12-07,17,5,87
2016-12-08,5,5,50
2016-12-09,8,8,28
2016-12-10,8,5,11
2016-12-11,6,1,3
2016-12-12,39,10,52
