,django/django,rails/rails,pallets/flask
2018-06-21,8.0,6.699916434523437,0
2018-06-22,3.0,1.4478323483453122,0
2018-06-23,0.0,5.814014607610938,0
2018-06-24,0.0,3.5458809356625003,0
2018-06-25,5.0,7.628441401948439,0
2018-06-26,0.0,10.233979814589063,0
2018-06-27,4.0,6.7454420313218755,2
2018-06-28,7.0,5.835703404598437,4
2018-06-29,8.0,10.942497806945312,4
2018-06-30,3.0,5.4511375544156255,0
2018-07-01,0.0,3.7415351575328133,0
2018-07-02,6.0,5.994728300920313,0
2018-07-03,0.0,5.924761952679689,0
2018-07-04,4.0,13.898633454739064,0
2018-07-05,4.0,4.112334219928125,0
2018-07-06,3.0,5.688349171801564,0
2018-07-07,2.0,5.775465465509376,0
2018-07-08,0.0,9.823376135407814,0
2018-07-09,13.0,3.4908481316187507,0
2018-07-10,9.0,3.9276013606593763,0
2018-07-11,12.0,2.080395448087501,2
2018-07-12,0.0,5.378880197712502,0
2018-07-13,3.0,2.236218498315626,0
2018-07-14,1.0,3.5682923081234383,0
2018-07-15,0.0,6.585315745587501,0
2018-07-16,2.0,9.324350671025002,0
2018-07-17,1.0,3.924626413975,0
2018-07-18,4.0,7.2649086341906255,0
2018-07-19,8.0,6.051645958971875,0
2018-07-20,6.0,19.057020051246877,3
2018-07-21,2.0,4.724410948935937,0
2018-07-22,2.0,14.429368317278126,0
2018-07-23,1.0,-0.2883942505546879,0
2018-07-24,3.0,0.7866909465406269,2
2018-07-25,6.0,4.22181162776094,0
2018-07-26,5.0,20.197643735143753,0
2018-07-27,5.0,1.618127851801563,0
2018-07-28,0.0,3.648033073884376,0
2018-07-29,0.0,5.894673468870313,0
2018-07-30,4.0,8.933605232196877,0
2018-07-31,4.0,21.62738040409219,0
2018-08-01,8.0,2.262413300845312,0
2018-08-02,10.0,3.352021684298438,0
2018-08-03,7.0,3.6944419421906263,0
2018-08-04,5.0,-1.1186588483687476,0
2018-08-05,2.0,3.615287151726565,0
2018-08-06,3.0,0.4984659219093768,0
2018-08-07,5.0,6.808161451540627,0
2018-08-08,4.0,8.38257585722969,0
2018-08-09,0.0,7.05905415854375,0
2018-08-10,2.0,4.1125640666906245,0
2018-08-11,0.0,11.327759747940625,0
2018-08-12,1.0,4.69618706551875,0
2018-08-13,2.0,12.013146089885938,0
2018-08-14,0.0,7.363973666289063,0
2018-08-15,2.0,11.482447715803126,0
2018-08-16,9.0,15.05515545830625,0
2018-08-17,7.0,1.4751360675000003,0
2018-08-18,6.0,2.4893888103328137,0
2018-08-19,1.0,20.87485226683125,0
2018-08-20,8.0,13.271845353423439,0
2018-08-21,5.0,0.24113251252968793,0
2018-08-22,4.0,29.390108711840625,0
2018-08-23,5.0,14.096237247421875,0
2018-08-24,0.0,1.4129601364656263,1
2018-08-25,3.0,4.719149570525001,0
2018-08-26,0.0,-2.905912054007809,0
2018-08-27,2.0,5.057370151710941,0
2018-08-28,7.0,7.820412635407815,0
2018-08-29,2.0,18.636869237326565,0
2018-08-30,1.0,17.49203226960625,0
2018-08-31,5.0,5.902942994053125,0
2018-09-01,1.0,-0.16867989627656277,0
2018-09-02,0.0,3.837346293159377,0
2018-09-03,1.0,2.931168930962503,0
2018-09-04,1.0,4.145105833890628,0
2018-09-05,0.0,7.117000018342189,0
2018-09-06,1.0,17.8656639050625,0
2018-09-07,0.0,4.696253523417187,0
2018-09-08,3.0,5.454629052839063,0
2018-09-09,0.0,5.74227129559375,1
2018-09-10,9.0,5.836652258048439,0
2018-09-11,7.0,16.84111002970625,0
2018-09-12,1.0,17.755278342976563,0
2018-09-13,3.0,23.05908804264375,0
2018-09-14,4.0,5.058264396864061,0
2018-09-15,0.0,4.226409275156251,0
2018-09-16,1.0,5.902586255587503,0
2018-09-17,5.0,12.076095618087503,6
2018-09-18,6.0,25.594302934337502,0
2018-09-19,3.0,23.004701773665623,4
2018-09-20,0.0,19.360940804739062,0
2018-09-21,0.0,12.307558332823437,3
2018-09-22,0.0,-1.093623581126561,0
2018-09-23,0.0,5.573755766765628,2
2018-09-24,0.0,9.73775905632188,0
2018-09-25,11.0,11.496788340692191,0
2018-09-26,11.0,14.242610827007814,0
2018-09-27,1.0,28.878332380770313,0
2018-09-28,2.0,28.322126471103125,0
2018-09-29,2.0,-4.462489095179689,0
2018-09-30,0.0,7.255421723540627,1
2018-10-01,15.0,8.407677533965629,0
2018-10-02,14.0,33.41032283922344,0
2018-10-03,5.0,19.97046277679844,0
2018-10-04,7.0,22.02166617642969,0
2018-10-05,1.0,25.6798223773375,0
2018-10-06,0.0,4.071632193782814,0
2018-10-07,0.0,9.943782828996879,0
2018-10-08,2.0,14.353246534256254,0
2018-10-09,3.0,12.039144779667192,0
2018-10-10,4.0,10.162690235490627,0
2018-10-11,3.0,11.414936672764066,0
2018-10-12,4.0,5.620097902128127,0
2018-10-13,1.0,-0.6657954837562472,1
2018-10-14,2.0,3.4195793444281284,0
2018-10-15,4.0,7.737202235620316,0
2018-10-16,2.0,11.486203240914065,0
2018-10-17,6.0,21.056607836801565,0
2018-10-18,2.0,6.917250296654688,0
2018-10-19,0.0,16.68817570371094,0
2018-10-20,2.0,14.02823956551875,0
2018-10-21,4.0,8.95408973309375,0
2018-10-22,5.0,12.32809892679844,0
2018-10-23,3.0,14.094189457128127,2
2018-10-24,6.0,2.7862642449218766,2
2018-10-25,8.0,8.742791643371877,2
2018-10-26,1.0,1.6662681959656274,0
2018-10-27,2.0,2.4761606667921905,2
2018-10-28,1.0,5.803244063750002,0
2018-10-29,9.0,4.781749970150003,0
2018-10-30,5.0,16.946687788782814,1
2018-10-31,2.0,-0.16910754860624966,0
2018-11-01,6.0,1.982524295743751,0
2018-11-02,1.0,3.355038232310939,0
2018-11-03,4.0,2.4197028732406274,0
2018-11-04,2.0,3.622074764742189,1
2018-11-05,0.0,6.600224871945313,0
2018-11-06,1.0,11.308785222353126,0
2018-11-07,2.0,6.707747196201563,2
2018-11-08,1.0,19.820752515270314,0
2018-11-09,8.0,6.607029909079687,0
2018-11-10,6.0,2.164331677278125,0
2018-11-11,1.0,3.7864876540078134,0
2018-11-12,3.0,3.9490815422781274,1
2018-11-13,6.0,15.045089569445315,6
2018-11-14,5.0,7.013533569259375,0
2018-11-15,5.0,2.2884599073921885,0
2018-11-16,3.0,5.881984915832813,0
2018-11-17,4.0,0.827138557803127,0
2018-11-18,3.0,1.4395259070625017,0
2018-11-19,4.0,15.682799469226564,0
2018-11-20,8.0,13.405600295440625,0
2018-11-21,2.0,5.96877703851875,0
2018-11-22,1.0,5.385934045482813,0
2018-11-23,5.0,8.6793215520625,0
2018-11-24,1.0,2.487607356945314,0
2018-11-25,1.0,4.9802384394156265,0
2018-11-26,4.0,11.998062717095314,0
2018-11-27,8.0,11.302463368626563,0
2018-11-28,2.0,18.988890382389062,1
2018-11-29,3.0,4.091750584784375,0
2018-11-30,6.0,8.068930851801563,0
2018-12-01,0.0,4.078045667790626,0
2018-12-02,0.0,3.494637508276565,0
2018-12-03,3.0,9.80307912371094,0
2018-12-04,1.0,18.33665412752969,0
2018-12-05,4.0,11.266180514778124,0
2018-12-06,7.0,1.414589220653125,0
2018-12-07,1.0,6.406363493834377,0
2018-12-08,0.0,-1.5088837122093732,2
2018-12-09,1.0,0.32023885349531533,0
2018-12-10,2.0,7.62770778665469,0
2018-12-11,0.0,2.1193430698468765,0
2018-12-12,1.0,19.438350439990625,0
2018-12-13,0.0,13.912231057760938,0
2018-12-14,0.0,17.735974368132812,0
2018-12-15,1.0,2.143272448929686,0
2018-12-16,0.0,3.246317009160938,0
2018-12-17,5.0,5.6617589551828145,0
2018-12-18,0.0,15.627413180287503,0
2018-12-19,3.0,4.635988491364063,0
2018-12-20,0.0,14.241799417778125,0
2018-12-21,7.0,15.514022579229689,2
2018-12-22,13.0,-3.883108318939062,0
2018-12-23,0.0,0.799454441151564,0
2018-12-24,5.0,2.2448347116906273,0
2018-12-25,0.0,-0.6334945018406217,0
2018-12-26,5.0,9.776357512931252,0
2018-12-27,4.0,8.012615576478126,0
2018-12-28,1.0,11.904867379696876,0
2018-12-29,0.0,0.3873060220921869,0
2018-12-30,3.0,10.296088413067189,0
2018-12-31,2.0,9.795849013453125,0
2019-01-01,4.0,11.50471185657969,0
2019-01-02,4.0,8.133563493090625,0
2019-01-03,2.0,10.222844316792187,0
2019-01-04,2.0,15.981780706948438,2
2019-01-05,0.0,18.309653853671875,7
2019-01-06,0.0,-2.3157793795500003,40
2019-01-07,0.0,4.365194406204689,15
2019-01-08,1.0,14.465194878381253,0
2019-01-09,8.0,13.639327316100003,0
2019-01-10,6.0,8.322474832575,0
2019-01-11,7.0,10.656509049151563,0
2019-01-12,6.0,-3.449948122764061,3
2019-01-13,1.0,4.9183501854734395,0
2019-01-14,15.0,11.873743781928127,0
2019-01-15,6.0,6.306201055068751,0
2019-01-16,7.0,20.476875224732815,0
2019-01-17,21.0,53.128528155623435,0
2019-01-18,3.0,10.19349575320156,1
2019-01-19,3.0,4.241026299849999,0
2019-01-20,0.0,-0.43429623425312425,0
2019-01-21,6.0,6.7478041988906305,0
2019-01-22,3.0,12.649102346279692,0
2019-01-23,5.0,8.130185021106254,0
2019-01-24,1.0,13.38626471656719,0
2019-01-25,1.0,7.963033892282814,2
2019-01-26,1.0,12.386683258670315,0
2019-01-27,3.0,-1.5531753858031245,0
2019-01-28,8.0,14.749545560078127,0
2019-01-29,3.0,10.767343419700001,0
2019-01-30,5.0,18.660038898890626,0
2019-01-31,4.0,11.7905686169875,0
