,rust-lang/rust,golang/go,nim-lang/Nim
2015-03-12,33,18,26.98793008907969
2015-03-13,29,10,5.163101259954687
2015-03-14,18,8,6.348278993573438
2015-03-15,42,7,1.7968625761359385
2015-03-16,30,26,16.478288604043755
2015-03-17,53,25,16.43569148739219
2015-03-18,37,10,-0.06455003297968709
2015-03-19,57,15,-1.7692192940468736
2015-03-20,41,28,-0.9535639583999971
2015-03-21,10,3,5.497136018765629
2015-03-22,23,0,14.336296625734377
2015-03-23,96,13,5.3655199308125
2015-03-24,65,27,5.745406565023438
2015-03-25,24,10,6.814764494004688
2015-03-26,44,11,6.838076738468751
2015-03-27,79,15,10.897440493090626
2015-03-28,26,11,0.43805076069843807
2015-03-29,34,1,0.18543121635468873
2015-03-30,37,16,5.557556103998439
2015-03-31,75,12,-0.7072990771999981
2015-04-01,95,16,11.894456046837501
2015-04-02,34,21,-0.058430316178125
2015-04-03,37,20,12.664220421285938
2015-04-04,42,5,3.7464373942234372
2015-04-05,18,0,5.176059247985938
2015-04-06,21,12,9.245006180110938
2015-04-07,43,24,2.8265157450687504
2015-04-08,68,38,14.216988142982814
2015-04-09,38,20,25.28091951076094
2015-04-10,57,24,12.634789718501562
2015-04-11,45,11,11.993952897709374
2015-04-12,21,15,3.028384425153125
2015-04-13,36,32,3.9538699724250024
2015-04-14,86,13,6.296364407826565
2015-04-15,49,22,3.2946508170265654
2015-04-16,31,36,-2.336470478429685
2015-04-17,75,30,6.414565808737502
2015-04-18,35,9,3.062757830228127
2015-04-19,22,2,2.4053107873890642
2015-04-20,35,16,8.652825682065625
2015-04-21,99,31,14.207614499889063
2015-04-22,30,22,16.39228453760781
2015-04-23,45,11,0.6934705990828114
2015-04-24,63,22,21.812955252284375
2015-04-25,50,1,3.2020694646249996
2015-04-26,25,11,11.164517204634377
2015-04-27,51,24,2.8103350727578134
2015-04-28,31,24,5.453277082200002
2015-04-29,97,32,2.4990506876406267
2015-04-30,70,22,3.8904650771281277
2015-05-01,44,21,-0.9588437477453104
2015-05-02,36,5,15.700340528731251
2015-05-03,23,6,2.3489190255281254
2015-05-04,43,12,10.13733462252969
2015-05-05,52,20,1.6435835539031247
2015-05-06,58,41,1.2887405744093763
2015-05-07,56,21,15.605946174634376
2015-05-08,43,6,6.388214200476563
2015-05-09,37,3,-2.3409153269812495
2015-05-10,54,2,-0.40042730505156165
2015-05-11,54,28,0.8674927868109399
2015-05-12,63,19,2.0543779086328144
2015-05-13,66,16,14.040354466256252
2015-05-14,52,21,3.9179862020593745
2015-05-15,53,29,3.2943571048765623
2015-05-16,39,4,13.466221677248438
2015-05-17,40,3,9.632704855926562
2015-05-18,33,17,1.5455320069843745
2015-05-19,84,16,6.174240245182813
2015-05-20,36,8,1.9965985871312508
2015-05-21,35,11,-0.6647947428421856
2015-05-22,21,16,-1.2203423348828106
2015-05-23,34,3,3.188648725956252
2015-05-24,26,0,7.988624637085939
2015-05-25,34,2,17.444397070773437
2015-05-26,35,8,33.28442614750625
2015-05-27,30,13,-2.961828711768753
2015-05-28,41,16,12.2715127314
2015-05-29,41,8,-2.2494500231593753
2015-05-30,20,5,1.946699999964066
2015-05-31,22,2,2.1177772441875025
2015-06-01,28,8,3.2450060939656282
2015-06-02,34,15,8.260501539879689
2015-06-03,26,35,0.8385782032546887
2015-06-04,30,22,36.459320226425
2015-06-05,25,29,6.3881563534437475
2015-06-06,30,5,7.584717313945312
2015-06-07,20,4,30.94198804790156
2015-06-08,44,7,-2.30098251845625
2015-06-09,58,14,9.784916024778127
2015-06-10,40,7,21.520313293414063
2015-06-11,36,14,6.270654690593752
2015-06-12,35,14,0.13893775154843935
2015-06-13,25,4,2.081590326712502
2015-06-14,18,15,7.6661092189328155
2015-06-15,35,17,23.408696478323442
2015-06-16,19,18,5.76003146098125
2015-06-17,52,25,4.805511329439063
2015-06-18,51,25,26.19871963289219
2015-06-19,36,20,6.331199895929688
2015-06-20,37,2,3.4235902637921884
2015-06-21,28,2,4.117446237278126
2015-06-22,28,13,0.3856198796640653
2015-06-23,44,9,7.941829023734378
2015-06-24,40,13,10.559077021409378
2015-06-25,36,14,19.280010891765627
2015-06-26,25,34,11.196358606009374
2015-06-27,21,7,-0.6340833779640627
2015-06-28,9,2,-0.3082874802546862
2015-06-29,32,36,9.282735877389065
2015-06-30,57,18,9.690453968201565
2015-07-01,37,7,21.38959923598594
2015-07-02,28,9,18.0069566504375
2015-07-03,26,2,11.592899549439062
2015-07-04,28,0,1.9128611852249993
2015-07-05,35,7,2.0420417429140643
2015-07-06,35,2,4.6083150076109405
2015-07-07,29,11,-1.352230303243747
2015-07-08,46,1,5.2976368809171905
2015-07-09,32,8,14.070407739693753
2015-07-10,27,9,1.1627321877937513
2015-07-11,27,9,5.076780245959376
2015-07-12,32,9,3.1638516625812505
2015-07-13,38,19,3.438530183456251
2015-07-14,39,13,2.5227817624609385
2015-07-15,11,56,1.6667871454828136
