,swiftlang/swift,rust-lang/rust,golang/go
2010-10-29,-0.029720249999999997,-5.798260428800001,7
2010-10-30,-0.023280862499999996,-1.595018752,4
2010-10-31,-0.018957273750000003,-0.8141876224000001,4
2010-11-01,-0.015876716765625045,-0.4662885375999999,18
2010-11-02,-0.013583413232812524,1.7190784,6
2010-11-03,0.0,7.58840576,6
2010-11-04,0.0,-2.8065945600000006,10
2010-11-05,0.0,4.9082730496,14
2010-11-06,0.0,3.2007834623999996,4
2010-11-07,0.0,-6.876096,0
2010-11-08,0.0,0.1320576,6
2010-11-09,0.0,-0.2179916799999999,5
2010-11-10,0.0,-1.112459264,9
2010-11-11,5.0,0.5594827775999998,4
2010-11-12,-1.5000000000000002,1.1390600191999996,8
2010-11-13,-0.5249999999999997,-1.4334539776000002,3
2010-11-14,-0.2974999999999999,5.6541138944,0
2010-11-15,-0.20081249999999998,-3.7139278848000012,0
2010-11-16,-0.14860125,-0.7057827840000002,0
2010-11-17,-0.11640431249999998,-1.2982646784000003,2
2010-11-18,-0.09478636875000002,0.4624910336000001,8
2010-11-19,-0.07938358382812523,3.0657497088,5
2010-11-20,-0.06791706616406262,2.2453149695999994,1
2010-11-21,0.0,2.2980721663999994,1
2010-11-22,0.0,1.4318348287999996,4
2010-11-23,0.0,2.1599717375999994,2
2010-11-24,0.0,-1.550989619200001,1
2010-11-25,4.0,6.0197116928,0
2010-11-26,-1.2000000000000002,2.643493887999999,1
2010-11-27,0.5800000000000003,-6.0113098752,1
2010-11-28,-0.5379999999999999,-3.5181298688,1
2010-11-29,0.7343500000000001,3.4732165120000005,5
2010-11-30,-0.478381,2.0529666047999995,10
2010-12-01,-0.2382859499999999,1.161671372799999,4
2010-12-02,-0.165049345,2.9566217215999995,9
2010-12-03,-0.12695022956250018,7.6758234112,5
2010-12-04,-0.1030111766812501,-5.2261150720000025,0
2010-12-05,-0.03915757926562504,-5.656165376000001,3
2010-12-06,-0.032540686982812525,-0.9720505343999997,13
2010-12-07,-0.015876716765625045,7.2370304,28
2010-12-08,-0.013583413232812524,-1.3240186880000007,29
2010-12-09,0.0,7.298729164799999,17
2010-12-10,0.0,1.2639326207999986,5
2010-12-11,0.0,2.6773433343999997,1
2010-12-12,0.0,-5.033117900800001,4
2010-12-13,0.0,3.9963274240000004,18
2010-12-14,0.0,-0.31662131200000054,17
2010-12-15,0.0,6.5306651647999985,14
2010-12-16,0.0,0.019394355199999325,17
2010-12-17,0.0,-3.825948160000001,12
2010-12-18,0.0,0.21653903360000015,0
2010-12-19,0.0,-5.7579991040000005,0
2010-12-20,0.0,4.9984764928,2
2010-12-21,0.0,1.632152883199999,2
2010-12-22,0.0,0.15967621119999897,0
2010-12-23,0.0,-3.376057446400001,5
2010-12-24,0.0,-0.9262887936000004,1
2010-12-25,0.0,1.6145889279999999,0
2010-12-26,0.0,-3.3353748480000003,0
2010-12-27,0.0,-1.0550648832,3
2010-12-28,0.0,-0.6002877440000001,0
2010-12-29,0.0,0.5769440255999999,0
2010-12-30,0.0,6.1276901376,1
2010-12-31,0.0,12.5154352128,0
2011-01-01,0.0,-10.185386598400001,0
2011-01-02,0.0,-3.1239655424,0
2011-01-03,0.0,7.6359437312,2
2011-01-04,0.0,7.7961088,13
2011-01-05,0.0,-6.032227840000003,14
2011-01-06,0.0,1.0074951679999993,6
2011-01-07,0.0,-0.4837722111999998,8
2011-01-08,0.0,-2.8682578944,5
2011-01-09,0.0,-2.8959442944000005,3
2011-01-10,0.0,10.8276041728,5
2011-01-11,0.0,-2.958128128000001,15
2011-01-12,0.0,5.0050435072,16
2011-01-13,0.0,-6.6394149888000005,11
2011-01-14,0.0,4.3226120192,11
2011-01-15,0.0,-3.4507410432000007,1
2011-01-16,0.0,-2.81049344,3
2011-01-17,0.0,5.8500345856,1
2011-01-18,0.0,2.0736885759999986,14
2011-01-19,0.0,-0.5668721664000014,31
2011-01-20,0.0,2.446178304,32
2011-01-21,0.0,2.353450495999999,9
2011-01-22,0.0,-4.421871411200001,3
2011-01-23,0.0,-3.0774175744,0
2011-01-24,0.0,3.7377913856000005,10
2011-01-25,0.0,0.21262745599999944,12
2011-01-26,0.0,2.4362054655999996,12
2011-01-27,0.0,6.258568089599999,13
2011-01-28,0.0,-0.9638067200000009,7
2011-01-29,0.0,-6.272728166400001,4
2011-01-30,0.0,1.0785347584,4
2011-01-31,0.0,1.1526598656,16
2011-02-01,0.0,1.5495372799999996,24
2011-02-02,0.0,4.846332415999999,18
2011-02-03,0.0,-3.6803166208,23
2011-02-04,1.0,-1.6181783552000004,13
2011-02-05,-0.30000000000000004,-2.5395628032000004,6
2011-02-06,-0.10499999999999993,-0.9899515903999998,0
2011-02-07,-0.05949999999999997,4.415069184,6
2011-02-08,-0.0401625,-2.4180356096000004,7
2011-02-09,-0.029720249999999997,8.5019994112,25
2011-02-10,-0.023280862499999996,3.3921397759999987,11
2011-02-11,-0.018957273750000003,1.442609459199999,16
2011-02-12,-0.015876716765625045,-7.3540269056000005,3
2011-02-13,-0.013583413232812524,-2.0996281343999996,2
2011-02-14,0.0,3.8501376,9
2011-02-15,0.0,7.236940799999999,7
2011-02-16,0.0,-0.7552890880000014,19
2011-02-17,0.0,-5.191956787200001,14
2011-02-18,0.0,0.47124684799999983,13
2011-02-19,0.0,1.0260761600000001,2
2011-02-20,0.0,-3.4628226048000004,1
2011-02-21,0.0,-0.09047040000000006,5
2011-02-22,10.0,2.7411839999999996,10
2011-02-23,-3.0000000000000004,9.013568511999999,24
2011-02-24,-1.0499999999999994,-0.056488243200000454,10
2011-02-25,-0.5949999999999998,5.3267480576,17
2011-02-26,2.598375,-3.0804728832000006,1
2011-02-27,-0.19720250000000017,-6.0662148096,0
2011-02-28,-0.8478086249999998,-0.04893050879999983,7
2011-03-01,3.5269272625,6.614911488000001,9
2011-03-02,4.461245332343749,20.5452136448,11
2011-03-03,-2.485157382328125,-1.9916464128000015,14
2011-03-04,0.032437162500000616,-1.8515841024000004,10
2011-03-05,-0.8978026837499998,-8.2497494016,10
2011-03-06,0.46855657595312494,0.5535906816000002,12
2011-03-07,1.3124280935359374,11.9858439168,31
2011-03-08,-0.9742601832328125,3.9538319360000003,19
2011-03-09,-0.47647075956250007,9.201886617599998,12
2011-03-10,-0.3320373160250003,0.11827845119999836,14
2011-03-11,-0.21050300314687515,1.1457396735999996,14
2011-03-12,-0.09859807926562503,-11.0298888192,6
2011-03-13,3.9208975880171875,-5.1214081024,2
2011-03-14,5.746208735734375,22.632651366399998,4
2011-03-15,-0.5653368467640627,-6.488704819200002,13
2011-03-16,-1.6001668264656246,2.997482086399998,20
2011-03-17,6.21285,-4.010451558400002,16
2011-03-18,1.3809814999999999,14.5066768384,7
2011-03-19,0.6835098000000004,-2.754131353600002,1
2011-03-20,4.9652643675000006,-0.826313830400002,1
2011-03-21,5.823092991687499,19.8061417472,8
2011-03-22,15.814423032209376,5.685341081599997,11
2011-03-23,-3.8906718636609376,0.2813295615999962,18
2011-03-24,-4.458789442715624,-4.227103846400002,7
2011-03-25,-2.4363129498593743,13.141643263999999,19
2011-03-26,1.3128391315578125,-17.825922252800005,6
2011-03-27,0.900752518021875,0.31565598719999954,3
2011-03-28,-2.1220009708078127,-3.281022464000001,11
2011-03-29,-1.2037432685203129,7.9292033023999995,31
2011-03-30,-0.8146016494078135,-1.8300253184000024,8
2011-03-31,-0.5448233817187507,11.588195123199998,10
2011-04-01,-0.21333699043125007,8.419742003199996,3
2011-04-02,1.87328559125,-14.502589542400003,6
2011-04-03,-0.7045019715468752,0.6070584319999988,3
2011-04-04,0.7016196100046874,-8.7759741952,13
2011-04-05,1.5402497603015624,3.867855564800001,20
2011-04-06,-0.785325,-1.059925401600001,11
2011-04-07,-0.3289404999999998,15.909372313599999,10
2011-04-08,-0.20572422499999993,7.593474457599996,24
2011-04-09,0.8520402025,-14.777149337600001,1
2011-04-10,12.58552520396875,-5.605489459199999,2
2011-04-11,1.902314174784375,3.574329036800001,7
2011-04-12,-3.2782912642656243,11.937248256,9
2011-04-13,-1.4889993467640616,2.1403040767999997,22
2011-04-14,0.06400042353437518,0.5460680703999969,24
2011-04-15,-0.9506191125,-7.492098867200001,28
2011-04-16,-0.6049299862499998,0.9548589056000001,1
2011-04-17,-0.461506450515625,1.3199555583999985,3
2011-04-18,-0.3738868736859381,6.9285617664,11
2011-04-19,-0.3015649226203131,11.251705548799997,9
2011-04-20,-0.10478134189687514,-1.3119320064000028,13
2011-04-21,-0.018957273750000003,-4.395930009600001,18
2011-04-22,1.984123283234375,7.483872256,14
2011-04-23,-0.6135834132328126,-9.5554799616,7
2011-04-24,-0.20999999999999985,-4.395023052800001,1
2011-04-25,-0.11899999999999994,4.0310721536,14
2011-04-26,-0.080325,4.2106988543999995,13
2011-04-27,-0.05944049999999999,4.113988915199998,13
2011-04-28,0.953438275,14.530089881599999,18
2011-04-29,6.6620854524999995,5.002156543999998,7
2011-04-30,-2.2367534335312507,-16.4179007488,0
2011-05-01,-0.8216668264656244,4.6060829696,4
2011-05-02,-0.45666249999999975,-4.607423692800001,20
2011-05-03,-0.31085775,20.7642756096,14
2011-05-04,-0.23132261249999997,-1.7773751296000029,7
2011-05-05,-0.18192331124999997,27.9282510848,6
2011-05-06,-0.14857763301562507,-11.471159193600005,5
2011-05-07,0.8752795694078122,-16.193977856000004,2
2011-05-08,-0.3950838926296877,-7.118280089600001,6
2011-05-09,-0.10499999999999993,9.4950183936,4
2011-05-10,-0.05949999999999997,-1.0879137792000027,4
2011-05-11,-0.0401625,26.46718208,10
2011-05-12,-0.029720249999999997,-6.965628518400003,14
2011-05-13,-0.023280862499999996,7.941732761600001,22
2011-05-14,-0.018957273750000003,6.550540902399998,5
2011-05-15,-0.015876716765625045,-19.086138572800003,4
2011-05-16,-0.013583413232812524,12.7483172864,14
2011-05-17,0.0,4.391027404799999,12
2011-05-18,0.0,12.2442580992,12
2011-05-19,0.0,8.477492735999995,5
2011-05-20,0.0,2.9821288447999983,9
2011-05-21,0.0,2.0837935103999996,4
2011-05-22,0.0,7.157815295999995,5
2011-05-23,0.0,-18.1085103104,7
2011-05-24,0.0,6.2457201664,12
2011-05-25,0.0,0.014587596799998437,17
2011-05-26,0.0,-9.9747648512,12
2011-05-27,0.0,29.90573056,17
2011-05-28,0.0,-21.333518438400002,1
2011-05-29,0.0,-10.681791692800001,5
2011-05-30,0.0,-3.4658750464,12
2011-05-31,2.0,22.7398033408,21
2011-06-01,-0.6000000000000001,12.602581094399998,16
2011-06-02,-0.20999999999999985,-2.3814187008000047,21
2011-06-03,-0.11899999999999994,-2.9008006144000014,16
2011-06-04,-0.080325,4.491713228799998,1
2011-06-05,5.9405595,-13.3324259328,2
2011-06-06,-1.8465617250000002,-2.7770130432,16
2011-06-07,-0.6679145474999996,-0.6340177919999999,14
2011-06-08,-0.3887534335312499,13.3706615808,13
2011-06-09,-0.26814182646562507,15.199986892799997,13
2011-06-10,-0.17832149999999997,4.862956543999999,14
2011-06-11,-0.13968517499999997,-11.024387584000003,5
2011-06-12,-0.11374364250000002,-5.926434816,1
2011-06-13,-0.09526030059375026,-3.9925500928,10
2011-06-14,-0.08150047939687514,27.3339643904,20
2011-06-15,0.0,23.636757811199995,11
2011-06-16,0.0,14.736470015999998,19
2011-06-17,0.0,1.5954890751999926,15
2011-06-18,0.0,-19.681386700800005,3
2011-06-19,0.0,5.463385292799998,7
2011-06-20,0.0,3.320505855999997,24
2011-06-21,0.0,-9.3607565312,7
2011-06-22,0.0,-5.279531724800002,14
2011-06-23,0.0,2.8836296703999977,7
2011-06-24,0.0,4.057551052799997,12
2011-06-25,0.0,-7.562453913600001,3
2011-06-26,0.0,-6.6384601088,1
2011-06-27,0.0,32.5913690112,21
2011-06-28,0.0,24.646338867199997,16
2011-06-29,0.0,1.8643773439999975,19
2011-06-30,0.0,6.079010406399995,14
2011-07-01,0.0,0.887830527999995,8
2011-07-02,0.0,-23.503550464000003,3
2011-07-03,0.0,-5.018433945600002,0
2011-07-04,0.0,-1.9409883136000001,6
2011-07-05,0.0,15.6255668224,8
2011-07-06,0.0,47.9484555264,16
2011-07-07,0.0,-14.692013056000008,11
2011-07-08,0.0,27.455733350399996,12
