,spring-projects/spring-framework,apache/tomcat,apache/struts
2021-02-27,-2.657323724800001,0,0
2021-02-28,-1.4926737408000008,0,1
2021-03-01,1.9622415359999996,2,0
2021-03-02,4.5978161152000006,3,0
2021-03-03,0.9298921472000004,5,0
2021-03-04,4.324601344,3,0
2021-03-05,-1.1589838847999996,3,0
2021-03-06,-1.3113094144,0,0
2021-03-07,-0.7456491520000001,0,0
2021-03-08,7.50043904,0,0
2021-03-09,4.007174144,3,0
2021-03-10,2.8373767168,3,0
2021-03-11,1.8960316415999996,2,0
2021-03-12,5.1025389568,3,0
2021-03-13,0.5449081855999998,0,0
2021-03-14,-1.8491157504000009,0,0
2021-03-15,14.90393344,10,4
2021-03-16,5.999849984000001,6,0
2021-03-17,-3.9119818752000004,3,0
2021-03-18,-1.002071142400001,2,0
2021-03-19,-1.5172710400000002,9,0
2021-03-20,-1.0259475455999998,0,0
2021-03-21,-0.7606693887999999,0,0
2021-03-22,3.4538764288,9,2
2021-03-23,-0.22500659199999884,9,1
2021-03-24,-0.883815526399999,12,0
2021-03-25,-0.41362022399999987,4,0
2021-03-26,-0.19678771200000003,4,2
2021-03-27,-0.14821335040000003,0,0
2021-03-28,-0.10725120000000006,0,1
2021-03-29,3.91186432,6,1
2021-03-30,2.1255224320000004,2,0
2021-03-31,1.0157348864,1,0
2021-04-01,2.1555306495999997,1,0
2021-04-02,0.9615999999999998,0,0
2021-04-03,-0.9389440000000002,0,0
2021-04-04,-0.5295232000000003,0,0
2021-04-05,-0.3768652800000002,0,0
2021-04-06,0.7070033920000001,0,2
2021-04-07,1.5607476224000003,15,0
2021-04-08,4.3621787648,11,0
2021-04-09,4.6900447232,1,0
2021-04-10,-1.7957834752,0,0
2021-04-11,-0.8376747008000005,0,0
2021-04-12,9.4724992,2,0
2021-04-13,6.6129356800000005,12,0
2021-04-14,-2.9036011520000002,0,0
2021-04-15,4.551548825599999,1,0
2021-04-16,1.8335624192000002,1,0
2021-04-17,-1.986433024,0,0
2021-04-18,-0.1169281024000004,0,0
2021-04-19,-0.9467264000000004,3,0
2021-04-20,6.336166400000001,14,0
2021-04-21,6.073100288000001,1,0
2021-04-22,3.5109003264,5,0
2021-04-23,-2.355569152,0,0
2021-04-24,-1.2519957504000003,0,0
2021-04-25,-0.8023561216000004,0,0
2021-04-26,2.4367226879999997,3,0
2021-04-27,0.9523972096,0,0
2021-04-28,6.001299456,3,0
2021-04-29,7.992052531200001,0,0
2021-04-30,3.0571189248000006,2,0
2021-05-01,-2.5546241024000005,0,0
2021-05-02,-1.307558400000001,0,2
2021-05-03,3.1056102399999994,0,0
2021-05-04,10.523021824,1,2
2021-05-05,1.7378254848,7,0
2021-05-06,-1.5694926848000001,0,0
2021-05-07,3.3568771072,5,0
2021-05-08,0.9636362240000005,6,0
2021-05-09,-1.6789633024000004,0,0
2021-05-10,6.04586752,1,0
2021-05-11,10.899648512,0,0
2021-05-12,2.2839276544000007,1,0
2021-05-13,-0.9932494848000002,2,0
2021-05-14,0.03814553599999937,3,0
2021-05-15,-1.5987400704000003,0,0
2021-05-16,3.961920512,1,0
2021-05-17,5.2621145088,5,0
