,twbs/bootstrap,jgthms/bulma,tailwindlabs/tailwindcss
2018-09-16,3,0,0
2018-09-17,7,1,0
2018-09-18,9,0,0
2018-09-19,7,0,0
2018-09-20,2,0,0
2018-09-21,0,0,1
2018-09-22,0,0,2
2018-09-23,0,1,0
2018-09-24,0,0,5
2018-09-25,2,1,4
2018-09-26,7,0,0
2018-09-27,0,0,0
2018-09-28,0,0,1
2018-09-29,0,0,0
2018-09-30,0,0,0
2018-10-01,0,0,0
2018-10-02,1,15,0
2018-10-03,0,1,0
2018-10-04,0,1,0
2018-10-05,0,1,0
2018-10-06,1,0,0
2018-10-07,3,21,0
2018-10-08,0,0,0
2018-10-09,0,1,0
2018-10-10,0,0,0
2018-10-11,1,0,2
2018-10-12,1,2,0
2018-10-13,1,3,0
2018-10-14,12,0,0
2018-10-15,8,3,0
2018-10-16,0,1,0
2018-10-17,6,0,2
2018-10-18,4,0,0
2018-10-19,5,0,0
