,rust-lang/rust,JetBrains/kotlin,apple/swift
2019-06-23,44,0,15
2019-06-24,64,27,71
2019-06-25,52,49,50
2019-06-26,85,52,91
2019-06-27,29,70,69
2019-06-28,22,13,76
2019-06-29,52,7,30
2019-06-30,61,0,20
2019-07-01,43,28,64
2019-07-02,110,47,48
2019-07-03,91,14,41
2019-07-04,70,23,24
2019-07-05,61,15,19
2019-07-06,111,1,21
2019-07-07,86,0,13
2019-07-08,47,58,38
2019-07-09,77,26,70
2019-07-10,97,92,45
2019-07-11,56,36,41
2019-07-12,50,35,59
2019-07-13,49,2,53
2019-07-14,45,0,7
2019-07-15,81,13,17
2019-07-16,44,22,98
2019-07-17,48,66,54
2019-07-18,60,15,47
2019-07-19,57,25,53
2019-07-20,61,0,10
2019-07-21,38,1,4
2019-07-22,69,17,36
2019-07-23,62,16,53
2019-07-24,75,19,47
2019-07-25,64,59,60
2019-07-26,81,43,36
2019-07-27,69,3,15
2019-07-28,129,0,7
2019-07-29,71,10,27
2019-07-30,82,107,42
2019-07-31,61,21,46
2019-08-01,82,91,31
2019-08-02,103,20,59
2019-08-03,60,7,10
2019-08-04,69,2,2
2019-08-05,95,31,35
2019-08-06,88,57,58
2019-08-07,42,19,70
2019-08-08,84,6,42
2019-08-09,93,13,59
2019-08-10,91,0,29
2019-08-11,74,1,11
2019-08-12,101,22,66
2019-08-13,67,22,90
2019-08-14,81,18,48
2019-08-15,91,18,56
2019-08-16,70,13,39
2019-08-17,73,0,30
2019-08-18,46,0,2
2019-08-19,108,16,74
2019-08-20,72,22,84
2019-08-21,85,18,65
2019-08-22,81,47,66
2019-08-23,42,31,71
2019-08-24,80,1,31
2019-08-25,62,2,24
2019-08-26,68,6,103
2019-08-27,55,86,109
2019-08-28,59,15,100
2019-08-29,71,17,91
2019-08-30,63,91,86
2019-08-31,47,0,30
2019-09-01,34,9,21
2019-09-02,36,64,11
2019-09-03,65,51,61
2019-09-04,62,6,61
2019-09-05,123,40,51
2019-09-06,66,35,77
2019-09-07,79,2,50
2019-09-08,45,1,7
2019-09-09,82,16,24
2019-09-10,64,27,53
2019-09-11,45,25,43
2019-09-12,42,12,49
2019-09-13,47,45,77
2019-09-14,68,0,82
2019-09-15,56,1,7
2019-09-16,95,63,28
2019-09-17,87,39,60
2019-09-18,56,51,70
2019-09-19,72,17,44
2019-09-20,46,25,62
2019-09-21,49,1,56
2019-09-22,56,1,0
2019-09-23,74,30,89
2019-09-24,70,53,94
2019-09-25,119,44,68
2019-09-26,84,17,70
2019-09-27,57,66,42
2019-09-28,128,5,21
2019-09-29,63,27,10
2019-09-30,100,44,29
2019-10-01,82,33,42
2019-10-02,132,46,73
2019-10-03,82,35,58
2019-10-04,78,37,30
2019-10-05,34,6,8
2019-10-06,55,0,4
2019-10-07,84,12,9
2019-10-08,83,69,72
2019-10-09,50,25,44
2019-10-10,59,42,78
2019-10-11,101,49,65
2019-10-12,39,6,35
2019-10-13,78,3,15
2019-10-14,66,41,88
2019-10-15,113,10,68
2019-10-16,66,22,65
