,lvgl/lvgl,Immediate-Mode-UI/Nuklear,ocornut/imgui
2017-03-14,-0.05442089249999983,0,-0.3999999999999999
2017-03-15,-0.04546065103124987,4,0.88
2017-03-16,-0.03898509757187489,1,3.536
2017-03-17,-0.01913662603124995,2,1.2384000000000004
2017-03-18,-0.016797705071874957,4,-1.7739519999999998
2017-03-19,1.0,0,-0.6805632
2017-03-20,1.9,0,-0.4067225600000002
2017-03-21,-0.24500000000000022,2,-0.2827269120000002
2017-03-22,-0.11850000000000009,0,-0.21287751680000006
2017-03-23,-0.07766249999999997,0,-0.157527552
2017-03-24,-0.05744174999999979,0,1.8714673152
2017-03-25,-0.04539551249999985,3,-0.8966597631999997
2017-03-26,-0.03741772124999989,2,1.7216055296000001
2017-03-27,1.968244294484375,0,-0.9279999999999998
2017-03-28,-0.22753547856718762,0,-0.3232000000000001
2017-03-29,-0.10679770507187503,0,0.8120959999999999
2017-03-30,-0.057000000000000044,2,-0.5291264
2017-03-31,-0.04132499999999985,0,-0.21664512000000002
2017-04-01,-0.032233499999999894,0,1.859762176
2017-04-02,-0.02632402499999992,1,-0.9039374335999999
2017-04-03,-0.022187392499999934,0,-0.300263424
2017-04-04,-0.01913662603124995,4,-0.1765595136
2017-04-05,-0.016797705071874957,2,-0.10157056000000009
2017-04-06,0.0,1,-0.07505971200000003
2017-04-07,0.0,0,-0.05872455680000001
2017-04-08,0.0,1,-0.03674111999999999
2017-04-09,0.0,5,-0.030311423999999986
2017-04-10,1.0,2,-0.025596313599999993
2017-04-11,1.9,0,0.0
2017-04-12,-0.24500000000000022,0,0.0
2017-04-13,3.8815,0,1.0
2017-04-14,-0.4776625000000003,0,-0.3999999999999999
2017-04-15,-0.23744174999999992,0,-0.12
2017-04-16,-0.15939551249999995,0,-0.064
2017-04-17,-0.12006772124999959,0,-0.04160000000000005
2017-04-18,1.9037772944843754,0,-0.029952000000000017
2017-04-19,-0.2801835285671874,0,-0.022963200000000007
2017-04-20,-0.1511724900718749,2,-0.018370559999999994
2017-04-21,1.9047267479375,0,-0.015155711999999993
2017-04-22,-0.2749204101437499,0,-0.012798156799999997
2017-04-23,0.8777665,0,0.0
2017-04-24,2.816675975,0,0.0
2017-04-25,-0.40851239250000004,0,1.0
2017-04-26,-0.21487012603124994,0,2.6
2017-04-27,-0.14928423007187486,1,-1.3199999999999998
2017-04-28,0.8997083575000003,0,4.576
2017-04-29,-0.18064888853124983,0,-2.2335999999999996
2017-04-30,-0.11237743882187484,0,1.245248
2017-05-01,2.928650598234375,1,26.7671808
2017-05-02,-0.3577662915828126,0,-10.735260159999997
2017-05-03,1.8236866923921875,0,-4.108027392
2017-05-04,-0.2986620125000002,0,-2.1682812928
2017-05-05,-0.1630811962499998,0,-1.4189512704000014
2017-05-06,-0.11491856301562486,1,-1.0019609600000006
2017-05-07,-0.08920989003593721,0,-0.7736535040000001
2017-05-08,2.9344854112500003,0,-0.5676503039999998
2017-05-09,-0.3550289640468751,4,-0.4683268095999998
2017-05-10,1.8176160498921876,1,-0.37350410239999987
2017-05-11,-0.3046366260312502,0,-0.012798156799999997
2017-05-12,0.8312147949281252,0,0.0
2017-05-13,1.79464975,0,1.0
2017-05-14,0.6741889625,0,0.6000000000000001
2017-05-15,8.71598541125,0,-0.5199999999999999
2017-05-16,-1.0776914640468758,0,1.816
2017-05-17,-0.5383257001078124,2,0.09440000000000015
2017-05-18,-0.34169463853124993,0,-0.711552
2017-05-19,-0.2562946763218741,0,-0.30091520000000005
2017-05-20,-0.1899684680156244,0,-0.1885337600000001
2017-05-21,-0.15708728731718705,0,-0.13503027200000006
2017-05-22,-0.12620928433749964,0,-0.10383226880000003
2017-05-23,-0.09451366967656225,6,-0.0725024768
2017-05-24,-0.0755896728234373,0,-0.048681983999999984
2017-05-25,0.0,1,-0.040752025599999984
2017-05-26,0.0,1,4.9872018432
2017-05-27,0.0,0,-0.9999999999999996
2017-05-28,0.0,0,-0.9999999999999999
