,ramda/ramda,jashkenas/underscore,lodash/lodash
2013-12-29,-0.816619873046875,0,2
2013-12-30,-0.3032379150390625,0,0
2013-12-31,-0.15673828125,0,2
2014-01-01,1.893157958984375,1,3
2014-01-02,-1.0792694091796875,1,1
2014-01-03,-0.302734375,4,5
2014-01-04,-0.16729736328125,0,0
2014-01-05,-0.113037109375,0,5
2014-01-06,-0.0655975341796875,0,0
2014-01-07,-0.041015625,0,2
2014-01-08,-0.0322265625,0,0
2014-01-09,-0.02618408203125,0,5
2014-01-10,0.978179931640625,0,2
2014-01-11,0.5,0,1
2014-01-12,-0.625,0,5
2014-01-13,-0.1875,0,3
2014-01-14,-0.1015625,0,2
2014-01-15,-0.06640625,1,1
2014-01-16,-0.0478515625,2,4
2014-01-17,-0.03662109375,0,6
2014-01-18,-0.029205322265625,0,1
2014-01-19,-0.0240020751953125,0,5
2014-01-20,-0.0109100341796875,2,6
2014-01-21,0.0,7,0
2014-01-22,0.0,2,9
2014-01-23,0.0,1,8
2014-01-24,0.0,2,4
2014-01-25,0.0,0,6
2014-01-26,0.0,2,9
2014-01-27,0.0,7,0
2014-01-28,0.0,0,5
2014-01-29,0.0,1,16
2014-01-30,0.0,1,6
2014-01-31,0.0,7,3
2014-02-01,0.0,9,0
2014-02-02,0.0,13,1
2014-02-03,0.0,16,2
2014-02-04,0.0,0,3
2014-02-05,0.0,0,5
2014-02-06,0.0,0,5
2014-02-07,0.0,3,0
2014-02-08,0.0,3,1
2014-02-09,0.0,0,4
2014-02-10,0.0,17,1
2014-02-11,0.0,4,4
2014-02-12,2.0,3,9
2014-02-13,3.0,4,2
2014-02-14,-2.25,6,5
2014-02-15,2.375,2,7
2014-02-16,-1.828125,3,4
2014-02-17,-0.5859375,5,1
2014-02-18,0.662109375,0,0
2014-02-19,-0.7314453125,2,2
2014-02-20,-0.29766845703125,3,0
2014-02-21,5.801788330078125,1,4
2014-02-22,-3.13104248046875,2,5
2014-02-23,1.183380126953125,0,10
2014-02-24,-0.4282379150390625,0,3
2014-02-25,-1.00048828125,0,3
2014-02-26,-0.427154541015625,0,1
2014-02-27,1.7254180908203125,0,1
2014-02-28,-1.1904296875,0,0
2014-03-01,-0.39691162109375,2,2
2014-03-02,-0.243194580078125,2,1
2014-03-03,-0.12042236328125,6,3
2014-03-04,1.910400390625,2,6
2014-03-05,2.9480743408203125,8,2
2014-03-06,-2.2822265625,1,3
2014-03-07,1.34881591796875,1,0
2014-03-08,-1.349945068359375,0,5
2014-03-09,1.5390625,1,6
2014-03-10,-0.275390625,2,9
2014-03-11,0.0576171875,1,6
2014-03-12,-0.89532470703125,0,5
2014-03-13,1.619171142578125,2,7
2014-03-14,-1.23211669921875,0,6
2014-03-15,-0.38360595703125,0,6
2014-03-16,-0.226898193359375,0,9
2014-03-17,-0.14093017578125,0,9
2014-03-18,1.894287109375,0,0
2014-03-19,-1.0650177001953125,0,2
2014-03-20,-0.2931365966796875,6,2
2014-03-21,-0.15118408203125,1,3
2014-03-22,-0.099945068359375,2,1
2014-03-23,1.9453125,0,6
2014-03-24,-1.041015625,7,1
2014-03-25,-0.2822265625,0,12
2014-03-26,-0.15118408203125,6,8
2014-03-27,-0.099945068359375,2,3
2014-03-28,-0.0546875,3,4
2014-03-29,-0.041015625,0,3
2014-03-30,-0.0322265625,0,5
2014-03-31,-0.02618408203125,0,0
2014-04-01,-0.021820068359375,0,4
2014-04-02,0.0,4,6
2014-04-03,0.0,0,2
2014-04-04,0.0,0,4
2014-04-05,0.0,0,2
2014-04-06,0.0,1,5
2014-04-07,3.0,7,4
2014-04-08,-0.5,0,5
2014-04-09,-0.875,0,1
2014-04-10,-0.3125,5,3
2014-04-11,-0.1796875,3,0
2014-04-12,-0.12109375,0,12
2014-04-13,-0.0888671875,0,8
2014-04-14,-0.06884765625,1,4
2014-04-15,-0.055389404296875,5,13
2014-04-16,-0.0458221435546875,0,12
2014-04-17,-0.0109100341796875,0,5
2014-04-18,0.0,5,5
2014-04-19,0.0,1,7
2014-04-20,0.0,4,6
2014-04-21,0.0,1,0
2014-04-22,0.0,0,1
2014-04-23,0.0,8,0
2014-04-24,0.0,4,3
2014-04-25,0.0,2,3
2014-04-26,0.0,0,2
2014-04-27,0.0,0,5
2014-04-28,0.0,1,13
2014-04-29,0.0,0,8
2014-04-30,0.0,0,10
2014-05-01,0.0,0,9
2014-05-02,0.0,2,6
2014-05-03,2.0,2,12
2014-05-04,-1.0,0,25
2014-05-05,-0.25,0,1
2014-05-06,3.875,3,8
2014-05-07,-0.078125,5,5
2014-05-08,-1.5546875,0,0
2014-05-09,-0.541015625,0,5
2014-05-10,-0.3134765625,0,0
2014-05-11,-0.21368408203125,0,2
2014-05-12,-0.158538818359375,0,5
2014-05-13,-0.10546875,1,8
2014-05-14,-0.0845947265625,0,0
2014-05-15,-0.06982421875,0,0
2014-05-16,0.978179931640625,4,14
2014-05-17,1.5,4,0
2014-05-18,11.875,5,0
2014-05-19,-6.8125,1,8
2014-05-20,0.2109375,10,0
2014-05-21,-1.91796875,0,11
2014-05-22,-0.8330078125,0,0
2014-05-23,-0.53759765625,0,3
2014-05-24,6.609954833984375,0,2
2014-05-25,-3.8012542724609375,2,6
2014-05-26,-1.1080322265625,0,5
2014-05-27,1.3884429931640625,0,0
2014-05-28,-0.29962158203125,0,6
2014-05-29,-0.963226318359375,0,0
2014-05-30,-0.3935546875,0,8
2014-05-31,0.74658203125,0,0
2014-06-01,4.314605712890625,0,6
2014-06-02,-0.7697296142578125,0,7
2014-06-03,-0.740234375,3,0
2014-06-04,-1.14385986328125,2,4
2014-06-05,0.492431640625,2,3
2014-06-06,4.1912384033203125,2,1
2014-06-07,-2.83740234375,1,1
2014-06-08,-0.849517822265625,6,0
2014-06-09,3.5193328857421875,1,5
2014-06-10,-2.3195037841796875,6,3
2014-06-11,3.307861328125,2,8
2014-06-12,-2.3795623779296875,3,9
2014-06-13,0.250091552734375,8,3
2014-06-14,2.0642547607421875,0,3
2014-06-15,8.082168579101562,1,7
2014-06-16,-3.611328125,4,6
2014-06-17,-2.6109619140625,2,5
2014-06-18,5.87237548828125,3,0
2014-06-19,-4.1705322265625,2,9
2014-06-20,-0.34783935546875,9,0
2014-06-21,15.741302490234375,5,11
2014-06-22,2.8492279052734375,0,16
2014-06-23,2.4252166748046875,2,2
2014-06-24,-2.380401611328125,5,0
2014-06-25,-0.951019287109375,3,0
2014-06-26,9.016754150390625,2,11
2014-06-27,-0.1989288330078125,3,0
2014-06-28,6.369232177734375,7,0
2014-06-29,-5.0117950439453125,0,6
2014-06-30,17.861038208007812,1,4
2014-07-01,-3.708526611328125,6,6
2014-07-02,-0.1717071533203125,0,3
2014-07-03,-6.99420166015625,0,6
2014-07-04,6.3183135986328125,0,2
2014-07-05,-6.05963134765625,0,6
2014-07-06,0.9543609619140625,0,2
2014-07-07,-0.61956787109375,7,7
2014-07-08,0.0145416259765625,5,5
2014-07-09,2.200592041015625,3,15
2014-07-10,3.4912567138671875,1,2
2014-07-11,12.353485107421875,1,8
2014-07-12,16.05877685546875,4,1
2014-07-13,-1.9025421142578125,0,4
2014-07-14,-3.7103271484375,7,7
2014-07-15,-4.2787933349609375,4,0
2014-07-16,-2.46612548828125,0,15
2014-07-17,-5.1319580078125,0,3
2014-07-18,-1.588165283203125,2,3
2014-07-19,-0.25701904296875,0,2
2014-07-20,-0.39410400390625,0,6
2014-07-21,3.8396148681640625,5,7
2014-07-22,-2.8581390380859375,2,8
2014-07-23,21.291427612304688,0,2
2014-07-24,-8.260238647460938,0,2
2014-07-25,9.67266845703125,0,9
2014-07-26,-7.726959228515625,0,0
2014-07-27,-3.2431488037109375,0,0
2014-07-28,1.362152099609375,0,11
2014-07-29,-1.533477783203125,0,5
2014-07-30,-1.58197021484375,0,2
2014-07-31,0.2221527099609375,7,0
2014-08-01,2.9803924560546875,1,4
2014-08-02,-3.292755126953125,8,1
2014-08-03,-1.1317291259765625,0,4
2014-08-04,-0.558349609375,6,2
2014-08-05,-0.3660125732421875,2,0
2014-08-06,3.736328125,0,0
2014-08-07,-2.169677734375,0,1
2014-08-08,-0.6176605224609375,0,3
2014-08-09,19.6627197265625,0,2
2014-08-10,6.7891998291015625,0,0
2014-08-11,-7.109375,0,3
2014-08-12,-5.45703125,0,2
2014-08-13,2.591796875,0,0
2014-08-14,-2.0133056640625,0,0
2014-08-15,-0.69989013671875,0,5
2014-08-16,-0.3427734375,0,0
2014-08-17,-2.1881103515625,0,0
2014-08-18,3.904937744140625,0,10
2014-08-19,-0.0981903076171875,1,0
2014-08-20,9.57696533203125,0,3
2014-08-21,6.119110107421875,0,8
2014-08-22,-3.5367889404296875,1,1
2014-08-23,1.790863037109375,0,4
2014-08-24,7.361175537109375,0,6
2014-08-25,-0.687347412109375,0,8
2014-08-26,-0.973175048828125,10,5
2014-08-27,-3.7764434814453125,21,5
2014-08-28,1.5489349365234375,2,1
2014-08-29,-1.318206787109375,3,0
2014-08-30,3.7101898193359375,3,0
2014-08-31,34.05058288574219,1,0
2014-09-01,-7.3110198974609375,2,2
2014-09-02,7.0493316650390625,11,12
2014-09-03,-8.84356689453125,14,1
2014-09-04,-2.323577880859375,0,2
2014-09-05,5.1075439453125,0,4
2014-09-06,-2.2954864501953125,0,4
2014-09-07,-0.1961517333984375,0,1
2014-09-08,-6.7461395263671875,3,3
2014-09-09,3.0005950927734375,3,2
2014-09-10,-2.673370361328125,0,2
2014-09-11,1.1456298828125,3,1
2014-09-12,0.702667236328125,0,6
2014-09-13,0.661712646484375,0,2
2014-09-14,2.672454833984375,0,1
2014-09-15,1.7480010986328125,2,7
2014-09-16,7.5203094482421875,2,3
2014-09-17,0.41656494140625,1,7
2014-09-18,1.543121337890625,0,3
2014-09-19,-5.369110107421875,5,3
2014-09-20,5.08367919921875,3,6
