,gcc-mirror/gcc,golang/go,llvm/llvm-project
2021-10-22,13,6,106
2021-10-23,6,9,23
2021-10-24,5,0,16
2021-10-25,48,24,156
2021-10-26,33,21,114
2021-10-27,26,26,148
2021-10-28,24,29,121
2021-10-29,20,27,156
2021-10-30,11,5,33
2021-10-31,6,6,28
2021-11-01,19,12,68
2021-11-02,20,51,125
2021-11-03,21,20,106
2021-11-04,53,45,91
2021-11-05,39,54,115
2021-11-06,8,8,36
2021-11-07,8,2,28
2021-11-08,27,15,107
2021-11-09,66,35,162
2021-11-10,63,20,146
2021-11-11,47,27,133
2021-11-12,33,22,130
2021-11-13,20,15,44
2021-11-14,9,2,40
2021-11-15,40,18,123
2021-11-16,39,23,144
2021-11-17,32,25,120
2021-11-18,29,19,114
2021-11-19,39,10,90
2021-11-20,8,4,27
2021-11-21,8,0,15
2021-11-22,14,24,102
2021-11-23,28,6,91
2021-11-24,23,20,98
2021-11-25,26,4,80
2021-11-26,20,4,85
2021-11-27,7,5,20
2021-11-28,6,0,25
2021-11-29,19,16,86
2021-11-30,62,7,143
2021-12-01,54,10,132
2021-12-02,60,22,155
2021-12-03,23,13,105
2021-12-04,10,7,55
2021-12-05,3,1,35
2021-12-06,18,15,97
2021-12-07,14,18,134
2021-12-08,20,20,128
2021-12-09,33,8,118
2021-12-10,22,3,130
2021-12-11,8,0,33
2021-12-12,6,7,32
2021-12-13,26,16,120
2021-12-14,37,14,117
2021-12-15,27,13,133
2021-12-16,18,10,143
2021-12-17,26,9,118
2021-12-18,7,0,25
2021-12-19,10,1,21
2021-12-20,13,6,75
2021-12-21,9,10,97
2021-12-22,10,5,79
2021-12-23,6,4,105
2021-12-24,6,0,46
2021-12-25,2,0,19
2021-12-26,3,0,18
2021-12-27,8,0,51
2021-12-28,12,0,48
2021-12-29,9,4,63
2021-12-30,9,0,56
2021-12-31,4,0,25
2022-01-01,5,0,33
2022-01-02,8,2,49
2022-01-03,22,2,96
2022-01-04,21,3,128
2022-01-05,59,5,154
2022-01-06,48,12,122
2022-01-07,52,14,121
2022-01-08,8,1,60
2022-01-09,5,1,26
2022-01-10,38,12,137
2022-01-11,83,9,149
2022-01-12,26,10,170
2022-01-13,29,9,157
2022-01-14,35,10,177
2022-01-15,7,0,60
2022-01-16,10,0,31
2022-01-17,37,1,112
2022-01-18,53,10,154
2022-01-19,45,14,157
2022-01-20,31,5,178
2022-01-21,30,5,125
2022-01-22,7,0,32
2022-01-23,10,0,51
2022-01-24,22,17,159
2022-01-25,19,5,152
2022-01-26,15,12,183
2022-01-27,22,7,187
2022-01-28,22,8,161
2022-01-29,3,2,56
2022-01-30,2,1,70
2022-01-31,20,6,141
2022-02-01,30,11,189
2022-02-02,23,5,173
2022-02-03,34,17,158
2022-02-04,24,15,145
2022-02-05,8,1,56
2022-02-06,3,0,51
2022-02-07,11,10,122
2022-02-08,28,15,186
2022-02-09,42,12,160
2022-02-10,31,9,192
2022-02-11,21,15,180
2022-02-12,5,2,55
2022-02-13,6,2,39
2022-02-14,14,11,164
2022-02-15,20,11,159
2022-02-16,14,5,164
2022-02-17,21,0,180
2022-02-18,9,5,120
2022-02-19,5,3,31
2022-02-20,4,1,34
2022-02-21,7,1,76
2022-02-22,39,3,96
2022-02-23,11,4,168
2022-02-24,15,7,118
2022-02-25,15,6,124
2022-02-26,1,2,46
2022-02-27,3,0,28
2022-02-28,19,12,95
2022-03-01,23,21,146
2022-03-02,16,15,132
2022-03-03,14,18,108
2022-03-04,29,11,122
2022-03-05,5,3,38
2022-03-06,2,1,16
2022-03-07,22,21,156
2022-03-08,24,19,134
2022-03-09,19,9,120
2022-03-10,36,15,112
2022-03-11,11,8,93
2022-03-12,15,1,39
2022-03-13,3,1,28
2022-03-14,12,9,132
2022-03-15,11,15,145
2022-03-16,23,17,170
2022-03-17,13,13,168
2022-03-18,23,32,146
2022-03-19,8,2,41
2022-03-20,2,4,24
2022-03-21,17,24,169
2022-03-22,28,15,124
2022-03-23,17,12,164
2022-03-24,16,12,152
2022-03-25,15,8,109
2022-03-26,13,5,39
2022-03-27,3,9,12
2022-03-28,29,16,110
2022-03-29,39,13,102
2022-03-30,22,17,90
2022-03-31,18,44,125
2022-04-01,21,21,95
2022-04-02,4,4,41
2022-04-03,4,5,36
2022-04-04,13,22,99
2022-04-05,21,21,150
2022-04-06,24,4,141
2022-04-07,20,10,144
2022-04-08,11,5,141
2022-04-09,8,1,44
2022-04-10,2,2,19
2022-04-11,22,24,119
2022-04-12,30,24,127
2022-04-13,22,10,138
2022-04-14,23,8,139
2022-04-15,9,11,119
2022-04-16,2,2,41
2022-04-17,1,2,18
2022-04-18,7,5,48
2022-04-19,11,18,97
2022-04-20,8,11,160
2022-04-21,14,35,146
2022-04-22,9,19,134
2022-04-23,2,2,40
2022-04-24,3,1,21
2022-04-25,18,12,92
2022-04-26,19,14,98
2022-04-27,19,9,126
2022-04-28,42,13,129
2022-04-29,34,19,109
2022-04-30,3,3,36
2022-05-01,3,2,26
2022-05-02,16,15,87
2022-05-03,19,40,120
2022-05-04,29,18,97
2022-05-05,22,40,114
2022-05-06,18,20,141
2022-05-07,2,2,42
2022-05-08,1,12,21
2022-05-09,50,16,100
2022-05-10,60,24,118
2022-05-11,56,19,96
2022-05-12,43,21,99
2022-05-13,83,32,126
2022-05-14,1,5,53
2022-05-15,5,0,27
2022-05-16,49,15,121
2022-05-17,62,26,110
2022-05-18,50,11,140
2022-05-19,49,24,125
2022-05-20,18,17,94
2022-05-21,6,0,36
2022-05-22,1,0,23
2022-05-23,17,8,91
2022-05-24,33,11,124
2022-05-25,19,6,119
2022-05-26,17,12,123
2022-05-27,17,6,90
2022-05-28,11,2,25
2022-05-29,4,0,14
2022-05-30,41,2,76
2022-05-31,11,3,91
2022-06-01,52,3,148
2022-06-02,46,5,130
2022-06-03,18,12,106
2022-06-04,4,8,40
2022-06-05,1,0,30
2022-06-06,3,31,97
2022-06-07,11,23,139
2022-06-08,12,16,153
2022-06-09,16,9,153
2022-06-10,13,5,143
2022-06-11,6,0,49
2022-06-12,5,0,32
2022-06-13,19,13,176
2022-06-14,20,6,138
2022-06-15,27,12,176
2022-06-16,23,11,132
2022-06-17,12,6,115
2022-06-18,6,1,57
2022-06-19,3,0,47
2022-06-20,13,1,110
2022-06-21,10,11,124
2022-06-22,16,13,118
2022-06-23,20,17,130
2022-06-24,35,9,126
2022-06-25,6,3,54
2022-06-26,9,4,37
2022-06-27,34,10,137
2022-06-28,23,12,132
2022-06-29,19,11,155
2022-06-30,18,18,145
2022-07-01,31,5,120
2022-07-02,4,0,20
2022-07-03,9,0,21
2022-07-04,49,2,60
2022-07-05,48,4,113
2022-07-06,34,8,105
2022-07-07,21,6,152
2022-07-08,12,4,132
2022-07-09,10,0,37
2022-07-10,7,0,23
2022-07-11,13,11,112
2022-07-12,42,16,135
2022-07-13,38,6,150
2022-07-14,10,6,142
2022-07-15,18,2,120
2022-07-16,4,0,67
2022-07-17,1,0,39
2022-07-18,16,4,120
2022-07-19,21,17,124
2022-07-20,12,4,119
2022-07-21,15,3,139
2022-07-22,21,3,162
2022-07-23,2,0,50
2022-07-24,6,2,52
2022-07-25,14,9,130
2022-07-26,20,4,163
2022-07-27,14,3,130
2022-07-28,18,11,111
2022-07-29,14,1,110
2022-07-30,4,2,67
2022-07-31,8,0,34
2022-08-01,15,6,117
2022-08-02,18,21,121
2022-08-03,13,4,114
2022-08-04,15,16,103
2022-08-05,11,6,72
2022-08-06,1,2,37
2022-08-07,4,0,50
2022-08-08,11,45,117
2022-08-09,12,32,116
2022-08-10,6,15,119
2022-08-11,12,26,135
2022-08-12,10,31,107
2022-08-13,3,0,65
2022-08-14,1,5,49
2022-08-15,19,18,95
2022-08-16,24,14,94
2022-08-17,19,37,107
2022-08-18,19,41,127
2022-08-19,5,41,138
2022-08-20,4,2,40
2022-08-21,1,0,39
2022-08-22,15,18,107
2022-08-23,17,35,126
2022-08-24,31,17,161
2022-08-25,13,14,122
2022-08-26,26,29,148
2022-08-27,5,4,37
2022-08-28,2,1,39
2022-08-29,17,21,104
2022-08-30,38,12,114
2022-08-31,30,32,118
2022-09-01,34,23,116
2022-09-02,28,51,122
2022-09-03,5,7,66
2022-09-04,6,1,39
2022-09-05,54,14,80
2022-09-06,50,39,122
2022-09-07,28,46,107
2022-09-08,24,27,133
2022-09-09,22,19,115
