,denoland/deno,nodejs/node,oven-sh/bun
2021-10-27,5,4,22
2021-10-28,5,8,5
2021-10-29,5,0,11
2021-10-30,6,4,23
2021-10-31,3,6,27
2021-11-01,5,9,14
2021-11-02,2,7,2
2021-11-03,2,1,26
2021-11-04,3,3,2
2021-11-05,2,0,21
2021-11-06,0,4,2
2021-11-07,3,2,21
2021-11-08,11,10,10
2021-11-09,12,7,7
2021-11-10,5,5,2
2021-11-11,5,2,3
2021-11-12,1,8,0
2021-11-13,0,4,0
2021-11-14,1,1,0
2021-11-15,4,5,8
2021-11-16,5,3,5
2021-11-17,5,3,5
2021-11-18,2,9,0
2021-11-19,2,4,0
2021-11-20,1,2,3
2021-11-21,0,25,1
2021-11-22,6,8,22
2021-11-23,12,4,14
2021-11-24,7,4,5
2021-11-25,6,7,0
2021-11-26,2,6,3
2021-11-27,2,8,0
2021-11-28,5,1,0
2021-11-29,7,13,0
2021-11-30,1,5,0
2021-12-01,4,5,0
2021-12-02,0,21,0
2021-12-03,4,5,0
2021-12-04,2,3,1
2021-12-05,1,7,0
2021-12-06,2,6,0
2021-12-07,6,7,0
2021-12-08,2,2,0
2021-12-09,9,3,0
2021-12-10,11,11,0
2021-12-11,4,6,1
2021-12-12,1,5,0
2021-12-13,7,4,0
2021-12-14,5,6,0
2021-12-15,8,3,0
2021-12-16,7,10,23
2021-12-17,6,5,104
2021-12-18,2,3,4
2021-12-19,0,11,22
2021-12-20,6,1,7
2021-12-21,5,11,26
2021-12-22,3,8,24
2021-12-23,3,7,15
2021-12-24,1,9,18
2021-12-25,0,3,3
2021-12-26,0,3,8
2021-12-27,1,8,5
2021-12-28,1,3,32
2021-12-29,6,3,6
2021-12-30,4,8,0
2021-12-31,1,5,28
2022-01-01,0,6,8
2022-01-02,4,4,28
2022-01-03,3,1,11
2022-01-04,8,3,13
2022-01-05,4,13,21
2022-01-06,5,5,4
2022-01-07,3,4,0
2022-01-08,1,2,0
2022-01-09,2,3,0
2022-01-10,5,16,0
2022-01-11,8,4,0
2022-01-12,3,2,0
2022-01-13,5,5,0
2022-01-14,8,21,0
2022-01-15,1,4,0
2022-01-16,1,3,0
2022-01-17,7,12,0
2022-01-18,4,16,0
2022-01-19,11,10,11
2022-01-20,10,27,2
2022-01-21,1,16,9
2022-01-22,1,6,11
2022-01-23,1,19,25
2022-01-24,9,9,16
2022-01-25,3,8,5
2022-01-26,2,1,6
2022-01-27,4,6,5
2022-01-28,0,7,9
2022-01-29,1,9,3
2022-01-30,1,5,15
2022-01-31,8,8,1
2022-02-01,2,7,6
2022-02-02,7,22,8
2022-02-03,1,13,6
2022-02-04,6,4,20
2022-02-05,3,20,4
2022-02-06,3,11,13
2022-02-07,2,5,2
2022-02-08,1,7,14
2022-02-09,2,2,1
2022-02-10,0,7,7
2022-02-11,2,19,15
2022-02-12,1,5,31
2022-02-13,2,4,8
2022-02-14,0,10,11
2022-02-15,7,13,8
2022-02-16,15,8,20
2022-02-17,3,11,6
2022-02-18,1,11,16
2022-02-19,2,6,6
2022-02-20,0,5,0
2022-02-21,1,5,10
2022-02-22,2,8,8
2022-02-23,3,11,0
2022-02-24,5,3,12
2022-02-25,6,7,26
2022-02-26,1,7,0
2022-02-27,3,14,22
2022-02-28,0,2,3
2022-03-01,3,4,3
2022-03-02,5,5,16
2022-03-03,3,4,16
2022-03-04,6,2,10
2022-03-05,2,2,5
2022-03-06,1,7,2
2022-03-07,7,12,8
2022-03-08,9,10,4
2022-03-09,3,8,13
2022-03-10,2,8,8
2022-03-11,12,4,3
2022-03-12,2,0,7
2022-03-13,2,3,4
2022-03-14,6,16,6
2022-03-15,8,3,28
2022-03-16,12,4,19
2022-03-17,6,9,7
2022-03-18,3,9,19
2022-03-19,5,4,20
2022-03-20,5,4,7
2022-03-21,4,10,2
2022-03-22,12,3,4
2022-03-23,6,9,3
2022-03-24,6,1,5
2022-03-25,6,0,10
2022-03-26,0,3,11
2022-03-27,1,7,9
2022-03-28,6,7,11
2022-03-29,8,4,2
2022-03-30,3,4,1
2022-03-31,3,11,19
2022-04-01,5,6,2
2022-04-02,4,9,24
2022-04-03,2,20,5
2022-04-04,6,10,44
2022-04-05,0,5,16
2022-04-06,2,2,10
2022-04-07,2,7,13
2022-04-08,4,9,35
2022-04-09,0,6,3
2022-04-10,1,9,15
2022-04-11,3,4,11
2022-04-12,1,30,7
2022-04-13,6,8,5
2022-04-14,1,12,9
2022-04-15,3,1,2
2022-04-16,5,2,3
2022-04-17,2,10,1
2022-04-18,7,2,1
2022-04-19,4,8,9
2022-04-20,10,3,0
2022-04-21,8,21,2
2022-04-22,5,2,0
2022-04-23,3,4,5
2022-04-24,4,8,0
2022-04-25,6,4,2
2022-04-26,8,4,2
2022-04-27,3,5,0
2022-04-28,2,18,1
2022-04-29,3,3,10
2022-04-30,0,0,4
2022-05-01,2,4,10
2022-05-02,4,15,7
2022-05-03,3,4,13
2022-05-04,5,5,14
2022-05-05,5,10,0
2022-05-06,2,9,19
2022-05-07,1,0,2
2022-05-08,1,9,9
2022-05-09,4,4,7
2022-05-10,9,8,8
2022-05-11,5,1,22
2022-05-12,7,7,7
2022-05-13,8,3,0
2022-05-14,4,3,0
2022-05-15,8,9,0
2022-05-16,3,2,15
2022-05-17,10,8,20
2022-05-18,8,3,0
2022-05-19,3,5,2
2022-05-20,2,4,10
2022-05-21,1,2,0
2022-05-22,1,11,0
2022-05-23,4,5,0
2022-05-24,1,6,0
2022-05-25,2,6,0
2022-05-26,3,2,0
2022-05-27,2,3,0
2022-05-28,0,1,0
2022-05-29,0,4,0
2022-05-30,6,4,4
2022-05-31,1,3,0
2022-06-01,3,6,0
2022-06-02,5,8,0
2022-06-03,2,5,0
2022-06-04,0,4,0
2022-06-05,2,7,0
2022-06-06,3,3,0
2022-06-07,2,3,0
2022-06-08,9,1,7
2022-06-09,3,4,4
2022-06-10,0,1,8
2022-06-11,2,26,7
2022-06-12,0,8,2
2022-06-13,9,6,1
2022-06-14,4,8,0
2022-06-15,9,10,2
2022-06-16,5,12,4
2022-06-17,3,12,1
2022-06-18,2,8,0
2022-06-19,4,9,0
2022-06-20,9,5,1
2022-06-21,4,3,0
2022-06-22,3,10,44
2022-06-23,4,2,22
2022-06-24,2,0,1
2022-06-25,3,7,4
2022-06-26,1,1,1
2022-06-27,4,6,13
2022-06-28,6,5,0
2022-06-29,7,8,10
2022-06-30,8,8,2
2022-07-01,5,5,17
2022-07-02,2,5,21
2022-07-03,1,7,2
2022-07-04,12,6,34
2022-07-05,6,3,33
2022-07-06,2,1,19
2022-07-07,2,14,38
2022-07-08,2,10,14
2022-07-09,4,14,20
2022-07-10,0,6,20
2022-07-11,11,14,37
2022-07-12,8,10,20
2022-07-13,10,11,19
2022-07-14,9,14,5
2022-07-15,3,13,11
2022-07-16,0,3,5
2022-07-17,0,7,13
2022-07-18,12,11,7
2022-07-19,5,3,2
2022-07-20,11,6,6
2022-07-21,4,7,4
2022-07-22,5,3,23
2022-07-23,2,7,8
2022-07-24,4,25,12
2022-07-25,0,13,45
2022-07-26,1,14,21
2022-07-27,4,5,9
2022-07-28,3,8,32
2022-07-29,3,5,5
2022-07-30,4,5,6
2022-07-31,1,11,11
2022-08-01,4,4,3
2022-08-02,2,9,3
2022-08-03,3,10,3
2022-08-04,6,14,21
2022-08-05,5,7,20
2022-08-06,1,6,9
2022-08-07,0,10,5
2022-08-08,2,8,13
2022-08-09,3,4,19
2022-08-10,10,6,7
2022-08-11,7,5,14
2022-08-12,2,10,9
2022-08-13,0,2,5
2022-08-14,1,8,7
2022-08-15,3,4,3
2022-08-16,1,8,0
2022-08-17,3,7,7
2022-08-18,1,4,14
2022-08-19,6,5,15
2022-08-20,2,6,7
2022-08-21,7,6,15
2022-08-22,4,6,20
2022-08-23,9,8,2
2022-08-24,11,10,2
2022-08-25,2,7,0
2022-08-26,6,3,8
2022-08-27,5,8,9
2022-08-28,1,9,5
2022-08-29,7,6,10
2022-08-30,8,7,0
2022-08-31,1,10,1
2022-09-01,13,11,7
2022-09-02,11,6,5
2022-09-03,4,2,4
2022-09-04,1,6,10
2022-09-05,6,5,4
2022-09-06,6,4,18
2022-09-07,10,4,10
2022-09-08,4,6,11
2022-09-09,3,3,4
2022-09-10,4,5,8
2022-09-11,2,9,5
2022-09-12,4,7,2
2022-09-13,4,11,0
2022-09-14,3,11,2
2022-09-15,5,10,8
2022-09-16,2,3,5
2022-09-17,5,7,11
2022-09-18,1,8,14
2022-09-19,7,3,3
2022-09-20,2,4,9
2022-09-21,1,5,6
2022-09-22,14,3,9
2022-09-23,4,11,6
2022-09-24,1,2,0
2022-09-25,0,7,9
2022-09-26,7,7,1
2022-09-27,10,13,7
2022-09-28,14,6,9
2022-09-29,6,14,15
2022-09-30,3,2,21
2022-10-01,4,0,15
2022-10-02,2,10,4
2022-10-03,9,9,6
2022-10-04,8,10,0
2022-10-05,5,5,2
2022-10-06,2,6,26
2022-10-07,8,8,2
2022-10-08,4,2,2
2022-10-09,2,5,22
2022-10-10,5,15,8
2022-10-11,0,31,18
2022-10-12,3,7,12
2022-10-13,3,9,33
2022-10-14,5,15,0
2022-10-15,11,5,17
2022-10-16,9,2,17
2022-10-17,10,7,28
2022-10-18,8,7,14
2022-10-19,5,13,15
2022-10-20,9,7,3
2022-10-21,9,7,6
2022-10-22,3,5,16
2022-10-23,2,2,0
2022-10-24,9,6,13
2022-10-25,14,9,3
2022-10-26,15,11,18
2022-10-27,7,17,10
2022-10-28,11,9,6
2022-10-29,1,4,6
2022-10-30,4,7,1
2022-10-31,6,9,0
2022-11-01,1,11,7
2022-11-02,8,1,13
2022-11-03,4,3,15
2022-11-04,1,8,7
2022-11-05,2,8,0
2022-11-06,2,8,11
2022-11-07,0,15,19
2022-11-08,6,6,27
2022-11-09,6,7,18
2022-11-10,8,7,18
2022-11-11,6,1,22
2022-11-12,3,10,1
2022-11-13,7,7,8
2022-11-14,0,5,6
2022-11-15,7,7,10
2022-11-16,7,4,16
2022-11-17,1,10,0
2022-11-18,7,10,1
2022-11-19,2,19,10
2022-11-20,1,7,30
2022-11-21,5,17,4
2022-11-22,7,8,16
2022-11-23,3,3,6
2022-11-24,6,6,28
2022-11-25,10,3,22
2022-11-26,9,10,15
2022-11-27,6,22,29
2022-11-28,6,4,13
2022-11-29,2,6,13
2022-11-30,8,8,5
2022-12-01,7,6,6
2022-12-02,9,6,33
2022-12-03,3,3,23
2022-12-04,1,5,25
2022-12-05,6,0,22
2022-12-06,7,1,7
2022-12-07,8,2,18
2022-12-08,4,6,9
2022-12-09,6,8,3
2022-12-10,1,6,8
2022-12-11,0,11,12
2022-12-12,2,10,10
2022-12-13,14,7,11
2022-12-14,5,5,10
2022-12-15,4,2,2
2022-12-16,8,18,17
2022-12-17,6,6,16
2022-12-18,2,4,5
2022-12-19,11,6,1
2022-12-20,11,8,2
2022-12-21,2,10,15
2022-12-22,3,5,5
2022-12-23,2,4,14
2022-12-24,0,9,0
2022-12-25,0,4,0
2022-12-26,3,0,3
2022-12-27,0,8,0
2022-12-28,3,9,12
2022-12-29,2,0,14
2022-12-30,1,0,8
2022-12-31,1,3,4
2023-01-01,0,16,12
2023-01-02,1,2,11
2023-01-03,8,6,9
2023-01-04,4,4,9
2023-01-05,3,0,16
2023-01-06,8,11,3
2023-01-07,2,10,4
2023-01-08,3,5,20
2023-01-09,3,3,20
2023-01-10,4,9,11
2023-01-11,8,6,15
2023-01-12,13,2,22
2023-01-13,19,7,18
2023-01-14,10,8,1
2023-01-15,14,6,5
2023-01-16,8,3,11
2023-01-17,1,9,26
2023-01-18,5,12,23
2023-01-19,5,14,10
2023-01-20,2,4,24
2023-01-21,1,8,10
2023-01-22,1,13,19
2023-01-23,5,1,22
2023-01-24,11,5,35
2023-01-25,9,7,14
2023-01-26,5,1,10
2023-01-27,3,4,19
2023-01-28,5,6,32
2023-01-29,3,8,10
2023-01-30,2,7,17
2023-01-31,1,7,12
2023-02-01,6,9,24
2023-02-02,4,10,9
2023-02-03,3,18,16
2023-02-04,2,4,8
2023-02-05,2,6,4
2023-02-06,4,15,6
2023-02-07,5,5,23
2023-02-08,4,6,3
2023-02-09,4,1,9
2023-02-10,11,3,13
2023-02-11,7,1,1
2023-02-12,5,6,10
2023-02-13,4,1,8
2023-02-14,6,4,2
2023-02-15,6,0,18
2023-02-16,7,13,11
2023-02-17,5,13,5
2023-02-18,0,23,12
2023-02-19,0,4,0
2023-02-20,7,21,4
2023-02-21,4,23,4
2023-02-22,15,12,9
2023-02-23,17,10,18
2023-02-24,6,13,20
2023-02-25,6,19,26
2023-02-26,5,14,12
2023-02-27,5,4,3
2023-02-28,4,11,16
2023-03-01,0,22,16
2023-03-02,2,8,17
2023-03-03,4,5,11
2023-03-04,3,1,9
2023-03-05,17,4,31
2023-03-06,4,7,6
2023-03-07,8,14,6
2023-03-08,11,9,16
2023-03-09,11,3,1
2023-03-10,7,6,0
2023-03-11,2,5,4
2023-03-12,0,2,1
2023-03-13,17,10,2
2023-03-14,12,6,16
2023-03-15,11,11,17
2023-03-16,21,3,12
2023-03-17,8,4,1
2023-03-18,16,5,12
2023-03-19,6,7,4
2023-03-20,4,7,14
2023-03-21,15,3,6
2023-03-22,24,10,6
2023-03-23,13,8,4
2023-03-24,6,8,0
2023-03-25,7,7,0
2023-03-26,9,4,1
2023-03-27,8,3,1
2023-03-28,13,6,6
2023-03-29,4,12,4
2023-03-30,13,6,7
2023-03-31,7,26,4
2023-04-01,9,6,1
2023-04-02,5,2,2
2023-04-03,4,15,1
2023-04-04,5,14,7
2023-04-05,5,9,3
2023-04-06,10,7,17
2023-04-07,4,10,9
2023-04-08,2,3,5
2023-04-09,1,8,9
2023-04-10,0,12,3
2023-04-11,3,12,2
2023-04-12,13,2,2
2023-04-13,12,17,15
2023-04-14,9,8,14
2023-04-15,1,6,14
2023-04-16,4,4,9
2023-04-17,5,5,27
2023-04-18,12,7,11
2023-04-19,11,9,2
2023-04-20,2,10,9
2023-04-21,5,5,12
2023-04-22,5,2,3
2023-04-23,5,11,1
2023-04-24,9,7,3
2023-04-25,7,6,8
2023-04-26,20,9,7
2023-04-27,16,6,20
2023-04-28,7,9,18
2023-04-29,2,4,8
2023-04-30,7,5,12
2023-05-01,12,7,19
2023-05-02,9,7,5
2023-05-03,6,12,13
2023-05-04,6,9,8
2023-05-05,1,9,10
2023-05-06,1,4,13
2023-05-07,4,12,10
2023-05-08,8,6,9
2023-05-09,4,7,20
2023-05-10,9,9,19
2023-05-11,11,6,25
2023-05-12,4,5,33
2023-05-13,4,7,0
2023-05-14,3,8,5
2023-05-15,5,9,21
2023-05-16,6,7,11
2023-05-17,9,8,12
2023-05-18,14,8,15
2023-05-19,7,8,11
2023-05-20,0,1,9
2023-05-21,5,8,37
2023-05-22,7,3,20
2023-05-23,8,14,16
2023-05-24,11,18,10
2023-05-25,3,13,9
2023-05-26,11,5,10
2023-05-27,2,5,4
2023-05-28,6,3,4
2023-05-29,2,10,5
2023-05-30,5,6,12
2023-05-31,8,4,10
2023-06-01,3,9,20
2023-06-02,9,6,13
2023-06-03,2,2,13
2023-06-04,0,3,1
2023-06-05,9,7,6
2023-06-06,11,6,3
2023-06-07,8,9,6
2023-06-08,12,3,0
2023-06-09,11,6,8
2023-06-10,2,1,12
2023-06-11,0,6,3
2023-06-12,5,8,1
2023-06-13,16,5,6
2023-06-14,12,6,8
2023-06-15,8,7,3
2023-06-16,3,2,1
