,microsoft/vscode,pulsar-edit/pulsar,neovim/neovim
2020-11-22,-0.9731552085140533,0,22
2020-11-23,38.01369384639064,0,19
2020-11-24,67.1442515264672,1,9
2020-11-25,65.86231340389062,0,24
2020-11-26,46.80229954975625,42,7
2020-11-27,36.303471456709374,0,4
2020-11-28,-7.509543017554686,0,8
2020-11-29,-8.71819932796874,0,7
2020-11-30,37.13319256374689,0,7
2020-12-01,36.11325635706095,0,16
2020-12-02,57.829882670481254,0,2
2020-12-03,23.099518174034372,0,7
2020-12-04,20.26751715894219,0,12
2020-12-05,-4.356107748524996,0,17
2020-12-06,-3.103021644926555,0,10
2020-12-07,17.63199838353438,1,11
2020-12-08,32.49608885907813,1,1
2020-12-09,36.50163971025157,1,9
2020-12-10,40.284439648320316,3,5
2020-12-11,86.20877886274374,1,9
2020-12-12,-12.89267441352813,0,19
2020-12-13,-4.069137857442184,0,3
2020-12-14,88.23748350577344,0,6
2020-12-15,72.35329079854844,0,6
2020-12-16,68.78603510211562,0,7
2020-12-17,65.28881001469688,0,2
2020-12-18,83.48754228565312,0,1
2020-12-19,-16.054386766260937,0,11
2020-12-20,-12.704883429481239,0,13
2020-12-21,25.55327727036564,0,5
2020-12-22,36.00638897638752,0,14
2020-12-23,21.475000723528137,0,8
2020-12-24,20.781506261831254,0,9
2020-12-25,-2.3039645258515584,0,5
2020-12-26,-5.262485669326555,0,6
2020-12-27,-4.073765948743743,0,8
2020-12-28,15.55847723982032,0,4
2020-12-29,20.257264167468755,0,6
2020-12-30,10.156702501309377,0,18
2020-12-31,8.75274303258125,0,8
2021-01-01,-3.695522723420311,0,30
2021-01-02,-0.13693781597343468,0,8
2021-01-03,-0.5725160057671848,0,10
2021-01-04,38.775662564964065,1,5
2021-01-05,74.05257371821875,0,10
2021-01-06,56.511844535728116,1,4
2021-01-07,52.062788792653116,1,1
2021-01-08,42.21418836775781,0,0
2021-01-09,-7.711041987967189,0,2
2021-01-10,-7.013321572281242,0,2
2021-01-11,62.19536489441251,0,7
2021-01-12,52.69520228558907,2,3
2021-01-13,65.84426897157813,0,4
2021-01-14,42.44226018011406,0,2
2021-01-15,64.54877474084219,1,2
2021-01-16,-8.312253271909377,0,3
2021-01-17,-10.08769850080468,0,10
2021-01-18,54.2685490293047,2,10
2021-01-19,51.696051314901574,3,1
2021-01-20,41.69318401580625,2,11
2021-01-21,80.82090933946563,3,1
2021-01-22,55.868917891004685,1,10
2021-01-23,-12.714138995318748,0,4
2021-01-24,-5.0587313669640555,0,2
2021-01-25,55.837690670962516,3,2
2021-01-26,29.331182354796887,2,3
2021-01-27,52.70081105657344,2,7
2021-01-28,59.73270121437656,2,2
2021-01-29,-1.95466743919531,4,5
2021-01-30,-5.869681586018745,0,12
2021-01-31,-6.5847515059359285,0,14
2021-02-01,67.58968314852814,2,1
2021-02-02,78.29885642108594,1,4
2021-02-03,66.9755802340953,0,4
2021-02-04,84.74086202427657,3,11
2021-02-05,59.75292048630937,0,1
2021-02-06,-12.563247589326565,0,11
2021-02-07,-9.25733898502968,0,10
2021-02-08,42.86625334735626,1,4
2021-02-09,83.62332822162502,6,2
2021-02-10,60.05545815402188,0,11
2021-02-11,87.74111264827032,0,5
2021-02-12,71.630999398725,0,1
2021-02-13,-9.601458786864061,0,10
2021-02-14,-7.7689730084328055,0,4
2021-02-15,44.08674831250314,2,0
2021-02-16,51.99613347488126,0,12
2021-02-17,60.78891436043282,0,7
2021-02-18,97.91850890063282,0,5
2021-02-19,78.40851704559219,1,0
2021-02-20,-8.294092784960938,0,2
2021-02-21,-13.216160520228119,0,1
2021-02-22,99.45865510577657,0,8
2021-02-23,38.7003406499922,1,1
2021-02-24,64.28582138884532,0,8
2021-02-25,36.36961160152813,0,6
2021-02-26,21.182366284773444,0,2
2021-02-27,-4.35665922889374,0,4
2021-02-28,-8.036909820260924,0,0
2021-03-01,48.99100802203283,2,0
2021-03-02,59.856097204312505,1,7
2021-03-03,30.673071772243752,1,6
2021-03-04,70.3949319067375,0,9
2021-03-05,93.95492377053125,2,5
2021-03-06,7.902632852731248,1,7
2021-03-07,-10.11119924472031,1,5
2021-03-08,48.35838584541095,1,2
2021-03-09,78.9313706441047,1,6
2021-03-10,38.23576028942969,1,16
2021-03-11,25.930092344796876,0,7
2021-03-12,43.8866488423875,0,3
2021-03-13,-9.98211011289999,1,7
2021-03-14,-8.693896929089052,0,10
2021-03-15,40.376358468732825,0,5
2021-03-16,66.14342330425157,0,6
2021-03-17,30.929448364779688,1,0
2021-03-18,36.35390394462031,0,8
2021-03-19,95.59279854063281,2,3
2021-03-20,-0.3391795808640623,0,10
2021-03-21,-8.123366671610933,2,8
2021-03-22,60.653506624856256,0,10
2021-03-23,40.744710332531255,1,13
2021-03-24,85.25487532217501,0,3
2021-03-25,40.549275279617184,2,2
2021-03-26,28.586491502418752,1,3
2021-03-27,-5.649084788146871,0,15
2021-03-28,-4.301749231360926,0,17
2021-03-29,116.4846900603422,1,11
2021-03-30,51.84939353107969,8,11
2021-03-31,59.619241480228126,1,13
2021-04-01,63.95185670756406,0,16
2021-04-02,20.919960311571877,0,21
2021-04-03,-11.18177160227187,2,14
2021-04-04,-7.166397784456237,0,13
2021-04-05,52.26722861338439,1,8
2021-04-06,81.82853099514844,11,8
2021-04-07,51.69494286250156,4,7
2021-04-08,68.52520425208282,5,13
2021-04-09,79.75269266175312,3,8
2021-04-10,-5.403577126770312,0,5
2021-04-11,-9.217914067948431,0,11
2021-04-12,70.55098257511095,0,6
2021-04-13,60.69987172575626,0,5
2021-04-14,80.76153444492657,0,11
2021-04-15,89.74555373159531,1,12
2021-04-16,100.28159527299375,1,4
2021-04-17,-14.520838510534375,0,5
2021-04-18,-8.831243904454677,0,3
2021-04-19,60.64762093420002,0,0
2021-04-20,93.17761353290783,0,12
2021-04-21,101.76925077473908,0,11
2021-04-22,89.25833878103906,0,4
2021-04-23,65.22557611781093,0,7
2021-04-24,-5.210557401823433,0,2
2021-04-25,-14.453342204540611,0,0
2021-04-26,78.8733458127969,1,2
2021-04-27,52.327554190675016,0,40
2021-04-28,62.773632809260945,2,7
2021-04-29,31.5351569369625,2,14
2021-04-30,17.237192482350007,1,11
2021-05-01,-6.713170302967178,0,12
2021-05-02,-1.3856949212656104,0,29
2021-05-03,59.71076951258751,0,5
2021-05-04,96.74789524782344,0,5
2021-05-05,54.42136445122344,2,9
2021-05-06,82.48364490877032,2,29
2021-05-07,81.71006984509376,3,6
2021-05-08,-10.7966487213125,1,4
2021-05-09,-10.87572971052968,0,10
2021-05-10,46.99445389117501,7,7
2021-05-11,52.5064445282172,4,3
2021-05-12,82.39909580944064,7,5
2021-05-13,44.55287369774375,3,0
2021-05-14,39.48910268261562,1,16
2021-05-15,-13.380247503135934,11,3
2021-05-16,-9.270578578785926,1,4
2021-05-17,37.86903479610939,6,1
2021-05-18,54.82011604730314,9,8
2021-05-19,114.67856558822189,6,15
2021-05-20,51.22373915889843,4,14
2021-05-21,86.38678656902968,14,7
2021-05-22,-13.333177631139066,0,13
2021-05-23,-11.12771041804374,0,5
2021-05-24,33.75984610992814,6,7
2021-05-25,77.45973282981251,1,1
2021-05-26,84.13539664416876,0,8
2021-05-27,54.800316200965625,2,1
2021-05-28,57.716175256326565,2,1
2021-05-29,-3.9574444699265605,0,5
2021-05-30,-5.917881076096865,0,1
2021-05-31,46.77074737673283,2,5
2021-06-01,45.36529598080783,0,17
2021-06-02,85.86173009811563,4,4
2021-06-03,52.100713702774996,4,6
2021-06-04,62.11203249325,6,2
2021-06-05,-11.518674449346875,0,21
2021-06-06,-5.6769842899499885,0,8
2021-06-07,74.40118493015314,5,2
2021-06-08,65.13145974517501,0,0
2021-06-09,78.84335421488282,0,5
2021-06-10,49.165631691904686,0,22
2021-06-11,62.44194885909844,2,14
2021-06-12,-15.197599645749996,1,17
2021-06-13,-9.929833484682801,1,6
2021-06-14,26.501141989706266,0,11
2021-06-15,98.76717187878907,0,9
2021-06-16,67.89665187006875,0,7
2021-06-17,30.22215581817656,2,3
2021-06-18,90.20284023652344,0,2
2021-06-19,-10.245049614943749,1,10
2021-06-20,-10.649136763171866,0,2
2021-06-21,61.307328356876575,2,2
2021-06-22,32.20472174743283,0,5
2021-06-23,66.59459917684063,0,2
2021-06-24,58.307895337290624,6,7
2021-06-25,55.86419304094531,1,12
2021-06-26,-10.344191317115623,0,10
2021-06-27,-2.1938581421640535,1,1
2021-06-28,74.63283816041096,0,4
2021-06-29,28.381032730635944,0,15
2021-06-30,60.7371331605672,0,9
2021-07-01,63.30855598514844,1,10
