,facebook/react-native,flutter/flutter,NativeScript/NativeScript
2016-02-03,24,19.615619891199998,12
2016-02-04,11,17.3690386432,14
2016-02-05,11,6.443920896,11
2016-02-06,18,7.916925644799999,0
2016-02-07,5,-7.665319833600002,1
2016-02-08,20,6.684686950399998,5
2016-02-09,20,32.7266842624,13
2016-02-10,21,15.208357171200001,15
2016-02-11,8,17.470409011199997,17
2016-02-12,25,45.8304280576,9
2016-02-13,3,1.7290699776000018,1
2016-02-14,3,8.797602201599997,1
2016-02-15,10,3.7772660735999963,15
2016-02-16,19,10.445163007999998,5
2016-02-17,16,23.0020509696,7
2016-02-18,15,-4.597089587199999,17
2016-02-19,19,15.6797147136,9
2016-02-20,4,-0.9988938751999967,0
2016-02-21,1,4.630467379200001,0
2016-02-22,15,12.414975590400001,4
2016-02-23,10,14.306955161600001,7
2016-02-24,23,12.391929344000001,24
2016-02-25,12,33.145089536,15
2016-02-26,30,24.8024772608,1
2016-02-27,3,8.9650700288,3
2016-02-28,2,-6.943413657600001,0
2016-02-29,14,1.3326260223999968,9
2016-03-01,15,16.1222966272,8
2016-03-02,19,14.9299139584,6
2016-03-03,23,36.1089876992,2
2016-03-04,16,13.366701977600002,1
2016-03-05,8,-4.9965283328000005,0
2016-03-06,10,7.485026508799999,0
2016-03-07,13,9.676599500799998,9
2016-03-08,23,18.549102079999997,7
2016-03-09,17,10.6190843904,15
2016-03-10,24,21.0513763328,4
2016-03-11,14,32.2121462784,7
2016-03-12,4,14.906431385600001,1
2016-03-13,5,-4.505861427200003,0
2016-03-14,12,24.923927244799998,1
2016-03-15,28,6.425469337599999,5
2016-03-16,12,-2.6852544512000005,9
2016-03-17,15,14.117110067199999,7
2016-03-18,15,32.6102608896,7
2016-03-19,5,-7.761893990399997,1
2016-03-20,10,-8.1971864576,0
2016-03-21,26,30.093286399999997,12
2016-03-22,13,2.6525635584000025,8
2016-03-23,15,16.0437161984,8
2016-03-24,20,27.7443672064,14
2016-03-25,9,10.6302204928,13
2016-03-26,6,-1.0227299328000008,0
2016-03-27,2,2.9205850111999982,0
2016-03-28,1,11.107110297599998,9
2016-03-29,10,22.10845952,7
2016-03-30,15,14.3230976,7
2016-03-31,6,12.507482316799999,3
2016-04-01,28,17.6490916864,2
2016-04-02,0,-6.2939153408,0
2016-04-03,3,-4.934664499200003,0
2016-04-04,9,3.244296703999998,2
2016-04-05,11,6.0572087296,0
2016-04-06,18,7.631881932800002,3
2016-04-07,14,15.246025728000001,1
2016-04-08,10,11.693384704000001,11
2016-04-09,8,-4.493030195199999,0
2016-04-10,2,-4.4640602112000005,0
2016-04-11,17,7.359179263999999,7
2016-04-12,15,11.0895352832,4
2016-04-13,14,7.706944204800001,18
2016-04-14,15,4.5755805696,15
2016-04-15,12,10.056862412800001,16
2016-04-16,7,-2.7693630463999988,0
2016-04-17,6,-3.584208793600001,0
2016-04-18,11,7.858924748799999,11
2016-04-19,19,6.43328768,10
2016-04-20,10,10.951315456,8
2016-04-21,15,11.793612288000002,8
2016-04-22,29,3.9628341247999996,7
2016-04-23,8,-2.0626493440000004,0
2016-04-24,9,-1.409851392000001,0
2016-04-25,15,9.514796748799998,5
2016-04-26,11,2.90631168,6
2016-04-27,10,7.318078976,8
2016-04-28,19,9.687640576,5
2016-04-29,26,11.867543040000001,1
2016-04-30,9,-3.0371258367999996,0
2016-05-01,3,-0.6272076800000015,0
2016-05-02,5,5.180398284799999,10
2016-05-03,12,14.5465009152,8
2016-05-04,28,17.358544691200002,2
2016-05-05,18,5.5687780352,11
2016-05-06,11,2.662960537599999,5
2016-05-07,4,-4.2843165696000005,2
2016-05-08,2,-3.2458006528000007,1
2016-05-09,18,15.880168652799998,20
2016-05-10,14,8.790578892800001,7
2016-05-11,15,7.4829534208,3
2016-05-12,21,6.4311917568000005,1
2016-05-13,13,5.6365954048,16
2016-05-14,13,-4.0225656832,3
2016-05-15,2,-1.9446342656000013,0
2016-05-16,16,13.8536784896,8
2016-05-17,20,15.234440704,12
2016-05-18,15,8.4664347648,11
2016-05-19,5,7.7834153984,12
2016-05-20,16,5.935487180799999,15
2016-05-21,11,-2.665828556800001,0
2016-05-22,1,-3.742058086400001,0
2016-05-23,20,10.6242994176,0
2016-05-24,18,6.6076568576,0
2016-05-25,16,3.3256001536000017,11
2016-05-26,17,11.872069632,8
2016-05-27,15,5.542324736000001,8
2016-05-28,5,-1.9635716095999998,0
