,spring-projects/spring-boot,apache/tomee,dropwizard/dropwizard
2017-08-21,4,-0.6326272,1
2017-08-22,7,-0.38165504,0
2017-08-23,7,-0.26780979200000005,0
2017-08-24,3,-0.20260126720000016,6
2017-08-25,22,-0.1177268224000001,1
2017-08-26,1,-0.08053985280000008,0
2017-08-27,4,0.9623151616,0
2017-08-28,13,-0.6170041344000001,0
2017-08-29,19,-0.12,0
2017-08-30,8,-0.055999999999999994,0
2017-08-31,1,-0.03359999999999997,0
2017-09-01,3,-0.022848000000000004,1
2017-09-02,0,-0.01675520000000001,0
2017-09-03,0,-0.012925440000000009,2
2017-09-04,10,-0.01034035200000001,0
2017-09-05,13,-0.00850206720000001,4
2017-09-06,13,0.0,0
2017-09-07,46,0.0,0
2017-09-08,12,0.0,2
2017-09-09,0,0.0,0
2017-09-10,3,0.0,0
2017-09-11,29,0.0,0
2017-09-12,20,0.0,0
2017-09-13,9,11.0,1
2017-09-14,28,-3.6000000000000014,1
2017-09-15,8,-1.12,0
2017-09-16,4,-2.176,0
2017-09-17,3,-0.7775999999999996,0
2017-09-18,17,-0.464128,1
2017-09-19,28,-0.32005120000000004,4
2017-09-20,24,-0.23814144000000012,0
2017-09-21,18,0.8139694079999998,0
2017-09-22,5,0.24960532479999975,1
2017-09-23,3,-0.7661869056000001,0
2017-09-24,26,-0.19300413440000003,0
2017-09-25,37,0.9104000000000001,0
2017-09-26,17,1.3435519999999999,0
2017-09-27,10,-0.35960320000000023,0
2017-09-28,19,-0.92568064,0
2017-09-29,23,-0.28886579199999995,0
2017-09-30,6,-0.16489041919999997,0
2017-10-01,0,-0.1045532672,0
2017-10-02,56,0.93071616,0
2017-10-03,15,-0.6529464320000001,0
2017-10-04,29,-0.16210821120000002,0
2017-10-05,14,0.9166555136,2
2017-10-06,9,-0.6421020672000001,12
2017-10-07,2,-0.142848,0
2017-10-08,9,-0.0727552,0
2017-10-09,4,-0.04652543999999998,1
2017-10-10,30,1.966811648,0
2017-10-11,14,-1.2252572672000002,0
2017-10-12,11,-0.25292544,0
2017-10-13,16,-0.122340352,0
2017-10-14,0,-0.07570206719999995,0
2017-10-15,0,-0.04569600000000001,0
2017-10-16,9,-0.03351040000000002,0
2017-10-17,24,-0.025850880000000017,2
2017-10-18,11,-0.02068070400000002,2
2017-10-19,9,-0.01700413440000002,7
2017-10-20,13,0.0,1
2017-10-21,16,0.0,0
2017-10-22,0,0.0,0
2017-10-23,6,2.0,0
2017-10-24,13,5.8,1
2017-10-25,14,-2.4400000000000013,1
2017-10-26,4,-2.152,5
2017-10-27,21,6.300800000000001,0
2017-10-28,15,-3.5928960000000005,0
2017-10-29,11,-1.7006464000000001,0
2017-10-30,28,1.29916672,1
2017-10-31,18,-1.6358691840000001,0
2017-11-01,14,1.4512265216,0
2017-11-02,42,-1.5323295744000003,0
2017-11-03,38,-0.43143741440000005,0
2017-11-04,7,-0.24300390400000008,0
2017-11-05,5,-0.17056522240000005,0
2017-11-06,14,-0.08004894720000003,0
