,DevExpress/testcafe,cypress-io/cypress,seleniumhq/selenium
2019-10-31,2,16,-2.4820629503999996
2019-11-01,0,0,0.6834457599999983
2019-11-02,0,0,-1.9584317440000008
2019-11-03,0,0,4.801354547199999
2019-11-04,0,2,0.9416953856000001
2019-11-05,4,1,7.2550577151999995
2019-11-06,3,3,-2.8521018368
2019-11-07,1,12,0.5140978688000004
2019-11-08,2,11,2.5850414080000004
2019-11-09,0,0,-1.5296826368
2019-11-10,0,0,-0.8460787712000004
2019-11-11,1,0,9.419834368
2019-11-12,1,1,7.5442082816000005
2019-11-13,0,2,-0.10989905919999954
2019-11-14,4,2,-1.1077927936000007
2019-11-15,2,5,-0.3524823040000007
2019-11-16,0,0,2.9021504512
2019-11-17,0,0,3.4616745984
2019-11-18,0,3,0.14823679999999984
2019-11-19,2,4,2.57443328
2019-11-20,7,0,-0.6997155839999993
2019-11-21,2,0,-0.09135615999999991
2019-11-22,2,0,0.1826823167999998
2019-11-23,0,0,1.2898200575999998
2019-11-24,0,0,-0.8592553983999999
2019-11-25,1,1,0.4954793984000001
2019-11-26,2,9,-0.5343938559999999
2019-11-27,1,11,1.7074189312000003
2019-11-28,0,7,2.3993073664000004
2019-11-29,0,0,5.1217586176
2019-11-30,0,0,-1.6222465024
2019-12-01,0,0,-0.7528735744000004
2019-12-02,1,9,5.5182625792
2019-12-03,1,3,0.4665466880000002
2019-12-04,0,5,-0.1408251904000004
2019-12-05,0,6,-0.8501283840000002
2019-12-06,1,12,0.4527378432
2019-12-07,0,0,-0.5921503231999996
2019-12-08,0,0,0.6379390976000001
2019-12-09,1,7,-0.4159539200000001
2019-12-10,0,3,-0.2542085119999998
2019-12-11,0,7,0.8059457536000003
2019-12-12,0,13,-0.2933552127999999
2019-12-13,2,1,-0.13493207040000005
2019-12-14,0,0,0.917183488
2019-12-15,0,0,-0.26299607039999995
2019-12-16,0,3,-0.11992371200000002
2019-12-17,4,1,0.9191018496
2019-12-18,7,2,-0.25052672
2019-12-19,2,5,0.8800762879999999
2019-12-20,2,0,-0.2808981504
2019-12-21,0,3,0.8694732799999999
2019-12-22,0,1,-0.28792371199999994
2019-12-23,0,5,0.8535018496
2019-12-24,0,2,-0.29046272
2019-12-25,1,0,-0.14841651200000003
2019-12-26,0,5,0.8970679295999999
2019-12-27,3,5,0.7315834880000001
2019-12-28,0,1,-0.3349320704
2019-12-29,0,0,-0.16281651200000005
2019-12-30,3,1,-0.11099607040000004
2019-12-31,0,0,-0.07352371199999996
