,getredash/redash,apache/superset,metabase/metabase
2016-01-18,1,0,9
2016-01-19,7,7,20
2016-01-20,6,0,12
2016-01-21,6,3,32
2016-01-22,1,2,33
2016-01-23,6,4,5
2016-01-24,5,3,0
2016-01-25,0,2,16
2016-01-26,0,1,23
2016-01-27,1,4,22
2016-01-28,0,1,10
2016-01-29,1,3,22
2016-01-30,0,0,1
2016-01-31,0,0,1
2016-02-01,1,0,20
2016-02-02,2,0,7
2016-02-03,4,0,30
2016-02-04,0,12,13
2016-02-05,0,1,7
2016-02-06,1,0,11
2016-02-07,1,0,1
2016-02-08,3,0,11
2016-02-09,5,0,6
2016-02-10,5,11,21
2016-02-11,1,4,7
2016-02-12,0,8,22
2016-02-13,0,0,13
2016-02-14,14,0,3
2016-02-15,1,0,16
2016-02-16,4,3,27
2016-02-17,2,0,8
2016-02-18,1,0,24
2016-02-19,0,3,25
2016-02-20,0,0,10
2016-02-21,2,0,8
2016-02-22,5,0,13
2016-02-23,8,2,35
2016-02-24,10,9,27
2016-02-25,3,5,18
2016-02-26,2,3,12
2016-02-27,1,5,24
2016-02-28,4,4,2
2016-02-29,17,10,14
2016-03-01,5,13,33
2016-03-02,1,10,17
2016-03-03,0,0,6
2016-03-04,1,9,9
2016-03-05,0,4,7
2016-03-06,2,7,1
2016-03-07,6,2,7
2016-03-08,9,3,28
2016-03-09,4,1,19
2016-03-10,10,2,17
2016-03-11,4,3,10
2016-03-12,4,0,1
2016-03-13,12,0,0
2016-03-14,12,3,5
2016-03-15,10,1,17
2016-03-16,1,9,38
2016-03-17,8,10,25
2016-03-18,0,3,10
2016-03-19,0,5,0
2016-03-20,1,2,0
2016-03-21,5,4,34
2016-03-22,4,1,24
2016-03-23,35,8,17
2016-03-24,8,7,30
2016-03-25,1,5,21
2016-03-26,0,8,2
2016-03-27,3,9,0
2016-03-28,5,6,13
2016-03-29,7,13,24
2016-03-30,14,9,4
2016-03-31,1,15,11
2016-04-01,1,15,12
2016-04-02,0,0,2
2016-04-03,5,9,0
2016-04-04,2,11,19
2016-04-05,2,7,15
2016-04-06,7,7,6
2016-04-07,7,14,1
2016-04-08,1,2,3
2016-04-09,0,12,4
2016-04-10,3,5,4
2016-04-11,1,5,18
2016-04-12,1,5,33
2016-04-13,0,4,38
2016-04-14,5,10,32
2016-04-15,10,7,12
2016-04-16,0,1,0
2016-04-17,15,2,2
2016-04-18,10,3,21
2016-04-19,2,1,48
2016-04-20,83,4,41
2016-04-21,1,5,31
2016-04-22,1,1,18
2016-04-23,0,0,4
2016-04-24,0,0,0
2016-04-25,1,2,8
2016-04-26,0,5,29
2016-04-27,0,1,12
2016-04-28,1,3,27
2016-04-29,2,3,14
2016-04-30,0,1,7
2016-05-01,4,1,0
2016-05-02,1,4,20
2016-05-03,1,3,19
2016-05-04,11,2,16
2016-05-05,9,5,15
2016-05-06,0,1,23
2016-05-07,4,0,13
2016-05-08,6,0,0
2016-05-09,4,0,28
2016-05-10,0,7,51
2016-05-11,0,0,20
2016-05-12,0,6,13
2016-05-13,1,0,12
2016-05-14,0,0,0
2016-05-15,0,0,0
2016-05-16,0,2,9
2016-05-17,6,7,7
2016-05-18,11,0,8
2016-05-19,4,1,8
2016-05-20,2,8,8
2016-05-21,0,0,0
2016-05-22,4,0,0
2016-05-23,2,4,12
2016-05-24,3,2,22
2016-05-25,1,0,20
2016-05-26,7,0,9
2016-05-27,2,0,2
2016-05-28,0,0,0
2016-05-29,0,0,0
2016-05-30,5,0,0
2016-05-31,7,0,18
2016-06-01,7,4,8
2016-06-02,2,7,3
2016-06-03,1,6,2
2016-06-04,0,0,2
2016-06-05,1,0,0
2016-06-06,7,1,11
2016-06-07,4,2,24
2016-06-08,10,2,26
2016-06-09,8,5,10
2016-06-10,0,6,29
2016-06-11,0,4,2
2016-06-12,0,2,0
2016-06-13,5,4,27
2016-06-14,22,5,33
2016-06-15,9,10,19
2016-06-16,2,2,11
2016-06-17,11,5,11
2016-06-18,0,0,0
2016-06-19,5,0,0
2016-06-20,6,6,18
2016-06-21,4,8,2
2016-06-22,5,5,5
2016-06-23,3,4,5
2016-06-24,0,5,23
2016-06-25,0,1,0
2016-06-26,1,1,0
2016-06-27,1,0,23
2016-06-28,2,9,18
2016-06-29,0,1,11
2016-06-30,1,2,20
2016-07-01,1,8,16
