,tajo/ladle,storybookjs/storybook,histoire-dev/histoire
2022-03-14,0,18.575946131400002,0
2022-03-15,4,5.721558687934374,20
2022-03-16,5,11.491214893932813,19
2022-03-17,0,18.288453357229688,10
2022-03-18,2,48.52426715854375,0
2022-03-19,0,-2.8328767458093767,0
2022-03-20,0,0.2950371163781256,16
2022-03-21,0,14.359302385378129,0
2022-03-22,0,15.763162733225005,3
2022-03-23,0,14.353572145303128,0
2022-03-24,0,-2.6660574505937493,2
2022-03-25,1,18.932229611867193,0
2022-03-26,0,-3.3480253893687477,0
2022-03-27,0,-2.6472879557328084,0
2022-03-28,0,24.42769413974219,0
2022-03-29,9,19.198515440539065,0
2022-03-30,2,10.575119140290624,0
2022-03-31,2,52.04635658448437,0
2022-04-01,0,28.096336845785935,0
2022-04-02,0,-0.6801672876656264,0
2022-04-03,0,7.86682185619375,0
2022-04-04,0,24.360587507464068,16
2022-04-05,0,35.967750660343754,0
2022-04-06,0,63.05773999095625,0
2022-04-07,0,35.37029250643906,0
2022-04-08,0,18.945954280585937,0
2022-04-09,0,-1.5372677968249988,13
2022-04-10,0,-6.528694296153118,4
2022-04-11,2,13.611871496795322,0
2022-04-12,0,7.8075334595796955,0
2022-04-13,0,19.18949460855157,0
2022-04-14,0,31.42469987063125,0
2022-04-15,0,6.993438770714064,0
2022-04-16,0,9.921740970342189,0
2022-04-17,0,5.544653944796877,0
2022-04-18,2,20.336701984712505,0
2022-04-19,2,16.204569264468752,11
2022-04-20,2,6.970617412650002,8
2022-04-21,0,27.789064218407816,10
2022-04-22,0,37.09609052255938,17
2022-04-23,0,11.354546005201563,3
2022-04-24,0,7.978664356762501,21
2022-04-25,0,16.90058210930469,0
2022-04-26,2,20.51973669101563,0
2022-04-27,0,13.968576460809377,0
2022-04-28,6,27.395346273057815,0
2022-04-29,2,16.244711076818753,0
2022-04-30,0,-3.322042644571873,0
2022-05-01,0,-2.095610128842184,11
2022-05-02,0,17.125494277098444,9
2022-05-03,10,26.93764657565313,1
2022-05-04,0,32.420556018303124,0
2022-05-05,2,7.066770060003123,0
2022-05-06,0,9.782644068515626,12
2022-05-07,0,-0.7327109467953106,0
2022-05-08,0,7.733899560126567,10
2022-05-09,0,70.71655900386094,30
2022-05-10,0,18.403202975865625,0
2022-05-11,11,19.161675363296872,2
2022-05-12,0,21.662543241792186,0
