,apache/avro,protocolbuffers/protobuf,apache/thrift
2009-07-22,0.783926487203125,6.35027975,0
2009-07-23,-0.4489277634484376,1.9187191375000001,1
2009-07-24,-0.18432007926562496,-1.7576072737499997,1
2009-07-25,-0.12176093698281248,0.40359228323437546,0
2009-07-26,-0.07932007926562504,0.4506121367671876,0
2009-07-27,-0.06226093698281252,-1.4770270449999998,1
2009-07-28,2.960842420734375,-0.8433466120625001,0
2009-07-29,-0.9325406869828127,6.38505172750625,5
2009-07-30,-0.3308767167656248,-0.539180118306251,1
2009-07-31,2.8079165867671874,1.351989611559375,5
2009-08-01,-1.0204875000000002,6.305229944570312,0
2009-08-02,-0.40416074999999974,2.801611105735937,0
2009-08-03,-0.24834258749999988,-0.1657870099968748,1
2009-08-04,-0.17735932125,5.623939136034376,0
2009-08-05,-0.13679090029687513,2.33827660875,1
