,neovim/neovim,microsoft/vscode,pulsar-edit/pulsar
2020-03-29,3,20,0
2020-03-30,1,84,0
2020-03-31,0,48,1
2020-04-01,3,74,0
2020-04-02,2,43,1
2020-04-03,0,57,1
2020-04-04,2,5,0
2020-04-05,0,14,0
2020-04-06,1,72,0
2020-04-07,1,76,0
2020-04-08,1,58,0
2020-04-09,0,82,0
2020-04-10,0,34,0
2020-04-11,0,21,0
2020-04-12,7,21,0
2020-04-13,30,45,1
2020-04-14,1,76,0
2020-04-15,3,62,1
2020-04-16,3,91,0
2020-04-17,1,105,0
2020-04-18,9,21,0
2020-04-19,4,36,0
2020-04-20,5,74,0
2020-04-21,8,85,0
2020-04-22,2,98,0
2020-04-23,1,70,0
2020-04-24,5,83,0
2020-04-25,4,7,1
2020-04-26,18,9,0
2020-04-27,12,107,0
2020-04-28,3,39,0
2020-04-29,3,72,0
2020-04-30,1,41,0
2020-05-01,5,17,0
2020-05-02,8,5,0
2020-05-03,13,7,0
2020-05-04,3,70,0
2020-05-05,9,69,0
2020-05-06,1,78,1
2020-05-07,11,75,2
2020-05-08,2,46,0
2020-05-09,4,8,0
2020-05-10,0,5,0
2020-05-11,1,68,0
2020-05-12,6,89,3
2020-05-13,0,81,1
2020-05-14,2,72,0
2020-05-15,3,78,2
2020-05-16,3,8,0
2020-05-17,3,10,0
2020-05-18,4,52,2
2020-05-19,5,44,18
2020-05-20,2,81,12
2020-05-21,6,12,0
2020-05-22,0,15,0
2020-05-23,4,12,2
2020-05-24,2,3,0
2020-05-25,7,43,0
2020-05-26,7,68,0
2020-05-27,0,80,8
2020-05-28,1,29,7
2020-05-29,1,54,1
2020-05-30,5,3,8
2020-05-31,4,13,1
2020-06-01,0,73,0
2020-06-02,4,32,2
2020-06-03,3,94,9
2020-06-04,6,53,1
2020-06-05,13,44,1
2020-06-06,5,5,5
2020-06-07,1,8,2
2020-06-08,2,75,2
2020-06-09,1,69,0
2020-06-10,5,58,1
2020-06-11,3,81,1
2020-06-12,2,81,8
2020-06-13,3,10,0
2020-06-14,2,6,0
2020-06-15,3,71,4
2020-06-16,3,78,3
2020-06-17,1,73,2
2020-06-18,17,58,3
2020-06-19,2,37,1
2020-06-20,0,11,0
2020-06-21,1,16,1
2020-06-22,5,73,2
2020-06-23,6,81,4
2020-06-24,2,71,7
2020-06-25,0,68,0
2020-06-26,0,61,4
2020-06-27,2,0,0
2020-06-28,0,12,0
2020-06-29,11,71,2
2020-06-30,2,37,0
2020-07-01,3,74,1
2020-07-02,6,38,0
2020-07-03,2,17,5
2020-07-04,10,6,0
2020-07-05,0,1,0
2020-07-06,3,42,1
2020-07-07,1,50,1
2020-07-08,1,49,2
2020-07-09,0,45,0
2020-07-10,7,40,8
2020-07-11,2,9,12
2020-07-12,0,7,1
2020-07-13,0,59,14
2020-07-14,0,43,7
2020-07-15,4,31,0
2020-07-16,0,57,19
2020-07-17,0,50,13
2020-07-18,1,10,3
2020-07-19,20,0,2
2020-07-20,7,46,0
2020-07-21,5,60,2
2020-07-22,0,79,2
2020-07-23,6,49,0
2020-07-24,3,31,0
2020-07-25,0,5,8
2020-07-26,1,5,1
2020-07-27,0,33,0
2020-07-28,3,37,0
2020-07-29,1,40,1
2020-07-30,2,37,0
2020-07-31,6,33,3
2020-08-01,0,3,0
2020-08-02,22,1,4
2020-08-03,1,54,0
2020-08-04,0,20,1
2020-08-05,0,71,0
2020-08-06,0,37,0
2020-08-07,0,17,1
2020-08-08,4,8,0
2020-08-09,1,8,0
2020-08-10,2,52,0
2020-08-11,2,58,1
2020-08-12,0,69,2
2020-08-13,7,55,9
2020-08-14,19,19,5
2020-08-15,9,4,1
2020-08-16,2,5,0
2020-08-17,4,30,8
2020-08-18,1,42,1
2020-08-19,1,46,3
2020-08-20,1,39,3
2020-08-21,0,53,7
2020-08-22,3,2,5
2020-08-23,11,1,13
2020-08-24,3,42,7
2020-08-25,2,43,3
2020-08-26,5,59,1
2020-08-27,1,55,2
2020-08-28,1,56,3
2020-08-29,0,7,10
2020-08-30,10,16,4
2020-08-31,18,77,16
2020-09-01,5,43,0
2020-09-02,6,60,0
2020-09-03,11,41,1
2020-09-04,19,37,4
2020-09-05,9,12,17
2020-09-06,23,5,6
2020-09-07,1,49,6
2020-09-08,3,80,3
2020-09-09,11,87,9
2020-09-10,6,63,14
2020-09-11,31,40,34
2020-09-12,10,3,0
2020-09-13,18,1,0
2020-09-14,7,39,39
2020-09-15,0,40,6
2020-09-16,8,88,30
2020-09-17,4,55,31
2020-09-18,2,55,22
2020-09-19,13,10,1
2020-09-20,2,1,0
2020-09-21,4,38,0
2020-09-22,1,47,6
2020-09-23,0,42,16
2020-09-24,9,37,7
2020-09-25,0,42,2
2020-09-26,5,1,3
2020-09-27,2,12,4
2020-09-28,2,65,4
2020-09-29,5,21,6
2020-09-30,10,57,22
2020-10-01,14,47,12
2020-10-02,5,14,14
2020-10-03,6,19,2
2020-10-04,4,2,1
2020-10-05,14,50,4
2020-10-06,16,37,6
2020-10-07,10,34,4
2020-10-08,7,26,5
2020-10-09,2,40,3
2020-10-10,10,6,1
2020-10-11,13,5,1
2020-10-12,8,28,2
2020-10-13,1,33,5
2020-10-14,6,43,5
2020-10-15,4,27,1
2020-10-16,4,29,1
2020-10-17,15,8,1
2020-10-18,5,1,0
2020-10-19,2,33,4
2020-10-20,4,55,8
2020-10-21,7,41,10
2020-10-22,13,58,5
2020-10-23,5,61,5
2020-10-24,4,6,2
2020-10-25,19,15,1
2020-10-26,5,80,2
2020-10-27,1,49,1
2020-10-28,6,78,0
2020-10-29,5,33,3
2020-10-30,4,28,16
2020-10-31,2,1,32
2020-11-01,21,0,0
2020-11-02,7,61,2
2020-11-03,14,59,2
2020-11-04,12,85,1
2020-11-05,4,73,0
2020-11-06,1,49,7
2020-11-07,13,4,1
2020-11-08,12,3,0
2020-11-09,9,86,0
2020-11-10,7,93,0
2020-11-11,4,79,0
2020-11-12,5,58,0
